,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
14,[' 中国大陆 / 香港'],['叶伟民'],['2018'],['87'],"['甄子丹', '黄圣依', '王宝强', '任达华', '喻亢', '江疏影', '仓田保昭', '鲍起静', '林雪', '庄思敏', '胡明', '吴俊余', '王文绮']",['冰封侠：时空行者'],"['动作', '奇幻']",['2.6'],['8108'],[' 汉语普通话 / 粤语']
8,[' 中国大陆 / 英国'],['马楚成'],['2018'],['100'],"['梁朝伟', '吴亦凡', '唐嫣', '杜鹃', '林子祥', '华栖龙', '雅各布 格拉夫', '元秋', '刘家勇', '罗莽', '谢婷婷', '周小飞', '林德信', '陈语安', '黎烈弓', '杰佳·亚宁']",['欧洲攻略'],"['喜剧', '动作', '爱情']",['3.5'],['50694'],[' 粤语 / 英语 / 汉语普通话 / 意大利语 / 克林贡语']
11,[' 中国大陆 / 香港'],['刘伟强'],['2018'],['104'],"['古天乐', '陈学冬', '郭碧婷', '包贝尔', '王太利', '周冬雨', '吴樾', '潘斌龙', '孔连顺', '刘浩', '梁大维', '许君聪', '方中信', '何润东', '薛凯琪', '颖儿', '李灿森', '卢惠光']",['武林怪兽'],"['喜剧', '奇幻', '武侠']",['3.5'],['20795'],[' 汉语普通话']
16,[' 中国大陆 / 澳大利亚'],['金波·兰道'],['2018'],['90'],"['李冰冰', '凯南·鲁兹', '吴尊', '凯尔希·格兰莫', '斯黛芬·道森', '瑞恩·约翰逊', '肖恩·雅克博森', '杰森·庄', '蒂姆·德莱克斯', '克里斯汀·米洛', '克洛依·盖伊']",['谜巢'],"['动作', '冒险']",['3.5'],['18224'],[' 英语']
15,[' 中国大陆 / 香港'],['谷德昭'],['2018'],['98'],"['陈奕迅', '李荣浩', '李一桐', '陈国坤', '崔志佳', '许绍雄', '刘浩龙', '田启文', '克里斯·柯林斯', '马志威', '李聪']",['卧底巨星'],"['喜剧', '动作']",['3.6'],['13453'],[' 汉语普通话']
17,[' 中国大陆 / 香港'],['张家辉'],['2018'],['112'],"['张家辉', '徐静蕾', '何炅', '余男', '苗侨伟', '元华', '林雪', '张可颐']",['低压槽：欲望之城 低壓槽'],"['剧情', '动作', '悬疑', '犯罪']",['4.4'],['13228'],[' 汉语普通话 / 粤语 / 英语 / 泰语']
5,[' 中国大陆 / 香港'],['郑保瑞'],['2018'],['116'],"['郭富城', '冯绍峰', '赵丽颖', '小沈阳', '罗仲谦', '林志玲', '梁咏琪', '刘涛', '孙伊涵', '苑琼丹', '潘斌龙', '陈雅丽', '施诗']",['西游记女儿国'],"['喜剧', '爱情', '奇幻']",['4.4'],['110422'],[' 汉语普通话']
12,[' 中国大陆 / 香港'],['丁晟'],['2018'],['114'],"['王凯', '马天宇', '王大陆', '余皑磊', '林雪', '吴樾', '李梦', '张艺上', '姜珮瑶', '李岷城', '宁浩', '韩寒', '丁晟', '曾志伟']",['英雄本色2018'],"['剧情', '动作']",['4.6'],['33053'],[' 汉语普通话']
3,[' 中国大陆 / 香港'],['许诚毅'],['2018'],['110'],"['梁朝伟', '白百何', '井柏然', '李宇春', '杨祐宁', '大鹏', '吴君如', '曾志伟', '黄磊', '柳岩', '吴莫愁', '伍嘉成', '赵磊', '谷嘉诚', '彭楚粤', '陈泽希', '郭子凡', '肖战', '焉栩嘉', '夏之光', '姜超', '娄艺潇', '张俪']",['捉妖记2'],"['喜剧', '奇幻']",['5.0'],['217998'],[' 汉语普通话']
10,[' 中国大陆 / 香港'],['阚家伟'],['2018'],['100'],"['甄子丹', '陈乔恩', '喻亢', '骆明劼', '汤君慈', '汤君耀', '李靖筠', '刘朝健', '林秋楠', '云千千', '林嘉华', '张坚庭', '骆应钧', '李枫', '欧阳伟豪', '楼南光', '张文杰']",['大师兄 大師兄'],"['喜剧', '动作']",['5.1'],['27282'],[' 粤语']
