,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
59,[' 中国大陆'],['陈勋奇'],['2018'],['113'],"['谭耀文', '孟广美', '马国明', '那广子', '罗彬']",['美丽战争'],"['剧情', '动作']",[''],[],[' 汉语普通话']
61,[' 中国大陆'],[],['2018'],['157'],"['何炅', '迪丽热巴', '李易峰', '丁柳元', '张译']",['第12届中国金鹰电视艺术节颁奖典礼'],['真人秀'],['2.0'],['40088'],[' 汉语普通话']
55,[' 中国大陆'],['萧锋'],['2018'],['132'],"['刘烨', '布鲁斯·威利斯', '宋承宪', '陈伟霆', '范伟', '马苏', '车永莉', '吴刚', '冯远征', '张钧甯', '耿乐', '谢霆锋', '范冰冰', '陈道明', '艾德里安·布洛迪', '雷佳', '涩谷天马', '张帆', '任达华', '吕良伟', '胡兵', '黄海冰', '拉莫·威利斯', '刘晓庆', '曹可凡', '黄圣依', '钟镇涛', '爱新觉罗·启星', '汪东城']",['大轰炸'],"['动作', '战争']",['2.7'],['8772'],[' 汉语普通话 / 英语']
40,[' 中国大陆'],['罗登'],['2018'],['95'],"['葛优', '岳云鹏', '杜淳', '蔡卓妍', '包贝尔', '小沈阳', '陈赫', '潘斌龙', '热依扎', '孙越', '吕行', '张亮', '奚梦瑶', '杜志国', '许君聪', '吴俊余', '武强']",['断片之险途夺宝'],"['喜剧', '冒险']",['2.8'],['15213'],[' 汉语普通话']
60,[' 中国大陆'],['张鹏'],['2018'],['141'],"['吴磊', '梁家辉', '刘嘉玲', '张艺上', '冯嘉怡', '明道', '董琦', '多布杰']",['阿修罗'],"['动作', '爱情', '奇幻']",['3.1'],['15325'],[' 汉语普通话']
17,[' 中国大陆'],['韦正'],['2018'],['117'],"['陈赫', '袁弘', '娄艺潇', '邓家佳', '孙艺洲', '李佳航', '李金铭', '刘天佐', '赵志伟', '张双利', '南派三叔', '韦正', '汪远', '朱桢', '于立', '榕榕', '罗姝涵', '许和琪', '刘雨昕', '张希雅', '孔雪儿', '关凯元', '张悠然', '三名制-5', '丧钟大师', '老驴', '张天馨', '刘宇馨', '陈旭明', '王思博', '赵子豪', '杨朕', '郝宇', '徐梦洁', '常钰', '韩丹', '严丰', '郭林钧']",['爱情公寓'],"['喜剧', '冒险']",['3.1'],['202179'],[' 汉语普通话']
37,[' 中国大陆'],['非行'],['2018'],['110'],"['蔡珩', '顾璇', '于恒', '成泰燊', '马浴柯', '陈雨锶']",['云南虫谷'],"['动作', '奇幻', '冒险']",['3.2'],['33124'],[' 汉语普通话']
38,[' 中国大陆'],['朱延平'],['2018'],['103'],"['王宁', '孔连顺', '王智', '吴孟达', '梁超', '郝劭文', '张子栋', '李欣蕊', '张峻豪', '今井隆星', '宋小宝', '曾志伟', '叶全真']",['新乌龙院之笑闹江湖'],"['剧情', '喜剧', '动作']",['3.5'],['14073'],[' 汉语普通话']
62,[' 中国大陆'],['张歆艺'],['2018'],['96'],"['张歆艺', '王栎鑫', '谭维维', '陈哲远', '于莎莎', '孙骁骁', '曾一竣', '张若星', '包贝尔', '蒋欣', '张静初', '张天爱', '袁弘', '秦岚', '郭京飞', '李菁菁', '赵麒', '江珊', '王烈', '高晓攀', '吕夏', '孙明明']",['泡芙小姐'],"['剧情', '爱情']",['3.6'],['7303'],[' 汉语普通话']
33,[' 中国大陆'],['小沈阳'],['2018'],['99'],"['小沈阳', '潘斌龙', '宋芸桦', '金士杰', '刘桦', '胡明', '曹瑞', '陈惠敏', '姚中仁', '李立群', '苑琼丹', '肖央', '杨树林', '陈汉典', '九孔', '纳豆', '沈春阳', '高捷', '马浴柯']",['猛虫过江'],"['喜剧', '动作']",['3.7'],['33190'],[' 汉语普通话']
25,[' 中国大陆'],['肖央'],['2018'],['104'],"['肖央', '杜鹃', '常远', '小沈阳', '岳云鹏', '王小利', '衣云鹤', '蔡明']",['天气预爆'],"['喜剧', '奇幻']",['3.8'],['53593'],[' 汉语普通话']
57,[' 中国大陆'],"['冯巩', '崔俊杰']",['2018'],['91'],"['冯巩', '毛俊杰', '刘昊然', '牛莉', '贾玲', '张小斐', '岳云鹏', '姜宏波', '白凯南', '潘斌龙', '涂松岩', '宋宁', '梁天', '夏凡', '梁超']",['幸福马上来'],['喜剧'],['3.8'],['8697'],[' 汉语普通话']
27,[' 中国大陆'],['郭德纲'],['2018'],['95'],"['岳云鹏', '吴京', '吴秀波', '井柏然', '林志玲', '王宝强', '大鹏', '吴君如', '李晨', '杜淳', '郑恺', '欧弟', '张国立', '贾乃亮', '张俪', '马苏', '萧敬腾', '汪东城', '于谦', '黄磊', '吴樾', '孙艺洲', '贾玲', '谢依霖', '孟非', '郭麒麟', '谢楠', '王小利', '张晨光', '刘蓓', '孙越']",['祖宗十九代'],"['喜剧', '奇幻']",['4.2'],['78624'],[' 汉语普通话']
