,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
37,[' 日本'],['河合勇人'],['2018'],['117'],"['中岛健人', '中条彩未', '池间夏海', '岛崎遥香', '岸优太', '内藤大湖']",['伪恋 ニセコイ'],"['喜剧', '爱情']",['4.8'],['221'],[' 日语']
19,[' 日本'],['佐藤信介'],['2018'],['108'],"['福士苍汰', '杉咲花', '吉泽亮', '真野惠里菜', '小柳友', '田边诚一', '早乙女太一', '石原贵雅', '长泽雅美', '江口洋介']",['境·界 BLEACH'],"['动作', '奇幻', '冒险']",['4.9'],['8611'],[' 日语']
31,[' 日本'],['三浦大辅'],['2018'],['119'],"['松坂桃李', '真飞圣', '富手麻妙', '猪塚健太', '樱井由纪', '小柳友', '马渕英俚可', '荻野友里', '佐佐木心音', '大谷麻衣', '阶户瑠李', '西冈德马', '江波杏子']",['娼年'],"['爱情', '情色']",['5.7'],['10169'],[' 日语']
24,[' 日本'],"['静野孔文', '濑下宽之']",['2018'],['90'],"['宫野真守', '樱井孝宏', '花泽香菜', '杉田智和', '梶裕贵', '诹访部顺一', '三宅健太', '堀内贤雄', '中井和哉', '山路和弘', '早见沙织', '上田丽奈', '小泽亚李', '铃村健一']",['哥斯拉：噬星者 GODZILLA 星を喰う者'],"['动作', '科幻', '动画']",['5.8'],['3791'],[' 日语']
2,[' 日本'],['立川让'],['2018'],['110'],"['高山南', '山崎和佳奈', '小山力也', '山口胜平', '林原惠美', '绪方贤一', '岩居由希子', '高木涉', '大谷育江', '松井菜樱子', '榎本充希子', '高岛雅罗', '百百麻子', '岸野幸正', '飞田展男', '茶风林', '井上和彦', '汤屋敦子', '千叶一伸', '富永美伊奈', '川岛得爱', '浦山迅', '中友子', '私市淳', '志村知幸', '鸟海胜美', '冈村明美', '西前忠久', '利根健太朗', '庄司宇芽香', '川原庆久', '安村直树', '诸国沙代子', '博多大吉', '上户彩', '古谷彻']",['名侦探柯南：零的执行人 名探偵コナン ゼロの執行人'],"['动画', '悬疑']",['5.8'],['77040'],[' 日语']
17,[' 日本'],['吉沢俊一'],['2018'],['90'],"['榎木淳弥', '村中知', '松浦爱弓', '梅原裕一郎', '村濑步', '古川慎', '盐田朋子', '寺杣昌纪', '中井和哉', '山路和弘', '星野贵纪', '佐藤せつじ', '驹田航', '荒井勇树', '岛田岳洋', '玉野井直樹', '中村文徳', '横沟菜帆']",['机动战士高达NT 機動戦士ガンダム NT（ナラティブ）'],"['科幻', '动画', '战争']",['6.0'],['730'],[' 日语']
7,[' 日本'],['月川翔'],['2018'],['105'],"['菅田将晖', '土屋太凤', '古川雄辉', '山田裕贵', '池田依来沙', '滨边美波', '佐野岳', '佐野史郎', '速水直道']",['邻座的怪同学 となりの怪物くん'],"['剧情', '喜剧', '爱情']",['6.1'],['7755'],[' 日语']
35,[' 日本'],['大友启史'],['2018'],[],"['佐藤健', '高桥一生', '黑木华', '泽尻英龙华', '池田依来沙', '藤原龙也', '北村一辉']",['亿男 億男'],['剧情'],['6.2'],['1426'],[' 日语']
20,[' 日本'],['三岛有纪子'],['2018'],['120'],"['黑木华', '野村周平', '成田凌', '夏帆', '东出昌大', '神野三铃', '高桥洋', '酒向芳', '桃果', '渡边美佐子']",['彼布利亚古书堂事件手帖 ビブリア古書堂の事件手帖'],['悬疑'],['6.3'],['1505'],[' 日语']
10,[' 日本'],['今井一晓'],['2018'],['109'],"['水田山葵', '大原惠美', '嘉数由美', '木村昴', '关智一', '三石琴乃', '松本保典', '荻野志保子', '金元寿子', '山下大辉', '折笠富美子', '悠木碧', '大友龙三郎', '早见沙织', '胜杏里', '乃村健次', '鸟海胜美', '陶山章央', '龟井芳子', '一条和矢', '渡边宜嗣', '高桥茂雄', '长泽雅美', '大泉洋']",['哆啦A梦：大雄的金银岛 ドラえもん のび太の宝島'],"['动画', '奇幻', '冒险']",['6.5'],['29106'],[' 日语']
26,[' 日本'],['佐藤信介'],['2018'],['127'],"['木梨宪武', '佐藤健', '本乡奏多', '二阶堂富美', '三吉彩花', '福崎那由他', '滨田麻里', '齐藤由贵', '伊势谷友介']",['犬屋敷 真人版 いぬやしき'],"['动作', '科幻']",['6.6'],['6311'],[' 日语']
36,[' 日本'],['细田守'],['2018'],['98'],"['上白石萌歌', '黑木华', '星野源', '麻生久美子', '吉原光夫', '宫崎美子', '神田松之丞', '本渡枫', '畠中祐', '真田麻美', '役所广司', '中村正', '山像香', '玉川纱己子', '井上肇', '加藤虎之介', '真凛', '福山雅治']",['未来的未来 未来のミライ'],"['动画', '奇幻']",['6.7'],['6691'],[' 日语']
