,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
68,[' 美国'],['帕夏·帕特里基'],['2018'],['105'],"['尚格·云顿', '杜夫·龙格尔', '杰思敏·沃兹', '帕特里克·基尔帕特里克', '阿尔·萨皮恩扎', '克里斯·云顿', '兰斯·E·尼克尔斯', '亚历山大·维舍尔鲍默', '考特尼·B·特克', '卡塔尔·彭德莱', '马克·希曼 ', '伊恩·奈尔斯', '约翰·波西', '亚伦·奥康奈尔', '杰姆斯·班尼特', '瓦内萨·莫达', '汤姆·德努奇', '唐迪·塔格韦尔']",['深海越狱 Black Water'],"['动作', '冒险']",['4.4'],['8962'],[' 英语']
15,[' 美国'],['韦斯·鲍尔'],['2018'],['142'],"['迪伦·奥布莱恩', '卡雅·斯考达里奥', '李起弘', '托马斯·布罗迪-桑斯特', '罗莎·萨拉查', '德克斯特·达登', '艾丹·吉伦', '威尔·保尔特', '吉安卡罗·埃斯波西托', '沃尔顿·戈金斯', '派翠西娅·克拉克森', '巴里·佩珀']",['移动迷宫3：死亡解药 Maze Runner: The Death Cure'],"['动作', '科幻', '冒险']",['5.3'],['62345'],[' 英语']
47,[' 美国'],['杰拉德·麦克穆雷'],['2018'],['98'],"['伊兰·诺尔', '莱克斯·斯科特·戴维斯', '乔瓦恩·韦德', '马加', '帕奇·德拉奇', '玛丽莎·托梅', '劳伦·维勒斯', '克丽丝滕·索利斯', '莫·麦克雷', '史蒂夫·哈里斯', '米切尔·爱德华兹', '伊恩·布莱克曼', '梅罗妮·迪亚兹', '迪德尔·古德温', '丽维·陈', '阿兰·皮特鲁塞泽维斯基', '洛根·克劳福德', '约翰·麦克金蒂']",['人类清除计划4 The First Purge'],"['科幻', '惊悚', '犯罪']",['5.4'],['10203'],[' 英语']
29,[' 美国'],['詹姆斯·弗雷'],['2018'],['105'],"['达科塔·约翰逊', '詹米·多南', '阿莉尔·凯贝尔', '埃里克·约翰逊', '瑞塔·奥拉', '卢克·葛莱姆斯', '布兰特·道格尔迪', '泰勒·霍奇林', '马克斯·马蒂尼', '劳拉·雅各布斯', '费伊·马斯特森']",['五十度飞 Fifty Shades Freed'],"['剧情', '爱情', '情色']",['5.6'],['23632'],[' 英语']
57,[' 美国'],['理查德·谢帕德'],['2018'],['90'],"['艾莉森·威廉姆斯', '阿莱娜·霍夫曼', '斯蒂文·韦伯', '洛根·布朗宁', '格利尼斯·戴维斯', '格雷姆·达菲', '史蒂芬·常', '莎伦·克兰德尔', 'Evelyn Chew', '温妮·孔', 'Christina Jastrzembska', 'Doralynn Mui', 'Milah Thompson', 'Molly Grace', 'Vince Tsang', 'Leanne Wang']",['完美琴仇 The Perfection'],"['剧情', '惊悚', '恐怖']",['5.7'],['1848'],[' 英语']
38,[' 美国'],['大卫·戈登·格林'],['2018'],['106'],"['杰米·李·柯蒂斯', '朱迪·格雷尔', '安迪·马蒂切克', '詹姆斯·裘德·柯特尼', '尼克·卡斯特尔', '哈鲁克·比尔根纳尔', '威尔·帕顿', '里安·里斯', '杰佛逊·豪尔', '托比·胡斯', '维吉尼亚·加德纳', '迪伦·阿诺德', '迈尔斯·罗宾斯', '德鲁·谢伊德', '吉布瑞尔·南谭布', '迈克尔·哈瑞蒂', '马修·安德森', '奥马尔·J·多尔西', '克里斯托弗· 艾伦·尼尔森', 'P·J·索尔丝', '桑迪·约翰逊', '乔恩·埃里克·海克瑟姆', '梅诺·佩卢斯', '杰瑞德·莫泽', '罗布·尼特']",['月光光心慌慌 Halloween'],"['惊悚', '恐怖']",['5.9'],['15067'],[' 英语']
26,[' 美国'],['科林·哈迪'],['2018'],['96'],"['德米安·比齐尔', '泰莎·法米加', '乔纳斯·布洛凯', '邦妮·阿伦斯', '维拉·法米加', '帕特里克·威尔森', '英格丽·比苏', '夏洛特·霍普', '桑德拉·特蕾丝', '奥古斯特·马图洛', '迈克尔·史麦利', '大卫·霍罗维奇', '丽丽·博尔丹', '斯嘉丽·希克斯', '丽兹·科菲', '迪·布拉雷·贝克尔', '黛布拉·威尔逊', '马克·斯达格', '莉迪亚·科洛科', '艾玛·阿普尔顿', '约翰尼·科瓦内', '丹尼尔·曼德尔', '西蒙·瑞', '桑德拉·罗斯科']",['修女 The Nun'],"['悬疑', '惊悚', '恐怖']",['5.9'],['31603'],[' 英语 / 法语 / 罗马尼亚语 / 拉丁语']
43,[' 美国'],['罗伯·科恩'],['2018'],['103'],"['托比·凯贝尔', '玛姬·格蕾斯', '瑞恩·柯万腾', '拉尔夫·伊内森', '梅丽莎·博洛纳', '本·克劳斯', '杰米·安德鲁·卡特勒', '克里斯蒂安·孔特雷拉斯', '艾德·伯奇', '埃里克·罗德尔', '马克·史密斯', '布鲁克·约翰斯顿', '帕特里克·麦考利', '莱昂纳多·狄更斯', '斯图尔特·麦克奎里', '娜塔莎·卡拉姆', '阿塔纳斯·斯雷布雷夫', '卢克·朱迪', '安德烈·鲁滨孙']",['飓风奇劫 The Hurricane Heist'],"['动作', '惊悚', '犯罪']",['5.9'],['11633'],[' 英语']
61,[' 美国'],['朱利叶斯·约拿'],['2018'],['102'],"['古古·姆巴塔-劳', '大卫·奥伊罗', '丹尼尔·布鲁尔', '约翰·奥提兹', '克里斯·奥多德', '阿卡塞尔·亨涅', '章子怡', '伊丽莎白·德比茨基', '罗杰·戴维斯', '唐纳尔·罗格', '苏珊·克莱尔', '肯·奥林', '西蒙·佩吉', '格雷戈·格伦伯格']",['科洛弗悖论 The Cloverfield Paradox'],"['科幻', '悬疑', '惊悚']",['6.0'],['14339'],[' 英语 / 汉语普通话']
12,[' 美国'],"['拉斯·霍尔斯道姆', '乔·庄斯顿']",['2018'],['99'],"['麦肯吉·弗依', '摩根·弗里曼', '凯拉·奈特莉', '马修·麦克费登', '海伦·米伦', '艾丽·巴姆博', '米兰达·哈特', '欧赫尼奥·德尔维斯', '杰克·怀特霍尔', '理查德·E·格兰特', '谢尔盖·波卢宁', '欧米德·吉亚李利', '梅拉·沙尔', '尼克·穆罕默德', '杰茜·维宁', '汤姆·斯威特', '马里安·洛伦西克', '芙洛·费拉科', '丽塔-麦克唐纳丹帕', '查尔斯·斯特里特']",['胡桃夹子和四个王国 The Nutcracker And The Four Realms'],"['奇幻', '冒险']",['6.0'],['52350'],[' 英语']
