,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
12,[' 韩国'],['金成勋'],['2018'],['121'],"['玄彬', '赵宇镇', '张东健', '金义城', '李善彬', '郑满植', '徐智慧', '赵达焕', '金太祐', '许成泰', '朴镇宇', '韩智恩', '许俊硕', '白秀章', '郑惟安']",['猖獗 창궐'],"['动作', '恐怖']",['5.7'],['6640'],[' 韩语']
1,[' 韩国'],['郑凡植'],['2018'],['94'],"['魏河俊', '朴智炫', '吴雅妍', '文艺媛', '朴成勋', '刘帝允', '李丞旭']",['昆池岩 곤지암'],['恐怖'],['6.1'],['114294'],[' 韩语']
9,[' 韩国'],['曹圭章'],['2018'],['111'],"['李星民', '金相浩', '陈庆', '郭时旸', '朴春', '金成钧', '李民雄', '延济旭', '申承焕', '李载宇', '裴贞华', '郑侑敏', '黄英熙', '孙钟学', '李相熹', '金子英', '朴成根']",['目击者 목격자'],"['悬疑', '惊悚']",['6.1'],['6495'],[' 韩语']
17,[' 韩国'],['李海暎'],['2018'],['123'],"['赵震雄', '柳俊烈', '金柱赫', '金成铃', '朴海俊', '车胜元', '郑家蓝', '南文哲', '徐贤宇', '姜承贤', '京熙妍', '金东英', '李周英', '琴赛璐', '郑钟宇', '权度云']",['毒战 독전'],"['动作', '犯罪']",['6.4'],['11475'],[' 韩语']
16,[' 韩国'],['金泰均'],['2018'],['110'],"['金允石', '朱智勋', '陈善圭', '郑钟俊', '许真', '金重基', '金英熊', '郑基燮', '李凤莲', '全国焕', '金正洙', '裴海善', '权素贤', '元贤俊']",['暗数杀人 암수살인'],"['剧情', '惊悚', '犯罪']",['6.7'],['8646'],[' 韩语']
11,[' 韩国'],['李权'],['2018'],['102'],"['孔晓振', '金叡园', '金圣武', '赵福来', '李家燮', '李天熙', '金在华']",['门锁 도어락'],"['悬疑', '惊悚']",['6.8'],['18496'],[' 韩语']
14,[' 韩国'],['李钟奭'],['2018'],['114'],"['孙艺珍', '玄彬', '金相浩', '张荣男', '张光', '赵勇进', '朴成根', '朴修荣', '金民尚', '李诗雅', '崔秉默', '李贤', '金熙镇', '李珠英', '康德铉', '李文植']",['协商 협상'],"['动作', '悬疑', '犯罪']",['6.9'],['15096'],[' 韩语']
13,[' 韩国'],['李锡根'],['2018'],['110'],"['金英光', '朴宝英', '姜其永', '高圭弼', '张成范', '金贤淑', '林炯俊', '姜德重', '徐恩秀', '宋再临', '申素率', '郑多媛', '车烨', '裴海善', '全裴修', '徐胤雅']",['你的婚礼 너의 결혼식'],"['剧情', '爱情']",['7.2'],['15881'],[' 韩语']
10,[' 韩国'],['洪尚秀'],['2018'],['96'],"['纪柱峰', '金敏喜', '宋宣美', '权海虓', '刘俊相']",['江边旅馆 강변호텔'],['剧情'],['7.2'],['2453'],[' 韩语']
8,[' 韩国'],['林顺礼'],['2018'],['103'],"['金泰梨', '柳俊烈', '文素丽', '秦基周', '国志龙', '郑浚远']",['小森林 리틀 포레스트'],['剧情'],['7.3'],['22862'],[' 韩语']
4,[' 韩国'],['朴勋政'],['2018'],['125'],"['金多美', '赵敏修', '朴熙顺', '崔宇植', '高敏诗', '吴美姬', '崔政宇', '多恩', '金秉玉', '李柱元', '金河娜', '李基英', '权泰元', '李时勋 ', '白承哲', '袁民奎', '金宗勋', '徐翰洁']",['魔女 마녀'],"['动作', '悬疑']",['7.3'],['22420'],[' 韩语']
15,[' 韩国'],['李宰圭'],['2018'],['115'],"['柳海真', '赵震雄', '李瑞镇', '廉晶雅', '金智秀', '宋昰昀', '尹敬浩', '智友']",['完美的他人 완벽한타인'],"['剧情', '喜剧']",['7.4'],['11805'],[' 韩语']
5,[' 韩国'],['崔国熙'],['2018'],['114'],"['金惠秀', '刘亚仁', '许峻豪', '赵宇镇', '文森特·卡索']",['国家破产之日 국가부도의 날'],['剧情'],['7.5'],['22712'],[' 韩语']
3,[' 韩国'],['金容华'],['2018'],['142'],"['河正宇', '朱智勋', '马东锡', '金香起', '李政宰', '赵汉哲', '金明坤 ', '金东旭', '郑惟安', '都暻秀']",['与神同行2：因与缘 신과함께-인과 연'],"['动作', '奇幻']",['7.5'],['59050'],[' 韩语']
0,[' 韩国'],['李沧东'],['2018'],['148'],"['刘亚仁', '史蒂文·元', '全钟瑞', '金秀京', '崔承浩', '玉子妍']",['燃烧 버닝'],"['剧情', '悬疑']",['7.9'],['154403'],[' 韩语']
6,[' 韩国'],['姜炯哲'],['2018'],['133'],"['都暻秀', '朴慧秀', '吴政世', '金民浩', '朴真珠', '白仁权', '杰瑞德·格里姆斯', '罗斯·凯特尔']",['摇摆狂潮 스윙키즈'],"['剧情', '歌舞', '战争']",['8.2'],['25198'],[' 韩语']
7,[' 韩国'],['李章焄'],['2018'],['132'],"['苏志燮', '孙艺珍', '金智焕', '金贤秀', '李有镇', '高昌锡', '李俊赫', '孙云恩', '裴侑蓝']",['现在去见你 지금 만나러 갑니다'],"['剧情', '爱情', '奇幻']",['8.2'],['55326'],[' 韩语']
2,[' 韩国'],['尹钟彬'],['2018'],['137'],"['黄政民', '李星民', '赵震雄', '朱智勋']",['特工 공작'],['剧情'],['8.5'],['80696'],[' 韩语 / 汉语普通话 / 日语']
