地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 中国大陆'],['文牧野'],['117'],"['07', '06']","['徐峥', '王传君', '周一围', '谭卓', '章宇', '杨新鸣', '王佳佳', '王砚辉', '贾晨飞', '龚蓓苾', '宁浩', '李乃文', '岳小军', '苇青', '富冠铭', '巴拉特·巴蒂', '喜利图', '张海艳', '朱耕佑']",['我不是药神'],"['剧情', '喜剧']",['9.0'],['1138892'],[' 汉语普通话 / 英语 / 上海话 / 印地语']
[' 中国大陆'],['滕俊杰'],['121'],"['08', '06']","['尚长荣', '言兴朋']",['曹操与杨修'],['戏曲'],['8.6'],['500'],[' 汉语普通话']
[' 中国大陆 / 香港'],['林超贤'],['138'],['02'],"['张译', '黄景瑜', '海清', '杜江', '蒋璐霞', '尹昉', '王强', '郭家豪', '王雨甜', '麦亨利', '张涵予', '王彦霖']",['红海行动'],"['动作', '战争']",['8.3'],['672134'],[' 汉语普通话 / 阿拉伯语 / 英语 / 索马里语 / 粤语']
[' 中国大陆'],[],[],['12'],"['周华健', '蔡依林', '朴树', '张靓颖', '汪苏泷', '李荣浩', '李宇春', '邓紫棋', '毛不易', '刘维', '李艺彤', '薛之谦', '陈伟霆', '蔡卓妍', '钟欣潼', '张杰', '刘宇宁', '蔡一智', '蔡一杰', '苏志威', '林志玲', '林俊杰', '李响', '张纯烨', '李好']",['2019江苏卫视跨年演唱会'],"['音乐', '歌舞']",['8.3'],['561'],[' 汉语普通话']
[' 中国大陆'],"['潘礼平', '奉万里', '胡昀皓', '陈功']",[],['05'],"['祁晟原', '刘戴恩', '释小松', '陈荣达', '余亚颖', '杨知周', '葛奕德', '刘紫璇', '周冉', '开新傲', '李俊豪', '程子阳', '万子晴', '陈禹衡', '姜巧慧', '罗熙怡', '蔡嘉诚', '魏雨祺', '高一杰', '戴豪键', '汤子豪', '喻峰', '张伊凡', '徐雨旋', '李冰城', '杨梦瑶', '周依萱', '吴爽', '叶思文', '徐佳蕊', '林立涵', '卢亦豪', '黄涵雨', '张允钊', '高锡华', '齐森昊', '欧家杜', '郑树森', '黄敬棋', '姜米珈', '赵紫彤', '林宜婧']",['小戏骨：包青天之秦香莲与陈世美'],"['剧情', '悬疑', '儿童', '历史', '古装']",['8.2'],['607'],[' 汉语普通话']
[' 美国 / 中国大陆 / 法国 / 挪威'],['克里斯托弗·麦奎里'],['147'],"['08', '07']","['汤姆·克鲁斯', '亨利·卡维尔', '文·瑞姆斯', '西蒙·佩吉', '丽贝卡·弗格森', '西恩·哈里斯', '安吉拉·贝塞特', '凡妮莎·柯比', '米歇尔·莫纳汉', '韦斯·本特利', '费雷德里克·施密特', '亚历克·鲍德温', '杨亮', '克里斯托弗·约纳尔', '沃尔夫·布利策', '拉斐尔·琼勒', '安德鲁·卡扎纳夫·平', '克里斯多夫·德·舒瓦西', '拉裴尔·德普雷', '让·巴普蒂斯特·菲永', '马克斯·盖勒', '奥利维尔·体班德', '亚历山大·普尔', '阿利克斯·贝纳泽什', '乔伊·安沙', '维利贝·托皮奇', '格雷厄姆·福克斯', '卡斯珀·菲利普森', '菲恩·乔利', '鲁斯·贝恩', '奈杰尔·艾伦']",['碟中谍6：全面瓦解 Mission: Impossible - Fallout'],"['动作', '惊悚', '冒险']",['8.1'],['383874'],[' 英语 / 法语']
[' 中国大陆'],['饶晓志'],['108'],['11'],"['陈建斌', '任素汐', '潘斌龙', '章宇', '王砚辉', '九孔', '马吟吟', '程怡', '宁桓宇', '邓恩熙', '谢波', '范翔', '赵梓冲', '史策', '马睿瀚', '林海', '邓钢']",['无名之辈'],"['剧情', '喜剧']",['8.1'],['656432'],[' 汉语普通话 / 贵州话']
[' 中国大陆 / 香港'],['庄文强'],['130'],"['09', '10']","['周润发', '郭富城', '张静初', '冯文娟', '廖启智', '周家怡', '王耀庆', '方中信', '高捷', '邢佳栋', '张松枝', '张建声', '吴嘉龙', '孙佳君']",['无双 無雙'],"['剧情', '动作', '悬疑', '犯罪']",['8.1'],['608284'],[' 汉语普通话 / 粤语 / 英语 / 泰语 / 波兰语']
[' 中国大陆'],['大鹏'],['48'],['11'],['刘陆'],['吉祥'],['剧情'],['8.0'],['349'],[' 汉语普通话']
[' 中国大陆'],['胡波'],['234'],['02'],"['彭昱畅', '章宇', '王玉雯', '李从喜', '董向荣', '王柠', '赵燕国彰', '朱颜曼滋', '凌正辉', '王超北', '王雪洋']",['大象席地而坐'],['剧情'],['8.0'],['78650'],[' 汉语普通话']
[' 中国大陆'],['金承仁'],['37'],['05'],"['陈张太康', '佟心竹', '李兰陵', '沈念如', '阎么么', '刘明月', '瞳音', '黎筱濛', '常荣珊', '闫夜桥', '叶知秋', '小连杀']",['我是江小白 剧场版'],"['爱情', '动画']",['7.9'],['1023'],[' 汉语普通话']
[' 中国大陆'],['小野败仔'],['13'],['04'],"['于越', '森中人', '冷泉夜月']",['切尔诺贝利之春 Un printemps à Tchernobyl'],"['剧情', '动画', '历史', '灾难']",['7.9'],['2090'],[' 汉语普通话']
[' 中国大陆'],[],['300'],['02'],"['郭德纲', '于谦', '高峰', '岳云鹏', '孙越', '张云雷', '阎鹤祥', '郭麒麟', '张鹤伦', '朱云峰', '孟鹤堂', '栾云平', '李云天', '王昊悦', '王少立', '朱鹤松', '陶云圣', '李云杰', '冯照洋', '曹鹤阳']",['德云社丁酉年封箱庆典2018'],[],['7.8'],['506'],[' 汉语普通话']
[' 中国大陆'],['白雪'],['99'],['09'],"['黄尧', '孙阳', '汤加文', '倪虹洁', '江美仪', '廖启智', '焦刚']",['过春天'],['剧情'],['7.8'],['124466'],[' 汉语普通话 / 粤语']
[' 中国大陆'],['王丽娜'],['90'],['10'],"['艾萨·亚森', '凯丽比努尔·热合米图力', '艾力乃孜·热合米图力', '穆萨·亚森', '亚森·卡斯木', '乌古来木·苏吾尔', '塔杰古丽·海麦尔', '热合米图力·克然木', '克然木·喀斯木']",['第一次的离别'],['儿童'],['7.7'],['297'],[' 维吾尔语']
[' 中国大陆'],['孙海鹏'],['98'],['08'],"['杨光普照', '孟宇', '张喆', '郭政建']",['美食大冒险之英雄烩'],"['动作', '动画', '冒险']",['7.7'],['1889'],[' 汉语普通话']
[' 中国大陆'],['王丽娜'],['90'],['10'],"['艾萨·亚森', '凯丽比努尔·热合米图力', '艾力乃孜·热合米图力', '穆萨·亚森', '亚森·卡斯木', '乌古来木·苏吾尔', '塔杰古丽·海麦尔', '热合米图力·克然木', '克然木·喀斯木']",['第一次的离别'],['儿童'],['7.7'],['297'],[' 维吾尔语']
