地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 冰岛 / 法国 / 乌克兰'],['本尼迪克·埃灵格松'],['101'],"['05', '05']","['哈多拉·吉尔哈罗多蒂', '约翰·西格罗森', '胡安·卡米洛·罗曼·埃斯特拉达', '乔伦德尔·拉格纳松', '苏威·阿纳斯多特', '贡纳·贝西·比昂森', '海尔加·布拉加·乔斯提尔', '夏洛特·博芬', '乔·加纳尔', '赫米尔·希尼·古纳森', '哈拉迪尔·阿里·斯特凡松']",['战中女人 Kona fer í stríð'],"['剧情', '喜剧']",['7.3'],['946'],[' 冰岛语']
[' 乌克兰 / 德国'],['罗曼·邦达尔丘克'],['104'],['07'],"['谢尔·希斯蒂潘斯基', '维克多·日丹诺夫', '克里斯提纳·德迪拉克']",['火山 Vulkan'],"['剧情', '喜剧']",['7.3'],['87'],[' 乌克兰语']
[' 德国 / 乌克兰 / 法国 / 荷兰 / 罗马尼亚'],['谢尔盖·洛兹尼察'],['121'],"['05', '08', '09']","['瓦列留·安德留察', '鲍里斯·卡莫尔津', '谢尔盖·科列索夫', 'Georgiy Deliev', '谢尔盖·罗斯林', 'Alexander Zamuraev', 'Konstantin Itunin', 'Irina Plesnyayeva', 'Vadim Dubovsky', 'Svetlana Kolesova', 'Evgeny Chistyakov']",['顿巴斯 Донбас'],['剧情'],['6.3'],['93'],[' 乌克兰语 / 俄语']
[' 乌克兰'],['奥列格·马拉姆兹'],['91'],['03'],"['娜迪亚·多洛菲娃', '阿勒克西·扎夫戈罗德尼', '耶文·马鲁卡', '谢尔盖·普里特拉', '尤里·霍尔布诺夫', '奥列格·米哈伊鲁塔', '米科拉·博克兰', '玛丽亚·弗罗西尼纳', '奥列格·沃洛申科', '罗曼·卢茨基', '杰森·格里菲斯', '萨马拉·娜耶姆', '艾莉森·雷·罗森菲尔德', '比伊·鲍勃·汤普森', '戴维·威尔斯']",['森林奇缘 Викрадена принцеса: Руслан i Людмила'],"['喜剧', '动画', '奇幻']",['5.6'],['801'],[' 乌克兰语']
[' 乌克兰'],['Igor Parfenov'],[],['12'],[],['Крымская История Х'],[],[''],[],[]
[' 乌克兰 / 拉脱维亚'],['Andrejs Ekis'],[],[],[],['Свiнгери'],[],[''],[],[]
[' 乌克兰'],['Katerina Balabay'],[],[],[],['Mnema'],[],[''],[],[]
[' 乌克兰 / 瑞士'],['Yaroslav Lodygin'],['118'],[],"['Oleg Moskalenko', 'Vladimir Yamnenko']",['The Wild Fields'],['剧情'],[''],[],[' 乌克兰语 / 俄语']
[' 乌克兰'],['Simon Mozgovyi'],['75'],[],[],['Istoriya Zymovoho sadu'],[],[''],[],[' 乌克兰语 / 俄语']
[' 乌克兰'],['Igor Parfenov'],[],[],['Igor Parfenov'],['Изгой'],[],[''],[],[]
[' 乌克兰 / 保加利亚'],['Kostadin Bonev'],[],[],[],['Далеч от брега'],[],[''],[],[]
[' 印度/乌克兰'],['Dar Gai'],['84'],[],"['Namdev Gurav', 'Aarya Dave', 'Zoya Hussain']",['寻静之旅 Namdev Bhau'],[],[''],[],[]
[' 法国 / 乌克兰 / 立陶宛 / 匈牙利'],['克日什托夫·扎努西'],['118'],['09'],"['Jacek Poniedzialek', '若尔特·拉斯洛', '安杰列·查拉']",['魔鬼怪医 Eter'],"['剧情', '惊悚', '历史']",[''],[],[' 波兰语 / 乌克兰语 / 俄语']
[' 乌克兰'],['Zaza Buadze'],['113'],['10'],"['Oleg Shulga', 'Yulia Chepurko', 'Sergey Lefor', 'Oleg Oneshchak', 'Mikhail Ozerov', 'Marta Papich', 'Vladimir Romanko']",['呼叫班德拉斯 Позивний «Бандерас»'],"['剧情', '惊悚', '战争']",[''],[],[' 乌克兰语 / 俄语']
[' 乌克兰'],['Maryna Roshchyna'],[],['09'],[],"['乐在其中 В радостi, i тiльки в радостi']",[],[''],[],[]
[' 乌克兰 / 波兰 / 马其顿'],['Marysia Nikitiuk'],[],['02'],"['Alla Samoilenko', 'Maksym Samchik', 'Anastasiia Pustovit']",['当树倒下 Koly padayut dereva'],[],[''],[],[]
[' 乌克兰 / 俄罗斯 / 荷兰 / 德国 / 瑞典'],['Ilya Khrjanovsky'],['180'],['04'],"['Teodor Kurentzis', 'Radmila Schiogoleva']",['列夫·朗道 Дау'],"['剧情', '传记', '历史']",[''],[],[' 俄语']
[' 乌克兰'],['Max Ksjonda'],['90'],[],[],['坦克 Tank'],"['剧情', '儿童']",[''],[],[' 乌克兰语']
