地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 以色列 / 美国'],['阿里尔·弗罗门'],['114'],['09'],"['汉娜·韦尔', '托比·凯贝尔', '马尔万·肯扎里', '萨皮尔·阿苏拉', '麦莎·阿德哈迪', '瓦利德·祖伊特', '塞森·加布埃', '萨西·阿莱维', '盖伊·阿德勒', '奥利·普费弗', '贝恩·科拉科', '马里·利维', '苏莱曼·达兹', '穆尼尔·马戈姆', '阿塔纳斯·斯雷布雷夫', '卡尔·法雷尔', '巴沙尔·拉海尔', '迈克尔·查普曼', '奈尔·马利克·阿卜杜拉', '加里·基利']",['天使降临 The Angel'],"['剧情', '惊悚']",['6.8'],['335'],[' 意大利语 / 英语 / 阿拉伯语 / 希伯来语']
[' 以色列'],"['Amikam Kovner', 'Assaf Snir']",['98'],[],"['雅艾尔·阿贝卡西斯', '古里·阿尔菲', '伊兰尼特·本雅克夫', 'Samuel Calderon']",['回声 Hed'],['剧情'],[''],[],[' 希伯来语']
[' 以色列'],['Roman Shumunov'],['87'],[],"['Vlad Dubinsky', 'Renat Khassanov', 'Eduard Khmelnitsky']",['Kan VeAchshav'],['剧情'],[''],[],[' 希伯来语']
[' 以色列'],['Joe El Dror'],[],[],"['Dana Meinrath', 'Udi Rothchild', 'Danny Isserles', 'Danielle Jadelyn', 'Yaron Brovinsky', 'Ilan Hazan', 'Myrav Osofsky', 'Neta Bar Refael', ""Sasi Sa'ad"", 'Sasi Samucha']",['No Blood'],['剧情'],[''],[],[' 希伯来语']
[' 以色列'],[],[],[],[],['The Confrontation'],[],[''],[],[]
[' 以色列'],"['约阿夫·阿拉兹', '阿米特·鲁德曼']",['80'],[],"['阿亚拉·斯瓦坦', '陈·吉瓦蒂', '玛雅·西姆奇', 'Reshef Sefer', 'Sarah Chaplin']",['格沃罗 G&#39;vurot'],"['剧情', '战争']",[''],[],[' 希伯来语']
[' 以色列'],"['塔尔·格兰尼特', '沙龙·迈蒙']",['97'],['09'],"['Stav Strashko', 'Assi Levy', 'Netsanet Mekonen', 'Noam Lugasy']",['哈尼舍夫 Haneshef'],[],[''],[],[' 希伯来语']
[' 以色列'],[],[],[],[],['Elevator'],[],[''],[],[]
[' 以色列'],"['IMRI MATALON', 'AVIAD GIVON']",['104'],[],['SHIRA HASS'],['MAROT SHBOROT'],[],[''],[],[' 希伯来语']
[' 以色列'],['Asaf Saban'],['80'],['05'],[],['Bayit Bagalil'],['剧情'],[''],[],[' 希伯来语']
[' 以色列'],"['Yossi Madmoni', 'Boaz Yehonatan Yaacov']",['104'],['09'],"['Sendi Bar', 'Shahar Even-Tzur', '摩西·福肯弗里克', 'Yonatan Galila', 'Emily Granin', 'Sivan Shtivi', 'Adva Shoua Yeoshoua']",['拯救 Geula'],['剧情'],[''],[],[' 希伯来语']
[' 以色列 / 法国 / 德国'],['Ram Nehari'],['87'],['11'],"['Nitai Gvirtz', 'Moon Shavit', 'Eilam Wolman', '罗娜·丽帕兹-迈克尔', 'Lev Keret', 'Tal Berkovich', 'Carmel Beto', 'Tom Yaar', 'Bar Belfer']",['勿忘我 אל תשכחי אותי'],['爱情'],[''],[],[' 希伯来语 / 荷兰语']
[' 以色列'],['Ramy Katz'],[],[],[],['סיבת המוות'],[],[''],[],[' 希伯來語 / 阿拉伯語']
[' 以色列'],['Jacob Goldwasser'],['98'],[],"['多瓦勒·格利克曼', 'Evelin Hagoel', 'Nevo Kimchi', 'Yafit Asulin', 'Dror Keren']",['蕾丝边 Laces'],[],[''],[],[' 希伯来语']
[' 以色列 / 日本'],['Ran Slavin'],['83'],[],"['Mami Shimazaki', '耶海兹拉扎诺夫']",['梦的募集 Call for Dreams'],['剧情'],[''],[],[' 日语 / 英语 / 希伯来语']
[' 以色列 / 德国'],['亚龙·沙尼'],['90'],['08'],"['Ori Shani', 'Bar Gottfried', 'Lea Tonic', 'Stav Almagor', 'Eran Naim']",['眼中明珠 עיניים שלי'],['剧情'],[''],[],[' 希伯来语']
[' 以色列 / 德国 / 法国 / 埃塞俄比亚'],['Alamork Davidian'],['93'],[],"['Betalehem Asmamawe', 'Weyenshiet Belachew', 'Mareta Getachew', 'Rodas Gizaw', 'Mitiku Haylu']",['Fig Tree'],[],[''],[],[' 阿姆哈拉语']
[' 以色列'],"['Aviad Givon', 'Imri Matalon']",['104'],['08'],"['希拉·哈斯', '伊弗塔赫·克莱恩', 'Renana Raz', 'Yoav Rotman', 'Liora Rivlin']",['Broken Mirrors'],"['剧情', '家庭']",[''],[],[' 希伯来语']
[' 以色列'],['Tsivia Barkai'],['90'],['02'],"['Avigail Kovari', 'Moran Rosenblatt', 'Gal Toren']",['红牝 Para Aduma'],['剧情'],[''],[],[' 希伯来语']
[' 以色列 / 法国'],['阿莫斯·吉泰'],['94'],['09'],"['马修·阿马立克', '雅艾尔·阿贝卡西斯', '拉米斯·阿马尔', '李伦·勒夫', 'Pippo Delbono', 'Hana Laslo']",['耶路撒冷有轨电车 A Tramway In Jerusalem'],['剧情'],[''],[],[' 希伯来语 / 阿拉伯语 / 法语 / 意大利语 / 意第绪语 / 德语']
[' 以色列'],['Eliran Malka'],['92'],['07'],"['Shuli Rand', 'Yaacov Cohen']",['非正统之路 הבלתי רשמיים'],['剧情'],[''],[],[' 希伯来语']
[' 卢森堡 / 比利时 / 以色列 / 法国'],['萨梅赫·祖比'],['97'],['09'],"['卡伊斯·纳塞夫', '卢巴纳·阿兹巴尔', 'Yaniv Biton', '麦莎·阿德哈迪', 'Nadim Sawalha', '萨利姆道', '约塞夫·斯威德', 'Amer Hlehel', '拉蒂·蒂亚', 'Ashraf Farah']",['特拉维夫在燃烧 Tel Aviv on Fire'],['喜剧'],[''],[],[' 阿拉伯语 / 希伯来语']
[' 卢森堡 / 比利时 / 以色列 / 法国'],['萨梅赫·祖比'],['97'],['09'],"['卡伊斯·纳塞夫', '卢巴纳·阿兹巴尔', 'Yaniv Biton', '麦莎·阿德哈迪', 'Nadim Sawalha', '萨利姆道', '约塞夫·斯威德', 'Amer Hlehel', '拉蒂·蒂亚', 'Ashraf Farah']",['特拉维夫在燃烧 Tel Aviv on Fire'],['喜剧'],[''],[],[' 阿拉伯语 / 希伯来语']
[' 以色列'],['Marco Carmel'],['100'],[],"['阿隆·阿布布尔', 'Moris Cohen', 'Liat Ekta', '希拉·哈斯', 'Ori Pfeffe', 'Yaakov Zada Daniel']",['佩雷阿齐尔 Pere Atzil'],[],[''],[],[' 希伯来语']
