地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 伊朗 / 英国 / 荷兰'],['阿里·贾比尔安萨里'],['102'],['10'],"['弗鲁格·凯哲贝格里', 'Mehdi Saki', 'Amir Hessam Bakhtiari', '贝纳兹·贾法里']",['德黑兰：爱之城 Tehran: City of Love'],['剧情'],['7.5'],['123'],[' 波斯语']
[' 美国 / 法国 / 伊朗'],['奥逊·威尔斯'],['122'],"['08', '11']","['约翰·休斯顿', '彼得·博格丹诺维奇', '苏珊·斯塔丝伯格', '奥雅·柯达', '莉莉·帕尔默', '艾德蒙·奥布莱恩', '梅赛德丝·麦坎布雷奇', '卡梅隆·米切尔', '皮特·杰森', '丹尼斯·霍珀', '本尼·鲁宾', '克洛德·夏布洛尔', '斯特凡·奥德朗', '亨利·雅格洛', '保罗·马祖斯基']",['风的另一边 The Other Side of the Wind'],['剧情'],['7.3'],['937'],[' 英语']
[' 伊朗'],['Pooya Badkoobeh'],['92'],['02'],"['内嘉尔·莫加达姆', '雅思那·米塔马斯', '阿里·莫沙法', 'Shabnam Moghadami', 'Alireza Sani Far', 'Alireza Aghakhani', 'Jalal Fatemi', 'Siamak Adib', 'Houshang Tavakoli', 'Behafarid Ghafarian', 'Lotfollah Seifi', 'Baset Rezaei', 'Shayan Fasihzadeh', 'Rambod Motalebi']",['盛装舞步 Dressage'],"['剧情', '惊悚']",['6.7'],['94'],[' 波斯语']
[' 伊朗'],['拉马丁·拉瓦菲浦'],['92'],['06'],[],['帽子戏法 Hattrick'],['剧情'],['6.6'],['107'],[' 波斯语']
[' 伊朗'],['贾法·帕纳西'],['100'],['05'],"['贝纳兹·贾法里', '贾法·帕纳西']",['三张面孔 سه چهره'],['剧情'],['6.5'],['1038'],[' 波斯语 / 阿塞拜疆语 / 土耳其语']
[' 伊朗'],['Alireza Motamedi'],[],['04'],"['Alireza Motamedi', 'Sahar Dolatshahi', 'Solmaz Ghani', 'Reza Davoudnejad', 'Setareh Pesyani']",['离婚了还来找我 Reza'],"['剧情', '爱情']",['5.9'],['78'],[' 波斯语']
[' 伊朗'],['Mohammad Ali Bashe Ahangar'],[],['02'],"['Babak Hamidian', 'Masoud Rayegany', '利萨·贝赫布迪', '米娜·沙达蒂', '胡马云·埃沙迪', 'Mahtab Nasirpour', 'Homan Bargh Navard', 'Setareh Eskandari', 'Shahram Haghighat Doost', 'Hossein Ahangar', 'Farrokh Nemati', 'Hadi Ghomeishi', 'Siavash Cheraghi Pour', 'Hasan Najarian', 'Hossein Fallah']",['水下雪松 سرو زیر آب'],"['剧情', '战争']",[''],[],[' 波斯语']
[' 伊朗'],['Behzad Khodaveisi'],['82'],[],[],['Dokhtaran Zemestan'],['剧情'],[''],[],[' 波斯语']
[' 伊朗'],['Kamal Tabrizi'],['90'],[],"['哈穆德·贝哈德', 'Vishka Asayesh', 'Azadeh Samadi']",['诈骗 Sly'],"['剧情', '喜剧']",[''],[],[' 波斯语']
[' 伊朗'],['巴曼·法玛纳拉'],['127'],[],"['巴曼·法玛纳拉', '蕾拉·哈塔米', '法特梅赫·莫塔梅德-阿尔娅', 'Saber Abar', 'Ali Nassirian', 'Roya Nonahali', '阿里·莫沙法']",['Hekayat-e Darya'],['剧情'],[''],[],[]
[' 伊朗'],[],['8'],[],[],['Tulsa'],[],[''],[],[]
