地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 美国 / 俄罗斯'],['阿尼什·查甘蒂'],['102'],"['12', '01', '08']","['约翰·赵', '米切尔·拉', '黛博拉·梅辛', '约瑟夫·李', '萨拉·米博·孙', '亚历克丝·杰恩·高', '刘玥辰', '刘卡雅', '多米尼克·霍夫曼', '西尔维亚·米纳西安', '梅丽莎·迪斯尼', '康纳·麦克雷斯', '科林·伍德尔', '约瑟夫·约翰·谢尔勒', '阿什丽·艾德纳', '考特尼·劳伦·卡明斯', '托马斯·巴布萨卡', '朱莉·内桑森', '罗伊·阿布拉姆森', '盖奇·比尔托福', '肖恩·奥布赖恩', '瑞克·萨拉比亚', '布拉德·阿布瑞尔', '加布里埃尔·D·安吉尔']",['网络谜踪 Searching'],"['剧情', '悬疑', '惊悚', '犯罪']",['8.6'],['285614'],[' 英语']
[' 俄罗斯'],['Igor Marchenko'],[],"['01(俄罗斯)"">2018']","['伊格·克里普诺夫', 'Svetlana Levicheva', 'Maxim Lagashkin']",['手 РУКА'],['剧情'],['8.4'],['155'],[' 俄语']
[' 美国 / 英国 / 塞浦路斯 / 俄罗斯'],['提莫·贝克曼贝托夫'],['105'],['02'],"['瓦伦·凯恩', '沙扎德·拉蒂夫', '克里斯蒂尼·亚当斯', '摩根·华金斯', 'Emma Cater', 'Louis Martin', 'Amir Rahimzadeh']",['网诱惊魂 Profile'],"['剧情', '惊悚']",['8.1'],['176'],[' 英语']
[' 俄罗斯'],['基里尔·谢列布连尼科夫'],['126'],"['05', '06']","['刘太旿', '伊琳娜·斯达申鲍姆', '罗曼·比利克', '菲利普·阿杰耶夫', '亚历山大·戈尔奇林', '尼基塔·叶甫列莫夫', '尤利娅·奥格', '叶莲娜·科连诺娃', '莉亚·阿赫扎科娃', '安东·阿达辛斯基']",['盛夏 Лето'],"['音乐', '传记']",['7.8'],['6287'],[' 俄语']
[' 俄罗斯'],['阿列克赛·西多洛夫'],['139'],['12'],"['亚历山大·佩特罗夫', '文森兹·凯弗', '维克多·多勃朗拉沃夫', '伊琳娜·斯达申鲍姆', '谢苗·特列斯库诺夫', '尤利斯·鲍里索夫', '阿尔焦姆·贝斯特罗夫', '约书亚·格罗斯', '伊格·克里普诺夫', '彼得·斯科沃尔佐夫']",['T-34坦克 T-34'],"['动作', '历史', '战争']",['7.6'],['8895'],[' 俄语']
[' 俄罗斯 / 德国 / 波兰 / 哈萨克斯坦 / 中国大陆 / 法国'],['谢尔盖·德瓦茨沃伊'],['100'],['05'],"['萨梅尔·叶斯利亚莫娃', 'Zhipargul Abdilaeva', 'David Alaverdyan', 'Sergey Mazur', 'Slava Agashkin', 'Ashkat Kuchinchirekov']",['小家伙 Айка'],['剧情'],['7.6'],['1196'],[' 俄语 / 吉尔吉斯语']
[' 俄罗斯'],['丹尼拉·科兹洛夫斯基'],['137'],"['06', '04']","['丹尼拉·科兹洛夫斯基', '伊琳娜·戈尔巴乔娃', '安德烈·斯莫利亚科夫', '奥莉亚·祖耶娃', '弗拉基米尔·伊利因', '维伦·巴比切夫', '维克多·维尔比斯基', '维塔利亚·安德烈夫']",['最后一球 Тренер'],"['剧情', '运动']",['7.5'],['5874'],[' 俄语']
[' 俄罗斯'],['阿列克谢·费多尔琴科'],['74'],['01'],['Marta Kozlova'],['安娜的战争 Война Анны'],"['剧情', '战争']",['7.5'],['85'],[' 波兰语']
[' 俄罗斯'],['斯坦尼斯拉夫·索科洛夫'],['73'],['06'],"['Natalya Fisson', 'Vladimir Koshevoy', 'Slawa Polunin']",['霍夫曼奇遇记 Гофманиада'],"['动画', '传记']",['7.5'],['99'],[' 俄语']
[' 白俄罗斯 / 美国 / 德国 / 俄罗斯'],['Darya Zhuk'],['95'],"['07', '08']","['尤利斯·鲍里索夫', 'Alina Nasibullina', 'Ivan Mulin', 'Anastasia Garvey', 'Natalya Onishenko', 'Ilya Kapanets', 'Svetlana Anikey', 'Lyudmila Razumova', 'Vyacheslav Shakalido']",['水晶天鹅 Хрусталь'],['剧情'],['7.2'],['117'],[' 俄语 / 英语']
