地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 土耳其 / 马其顿 / 法国 / 德国 / 波黑 / 保加利亚 / 瑞典'],['努里·比格·锡兰'],['188'],"['05', '06']","['岛吾·德米尔考', '穆拉特·杰姆吉尔', '本努·耶勒德热姆拉尔', '哈扎尔·埃尔居奇卢', '塞尔坎·凯斯金', '塔梅尔·莱文特', '厄内尔·埃尔坎', '里法特·桑贾尔', '阿克·阿克苏', '卡迪尔·瑟米克', '欧扎·费什特']",['野梨树 Ahlat Ağacı'],['剧情'],['8.1'],['8484'],[' 土耳其语']
[' 罗马尼亚 / 德国 / 保加利亚 / 法国 / 捷克'],['拉杜·裘德'],['140'],"['07', '09']","['Ioana Iacob', 'Alex Bogdan', '亚历山德鲁·达比加']",['野名留史又如何 „Îmi este indiferent dacă în istorie vom intra ca barbari”'],['剧情'],['7.6'],['80'],[' 罗马尼亚语']
[' 罗马尼亚 / 德国 / 捷克 / 保加利亚 / 法国'],['阿迪娜·平蒂列'],['123'],['02'],"['劳拉·本森', '托马斯·勒马尔奎斯', '克里斯蒂安·巴耶林', '格雷特·乌尔勒曼', '阿迪娜·平蒂列', '汉娜·霍夫曼', '西尼·勒夫', '厄梅拉·琦琦库娃']",['不要碰我 Nu mă atinge-mă'],['剧情'],['6.6'],['1364'],[' 英语 / 德语']
[' 保加利亚'],['纳什泰德·柯西瓦'],['96'],['10'],"['玛蒂娜·阿波斯托洛娃', 'Hristo Ushev', 'Irini Jambonas', 'Kasiel Noah Asher', 'Alexander Kossev', 'Krassimir Dokov', '伊凡·萨沃夫']",['伊莉娜 ИРИНА'],['剧情'],[''],[],[' 保加利亚语']
[' 土耳其 / 保加利亚'],['马赫穆德·法吉尔·寇斯坎'],['95'],['09'],"['Ali Seçkiner Alici', 'Tarhan Karagöz', 'Murat Kiliç', 'Sencan Güleryüz', 'Erdem Senocak']",['通告 Anons'],"['喜剧', '历史']",[''],[],[' 土耳其语']
[' 保加利亚'],['Peter Popzlatev'],[],[],[],['Времето е наше'],[],[''],[],[]
[' 保加利亚'],['Stefani Doytchinova'],[],['10'],"['巴莱里·约尔丹诺夫', 'Ivaila Boiadjieva', 'Yosif Shamli']",['捉到你啦！ Gotcha！'],[],[''],[],[]
[' 保加利亚 / 德国 / 法国'],['米尔科·拉扎罗夫'],['96'],"['02', '10']","['Mikhail Aprosimov', 'Feodosia Ivanova', 'Galina Tikhonova', 'Sergey Egorov', 'Afanasiy Kylaev']",['阿加 Ága'],['剧情'],[''],[],[]
[' 保加利亚'],['瓦伦丁·高斯舍夫'],['84'],['03'],"['Alexandra Rasicheva', 'Dimitar Angelov', 'Rudy Evtimov', 'Nikola Dodov', 'Filip Trifonov', 'Gergana Kofradjieva', '米哈伊尔·穆塔福夫', '伊扎克·芬齐', 'David Denis Koval', 'Stefan Nikolov']",['小镇风云 Моторът'],"['剧情', '爱情']",[''],[],[' 保加利亚语']
[' 保加利亚'],['Borislav Mihailovski'],[],[],[],"['Обичам те, Бойдин']",[],[''],[],[]
[' 乌克兰 / 保加利亚'],['Kostadin Bonev'],[],[],[],['Далеч от брега'],[],[''],[],[]
[' 保加利亚'],['Dragomir Sholev'],[],[],[],['THE PIG'],['剧情'],[''],[],[]
[' 土耳其 / 德国 / 保加利亚'],['Ömür Atay'],['103'],[],[],['Kardeşler'],[],[''],[],[' 土耳其语']
