地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 台湾 / 荷兰 / 克罗地亚'],['王洪飞'],['100'],"['01', '04']","['王洪飞', '卢燕', '谢语恩', '严艺文']",['小玩意'],['剧情'],['6.2'],['66'],[' 汉语普通话 / 荷兰语 / 英语']
[' 芬兰 / 丹麦 / 克罗地亚'],['阿尔托·哈洛宁 Arto Halonen'],['102'],['03'],"['皮鲁·埃斯贝克', '乔什·卢卡斯', '赛伦·梅尔维尔', '帕梅拉·托拉', '拉德·舍博德兹加', 'Christopher Fulford', 'Johannes Lassen', '米科·诺西艾南', 'Sara Soulié', 'Rok Cvetkov']",['守护天使 The Guardian Angel'],['惊悚'],[''],[],[' 英语']
[' 克罗地亚'],['Arsen A. Ostojic'],[],['09'],[],['F20'],"['剧情', '惊悚', '恐怖']",[''],[],[' 克罗地亚语']
[' 克罗地亚'],['Ivan Salaj'],['139'],['01'],"['伊万·格里古力维奇', '马特·古林', '戈兰·纳沃耶克', '博兹达尔·斯密贾尼克', '菲利普·索瓦戈维奇', 'Frano Maskovic', 'Borko Peric', 'Nadia Cvitanovic', 'Spiro Guberina', 'Roni Lepej', 'Stojan Matavulj', 'Iva Mihalic']",['第八任长官 Osmi povjerenik'],"['剧情', '喜剧']",[''],[],[' 克罗地亚语']
[' 斯洛文尼亚 / 克罗地亚 / 塞尔维亚'],"['Miha Mazzini', '杜安·约西莫维奇']",['85'],[],"['Judita Frankovic', '塞巴斯蒂安·卡瓦扎', '伊兹丁·巴乔维奇', 'Doroteja Nadrah', 'Silva Cusin', 'Jernej Kogovsek', '马可·曼迪奇', 'Gregor Zorc', 'Jernej Sugman', 'Branko Zavrsan', 'Neda Bric', '芭芭拉 塞拉', 'Pia Zemljic']",['清除 Izbrisana'],['剧情'],[''],[],[' 斯洛文尼亚语']
[' 克罗地亚 / 塞尔维亚 / 黑山共和国'],['芭芭拉·维卡里奇'],[],[],"['Tihana Lazović', 'Goran Marković']",['葡园醇夏 Aleksi'],"['剧情', '喜剧', '爱情']",[''],[],[' 克罗地亚语 Croatian']
[' 意大利 / 克罗地亚'],['Leonardo Guerra Seràgnoli'],['80'],"['08(洛迦诺电影节)"">2018']","['安杰拉·丰塔纳', 'Denise Tantucci', 'Blu Yoshimi Di Martino', 'Goran Marković']",['成人仪式 Likemeback'],['剧情'],[''],[],[' 意大利语 / 英语 / 克罗地亚语']
[' 克罗地亚 / 波黑 / 塞尔维亚 / 荷兰'],['Bobo Jelčić'],[],[],"['Rakan Rushaidat', 'Miki Manojlović', 'Snježana Sinovčić Šiškov']",['独自一人 Sam samcat'],['剧情'],[''],[],[' 克罗地亚语']
[' 瑞典 / 奥地利 / 克罗地亚'],['贾斯珀·加斯兰特'],[],"['01', '04']","['贾斯珀·加斯兰特', 'Christopher Wagelin', 'Anna Littorin', 'Marita Fjeldheim Wierdal', 'Hunter Ganslandt', 'Karin Hennie', 'Ella Wagelin', 'Adela Wagelin']",['吉米 Jimmie'],['剧情'],[''],[],[' 瑞典语 / 德语 / 克罗地亚语']
[' 斯洛文尼亚 / 克罗地亚 / 意大利 / 挪威'],['Sonja Prosenc'],['105'],[],"['Doroteja Nadrah', 'Kristoffer Joner', 'Zita Fusco', 'Zoja Florjanc Lukan', 'Matija Vastl']",['爱的历史 Zgodovina ljubezni'],['剧情'],[''],[],[' 斯洛文尼亚语']
[' 克罗地亚'],['Antonio Nuić'],[],[],"['Živko Anočić', 'Iva Babić', 'Franjo Dijak']",['Mali'],['犯罪'],[''],[],[' 克罗地亚语']
[' 克罗地亚 / 拉脱维亚 / 立陶宛'],['吉德蕾·贝诺里奥'],['97'],['03'],"['Airida Gintautaite', 'Sigitas Sidlauskas', '古娜·扎丽娜', 'Joris Baltrunas', 'Kristupas Cicenas', 'Aldona Dausiene', 'Vilius Mincinauskas', 'Stepas Obolevicius', 'Jurate Onaitite', 'Inesa Paliutyte', 'Clotilde Rigaud', 'Aldona Vilutyte']",['大理石里呼吸 Kvėpavimas į marmurą'],['剧情'],[''],[],[' 立陶宛语']
[' 斯洛文尼亚 / 克罗地亚 / 塞尔维亚'],"['Miha Mazzini', '杜安·约西莫维奇']",['85'],[],"['Judita Frankovic', '塞巴斯蒂安·卡瓦扎', '伊兹丁·巴乔维奇', 'Doroteja Nadrah', 'Silva Cusin', 'Jernej Kogovsek', '马可·曼迪奇', 'Gregor Zorc', 'Jernej Sugman', 'Branko Zavrsan', 'Neda Bric', '芭芭拉 塞拉', 'Pia Zemljic']",['清除 Izbrisana'],['剧情'],[''],[],[' 斯洛文尼亚语']
[' 英国 / 克罗地亚 / 德国'],['Aurelio Toni Agliata'],[],[],"['科斯塔斯·曼迪勒', 'Fred Lobin', 'Jenny Paris', 'Maik van Epple', 'Vjekoslav Katusin', '汤姆·塞兹摩尔', 'Agnes Burger', 'Marisa Mattioli', 'Ahmet Oztürk', 'Imer Tairi']",['C.L.E.A.N.'],"['悬疑', '惊悚', '恐怖']",[''],[],[' 英语']
[' 克罗地亚 / 塞尔维亚'],['Dana Budisavljevic'],[],[],"['米尔亚娜·卡拉诺维奇', 'Alma Prica', '厄明·布拉沃', 'Igor Samobor']",['Dianina lista'],"['剧情', '战争']",[''],[],[' 克罗地亚语']
