地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 挪威 / 冰岛 / 美国'],['保罗·格林格拉斯'],['143'],"['09', '10']","['安德斯·丹尼尔森·李', '乔纳斯·斯特兰德·格利', '乔恩·奥伊登', '玛丽亚·波克', '托尔比约恩·哈尔', '乌里克·汉森·多维根', '托恩·丹尼尔森', '安尼克·冯·德·利佩', '拉尔斯·阿兰兹-汉森', '爱因德·伊恩沃德']",['挪威7·22爆炸枪击案 22 July'],"['剧情', '历史', '犯罪']",['7.5'],['6825'],[' 英语']
[' 冰岛 / 法国 / 乌克兰'],['本尼迪克·埃灵格松'],['101'],"['05', '05']","['哈多拉·吉尔哈罗多蒂', '约翰·西格罗森', '胡安·卡米洛·罗曼·埃斯特拉达', '乔伦德尔·拉格纳松', '苏威·阿纳斯多特', '贡纳·贝西·比昂森', '海尔加·布拉加·乔斯提尔', '夏洛特·博芬', '乔·加纳尔', '赫米尔·希尼·古纳森', '哈拉迪尔·阿里·斯特凡松']",['战中女人 Kona fer í stríð'],"['剧情', '喜剧']",['7.3'],['946'],[' 冰岛语']
[' 冰岛'],['乔·佩那'],['97'],['05'],"['麦斯·米科尔森', '玛丽亚·塞尔玛·玛拉多提尔']",['北极 Arctic'],"['剧情', '冒险']",['7.0'],['2829'],[' 英语 / 丹麦语']
[' 冰岛'],['Bragi Hinriksson'],['97'],['03'],"['约翰·G·约翰森', 'Baldur Björn Arnarsson', 'Viktor Benóný Benediktsson', 'Þórður Kalman Friðriksson', 'Óli Gunnar Gunnarsson', 'Egill Helgi Guðjónsson', 'Stefán Bogi Guðjónsson', 'Páll Steinar Guðnason', 'Gunnar Hansson', 'Arnar Harðarson', 'Sigurður Kári Harðarson', 'Ísey Heiðarsóttir', 'Katrín Ynja Hrafnkelsdóttir', 'Þórður Hólm Hálfdánarson']",['猎鹰队 Víti í Vestmannaeyjum'],"['剧情', '喜剧', '家庭', '运动']",[''],[],[' 冰岛语']
[' 冰岛 / 瑞典 / 比利时'],['Isold Uggadottir'],['95'],['01'],"['Bragi Arnason', 'Þorsteinn Bachmann', 'Sveinn Geirsson', 'Sólveig Guðmundsdóttir', 'Kristín Þóra Haraldsdóttir', 'Helga Vala Helgadóttir', '贡纳·永松', 'Aladin Laaguid', 'Patrik Nökkvi Pétursson', 'Babetida Sadjo', 'Guðbjörg Thoroddsen']",['呼吸正常 Andið eðlilega'],['剧情'],[''],[],[' 冰岛语 / 英语']
[' 冰岛 / 比利时'],"['Árni Ásgeirsson', 'Gunnar Karlsson']",['83'],['02'],"['Jamie Oram', 'Harriet Perring', 'Iain Stuart Robertson', 'Richard Cotton', 'Thorunn Erna Clausen', 'Thomas Arnold']",['天堂谷大冒险 PLOEY - You Never Fly Alone'],['动画'],[''],[],[' 英语 / 冰岛语']
[' 冰岛 / 芬兰 / 德国'],['Baldvin Zophoníasson'],['136'],"['09', '09']","['Björn Stefánsson', 'Atli Oskar Fjalarsson', 'Þorsteinn Bachmann', 'Sveinn Ólafur Gunnarsson', 'Haraldur Stefansson', 'Lára Jóhanna Jónsdóttir']",['让我降落 Lof mér að falla'],['犯罪'],[''],[],[' 冰岛语']
[' 西班牙 / 冰岛'],"['Richard García, Raúl Portero']",['70'],[],"['Fanny Gautier', 'David Krohnert', 'Nacho San José']",['冰之岛 Grimsey'],"['剧情', '同性']",[''],[],[' 西班牙语 / 英语 / 冰岛语']
[' 丹麦 / 冰岛'],['Martin Skovbjerg'],['93'],['11'],"['Natalia Reyes', 'Peder Thomas Pedersen', 'Patricia Schumann', 'Emma Sehested Høeg', 'Laufey Elíasdóttir']",['Brakland'],['剧情'],[''],[],[]
[' 冰岛 / 丹麦 / 瑞典'],['Börkur Sigþórsson'],['91'],['05'],"['Ingvar Sigurdsson', 'Marijana Jankovic', 'Anna Próchniak', 'Gísli Örn Garðarsson', 'Steinunn Ólína Þorsteinsdóttir', 'Baltasar Breki Samper', 'Kristín Þóra Haraldsdóttir']",['恶狼级 Vargur'],['惊悚'],[''],[],[' 冰岛语 / 波兰语 / 塞尔维亚语']
[' 冰岛'],['Lok Kwan Woo'],['84'],[],"['Eva Oskarsdottir', 'Jonathan Stoddard', 'Matt Munroe', 'Walker Mintz', 'Brad Banacka', 'Toni Hudson']",['Angels Never Cry'],['惊悚'],[''],[],[]
[' 冰岛 / 挪威 / 爱沙尼亚'],['Ari Alexander Ergis Magnússon'],[],[],"['Tómas Lemarquis', 'Atli Rafn Sigurðsson', 'Pääru Oja', 'Kaspar Velberg', 'Greete-Elena Priisalu']",['米克尔 Mihkel'],"['剧情', '传记', '犯罪']",[''],[],[' 英语 / 爱沙尼亚语 / 俄语 / 冰岛语']
[' 德国 / 冰岛 / 墨西哥 / 美国'],['Maria Solrun'],['72'],['02'],"['马格努斯·马里乌森', 'Ester Tompa', 'Floriane Daniel', 'Julia Kratz', 'Hans Brückner', 'Gabo Hoog', 'Matthias Renner']",['亚当 Adam'],['剧情'],[''],[],[' 德语 / 英语']
[' 冰岛'],['Katrín Ólafsdóttir'],[],[],[],['风继续吹 The Wind Blew On'],['西部'],[''],[],[' 英语']
[' 冰岛'],['Lovisa Lara'],[],[],"['Kolfinna Þorgrímsdóttir', 'Sonja Rut Valdin', 'Ársæll Rafn Erlingsson', 'Davið Laufdal Arnarsson', 'Lára Magnúsdóttir']",['Týndu Stelpurnar'],['剧情'],[''],[],[]
