地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 加拿大 Canada'],['Justin McConnell'],['84'],['12'],"['Lora Burke', '杰克福利', 'Elitsa Bako']",['命运改变者 Lifechanger'],"['惊悚', '恐怖']",['5.3'],['207'],[' 英语']
[' 美国 / 加拿大 Canada'],['Chris Le'],['90'],['02'],"['丹尼·特雷霍', '艾利克斯·哈特曼', 'Blake Webb', 'Amy Savannah', '布拉德·施密特', 'Flo Donelli', 'Adam Scorgie', 'Nathan Day', 'Marlon V. Gaines', 'Jay Whittaker']",['血战机械人 Juarez 2045'],"['动作', '科幻', '冒险']",['2.9'],['143'],[' 英语']
[' 加拿大 Canada'],"[""Sean Patrick O'Reilly""]",[],[],"[""Kiefer O'Reilly"", '马克·哈米尔', '克里斯托弗·普卢默']",['霍华德与疯狂王国 Howard Lovecraft and the Kingdom of Madness'],"['动画', '奇幻', '冒险']",[''],[],[]
[' 加拿大 Canada'],['Ara Ball'],['86'],[],"['Robert Naylor', 'France Castel', 'Patrice Robitaille']",['Quand l&#39;amour se creuse un trou'],[],[''],[],[' 英语 / 法语']
[' 加拿大 Canada'],['尼古拉斯·亨弗里斯'],['88'],[],"['伊万·瑞恩', 'Katelyn Mager']",['人鱼之歌 Mermaid&#39;s Song'],"['惊悚', '奇幻']",[''],[],[' 英语']
[' 加拿大 Canada'],['Jesse Zigelstein'],['82'],['11'],"['阿隆·艾布拉姆斯', '拉腊·珍·科洛斯特奇', 'Salvatore Antonio']",['Nose to Tail'],[],[''],[],[' 英语']
[' 加拿大 Canada'],['Marc Bisaillon'],[],['11'],"['Marceline St-Pierre Allaire', 'Sylvio Archambault', 'Zakary Auclair']",['L&#39;amour'],['剧情'],[''],[],[' 英语']
[' 加拿大 Canada'],['Lolade Leigh-Thompson'],['94'],['08'],"['Ally Williams', 'Robert Notman', 'Lolade Leigh-Thompson']",['傻瓜快回来 Get the Sucker Back'],"['喜剧', '爱情', '家庭']",[''],[],[' 英语']
[' 加拿大 Canada'],"['Vera Neverkevich Hill', 'Yana Kehrlein', 'Ben Stephenson']",['54'],['03'],"['Urgain Dorjay', 'Ben Stephenson', 'Amin Zanskari']",['Shangku Shelter'],[],[''],[],[' 英语']
[' 加拿大 Canada'],['杰里米·拉隆德'],['83'],['03'],"['阿隆·艾布拉姆斯', '汤米-安珀·皮里', '克里斯蒂安·布鲁恩']",['围攻者 The Go-Getters'],"['喜剧', '冒险']",[''],[],[' 英语']
