地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 古巴 / 加拿大'],"['罗德里戈·巴鲁索 ', '塞巴斯蒂安·巴鲁索']",['108'],['01'],"['罗德里戈·桑托罗', '马里塞尔·阿尔瓦雷斯', 'Milda Gecaite']",['翻译家 Un Traductor'],['剧情'],['7.7'],['218'],[' 俄语 / 西班牙语']
[' 英国 / 美国 / 加拿大'],['乔·拜尔德'],['97'],['10'],"['史蒂夫·库根', '约翰·C·赖利', '雪莉·亨德森', '妮娜·阿里安达', '丹尼·赫斯顿', '斯蒂芬妮·海姆', '萨西·凯恩', '鲁弗斯·琼斯', '宾利·卡鲁', '桑吉弗·科赫利', '丹尼尔·弗恩', '迈克尔·海登', '尼克·欧文福特', '哈里·赫普', '加里·基利', '莱蕾·迪克斯', '丽贝卡·埃莉斯·兰姆', '西蒙·阿格']",['斯坦和奥利 Stan &amp; Ollie'],"['剧情', '喜剧', '传记']",['7.3'],['1584'],[' 英语']
[' 加拿大'],['基思·贝尔曼'],['93'],['09'],"['玛丽亚·贝罗', '凯尔·麦克拉克伦', '泰勒·辛克森', '彼德·奥德博拉治', '达伦·曼恩', '乔什·维金斯', '妮娅姆·威尔逊', '基亚娜·马德拉', '奥利维亚·斯克里文', '卡尔森·迈克马克', '李康宁', '杰夫·克拉克', '海莉·基特尔', '史蒂芬·穆尔', '埃文·马什', '特洛伊·布德罗']",['小小巨人 Giant Little Ones'],"['剧情', '同性']",['7.3'],['1264'],[' 英语']
[' 美国 / 加拿大'],['保罗·费格'],['117'],['09'],"['安娜·肯德里克', '布蕾克·莱弗利', '亨利·戈尔丁', '伊恩·霍', '约书亚·萨坦', '格伦达·布拉甘扎', '安德鲁·兰内斯', '凯利·麦柯马克', '阿帕纳·纳彻', '达斯汀·米利甘', '丹妮尔·布尔贡', '吉亚·桑德赫', '鲁伯特·弗兰德', '诺林·古拉姆高斯', '巴希尔·萨拉赫丁', '梅洛迪·约翰逊', '麦丽莎·奥尼尔', '埃里克·约翰逊', '琳达·卡德里尼', '莎拉·贝克', '珍·斯马特', '莱斯勒·唐纳森', '克里斯·欧文斯', '罗莎娜·斯科托', '多梅尼克·塞纳', '辛迪·戴']",['一个小忙 A Simple Favor'],"['剧情', '悬疑', '犯罪']",['7.2'],['37779'],[' 英语']
[' 加拿大'],['阮金'],['111'],['09'],"['杰西·艾森伯格', '亚历山大·斯卡斯加德', '萨尔玛·海耶克', '迈克尔·曼多', '约翰·海尔登贝格', '阿伊莎·伊萨', '萨拉·古德伯格', '弗兰克·萧宾', '夸西·宋桂', '康拉德·皮拉', '朱利安·拜利', '卡内赫迪奥·霍恩', '泰勒·艾略特·伯克', '布朗温·曼特尔', '伊戈尔·奥瓦迪斯', '詹维姆维·米勒', '艾瑞卡·罗森鲍姆', '朱丽叶特·高斯林', '拉斐尔·格罗斯-哈维', '斯蒂芬妮·科斯塔', '卡尔·格拉戈萨斯', '梅兰莎·布莱克索恩']",['蜂鸟计划 The Hummingbird Project'],['剧情'],['7.2'],['1045'],[' 英语']
[' 美国 / 爱尔兰 / 法国 / 加拿大'],['Richard Lanni'],['84'],['04'],"['海伦娜·伯翰·卡特', '罗根·勒曼', '热拉尔·德帕迪约']",['斯塔比中士：一个美国英雄 Sgt. Stubby: An American Hero'],"['动画', '历史', '战争', '冒险']",['7.2'],['212'],[' 英语']
[' 墨西哥 / 加拿大'],['Andrea Bussmann'],['70'],['08'],"['Victor Pueyo', 'Fernando Renjifo', 'Ziad Chakaroun', 'Alberto Núñez', 'Gabino Rodríguez']",['浮士德 Fausto'],['剧情'],['7.1'],['59'],[' 西班牙语']
[' 加拿大 / 英国'],['泽维尔·多兰'],['127'],['09'],"['基特·哈灵顿', '雅各布·特伦布莱', '苏珊·萨兰登', '娜塔莉·波特曼', '凯西·贝茨', '本·施耐泽', '埃米丽·汉普希尔', '迈克尔·刚本', '坦迪·牛顿', '贝拉·索恩', '克里斯·泽尔卡', '莎拉·加顿', '杰瑞德·基苏', '阿里·米伦', '阿玛拉·卡兰']",['约翰·多诺万的死与生 The Death And Life of John F. Donovan'],['剧情'],['6.8'],['190'],[' 英语']
[' 加拿大 / 美国'],['S·克雷格·扎勒'],['159'],['09'],"['梅尔·吉布森', '詹妮弗·卡朋特', '文斯·沃恩', '劳瑞·侯登', '唐·约翰逊', '迈克尔·加·怀特', '托马斯·克莱舒曼', '乌多·基尔', '安德鲁·邓巴', '托利·基特尔斯', '弗雷德·迈拉麦德', '特雷佐·马霍洛', '迈尔斯·特鲁伊特', '詹·格里芬', '王卡帝', '克莱尔·菲利保', '维罗妮卡·伦敦', '大卫·昆兰', '保罗·罗吉克']",['逃出水泥地 Dragged Across Concrete'],"['剧情', '动作', '惊悚', '犯罪']",['6.7'],['2462'],[' 英语']
[' 法国 / 卢森堡 / 加拿大'],['Juan Antin'],['72'],['12'],"['Andrea Santamaria', 'India Coenen', 'Saïd Amadis', '玛丽-克莉丝汀·达哈', 'Vincent Ropion']",['大地母亲 Pachamama'],"['动画', '奇幻', '冒险']",['6.6'],['73'],[' 法语 / 英语']
[' 加拿大'],['拉法尔·索科洛夫斯基'],['90'],['07'],"['布莱恩·J·史密斯', '卡内赫迪奥·霍恩', '劳尔·特鲁希洛', '艾伦·阿什莫', '托姆·阿利森', '罗布·阿切尔', '肖恩·本森', '莎农·卡诺瓦斯', '艾丹·迪瓦恩', '杰克·富尔顿', '约翰·卡普洛斯']",['22号追击者 22 Chaser'],"['剧情', '动作']",['6.5'],['486'],[' 英语']
[' 美国 / 加拿大'],['朱利叶斯·艾弗里'],['110'],"['09', '11']","['约翰·艾德坡', '怀亚特·罗素', '马蒂尔德·奥利维耶', '皮鲁·埃斯贝克', '约翰·马加罗', '伊恩·德·卡斯泰克', '雅各布·安德森', '多米尼克·阿普尔怀特', '博基姆·伍德拜因', '恩里奇·雷德曼', '马克·麦克肯纳', '海莉·卡迈克尔', '米迦勒·埃普', '罗斯·汤姆林森', '本·特瓦索里', '安迪·韦勒姆', '帕特里克·布拉莫尔', '肖恩·狄克逊', '豪尔赫·莱昂·马丁内斯', '伊娃·马格亚']",['霸主 Overlord'],"['动作', '科幻', '恐怖', '战争']",['6.5'],['14004'],[' 英语 / 俄语 / 法语 / 德语']
[' 丹麦 / 加拿大 / 美国'],['皮尔·弗莱'],['108'],['01'],"['提奥·詹姆斯', '本·金斯利', '杰奎琳·比塞特', '罗西弗·萨瑟兰', '蕾切尔·威尔森', '布莱恩·马克金森', '贝尔奇姆·比尔金', '肖娜·麦克唐纳德', '艾丹·迪瓦恩', '扎希尔·吉拉尼']",['与人为恶 Backstabbing for Beginners'],['惊悚'],['6.5'],['598'],[' 英语']
