地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 南非 / 法国 / 希腊 / 波兰'],['艾蒂安·卡洛斯'],['106'],['05'],"['Danny Keogh', 'Benré Labuschagne', '亚历克斯·范·迪克', 'Juliana Venter', '布伦特·韦尔默朗', '莫尔纳·维瑟', '埃里卡·韦塞尔斯']",['收割者 Die Stropers'],"['剧情', '同性']",['7.0'],['63'],[' 南非语 / 英语']
[' 美国 / 南非 / 韩国 / 澳大利亚'],['瑞恩·库格勒'],['134'],"['03', '02']","['查德维克·博斯曼', '露皮塔·尼永奥', '迈克尔·B·乔丹', '丹娜·奎里拉', '马丁·弗瑞曼', '丹尼尔·卡卢亚', '利蒂希娅·赖特', '温斯顿·杜克', '斯特林·K·布朗', '安吉拉·贝塞特', '福里斯特·惠特克', '安迪·瑟金斯', '弗洛伦丝·卡松巴', '约翰·卡尼', '大卫·S·李', '娜比娅·毕']",['黑豹 Black Panther'],"['动作', '科幻', '冒险']",['6.5'],['332248'],[' 斯瓦希里语 / 英语 / 科萨语 / 韩语']
[' 美国 / 南非'],['蒂姆·柯比'],['85'],['06'],"['约翰尼·诺克斯维尔', '布里盖特·伦迪·佩恩', '丹·巴克达尔', '埃莉诺•沃辛顿-考克斯', '克里斯·庞蒂斯', '约翰尼·彭伯顿', '约书亚·胡佛', '艾丹·怀托克', '马特·斯查尔兹', '凯文·奥托', '莱昂·克林曼']",['行动时刻 Action Point'],['喜剧'],['6.3'],['623'],[' 英语']
[' 中国大陆 / 印度 / 巴西 / 俄罗斯 / 南非'],"['刘雨霖', '丹妮拉·托马斯', '伊丽莎维塔·斯蒂肖娃', '阿什维尼·伊耶·蒂瓦里', '萨拉·布兰克']",['99'],['10'],"['玛丽亚·海伦娜·迪拉兹', '翟·巴普蒂斯塔', '奥嘉·多布里娜', '亚历山大·库丁', '沙克希·坦沃', '王珞丹', '刘蓓', '宗平', '曼迪萨·恩杜纳']",['半边天'],['剧情'],['6.1'],['441'],[' 汉语普通话 / 印地语 / 葡萄牙语 / 俄语 / 英语']
[' 肯尼亚 / 南非 / 德国 / 荷兰 / 法国 / 挪威 / 黎巴嫩'],['Wanuri Kahiu'],['83'],"['05', '09']","['Samantha Mugatsia', 'Sheila Munyiva', 'Jimmy Gathu', 'Nini Wacera', 'Dennis Musyoka', 'Patricia Amira', 'Neville Misati', 'Muthoni Gathecha', 'Nice Githinji', 'Charlie Karumi', 'Patricia Kihoro']",['肯尼亚式友谊 Rafiki'],"['剧情', '爱情', '同性']",['5.8'],['138'],[' 英语 / 斯瓦希里语']
[' 南非 / 苏丹'],['Hajooj Kuka'],['78'],['08'],[],['A kasha'],"['剧情', '动作', '爱情', '战争']",[''],[],[' 阿拉伯语']
[' 南非'],['Kagiso LEDIGA'],['81'],[],[],['Wizard'],[],[''],[],[]
[' 南非'],['萨拉·布兰克'],['91'],[],"['Wayne Van Rooyen', 'Ronak Patani', 'Jack Devnarain', 'Kelly-Eve Koopman', 'Rajesh Gopie', 'Ameera Patel']",['Mayfair'],"['剧情', '动作', '犯罪']",[''],[],[' 英语']
[' 南非'],[],[],[],['白百何'],['第三届金砖国家电影节颁奖典礼'],['真人秀'],[''],[],[' 英语']
[' 南非'],['Johan Cronje'],['116'],['04'],[],['Wonderlus'],"['剧情', '喜剧', '爱情']",[''],[],[' 南非荷兰语']
[' 南非'],['Jerome Pikwane'],['92'],"['07(韩国富川奇幻电影节)"">2018', '11']",[],['The Tokoloshe'],"['惊悚', '恐怖']",[''],[],[' 英语 / 祖鲁语']
[' 南非'],['Nosipho Dumisa'],['110'],['06'],"['Irshaad Ally', 'Ephram Gordon', 'Amrain Ismail-Essop']",['37号 Nommer 37'],"['惊悚', '犯罪']",[''],[],[' 南非语']
[' 南非'],['Michael Matthews'],[],['04'],"['Thesp Vuyo Dabula', 'Thishiwe Ziqubu', 'Kenneth Nkosi', 'Mduduzi Mabaso', 'Lizwi Vilakazi', '肯尼思·霍', 'Anthony Oseyemi', 'Dean Fourie', 'Jerry Mofokeng']",['马赛行动 Five Fingers for Marseilles'],['惊悚'],[''],[],[]
[' 加拿大 / 南非'],['Richard Boddington'],['87'],['04'],"['Elizabeth Hurley', 'Sam Ashe Arnold', 'Tertius Meintjes', 'Hlomla Dandala', 'Louis Minnaar']",['大象之旅 Phoenix Wilder and the Great Elephant Adventure'],['冒险'],[''],[],[' 英语']
[' 南非'],['Christiaan Olwagen'],['120'],[],"['Schalk Bezuidenhout', 'Ludwig Binge']",['金丝雀 Kanarie'],"['剧情', '同性']",[''],[],[' 南非荷兰语']
[' 南非 / 德国'],['贾梅尔·奎比卡'],['118'],['09'],"['坎迪斯·麦克卢尔', '彼得·库尔特', '戴维·詹姆斯', '邦基尔·曼赛', 'Dave Walpole', 'Antoinette Louw', 'Bok van Blerk', 'Zolisa Xaluva', 'Brenda Ngxoli', 'Ezra Mabengeza']",['缝冬吾肤 Sew the Winter to my Skin'],"['动作', '冒险']",[''],[],[' 南非语 / 科萨语 / 英语']
[' 南非 / 尼日利亚'],['Mickey Madoda Dube'],['99'],[],"['哈基姆·凯-卡西姆', '爱伊莎·玛依卡', 'Deborah Lettner', 'Mary Twala', 'Bimbo Akintola']",['Comatose'],"['剧情', '奇幻']",[''],[],[' 英语']
