地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 法国 / 卢森堡 / 美国'],['亚历山大·埃斯皮加雷斯'],['85'],"['01', '03']","['拉斐尔·佩尔索纳', '维尔日妮·埃菲拉', '多米尼克·皮侬', '弗朗兹·康菲艾克', '克莱尔·巴拉达特', 'Laurent Natrella', '尼克·奥弗曼', '拉什达·琼斯', '保罗·吉亚玛提', '史蒂芬·克雷默·格利克曼', '艾迪·斯皮尔斯', '弗卢拉·博格', '大卫·博特', '汤姆·莫顿']",['白牙 Croc-Blanc'],"['动画', '冒险']",['7.6'],['2007'],[' 法语 / 英语']
[' 爱尔兰 / 卢森堡'],['兰斯·戴利'],['100'],"['02', '09']","['雨果·维文', '詹姆斯·弗兰切威勒', '斯蒂芬·瑞', '弗莱迪·福克斯', '巴里·基奥根', '莫·邓福德', '莎拉·格林', '吉姆·布劳德本特', '西伦·格雷斯', '安东尼娅·坎贝尔-休斯', '德尔莫特·克劳利', '艾丹·麦克阿德尔', '基思·麦克利恩', '米特扎·斯迈尔贾尼克']",['黑色1847 Black 47'],['剧情'],['7.1'],['1418'],[' 英语']
[' 法国 / 比利时 / 卢森堡'],['托马斯·温特伯格'],['117'],"['09', '11']","['科林·费尔斯', '蕾雅·赛杜', '马提亚斯·修奈尔', '迈克尔·恩奎斯特', '马克斯·冯·叙多夫', '奥古斯特·迪赫', '史蒂芬·威丁顿', '潘妮拉·奥古斯特', '马提亚斯·施维赫夫', '扎特科·巴瑞克', '乔尔·巴斯曼', '马格努斯·米兰', '伊娃·范·德·古奇特', '古斯塔夫·汉马斯顿', '约翰·霍林沃思', '皮特·布科夫斯基', '布贾内·亨里克森', '彼得·西蒙尼舍克', '拉尔斯·博格曼', '蒂伊门·戈瓦尔茨', '米格伦·米切夫', '海伦娜·赖因科德·纳曼', '皮特·泼拉格伯格', '阿斯克·邦', '马丁·布拉巴赫', '克拉多·德·克拉伦', '菲迪迦·斯图肯']",['库尔斯克 Kursk'],"['剧情', '历史', '灾难']",['6.8'],['2923'],[' 英语']
[' 法国 / 卢森堡 / 加拿大'],['Juan Antin'],['72'],['12'],"['Andrea Santamaria', 'India Coenen', 'Saïd Amadis', '玛丽-克莉丝汀·达哈', 'Vincent Ropion']",['大地母亲 Pachamama'],"['动画', '奇幻', '冒险']",['6.6'],['73'],[' 法语 / 英语']
[' 土耳其 / 法国 / 德国 / 卢森堡'],"['纪尧姆·乔瓦内蒂', '查拉·赞基尔吉']",['95'],['08'],"['黛穆拉.苏奈马兹', 'Erkan Kolçak Köstendil', 'Emin Gürsoy', '艾丽特·伊斯詹', 'Gulcin Kultur Sahin', 'Sevval Tezcan', 'Meral Çetinkaya']",['西贝尔 Sibel'],['剧情'],[''],[],[' 土耳其语']
[' 德国 / 卢森堡 / 丹麦'],"['克里斯托弗·劳恩斯坦', '沃尔夫冈·劳恩斯坦', '肖恩·麦克科马克']",['86'],['04'],"['Franciska Friede', 'Joey Guila']",['路易斯与外星人 Luis &amp; the Aliens'],"['喜剧', '科幻', '动画', '家庭', '冒险']",[''],[],[' 德语']
[' 卢森堡'],['Félix Koch'],['100'],['10'],"['安德烈·容', '德斯瑞·诺斯布奇', 'Etienne Halsdorf']",['超人归来 Superjhemp retörns'],['喜剧'],[''],[],[' 卢森堡语']
[' 卢森堡 / 比利时 / 以色列 / 法国'],['萨梅赫·祖比'],['97'],['09'],"['卡伊斯·纳塞夫', '卢巴纳·阿兹巴尔', 'Yaniv Biton', '麦莎·阿德哈迪', 'Nadim Sawalha', '萨利姆道', '约塞夫·斯威德', 'Amer Hlehel', '拉蒂·蒂亚', 'Ashraf Farah']",['特拉维夫在燃烧 Tel Aviv on Fire'],['喜剧'],[''],[],[' 阿拉伯语 / 希伯来语']
[' 卢森堡 / 比利时 / 以色列 / 法国'],['萨梅赫·祖比'],['97'],['09'],"['卡伊斯·纳塞夫', '卢巴纳·阿兹巴尔', 'Yaniv Biton', '麦莎·阿德哈迪', 'Nadim Sawalha', '萨利姆道', '约塞夫·斯威德', 'Amer Hlehel', '拉蒂·蒂亚', 'Ashraf Farah']",['特拉维夫在燃烧 Tel Aviv on Fire'],['喜剧'],[''],[],[' 阿拉伯语 / 希伯来语']
[' 比利时 / 卢森堡 / 加拿大'],['大卫·兰伯特'],[],[],"['伯利·兰内尔', '埃里克·卡邦戈', '瑞秋·玛瓦赞', '维尔日妮·奥克', 'Jean-Luc Couchard', 'Catarina Reverendo']",['Troisièmes noces'],"['剧情', '喜剧']",[''],[],[' 法语']
[' 比利时 / 西班牙 / 卢森堡'],['Sarah Hirtt'],[],['10'],"['Ivan Altimira', 'Raphaëlle Corbisier', '布鲁娜·库希', 'Marta Durruti', 'Rafael Espinosa', 'Oscar Garcia Martin', 'Diana Gilpiera', 'Andreu Kreutzer', '玛利亚·莱昂', '哈娜·索菲亚·洛佩斯', '塞尔希·洛佩斯', '费米·雷克萨奇']",['Escapada'],"['剧情', '喜剧']",[''],[],[' 西班牙语 / 法语']
[' 卢森堡'],['Thoma Forgiarini'],['15'],[],"['Fabienne Hollwege', 'Jérôme Varanfrain']",['Acheron'],[],[''],[],[]
