地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 印度 India'],['Abhishek Sharma'],['129'],['05'],"['John Abraham', 'Boman Irani', 'Diana Penty']",['核弹英雄 Parmanu: The Story of Pokhran'],"['剧情', '动作', '历史']",['6.4'],['338'],[' 印度语 Hindi']
[' 印度 India'],['Atul Manjrekar'],['130'],['08'],"['艾西瓦娅·雷', '亚尼·卡普', '拉吉·库玛', '迪维亚·达塔', 'Anaitha Nair', 'Pihu Sand']",['印度巨星 Fanney Khan'],"['剧情', '喜剧', '歌舞']",['5.5'],['295'],[' 印地语']
[' 印度 India'],['Mukul Abhyankar'],['120'],['04'],"['塔布', '安努·卡波尔', '马诺杰·巴杰帕伊']",['失踪谜案 Missing'],"['悬疑', '惊悚']",['5.3'],['170'],[' 印地语 Hindi']
[' 印度 India'],['Parasuram'],['142'],['08'],"['Vijay Deverakonda', 'Rashmika Mandanna', '萨伯拉杰']",['追爱之旅 Geetha Govindam'],"['剧情', '爱情']",[''],[],[' 泰卢固语 Telugu']
[' 印度 India'],['Amberdeep Singh'],['173'],['12'],"['Amberdeep Singh', 'Simi Chahal', 'Guggu Gill', 'Nirmal Rishi', 'Hobby Dhaliwal', 'Sukhwinder Raj', 'Amrinder Gill']",['Bhajjo Veero Ve'],['喜剧'],[''],[],[' 旁遮普语 Punjabi']
[' 印度 India'],['Raju Viswanath'],[],[],"['安佳里', 'Makrand Deshpande', '约吉·巴布']",['Lisaa'],['恐怖'],[''],[],[' 坦米尔语 Tamil']
[' 印度 India'],[],['107'],[],[],['Theory'],"['悬疑', '惊悚', '犯罪']",[''],[],[]
[' 印度 India'],['Dhiraj Kumar'],[],['10'],"['沙尔曼·乔希', 'Manoj Joshi', 'Manoj Pahwa', 'Govind Namdeo', '赫希尔德拉·米什拉', 'Prakash Jha', 'Gauri Shankar', 'Aishwarya Devan', 'Joginder Tiwari', 'Mugdha Meharia', 'Paritosh Tripathi', 'Priyanka Singh', 'Zara Khan', 'Shahnawaz Khan', 'Mehul Surana']",['Kaashi in Search of Ganga'],['惊悚'],[''],[],[' 印地语 Hindi']
[' 印度 India'],"['Karan Chavan', 'Vikram Patil']",[],['11'],"['Amol Deshmukh', 'Aishwarya Sakhuja']",['意象 Imago'],['剧情'],[''],[],[' Marathi']
[' 印度 India'],['Mansore'],[],"['12(印度)"">2018']","['Sruthi Hariharan', 'Sanchari Vijay', 'Sharanya']",['Nathicharami'],[],[''],[],[' Kannada']
[' 印度 India'],['P.S. Mithran'],['161'],['05'],"['Vishal', 'Arjun', '萨曼莎·鲁斯·帕布']",['暗网 Irumbu Thirai'],"['动作', '惊悚']",[''],[],[' 泰米尔语 Tamil']
[' 印度 India'],['Pandiraj'],['149'],['07'],"['Karthi', 'Sathyaraj', '萨耶莎·赛加尔']",['卡达库蒂 Kadaikutty Singam'],"['剧情', '动作']",[''],[],[' 泰米尔语 Tamil']
[' 印度 India'],['Anand Shankar'],[],['10'],"['Vijay Deverakonda', 'Mehreen Pirzada', 'Sathyaraj', 'Nassar', 'Anastasia Maslova', 'Ambazhathil Karunakaran Lohithadas']",['NOTA'],[],[''],[],[' 泰米尔语 / 泰卢固语']
[' 印度 India'],['Sujeeth'],[],[],"['施拉达·卡普尔', '帕拉巴斯', '杰奇·史洛夫', '马赫什·曼杰瑞卡', '曼迪拉·贝迪', '尼尔·尼汀·穆科什', 'Aditya Srivastava', 'Narendra Jha', 'Chunky Pandey', 'Arun Vijay', '阿西夫·阿里·贝格', 'Sunil Vishrani']",['Saaho'],"['动作', '科幻', '冒险']",[''],[],[' 印地语 Hindi']
[' 印度 India / 美国'],"['Ritu Sarin', 'Tenzing Sonam']",['91'],[],"['Tenzin Dolker', 'Jampa Kalsang', 'Rabyoung Thonden Gyalkhang']",['Kyoyang Ngarmo'],[],[''],[],[' 藏语 Tibetan']
[' 印度 India'],['Prasobh Vijayan'],['91'],['09'],"['Samyuktha Menon', 'Aaryan Menon', 'Dhanesh Anand']",['莉莉 Lilli'],['惊悚'],[''],[],[' 马拉雅拉姆语 Malayalam']
[' 印度 India'],['Prabhuraj'],[],['10'],"['Karan Anand', 'Kasturi Banerjee', 'Rajeev Bhardwaj']",['阴魂消散 Lupt'],['恐怖'],[''],[],[' 北印度语 Hindi']
[' 印度 India'],['Tejas Vijay Deoskar'],['150'],['05'],"['玛杜丽·迪克西特', 'Renuka Saha', 'Krutika rao']",['遗愿清单 Bucket List'],"['剧情', '喜剧', '爱情', '家庭']",[''],[],[' 马拉地语Marathi']
[' 印度 India'],['Simerjit Singh'],['139'],['04'],"['Gippy Grewal', '阿蒂缇·夏尔马']",['喬金德·辛格上尉 Subedar joginder singh'],"['剧情', '战争']",[''],[],[' 英语 / Punjabi']
[' 印度 India'],['维普尔·奥卢图尔·沙哈'],[],['10'],"['帕丽莱蒂·曹帕拉', '阿琼·卡普尔', '哈廷·帕特尔', 'Shreya Mehta', '阿图尔·沙尔玛', '保罗·布莱克维尔', 'Frina Mehta', 'Sonia Goswami', 'Glenn Webster', 'Vaunisha Kapoor', '马诺伊·阿南德', 'Preety Tarsariya', 'Manish Kumar Srivastava', 'Ammar Taalwala', 'Anjani Joshi']",['你好呀！亲爱的英格兰 Namaste England'],"['剧情', '喜剧', '爱情']",[''],[],[' 印地语 Hindi']
[' 印度 India'],['Santhosh P. Jayakumar'],[],[],"['Vaibhavi Shandilya', 'Oviya', 'Rajendran']",['Iruttu Araiyil Murattu Kuthu'],"['喜剧', '恐怖']",[''],[],[' Tamil 坦米尔语']
[' 印度 India'],['维夏·巴德瓦杰'],['134'],['09'],"['桑亚·玛荷塔', 'Radhika Madan', 'Sunil Grover', '维贾伊·拉齐', 'Namit Das', 'Abhishek Duhan', '玛拉伊卡·阿罗拉']",['冤家姐妹 Pataakha'],"['剧情', '喜剧', '动作']",[''],[],[' 印地语 Hindi']
[' 印度 India'],['Pushpdeep Bhardwaj'],[],['10'],"['Rhea Chakraborty', 'Aanya Dureja', 'Arjun Kanungo', 'Varun Mitra', 'Arya Poorti', 'Digangana Suryavanshi']",['糖耳朵 Jalebi'],"['喜剧', '爱情']",[''],[],[' 印地语 Hindi']
[' 印度 India'],['Pradeep R. Sharma'],[],[],"['Humayoon Shams Khan', '丹尼什·巴特', 'Raj Sandhu']",['Ishq Ke Rang'],['恐怖'],[''],[],[' 北印度语 Hindi']
