地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 澳大利亚 / 美国 / 印度'],['安东尼·马拉斯'],['123'],"['09', '10']","['艾米·汉莫', '纳赞宁·波妮阿蒂', '戴夫·帕特尔', '詹森·艾萨克', '阿努潘·凯尔', '刘承羽', '安格斯·麦克拉伦', '萨钦·乔伯', '蒂尔达·格哈姆-哈维', '维品·沙尔马', '阿布罗伊·辛格', '迪维亚·阿妮', '桑迪普·博雅卡', '齐尼亚·斯塔尔']",['孟买酒店 Hotel Mumbai'],"['剧情', '惊悚', '历史']",['8.4'],['25342'],[' 英语 / 印地语 / 旁遮普语 / 希腊语 / 俄语 / 阿拉伯语 / 乌尔都语 / 波斯语']
[' 印度'],['斯里兰姆·拉格万'],['139'],['10'],"['阿尤斯曼·库拉纳', '塔布', '拉迪卡·艾普特', '安尔·德霍万', '马纳夫·维吉', '阿什维尼·卡尔塞卡', '查亚·卡达姆', '萨基尔·侯赛因', '拉什米·阿格德卡', '莫希尼·凯瓦拉曼']",['调音师 Andhadhun'],"['喜剧', '悬疑', '惊悚', '犯罪']",['8.3'],['428939'],[' 印地语']
[' 印度'],['R·巴尔基'],['140'],"['12', '02']","['阿克谢·库玛尔', '拉迪卡·艾普特', '索娜姆·卡普尔', '乔蒂·苏巴', '森尔·辛', '阿米达普·巴强', '雷·拉维']",['印度合伙人 Padman'],"['剧情', '喜剧', '传记']",['7.6'],['57461'],[' 印地语']
[' 印度'],['Reema Kagti'],[],['08'],['阿克谢·库玛尔'],['金牌 Gold'],"['剧情', '传记', '运动']",['7.6'],['144'],[' 印地']
[' 印度 / 法国 / 新加坡'],['阿蒂提雅·维克拉姆·森古普塔'],['90'],['01'],"['Ratnabali Bhattacharjee', 'Lolita Chatterjee', 'Sumanto Chattopadhyay', '吉姆·萨伯']",['萤火虫 জোনাকি'],['剧情'],['7.5'],['90'],[' 孟加拉语 / 英语']
[' 印度'],['西达夫·马贺拉'],['120'],"['10', '03']","['拉妮·玛克赫吉', '内拉吉·卡比', '萨钦', '苏普丽雅·皮尔加卡尔', '罗特·萨拉夫', '维克拉姆·戈克哈尔', '雷伊·舒克拉', '阿西夫·巴斯拉', '加纳特·拉玛妮', '侯赛因·达拉尔', '伊万·罗德里格斯', '坤纳·斯内德', '哈许‧梅尔', '什库马尔·苏布拉马尼亚姆']",['嗝嗝老师 Hichki'],"['剧情', '喜剧']",['7.5'],['51666'],[' 印地语 / 英语']
[' 印度'],['拉吉库马尔·希拉尼'],['155'],['06'],"['兰比尔·卡普尔', '帕莱什·拉瓦尔', '玛尼沙·柯伊拉拉', '维杰·卡沙尔', '安努舒卡·莎玛', '迪雅·莫扎', '索娜姆·卡普尔', '吉姆·萨伯', '卡里希马·坦纳', '博曼·伊拉尼', '塔布', '马赫什·曼杰瑞卡', '阿施文·穆施拉恩', '萨亚士·希德']",['一代巨星桑杰君 Sanju'],"['剧情', '传记']",['7.5'],['1402'],[' 印地语']
[' 印度'],"['拉希·阿尼尔·巴夫', '安南·甘地', '阿德什·普拉萨德']",['104'],"['08', '10']","['索姆·沙', '田蒂·马舍', '安妮塔·戴特', '朗吉·查克拉博蒂', '迪普克·达姆利']",['塔巴德 तुम्बाड'],"['剧情', '惊悚', '奇幻']",['7.4'],['4536'],[' 印地语']
[' 印度'],['奥米史·舒克拉'],['102'],"['11', '05']","['阿米达普·巴强', '里希·卡普尔', '吉米特·特里韦迪', '达尔曼德拉·吉尔']",['老爸102岁 102 Not Out'],"['剧情', '喜剧']",['7.3'],['12552'],[' 印地语']
[' 印度'],['维卡拉马迪亚·莫特文'],['154'],['06'],"['Harshvardhan Kapoor', 'Priyanshu Painyuli', 'Ashish Verma']",['超级英雄 Bhavesh Joshi Superhero'],"['动作', '犯罪']",['7.2'],['174'],[' 印地语']
[' 印度'],['Abhinay Deo'],['138'],['04'],"['伊尔凡·可汗', 'Kirti Kulhari', '乌尔米拉.马东卡', '迪维亚·达塔', '阿鲁诺德·辛格', '奥米·瓦依达', 'Anuja Sathe', 'Neelima Azim', 'Gajraj Rao', 'Pradhuman Singh', '维布哈·乔希伯尔']",['勒索 Blackmail'],['喜剧'],['7.0'],['2117'],[' 印地语']
[' 印度'],['拉杰·库马尔·古普塔'],['122'],['03'],"['阿贾耶·德乌干', '沙鲁巴·舒克拉', '伊利亚娜·狄克鲁兹', '阿米特·西亚尔', '拉维·汗维尔卡尔']",['袭击 Raid'],"['剧情', '动作']",['6.9'],['755'],[' 英语']
[' 印度'],['夏兰特·卡塔里亚'],['122'],['09'],"['安努舒卡·莎玛', '瓦伦·达瓦', '拉格胡维尔·亚达夫', '纳米特·达斯', '吉恩德拉·沙斯特里']",['印度制造 Sui Dhaaga - Made In India'],"['剧情', '喜剧']",['6.9'],['1357'],[' 印地语']
[' 印度'],['阿南德·蒂瓦里'],['133'],['02'],"['维杰·卡沙尔', 'Angira Dhar', 'Alankrita Sahai', '拉特纳·帕塔克', 'Supriya Pathak']",['方寸之爱 Love Per Square Foot'],['喜剧'],['6.9'],['772'],[' 印地语']
[' 印度'],['梅克纳·古勒扎尔'],['138'],['05'],"['阿莉雅·布哈特', '维杰·卡沙尔', '拉吉特·卡普尔', '什沙尔·夏尔马', '杰德普.阿赫拉瓦迪', '阿里夫·扎卡里亚', '阿姆鲁塔·可汗维卡尔', '桑贾伊·萨里']",['心甘情愿 Raazi'],"['剧情', '动作']",['6.8'],['1004'],[' 印地语']
[' 印度'],['桑杰·里拉·彭萨里'],['164'],['01'],"['迪皮卡·帕度柯妮', '阿努普瑞雅·戈恩卡', '兰维尔·辛格', '沙希德·卡普尔', '阿娣提·拉奥·希达里', '吉姆·萨伯', '拉萨·默拉德', '夏恩·辛格', '曼吉特·辛格', '帕德曼瓦蒂·拉奥']",['印度艳后 Padmaavat'],"['剧情', '爱情', '历史']",['6.8'],['1666'],[' 印地语']
[' 法国 / 印度'],['肯·斯科特'],['92'],['05'],"['丹努什', '贝热尼丝·贝乔', '艾琳·莫里亚蒂', '巴克德·阿巴蒂', '热拉尔·朱尼奥', '本·米勒', '阿贝尔·贾夫里', '莎拉·珍妮·拉布罗丝', '凯·葛利丹努', '阿姆鲁塔·桑特', '希玛·比斯瓦斯', '克里斯蒂安·布朗查特', '斯特凡诺·卡塞蒂', '乌瓦曼古·科内利斯', '甘达夫·德万', '埃德温·吉莱特', '奥卡尔·凯特卡', '波林·马雷查尔', '丹尼勒·尼西', '哈蒂·辛格', '玛尔·索度佩']",['衣柜里的冒险王 The Extraordinary Journey of The Fakir'],"['剧情', '喜剧']",['6.8'],['1007'],[' 英语 / 印度语']
[' 印度'],['Vijay'],['130'],['08'],"['Ditya Bhande', '普拉部·地伐', '艾西瓦娅·拉杰什']",['舞术巨星 Lakshmi'],"['剧情', '歌舞']",['6.8'],['122'],[' 泰米尔语']
[' 印度 / 法国'],['兰迪塔·达斯'],['112'],['05'],"['纳瓦祖丁·席迪圭', '拉塞卡·杜加尔', 'Tahir Raj Bhasin', '里希·卡普尔', '帕莱什·拉瓦尔', '普拉布 科里', 'Vijay Varma', '沙沙恩·阿罗拉', 'Feryna Wazheir', 'Rajshri Deshpande', 'Danish Husain', 'Abhinay Banker', 'Ashwath Bhatt', 'Raghav Dutt']",['芒多传 Manto'],"['剧情', '传记']",['6.7'],['104'],[' 印地语']
[' 印度'],['阿南德·雷'],['164'],['12'],"['沙鲁克·汗', '萨尔曼·汗', '卡特莉娜·卡芙', '安努舒卡·莎玛', '希里黛玉', '阿佩·代沃尔', 'Mohammed Zeeshan Ayyub', 'Sophia Arrington', 'Talley LaFlamme', 'Ava Connolly', 'Bill Billions']",['从零开始 ZERO'],"['剧情', '喜剧', '爱情']",['6.7'],['279'],[' 印地语']
[' 印度'],['阿米特·沙玛'],['135'],['10'],"['阿尤斯曼·库拉纳', '桑亚·玛荷塔', '尼娜·古普塔', '加杰拉杰·饶', '谢巴·查达', '苏雷卡·西克里', '沙杜尔·拉纳', '拉胡尔·特瓦里', '阿伦·卡拉', '阿尔卡·阿明', '马诺·巴克什', '阿尔卡·芭朵拉·卡肖尔', '维米·梅塔']",['喜得千金 Badhaai Ho'],"['剧情', '喜剧', '爱情', '家庭']",['6.6'],['788'],[' 印地语']
[' 印度'],['Ram Kumar'],['170'],['10'],"['Radha Ravi', 'Vishnu Vishal', 'Sangili Murugan', 'Nizhalgal Ravi', '阿玛拉·保罗']",['恶魔 Ratsasan'],"['剧情', '动作', '爱情', '惊悚']",['6.5'],['81'],[' 泰米尔语']
[' 印度'],['伊凡·埃尔'],['97'],['09'],"['吉蒂卡·维迪亚·奥利安', '萨洛尼·巴特拉', '维卡斯·舒克拉', '莫希·查乌汗', '希曼什·科赫利', '高里·查克拉波蒂']",['索妮 Soni'],['剧情'],['6.5'],['369'],[' 印地语']
[' 印度'],['Akarsh Khurana'],['114'],['08'],"['Irrfan Khan', 'Dulquer Salmaan', 'Mithila Palkar']",['寻父之旅 Karwaan'],"['剧情', '喜剧']",['6.4'],['115'],[' 印地语']
[' 印度'],['舒吉特·瑟加'],['115'],['04'],"['瓦伦·达瓦', '芭妮塔·桑德胡', '吉塔姜利·饶', '萨希尔·维多利亚', '尼基塔·阿南德']",['倾城十月 October'],"['剧情', '爱情']",['6.3'],['496'],[' 印地语']
[' 印度'],['Gauravv K. Chawla'],['137'],['10'],"['Saif Ali Khan', 'Radhika Apte', 'Chitrangda Singh']",['商战街 Baazaar'],"['剧情', '惊悚', '犯罪']",['6.1'],['70'],[' 印地语']
[' 印度'],['Gauravv K. Chawla'],['137'],['10'],"['Saif Ali Khan', 'Radhika Apte', 'Chitrangda Singh']",['商战街 Baazaar'],"['剧情', '惊悚', '犯罪']",['6.1'],['70'],[' 印地语']
[' 印度'],['S·尚卡尔'],['148'],['11'],"['拉吉尼坎塔', '阿克谢·库玛尔', '艾米·杰克逊', '阿迪勒·侯赛因', '苏丹舒·潘迪', '卡拉巴万·沙约翰', '阿南特·纳拉扬·马哈德凡', '梅伊尔萨米', '伊莎里·加内什', '凯扎德·科特瓦尔', '巴拉斯·雷迪', '玛雅·S·克里希南']",['宝莱坞机器人2.0：重生归来 2.0'],"['喜剧', '动作', '科幻']",['6.1'],['2200'],[' 泰米尔语 / 泰卢固语 / 印地语']
[' 印度'],['罗希特·谢迪'],[],['12'],"['兰维尔·辛格', '阿贾耶·德乌干', '阿明·阿卜杜勒·奎德', 'Sara Ali Khan', '索努·苏德', 'Suresh Oberoi', 'Siddarth Jadhav', 'Naushaad Abbas']",['辛巴 Simmba'],"['喜剧', '动作']",['6.1'],['115'],[' 印地语']
[' 印度'],['Nikhil Bhat'],['105'],['08'],"['阿见·马瑟', 'Nidhi Singh', 'Sheetal Thakur', '马纳夫·维吉', 'Vijayant Kohli', 'Sunny Hinduja', 'Yogendra Tikku', 'Rajendra Bhatia', 'Aanchal Chauhan', 'Goswami Lalit']",['布里吉·莫汉万岁 Brij Mohan Amar Rahe'],"['剧情', '喜剧', '犯罪']",['6.1'],['67'],[' 印地语']
[' 中国大陆 / 印度 / 巴西 / 俄罗斯 / 南非'],"['刘雨霖', '丹妮拉·托马斯', '伊丽莎维塔·斯蒂肖娃', '阿什维尼·伊耶·蒂瓦里', '萨拉·布兰克']",['99'],['10'],"['玛丽亚·海伦娜·迪拉兹', '翟·巴普蒂斯塔', '奥嘉·多布里娜', '亚历山大·库丁', '沙克希·坦沃', '王珞丹', '刘蓓', '宗平', '曼迪萨·恩杜纳']",['半边天'],['剧情'],['6.1'],['441'],[' 汉语普通话 / 印地语 / 葡萄牙语 / 俄语 / 英语']
[' 印度'],['Sashi Kiran Tikka'],['147'],['08'],"['Adivi Sesh', 'Sobhita Dhulipala', 'Jagapathi Babu']",['间谍 Goodachari'],"['动作', '惊悚']",['6.0'],['160'],[' 泰卢固语']
[' 印度'],['Luv Ranjan'],['138'],['02'],"['努西拉特·巴努查', '卡提克·亚利安', '桑尼·辛格·尼贾尔', '阿洛克·纳特', 'Madhumalti Kapoor', '帕旺·乔普拉', 'Ayesha Raza', 'Virendra Saxena', 'Rajesh Jais', 'Deepika Amin']",['德里三人行 Sonu Ke Titu Ki Sweety'],['爱情'],['6.0'],['304'],[' 印度语']
[' 印度'],['维贾伊·克利须那·阿查里雅'],['164'],"['12', '11']","['阿米尔·汗', '卡特莉娜·卡芙', '阿米达普·巴强', '劳埃德·欧文', '阿明·阿卜杜勒·奎德', '法缇玛·萨那·纱卡', '洛尼特·罗伊', '杰奇·史洛夫', '谢恩·约翰·克鲁格', '巴拉特·巴蒂', '曼吉特·辛格', '乔·阿泽帕迪', '穆罕默德·齐尚·艾布', '瑟仁德·帕尔', '沙棘·乔杜里', '罗曼·扬科维奇']",['印度暴徒 Thugs of Hindostan'],"['喜剧', '动作', '冒险']",['5.9'],['19958'],[' 印地语']
[' 印度'],['阿赫梅德·坎'],['137'],['03'],"['泰戈尔·什罗夫', '迪莎·帕塔尼', '马诺杰·巴杰帕伊', '兰迪普·弘达', '迪帕克·迪布里亚尔', '普拉提克·巴巴尔', '达山·库马尔', '杰奎琳·费南德斯', '拉克希米·曼楚', '维品·沙尔马']",['为爱叛逆2之逆战到底 Baaghi 2: A Rebel For Love'],"['动作', '惊悚']",['5.8'],['392'],[' 印地语 / 英语']
[' 印度'],['西瓦·科拉塔拉'],['173'],"['04', '04']","['迈赫什·巴布', '普拉卡什·拉贾', '伽罗·阿德瓦尼', '亚什泊尔·沙玛', '萨拉特·库马尔', '布拉玛吉', 'P·拉维·尚卡尔', '德瓦拉杰']",['巴拉特 Bharath Ane Nenu'],"['剧情', '动作']",['5.7'],['181'],[' 泰卢固语']
