地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 印度尼西亚'],['提莫·塔哈亚托'],['121'],"['09', '10']","['乔·塔斯利姆', '伊科·乌艾斯', '朱莉·埃斯特尔', '冯推守', '扎克·李', '斯莱法·达尼什', '耶皮·喀什南达', '汉娜·阿尔·拉希德']",['嗜人之夜 The Night Comes for Us'],['动作'],['6.9'],['6221'],[' 印度尼西亚语 / 英语 / 汉语普通话 / 法语']
[' 日本 / 法国 / 印度尼西亚'],['深田晃司'],['107'],['05'],"['藤冈靛', '仲野太贺', '阿部纯子', '鹤田真由']",['奔向大海 海を駆ける'],"['剧情', '奇幻']",['6.1'],['400'],[' 日语']
[' 印度尼西亚'],['提莫·塔哈亚托'],['110'],['08'],"['切尔西·艾斯兰', '佩维塔·皮尔斯', '雷·萨亥塔彼', '卡琳娜·苏万迪', '萨摩·拉斐尔', '哈迪贾·沙哈布', '鲁思·马里尼', '吉娜罗西', '克拉拉·伯纳迪斯', '妮科尔·罗西']",['恶魔的请柬 Sebelum Iblis Menjemput'],['恐怖'],['5.7'],['1163'],[' 印度尼西亚语']
[' 印度尼西亚'],['Valentine Payen'],[],['02'],['Verdi Solaiman'],['传话的人 Message Man'],"['动作', '惊悚', '犯罪']",['5.3'],['97'],[' 英语']
[' 印度尼西亚'],['黎刹·曼托瓦尼'],['105'],['06'],"['Sandrinna Michelle', '奥雷·莫雷曼斯', 'Fero Walandouw', 'Nena Rosier']",['坤蒂拉娜 Kuntilanak'],['恐怖'],['4.3'],['196'],[' 印度尼西亚语']
[' 印度尼西亚'],['Rocky Soraya'],['113'],['07'],"['露娜·玛雅', 'Christian Sugiono', 'Sara Wijayanto', '杰瑞米·托马斯', 'Rizky Hanggono', 'Richelle Georgette Skornicki']",['鬼娃萨布丽娜 Sabrina'],['恐怖'],['4.1'],['173'],[' 印度尼西亚语']
[' 印度尼西亚'],"['Harvan Agustriansyah', 'Lola Amaria', 'Adriyanto Dewo', 'Tika Pramesti', 'Shalahuddin Siregar', 'Agha Fahriansyah']",[],['05'],[],['Lima'],[],[''],[],[]
[' 印度尼西亚'],['Hadrah Daeng Ratu'],['83'],['10'],"['Acha Septriasa', '扎克·李', 'Aqilla Herby', '贾姜·诺儿']",['照顾波康格 Jaga Pocong'],['恐怖'],[''],[],[' 印尼语']
[' 印度尼西亚'],['Agusti Tanjung'],['76'],[],['Aliyah Faizah'],['Titisan Setan'],['恐怖'],[''],[],[' 印度尼西亚']
[' 印度尼西亚'],['Hanung Bramantyo'],[],[],"['Hery Kuntoro', 'Adinia Wirasti']","['苏丹·阿贡：王权、搏斗与爱（暂名） Sultan Agung: Throne, Struggles and Love']",[],[''],[],[' 印度尼西亚语']
[' 印度尼西亚'],['Sattar Chamani Gol'],['96'],['09'],"['Saeed Dakh', 'Masoud Mohammadi', 'Ali Mohammad Radmanesh']",['Golnesa'],"['剧情', '家庭', '犯罪']",[''],[],[]
[' 印度尼西亚'],['艾德温'],['106'],['09'],"['尼古拉斯·沙普泰拉', '奥卡·安塔拉', '汉娜·阿尔·拉希德', 'Dian Sastrowardoyo']",['印尼饮食男女 Aruna dan Lidahnya'],['喜剧'],[''],[],[' 印尼语']
[' 印度尼西亚'],['Angga Dwimas Sasongko'],['123'],['08'],"['雅彦·鲁伊安', '塞塞普·阿里夫·拉赫曼']",['212勇士 212 Warrior'],"['喜剧', '动作', '冒险']",[''],[],[' 印尼语']
[' 印度尼西亚'],['鲁迪·索德甲渥'],['107'],"['07', '12']","['Al Ghazali', 'Mikha Tambayong', 'Valerie Thomas', 'Steffi Zamora', '恩迪·阿菲安', 'Marsha Aruan', 'Atta Halilintar', 'Mumuk Gomez', 'Achmad Megantara']",['Tanggal 13'],['恐怖'],[''],[],[' 印尼语']
[' 印度尼西亚'],"['Myrna Paramita', 'Eugene Panji']",['78'],['07'],"['Ario Bayu', 'Ade Firman Hakim', 'Ardina Rasti']",['危机22分钟 22 menit'],"['剧情', '动作']",[''],[],[' 印度尼西亚语']
[' 印度尼西亚'],['Sidi Saleh'],[],['02'],"['Irina Chiu', 'Anthony Xie']",['牌九 Pai Kau'],"['剧情', '悬疑']",[''],[],[' 印度尼西亚语']
[' 印度尼西亚'],"['Ernest Prakasa', 'Meira Anastasia']",[],[],[],['Milly &amp; Mamet: Ini Bukan Cinta &amp; Rangga'],[],[''],[],[]
[' 印度尼西亚'],[],[],[],[],['Gasing Tengkorak'],[],[''],[],[]
[' 印度尼西亚 / 澳大利亚'],['加林·努格罗'],['105'],['09'],"['Randy Pangalila', 'Muhammad Khan', 'Raditya Evandra']",['我身记忆 Kucumbu Tubuh Indahku'],['剧情'],[''],[],[]
[' 印度尼西亚'],['Putrama Tuta'],['102'],['11'],"['Daniel Mananta', 'Kin Wah Chew', 'Eric Febrian', 'Denny Sumargo', 'Sita Nursanti', 'Eriska Rein']",['一个叫阿豪的人 A Man Called Ahok'],[],[''],[],[' 印尼语']
[' 印度尼西亚'],['Yandy Laurens'],['110'],['11'],"['Ringgo Agus Rahman', '妮丽娜.祖碧尔', 'Adhisty Zara', 'Widuri Sasono']",['爱之屋 Keluarga Cemara'],"['剧情', '家庭']",[''],[],[' 印尼语']
