地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 台湾'],"['徐誉庭', '许智彦']",['100'],"['04', '11']","['邱泽', '谢盈萱', '陈如山', '黄圣球', '周洺甫', '梁正群', '杨丽音', '安哲', '高隽雅', '吴定谦', '禾语辰', '钟欣凌', '万芳', '高爱伦']",['谁先爱上他的 誰先愛上他的'],"['剧情', '喜剧', '同性']",['8.6'],['168121'],[' 汉语普通话']
[' 台湾'],['許哲瑜 Hsu Che-yu'],['40'],[],[],['穿颅透写'],"['剧情', '动画']",['8.3'],['82'],[' 汉语普通话 / 台语']
[' 台湾'],['蔡宓洁'],['83'],['06'],"['许光汉', '姚爱宁', '林意箴']",['海吉拉'],"['剧情', '爱情']",['7.3'],['6395'],[' 汉语普通话']
[' 台湾'],['崔永徽\u200b\u200b'],['96'],['06'],"['黄尚禾', '钟家骏', '李凤英', '張靈']",['只有大海知道'],"['剧情', '歌舞', '家庭', '儿童']",['7.1'],['271'],[' 汉语普通话']
[' 台湾'],['萧雅全'],['115'],"['01', '08']","['黄仲昆', '庄凯勋', '傅孟柏', '王秀峰', '吕雪凤', '温贞菱']",['范保德'],['剧情'],['6.7'],['708'],[' 汉语普通话 / 闽南语']
[' 台湾'],[],['200'],['06'],"['萧敬腾', '张惠妹', '徐佳莹', '彭佳慧', '那英', '庾澄庆', '康晋荣', '苏芮', '比尔贾', '陈奕迅', '方大同', '林俊杰', '黄子佼', '黄丽玲', '谭维维']",['第29届金曲奖 第29届金曲奖颁奖典礼'],['音乐'],['6.6'],['175'],[' 汉语普通话']
[' 台湾'],['颜正国'],['127'],['02'],"['王识贤', '高捷', '郑人硕', '邹兆龙', '唐振刚', '黄尚禾', '张再兴', '吴震亚', '黄腾浩', '狄莺', '曾珮瑜', '李依瑾', '许维恩']",['角头2：王者再起 角頭2：王者再起'],"['剧情', '动作', '犯罪']",['6.5'],['4396'],[' 汉语普通话 / 闽南语']
[' 台湾'],['连奕琦'],['102'],"['04', '05']","['张少怀', '柯佳嬿', '陈乔恩', '明道', '钟瑶', '马志翔', '张景岚', '林暐恒']",['市长夫人的秘密 市長夫人的秘密'],['喜剧'],['6.5'],['1084'],[' 汉语普通话']
[' 台湾'],['洪子烜'],['105'],['10'],"['吴慷仁', '林哲熹', '李千那', '谢欣颖', '李铭忠', '高捷', '施名帅']",['狂徒'],['剧情'],['6.4'],['1089'],[' 汉语普通话']
[' 台湾'],['瞿友宁'],['109'],['02'],"['卢广仲', '蔡振南', '柯叔元', '康晋荣', '龙劭华', '严正岚', '刘冠廷', '江沂宸', '海芬', '范足妹', '林意箴', '曲献平', '叶辰莛']",['花甲大人转男孩 花甲大人轉男孩'],"['剧情', '喜剧']",['6.3'],['943'],[' 汉语普通话']
[' 台湾'],['練健輝'],['22'],['10'],"['何子华', '屈中恒', '江沂宸']",['防蚊贴片 防蚊貼片'],[],['6.3'],['101'],[' 汉语普通话']
[' 台湾'],[],['300'],['11'],"['陶晶莹', '李安', '巩俐', '谢盈萱', '周迅', '赵涛', '曾美慧孜', '孙俪', '徐峥', '邓超', '段奕宏', '邱泽', '彭昱畅', '胡歌', '惠英红', '涂们', '桂纶镁', '刘德华', '刘嘉玲', '张震', '洪金宝', '谢金燕', '陈奕迅', '苑琼丹', '罗家英', '黄信尧', '莫文蔚', '王力宏']",['第55届金马奖颁奖典礼\u200e 第55屆金馬獎頒獎典禮'],['真人秀'],['6.2'],['3917'],[' 汉语普通话']
[' 台湾 / 荷兰 / 克罗地亚'],['王洪飞'],['100'],"['01', '04']","['王洪飞', '卢燕', '谢语恩', '严艺文']",['小玩意'],['剧情'],['6.2'],['66'],[' 汉语普通话 / 荷兰语 / 英语']
[' 台湾'],['黄荣昇'],['95'],"['02', '12']","['陈以文', '饶星星', '刘冠廷', '纳豆', '巫建和', '尹馨', '张少怀', '吴慷仁', '柯淑勤']",['小美'],"['剧情', '爱情', '悬疑']",['6.0'],['389'],[' 汉语普通话 / 粤语']
[' 台湾'],['林冠慧'],['109'],['07'],"['张庭瑚', '洪言翔', '林鹤轩', '郭书瑶', '罗家英', '朱咪咪']",['切小金家的旅馆 切小金家的旅館'],"['喜剧', '恐怖']",['6.0'],['1193'],[' 汉语普通话']
[' 台湾'],"['柯翰辰', '胡远宁']",['116'],['08'],"['王净', '林柏叡', '吴岳擎', '虹茜', '林辉煌', '邱宇辰 \u200b\u200b\u200b\u200b', '安以轩', '蓝正龙', '屈中恒', '李罗', '马如龙', '尹昭德 ', '张诗盈', '庹宗华', '王治平', '颜正国', '周晓函', '陆明君', '张勋杰']",['斗鱼 鬥魚'],[],['5.9'],['185'],[' 汉语普通话']
[' 台湾 / 中国大陆 / 美国 / 法国'],['何蔚庭'],['107'],"['09', '10']","['李鸿其', '黄璐', '丁宁', '张国柱', '谢章颖', '石锦航', '路易丝·格林贝格', '尹馨', '高捷']",['幸福城市'],"['剧情', '科幻', '犯罪']",['5.9'],['405'],[' 汉语普通话']
[' 日本 / 台湾'],['陈钰杰'],['96'],['03'],"['王柏杰', '田中丽奈', '余贵美子', '木村多江', '藤井美菜', '杨烈']",['盛情款待 おもてなし'],['剧情'],['5.8'],['120'],[' 日语']
[' 台湾'],['游智炜'],['90'],['09'],"['姚爱宁', '欧阳伦', '宋柏纬', '林辰唏', '杨大正', '李亦捷', '舞陽', '澎恰恰']",['摇滚乐杀人事件 搖滾樂殺人事件'],"['音乐', '犯罪']",['5.8'],['228'],[' 汉语普通话']
[' 台湾'],['庄绚维'],['114'],"['11', '11']","['郑人硕', '徐若瑄', '吴至璿', '张书伟', '龙劭华', '高慧君', '陈少卉 ', '辛佳颖']",['人面鱼：红衣小女孩外传 人面魚：紅衣小女孩外傳'],['恐怖'],['5.6'],['1830'],[' 汉语普通话']
