地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 台灣 Taiwan'],"['梁雅雯', '呂庭儀', '陳思蒨']",[],[],[],['搬家日'],[],[''],[],[]
[' 台灣 Taiwan'],['張郡庭'],[],[],[],['坐椅上的人'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],[],[],[],[],['失夜派對'],[],[''],[],[]
[' 台灣 Taiwan'],[],[],[],[],['灰鴿傳輸'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],"['陳奕儒', '劉珈妤', '林於心']",[],[],[],['首席'],[],[''],[],[]
[' 台灣 Taiwan'],"['吳宜倫', '朱天昕']",[],[],[],['請傾聽我'],[],[''],[],[]
[' 台灣 Taiwan'],[],[],[],[],['貝努與蓋因'],[],[''],[],[]
[' 台灣 Taiwan'],"['劉嚞瑜', '劉立寬']",[],[],[],['Endless Agony'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['陳柔瑋'],[],[],[],['日常'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['顏立品'],[],[],[],['紅'],[],[''],[],[]
[' 台灣 Taiwan'],['劉俐言'],[],[],[],['獵人的豢養'],[],[''],[],[]
[' 台灣 Taiwan'],['劉冠廷'],[],[],[],['記憶體'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['蘇資喻'],[],[],[],['川息'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['張禎'],[],[],[],['再睡一下下'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['洪千茹'],[],[],[],['嗅嗅'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['呂孟儒'],[],[],[],['再造'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['黃晨昀'],[],[],[],['邊緣物件'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['宋淑安'],[],[],[],['花火'],['動畫 Animation'],[''],[],[]
[' 台灣 Taiwan'],['蘇育賢'],[],[],[],['工寮'],[],[''],[],[]
[' 台灣 Taiwan'],['洪笠程'],[],[],[],['尋返往復'],[],[''],[],[]
[' 台灣 Taiwan'],['宋姵瑢'],[],[],[],['鼠女出嫁'],[],[''],[],[]
[' 台灣 Taiwan'],['劉吉雄'],[],[],[],['例外之地：台灣海峽之澎湖越南難民營'],['紀錄片 Documentary'],[''],[],[]
