地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 俄罗斯 / 德国 / 波兰 / 哈萨克斯坦 / 中国大陆 / 法国'],['谢尔盖·德瓦茨沃伊'],['100'],['05'],"['萨梅尔·叶斯利亚莫娃', 'Zhipargul Abdilaeva', 'David Alaverdyan', 'Sergey Mazur', 'Slava Agashkin', 'Ashkat Kuchinchirekov']",['小家伙 Айка'],['剧情'],['7.6'],['1196'],[' 俄语 / 吉尔吉斯语']
[' 哈萨克斯坦'],['叶尔梅克·图萨诺夫'],['95'],['11'],[],['光影守护者 Шырақшы'],['剧情'],[''],[],[' 哈萨克语']
[' 哈萨克斯坦'],['阿迪罕·叶尔扎诺夫'],[],[],[],['夜神 Ночной Бог'],['剧情'],[''],[],[' 俄语']
[' 哈萨克斯坦'],['冉娜·伊莎巴耶娃'],[],[],[],['Отвергнутые'],[],[''],[],[]
[' 哈萨克斯坦'],['Yermek Tursunov'],[],[],[],['放映春秋 Киномеханик'],[],[''],[],[]
[' 哈萨克斯坦'],['Farkhat Sharipov'],['114'],[],"['Dulyga Akmolda', 'Yerzhan Tusupov']",['领导的秘密 The Secret of a Leader'],"['剧情', '家庭', '犯罪']",[''],[],[]
[' 哈萨克斯坦'],['Zhanabek Zhetiruov'],['90'],[],"['Asylkhan Tolepov', 'Aizhan', 'Aldabek Shalbayev']",['Шынырау'],[],[''],[],[]
[' 哈萨克斯坦'],['Khuat Akhmetov'],[],[],[],['Әруақ'],[],[''],[],[]
[' 哈萨克斯坦'],['Abdel Fiftibayev'],[],[],[],['Boyzhetken. Vsyo iz-za neyo'],[],[''],[],[]
[' 哈萨克斯坦'],['Olga Korotko'],[],['05'],"['Zhalgas Jangazin', 'Tolganay Talgat', 'Tair Magzumov']",['冬日惊魂 Так себе зима'],['惊悚'],[''],[],[' 俄语']
[' 哈萨克斯坦'],['Tolegen Baitukenov'],['91'],['11'],[],['萨塔什 Satash'],"['剧情', '犯罪']",[''],[],[' 哈萨克语']
[' 哈萨克斯坦'],['Daniyar Akchabayev'],['75'],[],[],['VO MRAKE'],[],[''],[],[]
[' 哈萨克斯坦 / 拉脱维亚 / 美国'],['Jeff Vespa'],['90'],['04'],"['本·奥德里基', '菲利普·布罗迪', '艾比·考尼什', 'Erkebulan Daiynov', 'Lelde Dreimane', 'Patrick J. Gorman', 'Telman Guzhevsky', 'Christian Hillborg', 'Candace Kita', 'Rihards Lepers', '桑扎尔·马季耶夫', 'Kaspars Znotins']",['阿姆雷 Paris Song'],"['剧情', '爱情', '歌舞', '传记', '历史']",[''],[],[' 英语']
[' 哈萨克斯坦 / 法国'],['埃米尔·拜加津'],[],"['09(威尼斯电影节)"">2018']",[],['望星集 Сіз қарап жұлдыз'],['剧情'],[''],[],[' 哈萨克语']
[' 哈萨克斯坦'],['Bolat Kalymbetov'],[],[],"['阿桑·克尔卡巴科夫', 'Zhassulan Aitenov', 'Shynar Zhanysbekova']",['塔兰 Талан'],['剧情'],[''],[],[' 哈萨克语 / 俄语']
[' 哈萨克斯坦 / 挪威 / 法国'],['埃米尔·拜加津'],['113'],['09'],[],['兄弟之河 Өзен'],['剧情'],[''],[],[' 哈萨克语']
[' 哈萨克斯坦 / 法国'],['阿迪罕·叶尔扎诺夫'],['100'],['05'],"['Dinara Baktybaeva', 'Kuandyk Dyussembaev', 'Kulzhamilya Belzhanova']",['这个世界温柔的冷漠 Әлемнің жұмсақтық мазасыздығы'],['剧情'],[''],[],[' 哈萨克语']
[' 哈萨克斯坦'],['阿坎·萨塔耶夫'],[],[],['阿勒米拉'],['托米莉斯女王 Tomyris'],"['剧情', '历史']",[''],[],[' 俄语 / 哈萨克斯坦语']
