地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 哥伦比亚 / 丹麦 / 墨西哥 / 德国 / 瑞士'],"['克丽丝蒂娜·加耶果', '西罗·格拉']",['125'],"['05', '08']","['卡米娜·马蒂内', '何塞·阿科斯塔', '娜塔利娅·雷耶斯', '约恩·纳瓦埃斯', '格雷德·梅扎', '何塞·维森特', '胡安·包蒂斯塔·马丁内斯', '米格尔·维埃拉', '塞尔希奥·科恩', '阿斯列尼斯·马尔克斯', '何塞·奈德', '扬克·迪亚兹', '维克多·蒙特罗', '华金·拉蒙', '豪尔赫·拉斯卡罗']",['候鸟 Pájaros de verano'],"['剧情', '惊悚']",['6.7'],['1174'],[' 西班牙语 / 英语 / 瓦尤语']
[' 哥伦比亚'],['Ruth Caudeli'],['93'],['10'],"['亚历杭德拉·劳拉', '西尔维亚·瓦隆', '罗伯托·卡诺', '克里斯蒂娜·莉莉', '卢纳·巴克斯特', '安娜·玛丽亚·奎拉', '克里斯蒂娜·华纳', '安德烈斯·埃斯特拉达', '大卫·奥贾沃']",['欲后 ¿Cómo te llamas?'],"['剧情', '同性']",['6.2'],['334'],[' 西班牙语']
[' 哥伦比亚'],['彼得·韦柏 '],['108'],"['03', '04']","['卡洛斯·巴登', '卡洛斯汉博陶卡马乔', '玛瑟拉·玛', 'Matthew Moreno', 'Emiliana Perina']",['顶尖扒手 Pickpockets'],['剧情'],[''],[],[' 西班牙语']
[' 巴西 / 法国 / 哥伦比亚'],['贝亚特里兹·塞格纳'],['88'],['05'],"['Marleyda Soto', '恩瑞克·迪阿斯', 'María Paula Tabares Peña', 'Adolfo Savilvino', 'Astrid Fernanda López MartÍnez', 'Doña Albina', 'Yerson Castellanos', 'Alida Pandurro', 'Heider Sanchez']",['寂静 Los silencios'],['剧情'],[''],[],[' 葡萄牙语 / 西班牙语']
[' 哥伦比亚'],['彼得·韦柏 '],['108'],"['03', '04']","['卡洛斯·巴登', '卡洛斯汉博陶卡马乔', '玛瑟拉·玛', 'Matthew Moreno', 'Emiliana Perina']",['顶尖扒手 Pickpockets'],['剧情'],[''],[],[' 西班牙语']
[' 哥伦比亚 / 法国'],['François Fleury'],[],[],[],['鱼人 Waimaha'],[],[''],[],[' 瓦马哈人语言']
[' 委内瑞拉 / 哥伦比亚'],['Patricia Ortega'],['97'],['10'],"['Belkis Avilladares', 'Lucía Bedoya', 'María Elena Duque']",['性不性不由你 Yo Imposible'],[],[''],[],[' 西班牙语']
[' 哥伦比亚'],['Enrique Castro Ríos'],['87'],['05'],"['Delicia de Montañez', 'Jeronimo Henao', 'Luis Juliao']",['十二月 Diciembres'],['剧情'],[''],[],[' 西班牙语']
[' 哥伦比亚 / 法国'],['Rubén Mendoza'],['82'],['11'],"['Sofía Paz Jara', 'Carolina Ramírez', 'Lina Marcela Sánchez']",['漂泊的少女 Niña errante'],['剧情'],[''],[],[' 西班牙语']
[' 哥伦比亚'],['Jorge Navas'],['104'],['09'],"['Rosa Esther Mosquera Aramburo', 'Duván Arizala', 'Miguel Ángel Banguela', 'Yeison Chaverra', ""Sebastián D'Angelo"", 'Jarlin Javier Martinez', 'Manuel Riascos Mena']",['热血狂徒：追梦之心 Somos Calentura: We Are The Heat'],['剧情'],[''],[],[' 西班牙语']
[' 哥伦比亚'],['Andrés Burgos'],['103'],[],"['Ana María Arango', 'Fernando Arevalo', 'Juan Pablo Barragán', 'Marcela Benjumea', 'Enrique Carriazo', 'Diego León Hoyos', 'Carolina López']","['艾玛莉亚,秘书 Amalia, la secretaria']","['剧情', '喜剧']",[''],[],[' 西班牙语']
[' 哥伦比亚 / 厄瓜多尔'],['Alfredo León León'],['100'],[],"['Natalia Reyes', '雷纳尔·戈麦兹', 'José Restrepo', 'Carlos Valencia']",['Sumergible'],['惊悚'],[''],[],[' 西班牙语']
