地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 土耳其 / 马其顿 / 法国 / 德国 / 波黑 / 保加利亚 / 瑞典'],['努里·比格·锡兰'],['188'],"['05', '06']","['岛吾·德米尔考', '穆拉特·杰姆吉尔', '本努·耶勒德热姆拉尔', '哈扎尔·埃尔居奇卢', '塞尔坎·凯斯金', '塔梅尔·莱文特', '厄内尔·埃尔坎', '里法特·桑贾尔', '阿克·阿克苏', '卡迪尔·瑟米克', '欧扎·费什特']",['野梨树 Ahlat Ağacı'],['剧情'],['8.1'],['8484'],[' 土耳其语']
[' 土耳其'],['图尔加·卡拉塞利克'],['114'],['01'],"['爱兹各.莫拉', 'Serkan Keskin', '厄康·吉赛尔', '哈坎·卡萨克', 'Seda Turkmen', 'Mustafa Kirantepe', 'Bedir Bedir', 'Murat Saglam', 'Emrullah Cakay', 'Gülcin Kultur', 'Tugce Altug', '托尔加·特肯', 'Bartu Küçükçaglayan', 'Mucahit Kocak', 'Cihat Suvarioglu']",['蝴蝶 Kelebekler'],['剧情'],['6.7'],['116'],[' 土耳其当地语言']
[' 土耳其'],['Çagatay Tosun'],[],['04'],"['Burak Özçivit', 'Kerem Bürsin', 'Melike Yalova', 'Süleyman Karaahmet', 'Sabahattin Yakut']",['捐躯 Can Feda'],"['动作', '战争']",['6.1'],['101'],[' 土耳其语']
[' 土耳其'],['Can Evrenol'],['82'],['08'],"['克莱门泰·波达兹', '大卫·樱井', 'Alicia Kapudag', 'Defne Halman', '阿里·阿克索兹', 'Resit Berker Enhos', 'Haktan Kaan Icel', 'Alper Magriso']",['家庭主妇 Housewife'],"['悬疑', '惊悚', '恐怖']",['5.0'],['172'],[' 英语']
[' 土耳其'],['Ahmet Katiksiz'],[],['12'],"['Ekin Koç', 'Farah Zeynep Abdullah', 'Fikret Kuskan', 'Sibel Tasçioglu', 'Ali Seckiner Alici', 'Serkan Ercan', 'Erdem Akakçe', 'Sekvan Serinkaya', 'Merve Altinkaya', 'Melis Sezen', 'Mert Denizmen', 'Senay Dede', 'Oguz Kara', 'Nurhan Özenen', 'Burak Tamdogan']",['我们的冠军 Bizim Için Sampiyon'],"['剧情', '爱情', '运动']",[''],[],[' 土耳其语']
[' 土耳其'],['Bora Egemen'],['112'],['02'],"['齐凡克·塔里图格', 'Büsra Develi', 'Alihan Türkdemir |']",['哈迪奥格姆 Hadi Be Oglum'],['剧情'],[''],[],[' 土耳其语']
[' 土耳其'],['Osman Nail Dogan'],['82'],[],"['Gokhan Yikilkan', 'Kutay Sandikçi']",['Güvercin Hırsızları'],['剧情'],[''],[],[' 土耳其语']
[' 土耳其'],['Osmancan Aksın'],['7'],[],[],['Bir'],[],[''],[],[]
[' 土耳其'],['Umut Aral'],[],['09'],[],['好游戏 İyi Oyun'],['运动'],[''],[],[' 土耳其语']
[' 土耳其'],['哈桑·克拉卡达'],[],[],[],['恶魔 7 Dabbe 7'],['恐怖'],[''],[],[' 土耳其语']
[' 土耳其 / 德国 / 保加利亚'],['Ömür Atay'],['103'],[],[],['Kardeşler'],[],[''],[],[' 土耳其语']
[' 土耳其'],['Kivanç Baruönü'],[],['01'],"['Cem Yilmaz', '奥赞·居文']",['科幻豪杰总动员2 Arif V 216'],"['喜剧', '动作', '爱情', '科幻', '音乐', '歌舞', '家庭', '奇幻']",[''],[],[' 土耳其语']
[' 土耳其'],['Abdurrahman Öner'],['96'],['10'],"['爱兹各.莫拉', 'Bilal Zeynel Çelik', 'Ayse Nil Samlioglu', 'Emirhan Ates', 'Mehmet Özgür', 'Banu Fotocan', 'Reha Özcan', 'Nalan Kuruçim', '娜赞·克萨尔', 'Melih Acar', 'Azmi Bulut', 'Hacer Ela Yamaç']",['人在该文 Aydede'],['剧情'],[''],[],[' 土耳其语']
