地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 塞尔维亚'],['奥涅金·格拉沃尼奇'],['98'],"['05', '11(塞尔维亚)"">2018']",[],['空间 Teret'],['剧情'],['7.2'],['166'],[' 塞尔维亚语']
[' 俄罗斯 / 波兰 / 塞尔维亚'],['小阿列克谢·日耳曼'],['126'],['02'],"['米兰·马里奇', '丹尼拉·科兹洛夫斯基', '海伦娜·苏耶茨卡', '阿尔图尔·别夏斯特内', '叶莲娜·利亚多娃', '安东·沙金', '斯维特拉纳·库德钦科娃', '彼得·戈萨沃斯基', '伊娃·格尔', '汉娜·斯莱辛斯卡']",['多甫拉托夫 Довлатов'],"['剧情', '传记']",['7.2'],['872'],[' 俄语 / 西班牙语 / 芬兰语']
[' 塞尔维亚'],['拉扎尔·博德罗扎'],['85'],['02'],"['塞巴斯蒂安·卡瓦扎', '斯托雅', '玛鲁萨·马杰尔', '科斯蒂·贝斯特曼']",['人工性智能 Ederlezi Rising'],"['剧情', '爱情', '科幻']",['5.2'],['393'],[' 英语']
[' 美国 / 塞尔维亚'],['Eric Zaragoza'],['89'],['05'],"['斯科特·阿金斯', '阿隆·麦克卡斯克', '阿拉·萨菲', '多米尼克·鲍尔', 'Arkie Reece', 'Lukas Loughran', 'Michelle Lehane', 'Milorad Kapor']",['炮火将至 Incoming'],"['动作', '科幻', '惊悚']",['3.7'],['277'],[' 英语']
[' 塞尔维亚'],['彼得·里斯多夫斯基'],['127'],['12'],[],['彼得一世 Kralj Petar I'],"['剧情', '历史', '战争']",[''],[],[' 塞尔维亚语']
[' 波黑 / 塞尔维亚'],['Sasa Hajdukovic'],['120'],[],"['Igor Đorđević', 'Nikola Pejakovic', 'Marija Pikic', 'Branko Jankovic', '乌克·科斯蒂奇', 'Ljubisa Savanovic', '法克特·萨利赫贝戈维奇', '诺瓦克·比尔比亚', 'Zeljko Stjepanovic', 'Slobodan Perisic', 'Boris Savija', 'Stojan Matavulj', 'Nikolina Jelisavac', 'Aleksandar Stojkovic', 'Zlatan Vidovic', 'Petar Bozovic', 'Tomislav Trifunovic', 'Goran Jokic', 'Danilo Poprzen', 'Vladimir Djordjevic', 'Anja Stanic', 'Miljka Brdjanin-Bajic', 'Zeljko Erkic', 'Ana Mazalica', 'Dragoslav Medojevic', 'Drasko Vidovic', 'Dean Batoz']",['Meso'],"['剧情', '惊悚', '犯罪']",[''],[],[' 塞尔维亚语']
[' 斯洛文尼亚 / 克罗地亚 / 塞尔维亚'],"['Miha Mazzini', '杜安·约西莫维奇']",['85'],[],"['Judita Frankovic', '塞巴斯蒂安·卡瓦扎', '伊兹丁·巴乔维奇', 'Doroteja Nadrah', 'Silva Cusin', 'Jernej Kogovsek', '马可·曼迪奇', 'Gregor Zorc', 'Jernej Sugman', 'Branko Zavrsan', 'Neda Bric', '芭芭拉 塞拉', 'Pia Zemljic']",['清除 Izbrisana'],['剧情'],[''],[],[' 斯洛文尼亚语']
[' 黑山 / 塞尔维亚'],['Andro Martinović'],[],[],"['拉扎尔·里斯托夫斯基', 'Tihomir Stanić', 'Srđan Grahovac']",['无尽往事 Između dana i noći'],['剧情'],[''],[],[' 塞尔维亚语']
[' 塞尔维亚'],['Dejan Zecevic'],['107'],['03'],"['普雷德拉格·埃伊杜斯', '波利斯·伊萨科维奇', 'Radovan Vujovic', 'Mladen Sovilj', 'Marta Bjelica', 'Svetozar Cvetkovic', 'Milena Djordjevic', 'Miodrag Dragicevic', 'Dara Dzokic', 'Miroljub Leso']",['犯罪分子 Izgrednici'],"['剧情', '惊悚']",[''],[],[' 塞尔维亚语']
[' 塞尔维亚'],['普雷迪拉格·安东尼耶维奇'],[],['11'],"['Ljubomir Bandovic', 'Marko Vasiljevic', 'Vuk Jovanovic']",['士兵的摇篮曲 Zaspanka za vojnike'],[],[''],[],[' 塞尔维亚语']
[' 克罗地亚 / 塞尔维亚 / 黑山共和国'],['芭芭拉·维卡里奇'],[],[],"['Tihana Lazović', 'Goran Marković']",['葡园醇夏 Aleksi'],"['剧情', '喜剧', '爱情']",[''],[],[' 克罗地亚语 Croatian']
[' 克罗地亚 / 波黑 / 塞尔维亚 / 荷兰'],['Bobo Jelčić'],[],[],"['Rakan Rushaidat', 'Miki Manojlović', 'Snježana Sinovčić Šiškov']",['独自一人 Sam samcat'],['剧情'],[''],[],[' 克罗地亚语']
[' 斯洛文尼亚 / 克罗地亚 / 塞尔维亚'],"['Miha Mazzini', '杜安·约西莫维奇']",['85'],[],"['Judita Frankovic', '塞巴斯蒂安·卡瓦扎', '伊兹丁·巴乔维奇', 'Doroteja Nadrah', 'Silva Cusin', 'Jernej Kogovsek', '马可·曼迪奇', 'Gregor Zorc', 'Jernej Sugman', 'Branko Zavrsan', 'Neda Bric', '芭芭拉 塞拉', 'Pia Zemljic']",['清除 Izbrisana'],['剧情'],[''],[],[' 斯洛文尼亚语']
[' 塞尔维亚'],['Milos Avramovic'],[],"['11(塞尔维亚)"">2018']","['米洛斯·比柯维奇', 'Miodrag Radonjic', '德拉甘·比耶洛格利奇', '内博伊沙·格洛戈瓦茨', '米洛斯·蒂莫蒂杰维奇', 'Jovana Stojiljkovic', '斯尔詹·托多罗维奇', '波格丹·迪格里克', 'Hristo Shopov', 'Ivaylo Zahariev', '亚力克斯桑德·贝奇科', '丹尼兹·阿布杜拉', '米洛什·佩特洛维奇', 'Milan Nikitovic']",['南风 Juzni vetar'],['犯罪'],[''],[],[' 塞尔维亚语']
[' 黑山 / 塞尔维亚 / 卡塔尔'],['Ivan Salatić'],['82'],['09'],"['Ivana Vuković', 'Momčilo Pićurić', 'Luka Petrone']",['夜晚属于你 Ti imaš noć'],['剧情'],[''],[],[' 英语 / 塞爾維亞語']
