地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 墨西哥 / 美国'],['阿方索·卡隆'],['135'],"['08', '12']","['雅利扎·阿巴里西奥', '玛丽娜·德·塔维拉', '迭戈·科蒂娜·奥特里', '卡洛斯·佩拉尔塔', '马科·格拉夫', '丹妮拉·德米萨', '南茜·加西亚', '维罗妮卡·加西亚', '安迪·科特斯', '费尔南多·格雷迪亚加', '豪尔赫·安东尼奥·格雷罗', '拉丁·洛弗']",['罗马 Roma'],"['剧情', '家庭']",['8.2'],['78266'],[' 西班牙语 / 米斯特克语 / 英语']
[' 墨西哥 / 加拿大'],['Andrea Bussmann'],['70'],['08'],"['Victor Pueyo', 'Fernando Renjifo', 'Ziad Chakaroun', 'Alberto Núñez', 'Gabino Rodríguez']",['浮士德 Fausto'],['剧情'],['7.1'],['59'],[' 西班牙语']
[' 墨西哥'],['阿隆索·帕拉西奥斯'],['128'],"['02', '08']","['盖尔·加西亚·贝纳尔', '雷昂那多·奥提兹格尔斯', '阿尔佛莱德·卡斯特罗', '西蒙·拉塞尔·比尔', 'Bernardo Velasco', '蕾蒂西亚·布雷戴斯', '伊尔丝·萨拉斯', '莉萨·欧文']",['博物馆 Museo'],"['剧情', '犯罪']",['6.8'],['152'],[' 西班牙语']
[' 哥伦比亚 / 丹麦 / 墨西哥 / 德国 / 瑞士'],"['克丽丝蒂娜·加耶果', '西罗·格拉']",['125'],"['05', '08']","['卡米娜·马蒂内', '何塞·阿科斯塔', '娜塔利娅·雷耶斯', '约恩·纳瓦埃斯', '格雷德·梅扎', '何塞·维森特', '胡安·包蒂斯塔·马丁内斯', '米格尔·维埃拉', '塞尔希奥·科恩', '阿斯列尼斯·马尔克斯', '何塞·奈德', '扬克·迪亚兹', '维克多·蒙特罗', '华金·拉蒙', '豪尔赫·拉斯卡罗']",['候鸟 Pájaros de verano'],"['剧情', '惊悚']",['6.7'],['1174'],[' 西班牙语 / 英语 / 瓦尤语']
[' 法国 / 墨西哥 / 瑞士'],['扬·冈扎乐兹'],['102'],"['05', '06']","['凡妮莎·帕拉迪丝', '凯特·莫兰', '尼古拉斯·莫瑞', '乔纳森·日奈', '哈立德·俄卢阿什', '费利克斯·马利陶德', '贝特朗·芒蒂格', '彼埃尔·皮罗尔', '罗曼娜·波琳热', '埃琳娜·勒文松', '亚纳·柯勒特', '雅各·诺勒', '弗洛伦斯·焦尔杰蒂', '娜塔莉·理查德']",['刺心 Un couteau dans le cœur'],"['剧情', '惊悚', '同性', '犯罪']",['6.7'],['3873'],[' 法语 / 西班牙语']
[' 墨西哥 / 法国 / 德国'],['卡洛斯·雷加达斯'],['173'],['09'],"['卡洛斯·雷加达斯', 'Phil Burgers', '吕特·雷加达斯']",['我们的时光 Nuestro tiempo'],['剧情'],['6.3'],['207'],[' 西班牙语']
[' 哥斯达黎加 / 墨西哥'],['Ishtar Yasin Gutierrez'],['92'],[],"['玛丽亚·德·梅黛洛', 'Ishtar Yasin Gutierrez', 'Grettel Méndez']",['两个弗里达 Dos Fridas'],['剧情'],['5.8'],['103'],[' 西班牙语']
[' 墨西哥 / 荷兰'],['塞瓦斯蒂安·奥夫曼'],['96'],"['01', '08', '08']","['路易斯·赫拉尔多·门德斯', '米格尔·罗达特', 'RJ·米特', '卡珊德拉·钱盖罗蒂', '蒙特塞拉特·马拉尼翁', '安德烈·阿尔梅达', '雨果·阿伯瑞斯', 'Pablo Guisa Koestinger', 'Alejandro Sánchez de la Peña', 'Bernardo Vega']",['分时度假 Tiempo Compartido'],['剧情'],['5.3'],['91'],[' 西班牙语 / 英语']
[' 墨西哥'],['Diego Cohen'],['77'],['07'],"['Francisca Lozano', 'Roberto Beck', 'Walter Bercht', 'Victor Bonilla', 'Diego Cohen', 'Oliver Nava', 'Eduardo Negrete', 'Arantza Ruiz', 'Claudia Zepeda']",['罗米娜 romina'],"['惊悚', '恐怖']",['2.7'],['163'],[' 西班牙语']
[' 墨西哥'],['Jorge Pérez Solano'],['104'],[],[],['墨西哥黑人 La Negrada'],['剧情'],[''],[],[' 西班牙语']
[' 德国 / 冰岛 / 墨西哥 / 美国'],['Maria Solrun'],['72'],['02'],"['马格努斯·马里乌森', 'Ester Tompa', 'Floriane Daniel', 'Julia Kratz', 'Hans Brückner', 'Gabo Hoog', 'Matthias Renner']",['亚当 Adam'],['剧情'],[''],[],[' 德语 / 英语']
[' 墨西哥'],['Marco Polo Constandse'],[],['02'],"['凯特·维隆', '莱安·卡勒斯', '奥马尔·查帕罗', 'Marimar Vega', 'Jesús Zavala', '托尼·达尔顿', 'Christian Tappán', 'Sabine Moussier', 'Prosha Hussein', 'Harding Junior', 'Ingrid Dion', 'Yolanda Abbud L.', 'Álvaro Carcaño', 'Amparo Barcia']",['瓦伦蒂娜的婚礼 La Boda de Valentina'],"['喜剧', '爱情']",[''],[],[' 西班牙语 / 英语']
