地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 德国 / 奥地利 / 法国'],['艾米莉·阿特夫'],['115'],"['02', '04']","['玛丽·博伊默', '比吉特·米尼希迈尔', '查理·哈纳', '罗伯特·格维斯戴克', '德尼·拉旺', '克里斯托弗·巴克霍尔兹', '薇姬·克里普斯']",['基伯龙三日 3 Tage in Quiberon'],['剧情'],['7.3'],['797'],[' 德语 / 法语 / 英语']
[' 德国 / 奥地利'],['沃尔夫冈·费希尔'],['94'],['02'],"['苏珊·沃尔夫', 'Gedion Oduor Wekesa', 'Felicity Babao', '亚历山大·拜尔', '伊嘉·比肯费尔德', 'Anika Menger']",['怒海仁心 Styx'],['剧情'],['7.0'],['68'],[' 德语']
[' 德国 / 奥地利 / 荷兰'],['Miguel Alexandre'],[],['03'],"['弗洛伦丝·卡松巴', '约瑟夫·哈德', '汉娜·霍克斯特拉', '赖纳·博克', 'Errol Trotman-Harewood']",['亚瑟与克莱尔 Arthur &amp; Claire'],"['剧情', '喜剧']",['7.0'],['65'],[' 德语 / 英语 / 荷兰语']
[' 斯洛伐克 / 捷克 / 奥地利'],['马丁·苏力克'],['113'],"['02', '03']","['伊利·曼佐', '彼得·西蒙尼舍克', '苏珊娜·莫拉利', 'Attila Mokos', 'Anna Rakovska', 'Eva Kramerová', 'Karol Simon', 'Judita Hansman', 'Igor Hrabinský', 'Réka Derzsi']",['二战忏悔路 Tlmočník'],['剧情'],['6.9'],['102'],[' 德语 / 斯洛伐克语 / 俄语']
[' 奥地利'],['苏达贝∙摩特扎伊'],['99'],['10'],"['Anwulika Alphonsus', 'Mariam Sanusi', 'Angela Ekeleme']",['欢乐 Joy'],['剧情'],['6.2'],['75'],[' 英语 / 德语']
[' 奥地利'],['Katharina Mückstein'],['100'],['03'],"['凯思琳·莱斯塔利茨', '多米尼克·马库斯·辛格', '吉塞拉·萨赫', 'Sophie Stockinger', 'Dominik Warta', 'Julia Franz Richter', 'Jack Hofer', 'Simon Morzé', 'Stefan Pohl', 'Lucia Zamora Campos', 'Eva Herzig']",['动物 L&#39;Animale'],['剧情'],['6.2'],['223'],[' 德语']
[' 埃及 / 美国 / 奥地利'],['A·B·舒基'],['97'],['05'],"['Rady Gamal', 'Ahmed Abdelhafiz', '沙希拉·法赫米', 'Mohamed Abdel Azim', 'Osama Abdallah', 'Shehab Ibrahim']",['审判日 يوم الدين'],"['剧情', '喜剧', '冒险']",['5.8'],['66'],[' 阿拉伯语']
[' 奥地利'],['贾斯汀·P·兰格'],['95'],"['04', '10']","['纳迪娅·亚历山大', '托比·尼克尔斯', '卡尔·马克维斯', '莎拉·墨菲-戴森', '丹·贝尔尼', '玛格丽特·提塞尔', '迪伦·特罗布里奇', '斯科·博丹', '克里斯·法夸尔']",['黑暗 The Dark'],['恐怖'],['5.6'],['411'],[' 英语']
[' 德国 / 奥地利'],['尼古拉斯·莱特纳'],['117'],['11'],"['布鲁诺·甘茨', '约翰内斯·克里施', '卡罗莉内·艾希霍恩']",['烟草商 Der Trafikant'],['剧情'],[''],[],[' 德语']
[' 奥地利'],"['Kelly Copper', 'Pavol Liska']",['90'],['11'],"['Andrea Mackris', 'Greta Kostka', 'Klaus Unterrieder']",['死者的孩子 Die Kinder der Toten'],"['喜剧', '悬疑', '恐怖']",[''],[],[' 德语']
[' 瑞典 / 奥地利 / 克罗地亚'],['贾斯珀·加斯兰特'],[],"['01', '04']","['贾斯珀·加斯兰特', 'Christopher Wagelin', 'Anna Littorin', 'Marita Fjeldheim Wierdal', 'Hunter Ganslandt', 'Karin Hennie', 'Ella Wagelin', 'Adela Wagelin']",['吉米 Jimmie'],['剧情'],[''],[],[' 瑞典语 / 德语 / 克罗地亚语']
[' 奥地利'],['Alexandra Liedtke'],[],['05'],"['阿兰尼亚', '艾琳娜·格朗查', 'Carlos Álvarez', 'Sorin Coliban']",['Samson et Dalila (Wiener Staatsoper)'],"['音乐', '戏曲']",[''],[],[' 法语']
[' 奥地利'],['Romeo Castellucci'],[],[],"['John Daszak', 'Anna Maria Chiuri', 'Asmik Grigorian', 'Gábor Bretz', 'Julian Prégardien']",['莎乐美 Salome (2018 Salzburg Festival)'],"['音乐', '戏曲']",[''],[],[' 德语']
[' 奥地利'],[],[],[],[],['aufbruch'],[],[''],[],[]
[' 奥地利'],[],[],[],[],['Dennstein &amp; Schwarz'],[],[''],[],[]
[' 奥地利 / 美国'],['Peter Brunner'],['95'],['07'],"['卡赖伯·兰德里·琼斯', 'Eleonore Hendricks', '阿比·丽', 'Jana McKinnon', 'Christos Haas', 'Bodhi Mitchell', 'Hudson Mitchell', 'William L. Schaefer', 'Eleni Mitchell', 'Sam Stillman', 'Jon Konkol', 'Jimmy Rusty James', 'Leafy Wind Dragon', 'Vanessa Garcia', 'Miguel Andjular', 'John Anantua', 'Gregory Baron', 'Donté Bouyer', 'Tico Flores', 'Benjamin Gavron', 'Robert House', '克里斯托弗·乔恩·贡博什', 'Lynn Marocola', 'Alan Rowe Kelly']",['来到夜晚 To the Night'],['剧情'],[''],[],[' 英语']
[' 奥地利'],['Lukas Marxt'],['63'],[],[],['Victoria'],[],[''],[],[' 英语']
