地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 巴西 Brazil'],['朱丽娅·海仁德'],['107'],['08'],"['西尔维欧·圭恩丹尼', '黛博拉·拉姆', '法比乌娜·那西门托', '马塞罗·瓦列']",['残酷的生活 Como é Cruel Viver Assim'],['喜剧'],[''],[],[' 葡萄牙语 Portuguese']
[' 葡萄牙 Portugal / 巴西 Brazil'],['Paulo Leite'],['90'],['09'],"['Celia Williams', 'Elizabeth Bochmann', 'Iris Cayatte']",['心魔炼狱 Inner Ghosts'],['恐怖'],[''],[],[' 英语']
[' 以色列 Israel / 巴西 Brazil'],['Jorge Gurvich'],['90'],[],"['Asaf Goldstien', '安东尼奥·贝特林']",['Back To Maracanã'],['剧情'],[''],[],[' 希伯来语 Hebrew']
[' 巴西 Brazil'],['Dennison Ramalho'],['104'],['07'],"['丹尼尔·德·奥利维拉', '法比乌娜·那西门托', '比安卡·孔帕拉托']",['守灵人 Morto Não Fala'],"['悬疑', '惊悚', '恐怖']",[''],[],[' 葡萄牙语 Portuguese']
[' 阿根廷 Argentina / 巴西 Brazil / 荷兰 Netherlands / 德国'],['Mónica Lairana'],['95'],['02'],"['Alejo Mango', 'Sandra Sandrini']",['别离床爱 La Cama'],['剧情'],[''],[],[' 西班牙语']
[' 巴西 Brazil'],['Mathias Mangin'],[],['10'],"['玛丽娅路易莎蒙多卡', 'Daniela Glamour Garcia', '卢塞·德·索萨']",['Horatio'],['剧情'],[''],[],[' 葡萄牙语 Portuguese']
[' 巴西 Brazil'],['若瑟·阿尔瓦亨伽·朱尼尔'],['120'],['09'],"['丹尼尔·德·奥利维拉', '欧斯玛·普拉多', 'Ravel Andrade', 'Spencer Callahan', '桑德拉·科维洛尼', 'J·G·富兰克林', '克莉·弗雷塔斯', '里卡多·盖利', '米格尔·皮涅罗', 'Leandro Santanna', '塞缪尔·托莱多', '克里斯蒂安诺·托黒昂']",['决胜十秒钟 10 Segundos para Vencer'],"['剧情', '运动']",[''],[],[' 葡萄牙语 Portuguese']
[' 巴西 Brazil'],['亨利克·戈德曼'],['98'],['08'],"['安德瑞马托斯', '马修斯·纳克加勒', 'Marie Paquim']",['死亡的名义 O Nome da Morte'],"['传记', '犯罪']",[''],[],[' 葡萄牙语']
[' 巴西 Brazil'],[],[],[],[],['Meu Nome é Daniel'],[],[''],[],[]
[' 美国 / 巴西 Brazil'],['Pedro Varela'],[],[],"['艾丽·巴姆博', '詹姆斯·弗兰切威勒']",['The Seven Sorrows of Mary'],"['剧情', '犯罪']",[''],[],[' 英语']
[' 巴西 Brazil'],['Lui Farias'],[],[],"['Chay Suede', 'Gabriel Leone', 'Vinicius Alexandre']",['Minha Fama de Mau'],"['剧情', '传记']",[''],[],[' 葡萄牙语 Portuguese']
