地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 巴西'],['蒂亚戈·阿拉基利安'],['95'],['05'],"['何塞·阿布雷乌', '卢塞·德·索萨', '勒琪霞·依斯纳德', '爱莎·杨波', '玛丽安娜·利马', '丹通·梅罗', '得德·桑塔纳']",['在我遗忘之前 Antes Que Eu Me Esqueça'],"['剧情', '喜剧']",['7.7'],['197'],[' 葡萄牙语']
[' 巴拉圭 / 德国 / 乌拉圭 / 巴西 / 挪威 / 法国'],['马塞洛·马蒂内斯'],['98'],"['02', '04']","['安娜·布伦', '玛加丽塔·伊伦', '安娜·伊万娜娃', '尼尔达·冈萨雷斯', '玛丽亚·马丁斯', '阿丽西亚·格拉', '海吉娜·杜阿尔奇']",['女继承者 Las herederas'],"['剧情', '同性']",['7.2'],['1799'],[' 西班牙语 / 瓜拉尼语']
[' 巴西'],"['菲利普·马泽蒙巴彻尔', '马西奥·海奥隆']",['118'],['02'],"['希科·梅尼加特', '布鲁诺·费尔南德斯', '盖加·佩克索托', '桑德拉·达妮', '弗雷德里科·瓦斯奎斯']",['涂样人生 Tinta Bruta'],"['剧情', '同性']",['7.1'],['1035'],[' 葡萄牙语']
[' 巴西'],"['Gustavo Steinberg', 'Gabriel Bitar', 'André Catoto']",['73'],['06'],"['马修斯·纳克加勒', '丹妮斯·弗拉加', '马德伍斯·索兰诺', 'Otávio Augusto']",['提托与鸟儿们 Tito e os Pássaros'],"['剧情', '动作', '动画']",['6.7'],['67'],[' 葡萄牙语']
[' 巴西 / 葡萄牙'],"['Renée Nader Messora', '若昂·萨拉维扎']",['114'],['05'],"['Henrique Ihjãc Krahô', 'Raene Kôtô Krahô']",['死人和其他人 Chuva E Cantoria Na Aldeia Dos Mortos'],['剧情'],['6.5'],['72'],[' 葡萄牙语']
[' 阿根廷 / 巴西 / 德国 / 法国 / 荷兰'],['本哈明·奈斯塔特'],['109'],['09'],"['阿尔佛莱德·卡斯特罗', '达里奥·格兰迪内蒂', '安德丽娅·弗里杰里奥']",['罗霍 Rojo'],['剧情'],['6.4'],['92'],[' 西班牙语']
[' 智利 / 巴西 / 阿根廷 / 荷兰 / 卡塔尔'],['多明加·索托迈约·卡斯蒂略 Dominga Sotomayor Castillo'],['110'],['08'],"['Demian Hernández', 'Antar Machado', 'Magdalena Tótoro', 'Matías Oviedo']",['死在青春 Tarde para morir joven'],['剧情'],['6.4'],['153'],[' 西班牙语']
[' 中国大陆 / 印度 / 巴西 / 俄罗斯 / 南非'],"['刘雨霖', '丹妮拉·托马斯', '伊丽莎维塔·斯蒂肖娃', '阿什维尼·伊耶·蒂瓦里', '萨拉·布兰克']",['99'],['10'],"['玛丽亚·海伦娜·迪拉兹', '翟·巴普蒂斯塔', '奥嘉·多布里娜', '亚历山大·库丁', '沙克希·坦沃', '王珞丹', '刘蓓', '宗平', '曼迪萨·恩杜纳']",['半边天'],['剧情'],['6.1'],['441'],[' 汉语普通话 / 印地语 / 葡萄牙语 / 俄语 / 英语']
[' 葡萄牙 / 法国 / 巴西'],"['加布里埃尔·阿布兰特斯', '丹尼尔·施密特']",['92'],['05'],['卡里托·科塔'],['迪亚曼蒂诺 Diamantino'],"['剧情', '喜剧', '科幻', '奇幻']",['5.8'],['249'],[' 葡萄牙语']
[' 巴西'],['Rodrigo Bernardo'],[],['07'],"['马德伍斯·索兰诺', '比安卡·孔帕拉托', '桃奇娅·梅莱赖斯', 'Thaila Ayala', '保罗·维列纳', '娜塔莉亚·迪尔', 'Jacqueline Sato', '马库·鲁克', '辛西娅·尼克松', 'Dani Calabresa', 'João Côrtes']",['或许是爱情故事 Talvez Uma História de Amor'],"['喜剧', '爱情']",[''],[],[' 葡萄牙语 / 英语']
[' 巴西'],['Victor Fisch'],[],[],[],['Gaiola'],[],[''],[],[]
[' 巴西'],['Marcus Baldini'],['90'],['07'],"['Tatá Werneck', '卡瓦·雷蒙德']",['Uma Quase Dupla'],"['剧情', '喜剧']",[''],[],[' 葡萄牙语']
[' 巴西'],['Cibele Amaral'],['103'],[],[],['Rir Para Não Chorar'],['喜剧'],[''],[],[' 葡萄牙语']
[' 巴西'],['Augusto Sevá'],[],[],[],['Tais &amp; Taiane'],[],[''],[],[]
[' 巴西'],['Bruna Carvalho Almeida'],[],[],[],['鲍曼家族的年轻人 Os Jovens Baumann'],[],[''],[],[' 葡萄牙语']
[' 巴西'],['Fernanda Teixeira'],[],[],[],['o que resta'],[],[''],[],[]
[' 巴西'],['保洛·萨克拉门托'],['98'],[],"['Rodrigo Lombardi', 'Maria Luiza Mendonça']",['O Olho e a Faca'],[],[''],[],[' 葡萄牙语']
[' 巴西'],[],[],[],[],['45 Dias Sem Você'],[],[''],[],[]
[' 巴西'],['ROBNEY BRUNO ALMEIDA'],['104'],[],[],['Dias Vazios'],[],[''],[],[]
[' 巴西'],['Botika'],[],[],[],['Tanto Faz'],[],[''],[],[]
[' 阿根廷 / 巴西'],['安娜·卡兹'],['103'],['07'],['梅赛黛斯·莫朗'],['只有弗洛 Sueño Florianópolis'],['喜剧'],[''],[],[' 西班牙语 / 葡萄牙语']
[' 巴西'],[],[],[],[],['Top 10 Places to Visit in São Paulo'],[],[''],[],[]
[' 巴西'],['Tavinho Teixeira'],[],[],"['Tavinho Teixeir', 'Mariah Teixeira', 'Ney Matogrosso', 'Mauro Soares']",['丛林天堂 Sol alegria'],['喜剧'],[''],[],[' 葡萄牙语']
[' 巴西'],['Hique Montanari'],['88'],['08'],"['Thalles Cabral', 'Nélson Diniz', 'Douglas Florence', 'Lorena Lorenzo', 'Leonardo Machado', 'Áquila Mattos', 'Frederico Restori', 'Anderson Salles', 'Victória Sanguiné', 'Mirna Spritzer', 'Liane Venturella', 'Rodrigo Waschburger']",['YONLU'],"['剧情', '音乐', '传记']",[''],[],[' 葡萄牙语']
[' 葡萄牙 / 巴西 / 法国'],['Sergio Trefaut'],['84'],['10'],"['塞尔希·洛佩斯', '卡塔丽娜·瓦朗丝坦', '罗基里奥·萨莫拉']",['愤怒 Raiva'],['剧情'],[''],[],[' 葡萄牙语']
[' 巴西'],['Vicente Amorim'],['92'],['03'],"['Emílio de Mello', 'Juliana Lohmann', 'Carla Salle', '帕布鲁·萨那彼欧 Pablo Sanábio']",['摩托车 Motorrad'],[],[''],[],[' 葡萄牙语']
[' 巴西'],['Marina Meliande'],['94'],['01'],"['Marina Provenzzano', 'Pedro Gracindo', 'Analu Prestes', 'Igor Angelkorte']",['闷热 Mormaço'],['剧情'],[''],[],[' 葡萄牙语']
[' 巴西'],['Luis Pinheiro'],['87'],[],"['黛博拉·赛科', '阿勒桑德拉·内格里尼', 'Mônica Iozzi', '玛利亚·卡萨德瓦尔', '塞尔吉奥·古伊泽']",['寻求改变的女人 Mulheres Alteradas'],['喜剧'],[''],[],[' 葡萄牙语']
[' 巴西'],"['Ary Rosa', 'Glenda Nicácio']",[],[],[],['Ilha'],[],[''],[],[]
[' 巴西'],"[""André D'Elia""]",[],[],[],['Ser Tão Velho Cerrado'],[],[''],[],[]
[' 巴西'],['Eliézer Rolim'],['105'],[],['Carlos Anisio E Rieg Rodig'],['Beiço De Estrada'],['剧情'],[''],[],[' 葡萄牙']
[' 巴西'],[],[],[],['Melina Calazans'],['O Colar de Coralina'],[],[''],[],[]
[' 巴西'],['埃托尔·达利亚'],[],[],[],['Tungstênio'],[],[''],[],[]
[' 巴西'],['Alex Moratto'],['71'],['09'],"['Christian Malheiros', 'Tales Ordakji', 'Caio Martinez Pacheco', 'Rosane Paulo', 'Jayme Rodrigues']",['苏格拉底 Socrates'],['剧情'],[''],[],[' 葡萄牙语']
[' 巴西'],['Alexandre Avancini'],['134'],['03'],"['Petronio Gontijo', 'Day Mesquita', '贝丝·古拉特', '达尔顿·维格', '安德烈·贡萨尔维斯', '马尔塞洛·艾罗蒂', 'Laurent Andruet', 'Greta Antoine', 'Rafael Awi', 'Enzo Barone', 'Kathia Calil', 'Paulo Coronato', 'Camila Czerkes', 'Larissa Ferrara', '里昂纳多·佛朗哥']",['失去了什么 Nada a Perder'],"['剧情', '传记']",[''],[],[' 葡萄牙语']
[' 巴西'],['卡里姆·埃诺兹'],[],[],[],['The Invisible Life of Euridice Gusmão'],[],[''],[],[]
