地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 希腊 / 波兰'],['巴比斯·马克里迪斯 Babis Makridis'],['97'],['01'],"['Evdoxia Androulidaki', '马基斯·帕帕季米特里乌 Makis Papadimitriou', 'Yannis Drakopoulos', 'Georgina Chryskioti', 'Evi Saoulidou']",['怜悯 Oίκτος'],['剧情'],['7.0'],['185'],[' 希腊语']
[' 南非 / 法国 / 希腊 / 波兰'],['艾蒂安·卡洛斯'],['106'],['05'],"['Danny Keogh', 'Benré Labuschagne', '亚历克斯·范·迪克', 'Juliana Venter', '布伦特·韦尔默朗', '莫尔纳·维瑟', '埃里卡·韦塞尔斯']",['收割者 Die Stropers'],"['剧情', '同性']",['7.0'],['63'],[' 南非语 / 英语']
[' 德国 / 希腊 / 塞浦路斯'],['Marios Piperides'],['93'],['04'],"['亚当·布斯多柯斯', '法提赫·阿尔', 'Vicky Papadopoulou', 'Özgür Karadeniz']",['萌犬偷渡记 Smuggling Hendrix'],"['剧情', '喜剧']",['6.6'],['71'],[' 英语 / 希腊语 / 土耳其语']
[' 希腊'],['史蒂夫·克里克里斯'],['104'],['11'],"['阿利斯·塞勒维塔利斯', '雅尼斯·斯坦科格鲁', 'Alexandros Mavropoulos', 'Eleana Finokalioti', 'Chiara Gensini', 'Yorgos Glastras', '玛丽亚·卡利马尼', 'Antonis Myriagos']",['侍者 The Waiter'],['悬疑'],['6.4'],['97'],[' 希腊语']
[' 希腊 / 法国 / 塞尔维亚'],['Nikos Labôt'],['90'],['09'],"['玛丽萨·特里安德菲里都', 'Dimitris Imellos', 'Maria Filini', 'Eleni Karagiorgi', 'Konstantinos Gogoulos', 'Eirini Asimakopoulou', 'Danae Primali', 'Dimitra Vlagopoulou', 'Orfeas Aggelopoulos', 'Georgia Tsagaraki', 'Areti Seidaridou', 'Ioanna Mavrea', 'Nikol Drizi', 'Youla Boudali', 'Spyros Kribalis']",['工作的她 Η Δουλειά της'],['剧情'],[''],[],[' 希腊语']
[' 希腊 / 法国 / 拉脱维亚'],['Angelos Frantzis'],['128'],[],"['Katia Goulioni', '安德烈亚斯·康斯坦丁诺', 'Indra Burkovska']",['Still River'],['剧情'],[''],[],[' 希腊语 / 英语 / 俄语']
[' 英国 / 希腊'],['Konstantinos Menelaou'],['74'],[],"['Hermes Pittakos', 'Sanuye Shoteka', 'Thanos Lekkas']",['他爱我 He Loves Me'],"['爱情', '同性']",[''],[],[' 希腊语']
[' 墨西哥 / 美国 / 希腊 / 多米尼加'],['班尼·科什努迪'],['88'],[],"['Arash Marandi', 'Flor Eduarda Gurrola', '路易斯·阿伯提', '埃利希奥·梅兰德斯', 'Eduardo Mendizábal', 'Edwarda Gurrola', 'Uriel Ledesma', 'Ishbel Mata']",['萤火虫 Luciérnagas'],"['剧情', '同性']",[''],[],[' 西班牙语 / 英语 / 波斯语']
[' 希腊'],['乔治·潘索波洛斯'],[],[],"['Margarita Panousopoulou', 'Babis Hatzidakis', 'Foteini Tsakiri', 'Serge Requet-Barville', 'Giannis Hatzigiannis', 'Stavros Mermigis', 'Ilias Gianiris', 'Kostas Plakas', 'Petos Habas', 'Thanos Pritsas']",['在这片土地上，没有人知道如何哭泣 Σ&#39;αυτή τη χώρα κανείς δεν ήξερε να κλαίει'],['喜剧'],[''],[],[' 希腊语']
[' 希腊'],"['Aliki Danezi-Knutsen', 'Antje Rau', 'Master Tang Tung Wing']",['91'],[],"['吴耀汉', '泰米丝·芭查卡', 'Katerina Misichroni', '雅尼斯·斯坦科格鲁', 'Nicholas Goh', 'Koulis Nikolaou', 'Chris Li', 'Jacqueline Chang']",['唐人街：三间庇护所 Chinatown: The Three Shelters'],"['剧情', '动作', '冒险']",[''],[],[' 英语']
[' 希腊'],['Lucas Paleocrassas'],['63'],['03'],[],['Citizen Xenos'],[],[''],[],[]
[' 德国 / 希腊'],['Rebekka Kaufmann'],['65'],[],[],['We Own the Crisis'],[],[''],[],[' 德语 / 希腊语']
[' 希腊'],"['Xenofon Vardaros', 'Giannis Xydas']",[],[],[],['Οι Παρτιζανοι των Αθηνων'],[],[''],[],[]
