地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 意大利'],['斯蒂法诺·摩尔蒂尼'],['102'],['12'],"['里卡多·斯卡马乔', '米莱姆·里昂', '马丽娅·派雅托', '法布里齐奥·本蒂沃利奥', '萨拉·卡迪纳莱蒂', '尼古拉·潘内利', '塞尔吉奥·罗马诺', '阿斯卡尼奥·巴尔博', '保罗·桑博', '杰拉尔多·德布拉西奥', '亚历山德拉·卡里略']",['看不见的客人(意大利版) Il testimone invisibile'],"['剧情', '悬疑', '惊悚', '犯罪']",['9.0'],['3740'],[' 意大利语']
[' 德国 / 意大利'],['弗洛里安·亨克尔·冯·多纳斯马尔克'],['189'],"['09', '10']","['汤姆·希林', '塞巴斯蒂安·科赫', '葆拉·贝尔', '莎斯琪亚·罗森道尔', '奥利弗·马苏奇', '叶甫根尼·希迪金', '马克·扎克', '乌尔里克·C·扎勒', '巴斯蒂安·特罗斯特', '汉斯-尤韦·鲍尔', '汉诺·科夫勒', '辛纳克·勋纳曼', '詹妮特·海因', '乔切·舒托夫', '约翰娜·加斯多夫', '弗罗里安·巴西奥罗麦', '本·贝克']",['无主之作 Werk ohne Autor'],['剧情'],['8.6'],['21864'],[' 德语 / 俄语']
[' 意大利 / 瑞士 / 法国 / 德国'],['阿莉切·罗尔瓦赫尔'],['127'],"['05', '05']","['阿德里亚诺·塔尔迪奥洛', '阿涅塞·格拉齐亚尼', '卢卡·奇科瓦尼', '阿尔巴·罗尔瓦赫尔', '塞尔希·洛佩斯', '纳塔利诺·巴拉索', '托马索·拉尼奥', '尼可莱塔·布拉斯基', '达里亚·帕斯卡·阿托利尼', '达维德·登奇', '帕斯夸丽纳·斯昆恰']",['幸福的拉扎罗 Lazzaro felice'],"['剧情', '奇幻']",['8.6'],['59145'],[' 意大利语']
[' 意大利 / 阿尔巴尼亚 / 阿根廷'],['保罗·祖卡'],['103'],[],"['Jacopo CULLIN', 'Stefano FRESI', '弗朗西斯科·潘诺菲诺', 'Benito URGU']",['买月亮的人 The Man Who Bought the Moon'],['剧情'],['8.3'],['171'],[' 意大利语 / 英语']
[' 英国 / 比利时 / 意大利 / 德国'],['鲁伯特·艾弗雷特'],['105'],"['01', '06']","['鲁伯特·艾弗雷特', '科林·费尔斯', '艾米丽·沃森', '科林·摩根', '埃德温·托马斯', '汤姆·威尔金森', '安娜·钱斯勒', '朱利安·沃德姆', '碧翠斯·黛尔', '安德烈·彭文', '约书亚·麦圭尔', '克里斯蒂安·布朗查特', '奥利弗·凯特', '罗纳德·皮卡普', '约翰·斯坦丁', '本杰明·沃辛', '丹尼尔·韦曼']",['快乐王子 The Happy Prince'],"['剧情', '同性', '传记']",['7.2'],['3983'],[' 英语 / 意大利语 / 法语']
[' 意大利 / 法国'],['保罗·索伦蒂诺'],['104'],['04'],"['托尼·塞尔维洛', '艾莱娜·索菲亚·里奇', '里卡多·斯卡马乔', '卡夏·斯穆特尼亚克', '尤丽狄茜·艾克斯顿', '法布里齐奥·本蒂沃利奥', '罗伯托·德·弗朗西斯科', '达里奥·坎塔雷利', '安娜·博纳奥图', '乔瓦尼·埃斯波西托', 'Ugo Pagliai', '瑞奇·孟菲斯']",['他们 Loro 1'],['传记'],['7.1'],['200'],[' 意大利语']
[' 意大利'],['保拉·兰迪'],['90'],['01'],"['瓦莱里奥·马斯坦德雷亚', '克蕾曼丝·波西', 'Luca Esposito', 'Chiara Stella Riccio', 'Miguel Herrera', '约翰·基奥', 'Gianfelice Imparato', 'Natalie Spencer', '亨特·特里梅恩', 'Eric Masip', 'Sebastian Montecino']",['迪多小子 Tito e gli alieni'],"['喜剧', '科幻']",['7.0'],['115'],[' 意大利语 / 英语']
[' 意大利'],['加布里埃莱·穆奇诺'],['105'],['02'],"['斯蒂芬努·阿科西', '卡罗利娜·克雷申蒂尼', '埃琳娜·库奇', '皮耶尔弗兰切斯科·法维诺', '克劳迪亚·杰里尼', '马西莫·吉尼', '萨布里娜·因帕恰托雷', '桑德拉·米洛', '斯特法尼娅·桑德雷利', '瓦莱丽亚·索拉里诺', '吉安马可·托格纳奇', '蒂亚·法蔻']",['完美家庭 A casa tutti bene'],"['剧情', '喜剧', '爱情']",['6.9'],['439'],[' 意大利语']
[' 意大利 / 法国'],['马提欧·加洛尼'],['102'],"['05', '05']","['马尔切洛·丰特', '爱德华多·佩谢', '农齐娅·斯基亚诺', '亚当·迪奥尼西', '弗朗西斯科·阿克夸利', '阿利达·巴尔达里·卡拉布里亚', '阿涅洛·阿雷纳']",['犬舍惊魂 Dogman'],"['剧情', '惊悚', '犯罪']",['6.8'],['4131'],[' 意大利语']
[' 意大利 / 美国'],['卢卡·瓜达尼诺'],['152'],"['09', '11']","['达科塔·约翰逊', '蒂尔达·斯文顿', '科洛·莫瑞兹', '米娅·高斯', '杰西卡·哈珀', '西尔维·泰斯蒂', '安吉拉·温科勒', '玛高莎·贝拉', '英格丽·卡文']",['阴风阵阵 Suspiria'],"['惊悚', '恐怖']",['6.7'],['19604'],[' 英语 / 德语 / 法语']
