地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 拉脱维亚'],['伊娜拉·科尔曼'],['104'],['04'],"['Ruta Kronberga', 'Elina Vane', 'Arturs Skrastins', 'Gundars Abolins', 'Lauma Balode', 'Lolita Cauka', 'Vilis Daudzins', 'Maija Doveika', 'Peteris Liepins', 'Lilita Ozolina', 'Intars Resetins', '古娜·扎丽娜']",['比莱 Bille'],['剧情'],['8.1'],['128'],[' 拉脱维亚语']
[' 拉脱维亚'],['Davis Simanis Jr.'],['90'],['10'],"['Dainis Grube', 'Arturs Skrastins', 'Steffen Scheumann']",['转移者 Tēvs Nakts'],['家庭'],[''],[],[' 拉脱维亚语 / 德语 / 意第绪语']
[' 拉脱维亚 / 英国'],['埃加斯·格罗巴'],[],['01'],"['埃德温·安德烈', '詹姆斯·布鲁尔', 'Dainis Grube', 'Gints Andzans', 'Maya Arwen', '艾斯特·蒂奇', 'Christopher Dane']",['异教徒之王 Nameja gredzens'],"['剧情', '动作', '历史']",[''],[],[' 英语 / 拉脱维亚语']
[' 希腊 / 法国 / 拉脱维亚'],['Angelos Frantzis'],['128'],[],"['Katia Goulioni', '安德烈亚斯·康斯坦丁诺', 'Indra Burkovska']",['Still River'],['剧情'],[''],[],[' 希腊语 / 英语 / 俄语']
[' 拉脱维亚 / 法国'],['Jāņa Ābele'],['79'],['10'],"['Raimonds Celms', 'Jana Herbsta', 'Emmanuel Mouret', 'Leons Leščinskis']",['7 Miljardi Gadu Pirms Pasaules Gala'],"['剧情', '爱情']",[''],[],[' 拉脱维亚语 / 法语 / 英语']
[' 拉脱维亚 / 波兰'],['Edmunds Jansons'],['70'],['10'],"['Līga Gaisa', 'Luīze Pastore']","['雅各布，米米和会说话的狗 Jēkabs, Mimmi un runājošie suņi']","['动画', '家庭', '冒险']",[''],[],[' 拉脱维亚语']
[' 拉脱维亚'],['Anna Viduleja'],[],['09'],"['Andris Keišs', 'Kaspars Zvīgulis', 'Kaspars Znotiņš', 'Kristīne Krūze', 'Igors Šegelovskis']",['Homo Novus'],['喜剧'],[''],[],[' 拉脱维亚语']
[' 哈萨克斯坦 / 拉脱维亚 / 美国'],['Jeff Vespa'],['90'],['04'],"['本·奥德里基', '菲利普·布罗迪', '艾比·考尼什', 'Erkebulan Daiynov', 'Lelde Dreimane', 'Patrick J. Gorman', 'Telman Guzhevsky', 'Christian Hillborg', 'Candace Kita', 'Rihards Lepers', '桑扎尔·马季耶夫', 'Kaspars Znotins']",['阿姆雷 Paris Song'],"['剧情', '爱情', '歌舞', '传记', '历史']",[''],[],[' 英语']
[' 拉脱维亚 / 俄罗斯'],['Sergey Livnev'],[],[],"['Aleksey Serebryakov', 'Daniel Olbrychski', 'Natalya Negoda', 'Evgeniy Tkachuk', 'Dainis Grube', 'Elena Koreneva', 'Olga Ostroumova']",['Van Gogi'],['剧情'],[''],[],[' 俄语']
[' 拉脱维亚'],['Yevgeni Pashkevich'],[],[],[],['Ko zina klusā Gerda'],[],[''],[],[]
[' 拉脱维亚'],"['Raitis Ābele', 'Lauris Ābele']",['90'],['05'],[],['Baltu Ciltis'],['剧情'],[''],[],[' 英语']
[' 克罗地亚 / 拉脱维亚 / 立陶宛'],['吉德蕾·贝诺里奥'],['97'],['03'],"['Airida Gintautaite', 'Sigitas Sidlauskas', '古娜·扎丽娜', 'Joris Baltrunas', 'Kristupas Cicenas', 'Aldona Dausiene', 'Vilius Mincinauskas', 'Stepas Obolevicius', 'Jurate Onaitite', 'Inesa Paliutyte', 'Clotilde Rigaud', 'Aldona Vilutyte']",['大理石里呼吸 Kvėpavimas į marmurą'],['剧情'],[''],[],[' 立陶宛语']
[' 拉脱维亚'],['Araik Oganesyan'],[],[],"['Anastasiya Kalmanovich', '康斯坦丁·克留科夫', 'Ravshana Kurkova', 'Aleksey Maklakov', 'Max Pavlov', 'Igor Pronin', '叶甫盖尼·特卡丘克', 'Oleg Vereshchagin', '马克西姆·维托尔甘']",['Begletsy'],['喜剧'],[''],[],[' 俄语']
[' 乌克兰 / 拉脱维亚'],['Andrejs Ekis'],[],[],[],['Свiнгери'],[],[''],[],[]
[' 拉脱维亚'],['Jānis Ābele'],['80'],[],[],['Jelgava 94'],['剧情'],[''],[],[' 拉脱维亚语']
