地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 美国 / 中国大陆 / 法国 / 挪威'],['克里斯托弗·麦奎里'],['147'],"['08', '07']","['汤姆·克鲁斯', '亨利·卡维尔', '文·瑞姆斯', '西蒙·佩吉', '丽贝卡·弗格森', '西恩·哈里斯', '安吉拉·贝塞特', '凡妮莎·柯比', '米歇尔·莫纳汉', '韦斯·本特利', '费雷德里克·施密特', '亚历克·鲍德温', '杨亮', '克里斯托弗·约纳尔', '沃尔夫·布利策', '拉斐尔·琼勒', '安德鲁·卡扎纳夫·平', '克里斯多夫·德·舒瓦西', '拉裴尔·德普雷', '让·巴普蒂斯特·菲永', '马克斯·盖勒', '奥利维尔·体班德', '亚历山大·普尔', '阿利克斯·贝纳泽什', '乔伊·安沙', '维利贝·托皮奇', '格雷厄姆·福克斯', '卡斯珀·菲利普森', '菲恩·乔利', '鲁斯·贝恩', '奈杰尔·艾伦']",['碟中谍6：全面瓦解 Mission: Impossible - Fallout'],"['动作', '惊悚', '冒险']",['8.1'],['383874'],[' 英语 / 法语']
[' 秘鲁 / 德国 / 挪威'],['Alvaro Delgado Aparicio'],['101'],"['02', '05', '08']","['Magaly Solier', 'Amiel Cayo', 'Junior Bejar']",['彩塑男孩 Retablo'],"['剧情', '同性']",['7.7'],['180'],[' 克丘亚语 / 西班牙语']
[' 芬兰 / 挪威'],"['裘索·拉提欧', '尤加·维迪葛伦']",['92'],['03'],"['托尔斯坦·比约克朗德', '安蒂·希海基宁', '维尔·希尔卡', '约翰内斯·霍洛佩宁', '萨穆利·贾斯基奥', '明卡·库斯顿', '凯·莱蒂宁', '皮霍·朗卡', '锡尼卡·莫克尔拉', '麦克斯·奥瓦斯卡', '佩尔蒂·斯维霍姆', '马尔蒂·斯利亚', '威利·蒂奥宁']",['重金属囧途 Hevi reissu'],"['喜剧', '音乐']",['7.6'],['6655'],[' 芬兰语 / 英语 / 挪威语']
[' 挪威 / 冰岛 / 美国'],['保罗·格林格拉斯'],['143'],"['09', '10']","['安德斯·丹尼尔森·李', '乔纳斯·斯特兰德·格利', '乔恩·奥伊登', '玛丽亚·波克', '托尔比约恩·哈尔', '乌里克·汉森·多维根', '托恩·丹尼尔森', '安尼克·冯·德·利佩', '拉尔斯·阿兰兹-汉森', '爱因德·伊恩沃德']",['挪威7·22爆炸枪击案 22 July'],"['剧情', '历史', '犯罪']",['7.5'],['6825'],[' 英语']
[' 巴拉圭 / 德国 / 乌拉圭 / 巴西 / 挪威 / 法国'],['马塞洛·马蒂内斯'],['98'],"['02', '04']","['安娜·布伦', '玛加丽塔·伊伦', '安娜·伊万娜娃', '尼尔达·冈萨雷斯', '玛丽亚·马丁斯', '阿丽西亚·格拉', '海吉娜·杜阿尔奇']",['女继承者 Las herederas'],"['剧情', '同性']",['7.2'],['1799'],[' 西班牙语 / 瓜拉尼语']
[' 挪威'],['埃里克·普派'],['90'],"['02', '03']","['安德烈·伯恩森', '亚历山德·霍尔门', '布瑞德·福里斯达', '艾丽·瑞亚侬·穆勒·奥斯本', '苏陆士·萨达特', '马格努斯·莫恩', '张特兰']",['于特岛7月22日 Utøya 22. juli'],"['剧情', '惊悚']",['6.0'],['1097'],[' 挪威语']
[' 肯尼亚 / 南非 / 德国 / 荷兰 / 法国 / 挪威 / 黎巴嫩'],['Wanuri Kahiu'],['83'],"['05', '09']","['Samantha Mugatsia', 'Sheila Munyiva', 'Jimmy Gathu', 'Nini Wacera', 'Dennis Musyoka', 'Patricia Amira', 'Neville Misati', 'Muthoni Gathecha', 'Nice Githinji', 'Charlie Karumi', 'Patricia Kihoro']",['肯尼亚式友谊 Rafiki'],"['剧情', '爱情', '同性']",['5.8'],['138'],[' 英语 / 斯瓦希里语']
[' 挪威'],['亨里克·马丁·道斯贝肯'],['92'],['10'],"['安德莉亚·巴伦·郝威格', '塔利亚·桑德维克·莫尔', '安尼克·冯·德·利佩', '卡斯腾·拜卓隆', '阿格尼丝·基特尔森', '英洁德·埃格伯格']",['外遇 En affære'],"['剧情', '惊悚']",['5.6'],['1070'],[' 挪威语 / 丹麦语']
[' 挪威'],['约翰·安德烈亚斯·安德森'],['106'],['08'],"['克里斯托弗·约纳尔', '安妮·达尔·托普', '乔纳斯·霍夫·奥夫特布洛', '伊迪丝·哈根鲁德-桑德', '蒂娜·谢伊', '张特兰']",['大地震 Skjelvet'],"['剧情', '灾难']",['5.4'],['1117'],[' 挪威语']
[' 挪威 / 瑞典 / 丹麦 / 荷兰'],['Katarina Launing'],['95'],['09'],"['Lisa Teige', 'Vebjørn Enger', 'Karen-Lise Mynster', 'Stig R. Amdam', 'Sigyn Åsa Sætereng', 'Charlott Utzig']",['热舞飞扬 Battle'],['剧情'],['5.3'],['112'],[' 挪威语 / 英语']
