地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 捷克 / 斯洛文尼亚 / 波兰 / 斯洛伐克 / 法国'],['奥尔默·欧默祖'],['85'],['09'],"['Tomás Mrvík', 'Jan Frantisek Uher', 'Eliska Krenková']",['逝去的冬天 Všechno bude'],"['剧情', '喜剧']",['7.7'],['76'],[' 捷克语']
[' 罗马尼亚 / 德国 / 保加利亚 / 法国 / 捷克'],['拉杜·裘德'],['140'],"['07', '09']","['Ioana Iacob', 'Alex Bogdan', '亚历山德鲁·达比加']",['野名留史又如何 „Îmi este indiferent dacă în istorie vom intra ca barbari”'],['剧情'],['7.6'],['80'],[' 罗马尼亚语']
[' 捷克 / 斯洛伐克'],['杨·史云梅耶'],['98'],"['01', '02']","['扬·布达尔', '伊里·拉布斯', '加罗米尔·杜拉瓦', 'Norbert Lichý', 'Kamila Magálová', 'Ivana Uhlírová']",['昆虫物语 Hmyz'],"['剧情', '喜剧', '动画']",['6.9'],['1239'],[' 捷克语']
[' 斯洛伐克 / 捷克 / 奥地利'],['马丁·苏力克'],['113'],"['02', '03']","['伊利·曼佐', '彼得·西蒙尼舍克', '苏珊娜·莫拉利', 'Attila Mokos', 'Anna Rakovska', 'Eva Kramerová', 'Karol Simon', 'Judita Hansman', 'Igor Hrabinský', 'Réka Derzsi']",['二战忏悔路 Tlmočník'],['剧情'],['6.9'],['102'],[' 德语 / 斯洛伐克语 / 俄语']
[' 罗马尼亚 / 德国 / 捷克 / 保加利亚 / 法国'],['阿迪娜·平蒂列'],['123'],['02'],"['劳拉·本森', '托马斯·勒马尔奎斯', '克里斯蒂安·巴耶林', '格雷特·乌尔勒曼', '阿迪娜·平蒂列', '汉娜·霍夫曼', '西尼·勒夫', '厄梅拉·琦琦库娃']",['不要碰我 Nu mă atinge-mă'],['剧情'],['6.6'],['1364'],[' 英语 / 德语']
[' 智利 / 捷克'],['Alejandro Fernández Almendras'],[],"['05(全州国际电影节)"">2018']",[],['The Best We Can'],['剧情'],[''],[],[' 捷克语']
[' 俄罗斯 / 捷克 / 瑞士 / 荷兰'],['Vladimir Rakshá'],[],[],['茵格保加·达坤耐特'],['生命时间 Жизнь Раз'],[],[''],[],[]
[' 捷克'],['Sofie Šustková'],[],[],"['弗拉迪米尔·波利夫卡', 'Jenovéfa Boková', 'Matyáš Řezníček']",['一切随风 Do větru'],[],[''],[],[]
[' 捷克'],['简·塞布什莱布斯基'],[],['11'],"['大卫·什韦赫利克', 'Lucie Zácková', 'Antonie Formanová', 'Sebastian Pöthe', '佩特拉·斯贝尔克瓦', '弗拉迪姆·贾沃斯克', 'Mikulás Zelenka', 'Alois Tichý', 'Helena Dvoráková', '加布蕾拉·马辛科娃', '伊里·德沃拉克', 'Petr Stach', 'Hana Baronová', 'Vilém Udatný', 'Sasa Rasilov', 'Jan Vondrácek ']",['飞行员的歌谣 Balada o pilotovi'],"['剧情', '历史']",[''],[],[' 捷克语']
[' 捷克 / 斯洛伐克'],['Karel Janak'],['108'],"['08', '08']","['加布蕾拉·马辛科娃', '沃伊杰赫·戴克', 'Zuzana Porubjaková', '奥德·马利', 'Vladimír Hajdu', 'Pavel Rímský', 'Roman Luknár', 'Romana Goscíková', 'Tomás Stopa', 'Milan Bartalský', 'Matej Marusin', 'Petr Santroch', 'Branislav Bystriansky', 'Ján Slivinský', 'Sylvain Machac', 'Robert Roth', 'Ales Procházka']",['亲密的敌人 Duverný neprítel'],"['科幻', '悬疑', '惊悚']",[''],[],[]
[' 捷克'],['Dan Svátek'],['91'],['07'],"['David Svehlík', 'Jaroslav Dusek', 'Marika Soposká', 'Ondrej Malý', 'Ivan Franek', 'Jaroslav Plesl', 'Simona Babcáková']",['悲伤的男人的微笑 Úsměvy smutných mužů'],"['剧情', '喜剧']",[''],[],[' 捷克语']
[' 捷克'],['齐德内克·吉拉斯基'],['76'],['04'],"['卡雷尔·多布雷', 'Tereza Hofová', '奥德·马利', 'Eva Josefíková', 'Stepán Kozub', 'Sára Sandeva', 'Robert Miklus', 'Hynek Chmelar', 'Jirí Marysko', 'Adrian Jastraban']",['上帝与我们 Buh s námi - od defenestrace k Bílé hore'],"['剧情', '历史']",[''],[],[' 捷克语']
[' 捷克'],['Jakub Smíd'],['103'],['05'],"['Jindrich Skokan', 'Julia Issa', 'Petra Spalková']",['很短的时间 Na krátko'],"['剧情', '家庭']",[''],[],[' 捷克语']
[' 捷克'],['Robert Sedlácek'],['124'],['08'],"['Michael Balcar', 'Filip Biro', 'Zuzana Bydzovská']",['Jan Palach'],"['剧情', '传记', '历史']",[''],[],[' 捷克语']
[' 捷克'],['Karel Žalud'],['229'],[],[],['Enclosed World'],[],[''],[],[' 捷克语']
