地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 捷克 / 斯洛文尼亚 / 波兰 / 斯洛伐克 / 法国'],['奥尔默·欧默祖'],['85'],['09'],"['Tomás Mrvík', 'Jan Frantisek Uher', 'Eliska Krenková']",['逝去的冬天 Všechno bude'],"['剧情', '喜剧']",['7.7'],['76'],[' 捷克语']
[' 捷克 / 斯洛伐克'],['杨·史云梅耶'],['98'],"['01', '02']","['扬·布达尔', '伊里·拉布斯', '加罗米尔·杜拉瓦', 'Norbert Lichý', 'Kamila Magálová', 'Ivana Uhlírová']",['昆虫物语 Hmyz'],"['剧情', '喜剧', '动画']",['6.9'],['1239'],[' 捷克语']
[' 斯洛伐克 / 捷克 / 奥地利'],['马丁·苏力克'],['113'],"['02', '03']","['伊利·曼佐', '彼得·西蒙尼舍克', '苏珊娜·莫拉利', 'Attila Mokos', 'Anna Rakovska', 'Eva Kramerová', 'Karol Simon', 'Judita Hansman', 'Igor Hrabinský', 'Réka Derzsi']",['二战忏悔路 Tlmočník'],['剧情'],['6.9'],['102'],[' 德语 / 斯洛伐克语 / 俄语']
[' 捷克 / 斯洛伐克'],['Jakub Červenka'],['80'],['10'],"['扬·布达尔', '马丁·胡巴']",['TGM谈话 Hovory s TGM'],"['剧情', '传记', '历史']",[''],[],[' 英语 / 捷克语']
[' 捷克 / 斯洛伐克'],['翁德雷·特罗扬'],['144'],['10'],[],['托曼 Toman'],"['剧情', '传记', '历史']",[''],[],[' 捷克语']
[' 斯洛伐克 / 俄罗斯 / 捷克'],['Igor Voloshin'],['108'],['09'],"['让-马克·巴尔', 'Olga Simonova', '约翰·罗宾森', 'Milan Ondrík', 'Dalibor Stofan', 'Zuzana Vejvodová', 'Roman Skamene', 'Aurélia Fritzová']",['酒窖 Cellar'],"['剧情', '惊悚', '犯罪']",[''],[],[' 斯洛伐克语']
[' 捷克 / 斯洛伐克'],['Radim Spacek'],[],[],"['Filip Brezina', 'Patrycja Volny']",['夺金逆旅 Zlatý podraz'],['剧情'],[''],[],[' 捷克语 / 英语 / 俄语 / 法语 / 意大利语']
[' 斯洛伐克 / 捷克'],['Andrea Sedlácková'],[],[],"['Mary Havranová', 'Ondrej Hraska', 'Martin Rakictý']",['Backstage'],"['剧情', '音乐']",[''],[],[' 斯洛伐克语 / 捷克语']
[' 捷克 / 斯洛伐克'],['Adam Sedlák'],['116'],[],['Tereza Hofová'],['Domestik'],[],[''],[],[]
[' 波兰 / 捷克 / 斯洛伐克'],['扬·雅库布·科尔斯基'],['100'],[],"['Grazyna Blecka-Kolska', '扬·扬科夫斯基', 'Michal Kaleta']",['赦免 Ulaskawienie'],['剧情'],[''],[],[' 波兰语']
[' 捷克 / 斯洛伐克'],['Karel Janak'],['108'],"['08', '08']","['加布蕾拉·马辛科娃', '沃伊杰赫·戴克', 'Zuzana Porubjaková', '奥德·马利', 'Vladimír Hajdu', 'Pavel Rímský', 'Roman Luknár', 'Romana Goscíková', 'Tomás Stopa', 'Milan Bartalský', 'Matej Marusin', 'Petr Santroch', 'Branislav Bystriansky', 'Ján Slivinský', 'Sylvain Machac', 'Robert Roth', 'Ales Procházka']",['亲密的敌人 Duverný neprítel'],"['科幻', '悬疑', '惊悚']",[''],[],[]
[' 斯洛伐克'],['Laco Halama'],[],['04'],"['Zdenek Bures', 'Alexander Dubcek', 'Vladimír Hrabal', 'Adrian Jastraban', 'Jakub Jánosík', 'Filip Kois', 'Stano Král', 'Volodymyr Necheperenko', 'Marcel Ochranek', 'Stanislav Pitonák', 'Tanya Radeva', 'Peter Trník', 'Jirí Zapletal']",['杜布切克 Dubcek'],"['传记', '历史']",[''],[],[' 斯洛伐克语']
