地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 印度 / 法国 / 新加坡'],['阿蒂提雅·维克拉姆·森古普塔'],['90'],['01'],"['Ratnabali Bhattacharjee', 'Lolita Chatterjee', 'Sumanto Chattopadhyay', '吉姆·萨伯']",['萤火虫 জোনাকি'],['剧情'],['7.5'],['90'],[' 孟加拉语 / 英语']
[' 日本 / 新加坡'],['邱金海'],['89'],"['02', '03']","['斋藤工', '欧萱', '松田圣子', '伊原刚志', '別所哲也', '李国煌']",['情牵拉面茶 ラーメンテー ～ラーメン×バクテー～'],"['剧情', '家庭']",['5.9'],['92'],[' 日语 / 英语']
[' 法国 / 荷兰 / 新加坡'],['杨修华'],['95'],['08'],"['宏荣', '郭月', '刘晓义', '陈泽耀']",['幻土'],"['剧情', '悬疑']",['5.7'],['714'],[' 孟加拉语 / 英语 / 汉语普通话']
[' 印度尼西亚 / 新加坡'],['米克·威伦'],['102'],['07'],"['柯南·史蒂文斯', '约书亚·萨达索', '冯推守', '扎克·李', '蒂奥·帕库苏德沃', '唐尼·阿兰西亚', '亚历山大·威特斯', '艾尔·莫尼卡', '亚力克斯·阿巴德', 'Pevita Pearce', 'Ario Bayu', 'Reinout Bussemaker', '米克·威伦', 'Cullet Eric', 'Donny Damara']",['水牛男孩 Buffalo Boys'],['动作'],[''],[],[' 印度尼西亚语 / 英语']
[' 新加坡'],['李旻翰'],[],[],[],['朋友 The Buddy'],[],[''],[],[' 汉语普通话']
[' 新加坡'],['蔡於位'],[],[],[],['修女 Sister'],[],[''],[],[' 汉语普通话']
[' 新加坡'],['洪温汉'],[],[],['Dass D（达斯）'],['阿里巴巴 Ali Baba'],[],[''],[],[' 汉语普通话']
[' 新加坡'],['黄俊伟'],[],[],[],['家 Shelter'],[],[''],[],[' 汉语普通话']
[' 新加坡'],['Nicole Midori Woodford'],[],[],[],['留步 Waiting Room'],[],[''],[],[' 汉语普通话']
[' 新加坡'],['任锦添'],[],[],[],['善心 One At A Time'],[],[''],[],[' 汉语普通话']
[' 新加坡 / 澳门 / 中国大陆'],"['雷远彬', 'Sara Tan']",['9'],[],"['Sara Tan', 'Jereh Leong', 'Charlie Leung']",['一舞念任航 A Dance for Ren Hang'],[],[''],[],[' 英语 / 汉语普通话']
[' 新加坡'],"['尼尔·拉布特', 'Cody Broadway', '大卫·M·埃文斯']",['122'],['09'],"['陈邦鋆', '陈汉玮', 'Maohui Deng', 'Colin Farrell', 'Audrey Goh', 'Peiying Lu', '白薇秀', '郭妃丽', 'Joshua Tan', '郑秀珍', '王玉清', '向云', '张智扬']",['Oh! Squints III'],['家庭'],[''],[],[' 汉语普通话 / 英语']
[' 新加坡'],['Raymond Tan'],['87'],['03'],"['夏克立', '郭美美', '潘淑钦', '张世泽']",['戏曲总动员 The Wayang Kids'],['喜剧'],[''],[],[' 汉语普通话 / 英语']
[' 新加坡'],['李天仁'],[],['06'],"['陈泂江', '安心亚', '黄仲昆', '洪昭容']",['简单的婚礼'],"['喜剧', '爱情']",[''],[],[' 汉语普通话']
[' 新加坡'],['Theophilus Sng'],['11'],['10'],[],['组屋檐下 Life In The Void'],[],[''],[],[' 英语 / 汉语普通话']
[' 新加坡'],['丹尼尔·辉'],['83'],['10'],"['Yanxuan Vicki Yang', '魏铭耀', '杨修华']",['恶魔们 Demons'],"['喜剧', '恐怖', '奇幻']",[''],[],[' 英语 / 汉语普通话']
[' 新加坡'],['纪水山'],[],[],['王玉清'],['罪 Guilty'],[],[''],[],[' 汉语普通话']
