地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 美国 / 新西兰'],['克里斯蒂安·瑞沃斯'],['128'],['12'],"['海拉·西尔玛', '雨果·维文', '金吉', '罗伯特·席安', '莱拉·乔治', '史蒂芬·朗', '弗兰基·亚当斯', '凯伦·皮斯托里斯', '科林·萨蒙', '安德鲁斯·李斯', '莎拉·慕恩', '罗南·拉夫特瑞', '乔尔·托贝克', '帕特里克·麦拉海德', '史蒂芬·乌瑞', '马尼克·古纳拉塔尼', '菲利普·里夫', '纳撒尼尔·利斯', '雷吉-让·佩吉', '卡卢姆·吉廷斯', '安佑森', '马克·哈德洛', '马克米钦森', '索菲·考克斯', '莎拉·皮尔斯', '奇·陈', '约瑟夫·米卡-亨特', '特里·诺瑞斯', '安龙·杰克森', '梅根·爱德华兹', '尼克·布雷克', '玛丽亚·沃克', '阿曼·韦弗', '玛德琳·亚当斯', '马丁·郭', '罗德尼·库克']",['掠食城市 Mortal Engines'],"['动作', '科幻', '冒险']",['6.4'],['39932'],[' 英语']
[' 新西兰'],"['玛德琳·萨米', '杰姬·凡·比克']",['90'],['03'],"['詹姆斯·罗尔斯顿', '科恩·霍洛维', '瑞玛·特·维塔', '杰姬·凡·比克', '凯尔文·泰勒', '玛德琳·萨米', 'Nic Sampson', 'Celia Pacquola', 'Jaquie Brown']",['棒打鸳鸯 The Breaker Upperers'],['喜剧'],['5.4'],['245'],[' 英语']
[' 新西兰'],['Tim van Dammen'],['79'],['07'],"['Anton Tennet', 'Jonny Brugh', 'Milo Cawthorne', 'Hetty Gaskall-Hahn', 'Josh McKenzie', 'Arlo Gibson', 'Jaya Beach-Robertson', 'Axl Scott', 'Tian Tan', 'Mick Innes']",['超时空犯罪小队 Mega Time Squad'],"['喜剧', '动作', '科幻', '犯罪', '冒险']",['4.7'],['230'],[' 英语']
[' 新西兰'],['Dustin Feneley'],['104'],"['04', '10']","['安塔·多布罗西', 'Kieran Charnock']",['迷路 Stray'],['剧情'],[''],[],[' 英语']
[' 新西兰'],['Bryn Evans'],['88'],['10'],"['Dario Franchitti', 'Scott Dixon', 'Tony Kanaan', 'Chip Ganassi']",['天生赛车手 Born Racer'],"['剧情', '动作']",[''],[],[' 英语']
[' 新西兰'],['Shae Sterling'],[],[],[],['上瘾外星人 Alien Addiction'],"['剧情', '喜剧']",[''],[],[' 英语']
[' 新西兰'],"['Michael Riddell', 'Stephen Riddell']",['73'],[],"['Hannah Gaisford', 'Phillip Leslie-Collins', 'Emanuel E. Garcia', 'Jordan Rivers', 'Victoria Seymour', 'A.J. Murtagh', 'Jutta Giggenbach', 'Brodie MacGregor', 'Stacey Duncan']",['Portrait of a Knight'],"['剧情', '喜剧', '爱情', '歌舞', '奇幻']",[''],[],[' 英语']
[' 新西兰'],['Stefen Harris'],[],[],"['杰德·布罗菲', '马克·哈德洛']",['Blue Moon'],['惊悚'],[''],[],[' 英语']
[' 新西兰'],['Ken Khan'],[],[],"['克里斯蒂·莱特', 'Aunanda Naaido', 'Robert Reitano', 'Aleisha Rose', '拉维里·帕拉特恩', 'Ray Woolf', '罗伯·基帕-威廉姆斯', 'Stan Wolfgramm', 'Jagdish Punja', 'Richard Halpin']",['Stranded Pearl'],"['动作', '爱情', '冒险']",[''],[],[]
[' 新西兰'],['Tarry Mortlock'],['97'],[],"['Wayne Hapi', 'Ruby Grubb', 'Joshua Calles', 'Jol Sparks']",['破碎 Broken'],"['剧情', '犯罪']",[''],[],[' 英语 / 毛利语']
