地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 日本'],[],[],['01'],"['明石家秋刀鱼', '木村拓哉', '渡边直美']",['さんタク2018 Santaku 2018'],['脱口秀'],['9.5'],['161'],[' 日语']
[' 日本'],['日本テレビ'],[],['01'],"['羽生结弦', '宫野真守']",['绝对要赢 羽生结弦 向自己发起的挑战 絶対に勝ってやる 羽生結弦 自分への挑戦'],[],['9.4'],['490'],[' 日语']
[' 日本'],['安藤正臣'],['24'],['06'],"['松田利冴', '下地紫野', '松风雅也', '新谷真弓', '津田健次郎', '内山夕实', '市道真央', '後藤啓介']",['哈库梅伊与蜜珂析OVA：螺丝与床 / 地炉与博弈 ハクメイとミコチOVA「ネジとベッド と 囲炉裏と博打」'],"['动画', '奇幻']",['9.2'],['221'],[' 日语']
[' 日本'],[],['14'],['12'],"['金田朋子', '高桥李依', '米泽圆', '坂本真绫', '能登麻美子', '大久保瑠美', '斋藤千和', '种田梨沙', '丹下樱', '野中蓝', '小见川千明']",['从漫画了解！Fate/Grand Order マンガで分かる！Fate/Grand Order'],"['喜剧', '动画']",['9.1'],['179'],[' 日语']
[' 日本'],[],['90'],['12'],"['泷泽秀明', '山下智久', '生田斗真', '风间俊介', '长谷川纯', '大野智', '樱井翔', '相叶雅纪', '二宫和也', '松本润', '村上信五', '横山裕', '锦户亮', '丸山隆平', '安田章大', '大仓忠义']",['超豪华！！最初也是最后的大同窗会！8时J 超豪華！！ 最初で最後の大同窓会！8時だJ'],"['真人秀', '脱口秀']",['9.0'],['808'],[' 日语']
[' 日本'],['铃村展弘'],['60'],['04'],"['岩永彻也', '小野塚勇人', '饭岛宽骑', '濑户利树', '松本享恭', '松田流花', '甲斐翔真', '黑崎莉奈', '柳百合菜', '贵水博之']",['假面骑士EX-AID Trilogy Another Ending  Part III 假面骑士Genm VS 假面骑士Lazer 仮面ライダーゲンムVSレーザー'],[],['9.0'],['160'],[' 日语']
[' 日本'],['石立太一'],['34'],['07'],"['石川由依', '子安武人', '日笠阳子', '远藤绫', '内山昂辉', '茅原实里', '户松遥']",['紫罗兰永恒花园 Extra Episode ヴァイオレット・エヴァーガーデン Extra Episode'],"['剧情', '动画']",['8.9'],['2209'],[' 日语']
[' 日本'],[],['75'],['12'],['松重丰'],['孤独的美食家除夕SP：京都・名古屋出差篇 孤独のグルメ 2018大晦日スペシャル'],['剧情'],['8.8'],['2920'],[' 日语']
[' 日本'],['肥冢正史'],[],[],"['岛村侑', '石冢运升', '中田让治', '石川界人', '水内清光', '石川由依']",['进击的巨人 LOST GIRLS 進撃の巨人 LOST GIRLS'],"['动作', '动画', '冒险']",['8.8'],['2405'],[' 日语']
[' 日本'],['安彦良和'],['84'],['05'],"['池田秀一', '潘惠美', '银河万丈', '渡边明乃', '三宅健太', '古谷彻', '柿原彻也', '古川登志夫', '福圆美里', '大塚明夫']",['机动战士高达THE ORIGIN VI 赤色彗星诞生 機動戦士ガンダム THE ORIGIN 誕生 赤い彗星'],"['科幻', '动画']",['8.8'],['2171'],[' 日语']
[' 日本'],['赤城博昭'],['24'],['07'],"['高桥李依', '梶裕贵', '小原好美', '市道真央', '小仓唯', '内田雄马', '小岩井小鸟', '落合福嗣', '冈本信彦']",['擅长捉弄人的高木同学OVA：水滑梯 からかい上手の高木さん OVA 「ウォーター・スライダー」'],"['喜剧', '爱情', '动画']",['8.7'],['322'],[' 日语']
[' 日本'],[],['60'],['01'],"['松本幸四郎', '市川染五郎', '松本金太郎', '松本纪保', '松隆子']",['高丽屋三代之春~袭名·松本幸四郎一家 生于歌舞伎~ 高麗屋 三代の春～襲名・松本幸四郎家 歌舞伎に生きる～'],[],['8.7'],['102'],[' 日语']
[' 日本'],['高柳滋仁'],['25'],['07'],"['小山力也', '阪口大助', '中井和哉', '宫本充', '小林优', '内田雄马']",['血界战线 Back2Back OAD 血界戦線 Back2Back OAD'],"['喜剧', '动作', '奇幻']",['8.7'],['90'],[' 日语']
[' 日本'],['是枝裕和'],['117'],"['08', '05', '06']","['中川雅也', '安藤樱', '松冈茉优', '城桧吏', '佐佐木美结', '树木希林', '绪形直人', '池松壮亮', '森口瑶子', '山田裕贵', '片山萌美', '柄本明', '高良健吾', '池胁千鹤']",['小偷家族 万引き家族'],"['剧情', '家庭', '犯罪']",['8.7'],['413783'],[' 日语']
[' 日本'],['立川让'],['60'],['03'],"['伊藤节生', '樱井孝宏', '大塚明夫', '入野自由']",['灵能百分百 REIGEN モブサイコ100 REIGEN ～知られざる奇跡の霊能力者～'],"['动画', '奇幻']",['8.7'],['3087'],[' 日语']
[' 日本'],['川面真也'],['71'],['08'],"['小岩井小鸟', '村川梨衣', '佐仓绫音', '阿澄佳奈', '名塚佳织', '佐藤利奈', '福圆美里', '新谷良子', '下地紫野', '平松晶子', '筱原惠美', '绫濑有']",['悠哉日常大王剧场版：假期活动 劇場版 のんのんびより ばけーしょん'],"['喜剧', '动画']",['8.6'],['1549'],[' 日语']
[' 日本'],['新房昭之'],['148'],['11'],"['神谷浩史', '斋藤千和', '加藤英美里', '泽城美雪', '花泽香菜', '堀江由衣', '喜多村英梨', '井口裕香', '早见沙织', '井上麻里奈', '坂本真绫', '水桥香织', '根谷美智子']",['续·终物语 続・終物語'],"['剧情', '动画', '奇幻']",['8.6'],['1151'],[' 日语']
[' 日本'],['山田尚子'],['90'],['04'],"['种崎敦美', '东山奈央', '本田望结', '藤村鼓乃美', '山冈百合', '杉浦诗织', '黑泽朋世', '朝井彩加', '丰田萌绘', '安济知佳', '桑岛法子', '中村悠一', '樱井孝宏']",['利兹与青鸟 リズと青い鳥'],"['剧情', '动画', '音乐']",['8.6'],['12438'],[' 日语']
[' 日本'],['石原立也'],['94'],['01'],"['福山润', '内田真礼', '赤崎千夏', '浅仓杏美', '上坂堇', '长妻树里', '仙台惠理', '大塚芳忠', '保志总一朗', '岩男润子', '福原香织', '天野由梨', '冲佳苗', '井上喜久子', '设乐麻美', '山冈百合']",['中二病也要谈恋爱！剧场版 -Take On Me- 映画 中二病でも恋がしたい！ -Take On Me-'],"['喜剧', '爱情', '动画']",['8.5'],['3140'],[' 日语 / 意大利语']
[' 日本'],['大根仁'],['119'],['08'],"['筱原凉子', '广濑铃', '板谷由夏', '小池荣子', '友坂理惠', '渡边直美', '池田依来沙', '山本舞香', '野田美櫻', '田边桃子', '富田望生', '三浦春马', '中川雅也', '新井浩文', '矢本悠马']",['阳光姐妹淘 SUNNY 強い気持ち・強い愛'],"['剧情', '喜剧', '歌舞']",['8.3'],['17735'],[' 日语']
[' 日本'],['岸诚二'],[],['12'],"['木野日菜', '长江里加', '小原好美', '前川涼子', '置鲇龙太郎', '井上穗乃花', '金泽舞']",['来玩游戏吧 OAD あそびあそばせ OAD'],"['喜剧', '动画']",['8.3'],['132'],[' 日语']
[' 日本'],['谷口悟朗'],['140'],['05'],"['福山润', '樱井孝宏', '野上尤加奈', '小清水亚美', '名塚佳织', '绿川光', '金井美香', '伊藤沙织', '高田裕司', '真殿光昭', '仓田雅世', '桧山修之', '私市淳', '加濑康之', '水岛大宙', '成田剑', '千叶纱子', '白鸟哲', '井上喜久子', '新井里美', '大原沙耶香', '折笠富美子', '杉山纪彰', '保志总一朗', '后藤邑子', '井上伦宏', '三户耕三', '内田聪明', '中田让治', '皆川纯子', '幸野善之', '渡边明乃', '山野井仁', '河城英之介', '百百麻子', '若本规夫']",['代号基亚斯：反叛的鲁路修3之皇道 コードギアス 反逆のルルーシュⅢ 皇道'],"['动作', '科幻', '动画']",['8.3'],['895'],[' 日语']
