地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 智利 / 德国'],"['乔奎因·科西纳', '克里斯托弗·列昂']",['75'],['02'],"['阿玛莉亚·卡西尼', '雷纳·克劳斯']",['狼屋 La casa lobo'],"['剧情', '动画', '恐怖']",['8.0'],['2453'],[' 西班牙语 / 德语']
[' 智利 / 巴西 / 阿根廷 / 荷兰 / 卡塔尔'],['多明加·索托迈约·卡斯蒂略 Dominga Sotomayor Castillo'],['110'],['08'],"['Demian Hernández', 'Antar Machado', 'Magdalena Tótoro', 'Matías Oviedo']",['死在青春 Tarde para morir joven'],['剧情'],['6.4'],['153'],[' 西班牙语']
[' 智利 / 阿根廷'],['Che Sandoval'],['95'],['04'],"['安托里娜·科斯塔', 'Patricio Contreras', 'Dindi Jane', '佩德罗·坎波斯', 'Héctor Morales', '埃瓦罗·埃斯皮诺泽', 'Yonar Sanchez', 'Lucas Espinoza', 'Joaquin Fernández', 'Martín Garabal', 'Rafael Gumucio', 'Fernando Guzzoni', 'Humberto Miranda', 'Joaquin Mussio', 'Sergio Nicloux']",['不甜马丁娜 Dry Martina'],"['剧情', '喜剧']",['5.9'],['121'],[' 西班牙语']
[' 智利'],['Alberto Fuguet'],['102'],['10'],"['Santiago Rodríguez-Costabal', 'Cristóbal Rodriguez-Costabal', 'Carmina Riego']",['迷情猴尾酒 Cola de Mono'],"['剧情', '惊悚', '同性']",['5.6'],['251'],[' 西班牙语 / 英语']
[' 阿根廷 / 法国 / 智利'],['亚历杭德罗·法朵'],['109'],['05'],"['Victor Lopez', 'Esteban Bigliardi', 'Tania Casciani', 'Romina Iniesta', 'Sofia Palomino', '斯特凡·里多', 'Jorge Prado', 'Francisco Carrasco']","['杀了我，怪物 Muere, Monstruo, Muere']","['剧情', '恐怖']",[''],[],[' 西班牙语']
[' 智利'],['Rosario Jiménez-Gili'],['88'],['05'],"['Dayana Amigo', 'Andrea Freund', 'Renato Münster', 'Lorene Prieto', 'Koke Santa Ana', 'Francisca Walker']",['七情六欲 El Despertar De Camila'],['爱情'],[''],[],[' 西班牙语']
[' 智利'],['Ignacio Juricic Merillán'],[],[],[],['谜题节目 ENIGMA'],[],[''],[],[]
[' 智利'],['Felipe Gálvez'],['14'],[],[],['Rapaz'],[],[''],[],[]
[' 智利'],['Nicolás López'],['116'],['01'],"['帕兹·贝斯康纳', '马尔西亚·塔格莱', '安东尼娅·泽格斯']",['我没有疯 No Estoy Loca'],"['剧情', '喜剧']",[''],[],[' 西班牙语']
[' 智利'],['Pablo Rojas'],['80'],[],"['Lucy Cominetti', 'Luz Croxatto', 'Álvaro Espinoza', 'Sergio Hernández', 'Antonella Orsini']",['来自大海的女人 mujer saliendo del mar'],[],[''],[],[' 西班牙语']
[' 哥斯达黎加 / 智利'],['Ernesto Villalobos'],['84'],['09'],"['Arturo Pardo', 'Daniela Mora', 'Harvey Monestel', 'Janko Navarro']",['Cascos Indomables'],['剧情'],[''],[],[' 西班牙语']
[' 智利 / 捷克'],['Alejandro Fernández Almendras'],[],"['05(全州国际电影节)"">2018']",[],['The Best We Can'],['剧情'],[''],[],[' 捷克语']
[' 智利'],"['Teresa Arredondo', 'Carlos Vásquez Méndez']",['78'],[],[],['Las cruces'],[],[''],[],[]
[' 智利'],['Nicolás Guzmán'],['60'],[],['Sofía Oportot'],['Potential Victim'],['剧情'],[''],[],[' 西班牙语']
[' 智利'],[],[],[],[],['Se busca novio... para mi mujer'],[],[''],[],[]
