地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 比利时 Belgium / 法国 / 荷兰 Netherlands / 卢森堡 Luxembourg'],"['Emma De Swaef', 'Marc James Roels']",['44'],['05'],[],['这绝妙的蛋糕！ Ce magnifique gâteau!'],"['喜剧', '动画', '历史']",['8.4'],['148'],[' 荷兰语 Dutch / 法语']
[' 瑞士 Switzerland / 比利时 Belgium'],['Germinal Roaux'],['106'],"['02(德国（柏林电影节）)"">2018']","['基迪斯特·西约姆', '布鲁诺·甘茨']",['芙朵娜的眼泪 Fortuna'],['剧情'],[''],[],[' 法语 / 阿姆哈拉语']
[' 比利时 Belgium'],"['Adil El Arbi', 'Bilall Fallah']",['125'],['01'],"['Paloma Aguilera Valdebenito', 'Ali B.', '吉恩·伯沃依兹']",['黑社会 Patser'],[],[''],[],[' 荷兰语 Dutch']
[' 法国 / 比利时 Belgium'],"['Pascal Ralite', 'Colombe Savignac']",['96'],['01'],"['苏珊娜·克莱蒙', '格莱戈尔·科林 ', '帕斯卡·德莫隆', '科拉多·因韦尔尼齐', 'Sabrina Seyvecou']",['母亲的微笑 Le rire de ma mère'],[],[''],[],[' 法语']
[' 瑞士 Switzerland / 比利时 Belgium'],['安托万·胡斯巴克'],[],['08'],"['奥利维埃·古尔梅', '莎宾·蒂莫提欧', 'Sabine Timoteo']",['工作的人 Those Who Work'],['剧情'],[''],[],[' 法语']
[' 法国 / 比利时 Belgium'],['Anne Depétrini'],['87'],['07'],"['Bérengère Krief', 'Grégory Fitoussi', '帕特里克·薛内斯']",['教学风波 L&#39;école est finie'],"['喜剧', '爱情']",[''],[],[' 法语']
[' 比利时 Belgium / 卢森堡公国 Luxembourg'],"['Salima Sarah GLAMINE', 'Dimitri LINDER']",[],[],[],['For A Happy Life'],['剧情'],[''],[],[' 法语']
[' 荷兰 Netherlands / 比利时 Belgium'],['伊瑟·洛兹'],['101'],"['09(加拿大)"">2018']","['Teun Luijkx', 'Circé Lethem', 'Matthijs Ten Kate']",['Retrospekt'],[],[''],[],[' 荷兰语 Dutch / 弗莱明语 Flemish']
[' 比利时 Belgium / 荷兰 Netherlands / 塞内加尔 Senegal'],['Koen Mortier'],['105'],['09'],"['樊尚·罗蒂埃', 'Paul Bartel', ""Fatou N'Diaye""]",['天使 Un ange'],['剧情'],[''],[],[' 法语 / 沃洛夫语 Wolof']
[' 比利时 Belgium'],['Jawad Rhalib'],['84'],"['04(瑞士尼永纪录片节)"">2018', '09(多伦多电影节)"">2018']",[],['阿拉伯人起舞时 When Arabs Danced'],[],[''],[],[' 法语 / 阿拉伯语 Arabic']
[' 英国 / 比利时 Belgium'],['阿布内尔·帕斯托尔'],[],[],"['莎拉·伯格', '爱德华·霍格', '安德鲁·辛普森']",['A Good Woman Is Hard to Find'],"['动作', '惊悚']",[''],[],[' 英语']
