地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 比利时 / 荷兰'],['卢卡斯·德霍特'],['105'],"['05', '11']","['维克托·波尔斯特', '阿里耶·沃索尔特', '奥利弗·博达特', '蒂伊门·戈瓦尔茨', '卡特简·达门', '瓦伦提金·达恩斯', '克里斯·泰斯', '安吉洛·提森', '艾莉西亚·德佩克']",['女孩 Girl'],"['剧情', '同性']",['8.2'],['14636'],[' 法语 / 弗拉芒语 / 英语']
[' 波兰 / 西班牙 / 德国 / 比利时 / 匈牙利'],"['Raúl de la Fuente', '达米安·纽诺']",['80'],"['05', '11']","['小田部阿基', 'Wilson Benedito', 'Ryszard Kapuscinski']",['人生的另一天 Un día más con vida'],"['动画', '传记']",['7.9'],['195'],[' 英语 / 葡萄牙语 / 波兰语 / 西班牙语']
[' 法国 / 西班牙 / 罗马尼亚 / 美国 / 比利时'],['雅克·欧迪亚'],['121'],"['09', '10']","['约翰·C·赖利', '杰昆·菲尼克斯', '杰克·吉伦哈尔', '里兹·阿迈德', '卡罗尔·凯恩', '鲁特格尔·哈尔', '克瑞德·布拉顿', '约翰内斯·豪克尔·约翰内森', '尼尔斯·阿贺斯图普', '莱克茜·本博-哈特', '丽贝卡·鲁特', '菲利普·罗施', '邓肯·拉克鲁瓦', '伊恩·雷迪丁顿', '阿尔多·马兰']",['希斯特斯兄弟 The Sisters Brothers'],"['犯罪', '西部', '冒险']",['7.7'],['8255'],[' 英语']
[' 法国 / 比利时'],['弗朗克·迪博斯克'],['107'],['03'],"['弗朗克·迪博斯克', '亚历山德拉·拉米', '艾尔莎·泽贝斯坦', '热拉尔·达尔蒙', '卡洛琳·安格鲁德', '洛朗·巴图', '克洛德·布拉瑟', '弗朗索瓦-格扎维埃·德梅松', '克里斯托弗·卡纳德', '弗朗西斯·科菲内', '源利华', '菲利普·维约']",['真爱百分百 Tout le monde debout'],"['喜剧', '爱情']",['7.4'],['5621'],[' 法语 / 英语 / 意大利语']
[' 突尼斯 / 比利时 / 法国 / 卡塔尔'],['穆罕默德·本·阿提亚'],['104'],"['05', '11']","['Zakaria Ben Ayyed', 'Mohamed Dhrif', 'Imen Cherif', 'Mouna Mejri', 'Tarik Copty', 'Tahani Sadiki', 'Taylan Mintas']",['亲爱的儿子 ولدي'],['剧情'],['7.3'],['187'],[' 阿拉伯语']
[' 英国 / 比利时 / 意大利 / 德国'],['鲁伯特·艾弗雷特'],['105'],"['01', '06']","['鲁伯特·艾弗雷特', '科林·费尔斯', '艾米丽·沃森', '科林·摩根', '埃德温·托马斯', '汤姆·威尔金森', '安娜·钱斯勒', '朱利安·沃德姆', '碧翠斯·黛尔', '安德烈·彭文', '约书亚·麦圭尔', '克里斯蒂安·布朗查特', '奥利弗·凯特', '罗纳德·皮卡普', '约翰·斯坦丁', '本杰明·沃辛', '丹尼尔·韦曼']",['快乐王子 The Happy Prince'],"['剧情', '同性', '传记']",['7.2'],['3983'],[' 英语 / 意大利语 / 法语']
[' 西班牙 / 比利时 / 法国 / 葡萄牙 / 英国'],['特瑞·吉列姆'],['132'],"['05', '06']","['亚当·德赖弗', '欧嘉·柯瑞兰寇', '乔纳森·普雷斯', '斯特兰·斯卡斯加德', '奥斯卡·贾恩那达', '杰森·沃特金斯', '塞尔希·洛佩斯', '詹迪·莫拉', '特瑞·吉列姆', '霍威克·库区科利安', '阿尔维托·乔·李', '威廉·米勒', '萝西·德·帕尔马', '布鲁诺·塞维利亚']",['这个男人来自疯狂世界 El hombre que mató a Don Quijote'],"['剧情', '喜剧', '奇幻', '冒险']",['6.9'],['1789'],[' 英语 / 西班牙语']
[' 法国 / 比利时 / 卢森堡'],['托马斯·温特伯格'],['117'],"['09', '11']","['科林·费尔斯', '蕾雅·赛杜', '马提亚斯·修奈尔', '迈克尔·恩奎斯特', '马克斯·冯·叙多夫', '奥古斯特·迪赫', '史蒂芬·威丁顿', '潘妮拉·奥古斯特', '马提亚斯·施维赫夫', '扎特科·巴瑞克', '乔尔·巴斯曼', '马格努斯·米兰', '伊娃·范·德·古奇特', '古斯塔夫·汉马斯顿', '约翰·霍林沃思', '皮特·布科夫斯基', '布贾内·亨里克森', '彼得·西蒙尼舍克', '拉尔斯·博格曼', '蒂伊门·戈瓦尔茨', '米格伦·米切夫', '海伦娜·赖因科德·纳曼', '皮特·泼拉格伯格', '阿斯克·邦', '马丁·布拉巴赫', '克拉多·德·克拉伦', '菲迪迦·斯图肯']",['库尔斯克 Kursk'],"['剧情', '历史', '灾难']",['6.8'],['2923'],[' 英语']
[' 比利时 / 法国'],['达维德·厄洛芬'],['111'],"['09', '10']","['马提亚斯·修奈尔', '勒达·卡代布', '萨巴纳·奥扎尼', '尼古拉斯·吉劳德', 'Gwendolyn Gourvenec', '阿德尔·本谢里夫', 'Astrid Whettnall', '马克·巴贝', 'Omar Salim', '扬·戈旺']",['近敌 Frères ennemis'],"['剧情', '惊悚']",['6.5'],['63'],[' 法语']
[' 法国 / 比利时'],['弗雷德·卡瓦耶'],['90'],['10'],"['贝热尼丝·贝乔', '苏珊娜·克莱蒙', '斯特凡·德·胡特', '樊尚·埃尔巴兹', '格莱高利·嘉德波瓦', '多莉亚·蒂利耶', '罗什迪·泽姆', '艾伦·马克森']",['无可隐藏 Le jeu'],['喜剧'],['6.5'],['978'],[' 法语']
[' 法国 / 比利时'],['吉咏姆·贤内兹'],['98'],['10'],"['劳尔·卡拉米', '露西·德拜', 'Laetitia Dosch', '罗曼·杜里斯']",['我们的战役 Nos batailles'],['剧情'],['6.4'],['91'],[' 法语']
[' 爱沙尼亚 / 比利时 / 爱尔兰 / 英国'],"['卡斯帕·简西斯', 'Riho Unt']",['75'],['06'],"['塞伦·希德', '迈克尔·麦克埃尔哈顿', '布莱丹·格里森']",['莫滕船长与蜘蛛女王 Captain Morten and the Spider Queen'],"['动画', '家庭']",['6.4'],['197'],[' 英语']
[' 法国 / 比利时'],"['杰瑞米·雷乃', '亚尼克·雷乃']",['98'],['03'],"['莱拉·贝蒂', '巴斯蒂安·布永', '约翰·海尔登贝格', '西娅姆·阿巴斯', '琪塔·昂赫', 'Octave Bossuet', '克里斯托弗·塞尔梅特', 'Marianne Fabbro']",['食肉动物 Carnivores'],"['剧情', '惊悚']",['6.2'],['163'],[' 法语']
[' 法国 / 比利时'],['塞德里克·康'],['107'],"['02', '03']","['安东尼·巴容', '戴米恩·查潘', '亚历克斯·布伦德缪尔', '汉娜·许古拉', '路易丝·格林贝格']",['祈祷 La prière'],['剧情'],['5.7'],['219'],[' 法语 / 英语']
[' 比利时 / 英国 / 美国'],['弗兰克·里比埃尔'],['102'],['06'],"['安娜·穆格拉利斯', '艾力克·高敦', '尼尔斯·施内德', '雷诺·拉顿', '皮埃尔·尼斯', '安德烈·维尔姆斯', '米歇尔·富', '简·贝尔萨兹', '康斯坦斯·多利', '茜茜·杜帕克', '米歇尔·费拉奇', '维拉恩·弗雷迪亚尼']",['以遇刺为生的女人 The Most Assassinated Woman in the World'],"['剧情', '悬疑', '惊悚']",['5.6'],['318'],[' 法语']
[' 美国 / 比利时 / 英国'],['帕诺斯·科斯马图斯'],['121'],"['01', '09']","['尼古拉斯·凯奇', '安德丽亚·瑞斯波罗格', '莱纳斯·罗彻', '奈德·丹内利', '欧文·弗热瑞', '理查德·布雷克', '比尔·杜克', '兰恩·皮雷', '克莱蒙·马霍内', '亚历克西斯·朱蒙特']",['曼蒂 Mandy'],"['动作', '恐怖', '犯罪']",['5.4'],['10805'],[' 英语']
[' 法国 / 比利时 / 英属维尔京群岛'],['朱利安·勒克莱克'],['94'],['08'],"['尚格·云顿', ' 斯维娃·阿维蒂', '塞米·鲍亚吉拉', '萨姆·卢维克', '卡里斯', '凯文·让森斯', '爱丽丝·维赫塞', '克里斯蒂安·布朗查特']",['保镖 Lukas'],"['动作', '惊悚', '犯罪']",['5.2'],['988'],[' 法语 / 英语']
[' 法国 / 比利时 / 格鲁吉亚 / 瑞士'],['伊娃·于颂'],['115'],['05'],"['格什菲·法拉哈尼', '艾玛纽尔·贝克特', 'Zübeyde Bulut', 'Sinama Alievi', 'Mari Semidovi', 'Roza Mirzoiani', 'Zinaida Gasoiani', 'Maia Shamoevi', 'Nia Mirianashvili', 'Evin Ahmad', 'Zirek', 'Erol Afsin', 'Nuka Asatiani', '贝希·贾纳蒂·阿泰', 'Adik Bakoni']",['太阳之女 Les filles du soleil'],"['剧情', '战争']",['5.0'],['92'],[' 法语 / 库尔德语 / 英语 / 阿拉伯语']
[' 西班牙 / 比利时'],"['Jose F. Ortuño', 'Laura Alvea']",['83'],['10'],"['Ángela Molina', 'Luis Bermejo', 'Iván Pellicer', 'Chacha Huang', 'Clare Durant', 'Liz Lobato']",['灵魂生死线 Ánimas'],"['惊悚', '恐怖']",['4.5'],['81'],[' 西班牙语']
[' 比利时'],['Romeo Castellucci'],[],['09'],"['Gábor Bretz', 'Ed Lyon', 'Sabine Devieihle', 'Sophie Karthäuser', 'Dietrich Henschel']",['魔笛 Die Zauberflöte'],"['音乐', '戏曲']",[''],[],[' 德语']
[' 比利时 / 法国'],['Jelle Stroo'],['78'],[],"['Gert De la Marche', 'Alix Vega', 'Julien Vieuloup']",['等待 La Deuxième'],"['剧情', '科幻', '悬疑']",[''],[],[' 法语']
[' 比利时'],['Wesley Remory'],[],['10'],[],['walging'],[],[''],[],[' 英语']
[' 比利时'],['Bernard Declercq'],[],['06'],"['Moanna Ferré', '帕斯卡尔·格雷戈里', 'André Pasquasy', '法布里齐奥·隆吉奥内']",['失调 Méprises'],[],[''],[],[' 法语']
[' 比利时'],['Olivier Ringer'],[],[],[],['le Roi de la Vallée'],[],[''],[],[]
[' 比利时'],['Michaël Vermaercke'],['72'],[],"['Charlotte De Wulf', 'Felix Meyer', 'Bram Verrecas', 'Tine Roggeman', 'Aaron Roggeman', 'Karlien Van Cutsem', 'Charles De Meester', 'Jorrik Severins', 'Celine Van De Voorde', 'Emma Reynaert', 'Jo De Caluwé']",['Memento Mori'],['恐怖'],[''],[],[' 荷兰语']
[' 比利时 / 卢森堡 / 加拿大'],['大卫·兰伯特'],[],[],"['伯利·兰内尔', '埃里克·卡邦戈', '瑞秋·玛瓦赞', '维尔日妮·奥克', 'Jean-Luc Couchard', 'Catarina Reverendo']",['Troisièmes noces'],"['剧情', '喜剧']",[''],[],[' 法语']
[' 比利时 / 西班牙 / 卢森堡'],['Sarah Hirtt'],[],['10'],"['Ivan Altimira', 'Raphaëlle Corbisier', '布鲁娜·库希', 'Marta Durruti', 'Rafael Espinosa', 'Oscar Garcia Martin', 'Diana Gilpiera', 'Andreu Kreutzer', '玛利亚·莱昂', '哈娜·索菲亚·洛佩斯', '塞尔希·洛佩斯', '费米·雷克萨奇']",['Escapada'],"['剧情', '喜剧']",[''],[],[' 西班牙语 / 法语']
[' 比利时'],['Steven Daemers'],[],[],"['Steven Daemers', 'Xenia Colpaert', 'Harley Dauwe', 'Danny Nauwelaers', 'Vadim Pringels', 'Wesley Villeneuve']",['DVD 2'],['恐怖'],[''],[],[' 英语']
[' 比利时 / 荷兰'],['Victor D. Ponten'],['92'],['09'],"['凯文·让森斯', 'Orion Lee', 'Werner Kolf', 'Liliana de Vries', 'Loes Schnepper', 'Willem de Bruin']",['Catacombe'],[],[''],[],[' 英语 / 汉语普通话 / 荷兰语 / 帕皮阿门托语']
[' 比利时 / 法国 / 德国'],['Joel Karekezi'],['91'],['09'],"['马克·泽戈', '斯特凡·巴克']",['丛林的仁慈 The Mercy of the Jungle'],"['剧情', '战争']",[''],[],[' 法语']
[' 法国 / 比利时'],"['Claude Schmitz', 'Emmanuel Marre']",[],['01'],[],['Les films de l&#39;été'],['喜剧'],[''],[],[' 法语']
[' 比利时'],['Mathieu Mortelmans'],['104'],[],"['肯·德·布沃', 'Lucas van den Eijnde', '斯潘塞·博加特', 'Tine Reymer', '埃尔斯·奥拉特', 'Dirk Roofthooft', 'Arne De Tremerie', 'Cesar De Sutter', 'Lukas Bulteel', 'Bruno Mazereel', 'Bjarne Devolder', 'Amir Motaffaf']",['Bastaard'],[],[''],[],[' 弗拉芒语']
[' 比利时'],['Rosine Mbakam'],['70'],[],[],['Chez jolie coiffure'],[],[''],[],[' 法语']
[' 比利时'],[],[],[],[],['Bons baisers de la planète Schtroumpf'],[],[''],[],[]
[' 比利时'],['Roxy Shih'],[],['04'],"['亚当·胡斯', '玛德琳·奇玛', '黛布拉·威尔逊', '格兰特·鲍尔', '米莎·巴顿', '娜奥米·格罗斯曼', 'Maria Olsen', '安东尼·马', 'Kim Estes', 'Brandy Redd', '詹姆斯·罗根', 'Tate Birchmore', 'Ana Harrison', 'Danny Herb', 'Stephen Wastell']",['Painkillers'],['剧情'],[''],[],[]
[' 比利时'],"['Kristoff Leue', 'Dimitri Leue']",['90'],[],[],['ZOOks'],[],[''],[],[]
[' 比利时'],['Eva Cools'],[],[],"['安娜·法兰西斯卡·雅格', '友兰达·梦露', 'Natali Broods', 'Martha Canga Antonio', '扬·哈梅内克', '露西·德拜', 'Roy Aernouts', '大卫·木贺嘉', '大卫·木贺嘉 David Murgia', 'Koen De Sutter']",['Cléo'],['歌舞'],[''],[],[' 法语']
[' 比利时'],['那比·班·亚迪'],['100'],[],[],['盲区'],"['剧情', '动作', '犯罪']",[''],[],[]
[' 瑞士 / 法国 / 比利时'],['Bettina Oberli'],['86'],"['08', '09']","['梅兰尼·蒂埃里', '皮埃尔·德隆尚', '努诺·洛佩斯', 'Anastasia Shevtsova']",['转向风 Le Vent Tourne'],['剧情'],[''],[],[' 法语']
[' 德国 / 比利时'],['Beryl Magoko'],['90'],[],[],['寻找 In Search...'],[],[''],[],[' 英语']
[' 法国 / 比利时 / 美国'],"['伯努瓦·德雷平', '古斯塔弗·德·科文']",['103'],[],"['让·杜雅尔丹', '友兰达·梦露', 'Jean-Benoît Ugeux']",['我感觉很好 I Feel good'],['喜剧'],[''],[],[' 法语']
[' 冰岛 / 瑞典 / 比利时'],['Isold Uggadottir'],['95'],['01'],"['Bragi Arnason', 'Þorsteinn Bachmann', 'Sveinn Geirsson', 'Sólveig Guðmundsdóttir', 'Kristín Þóra Haraldsdóttir', 'Helga Vala Helgadóttir', '贡纳·永松', 'Aladin Laaguid', 'Patrik Nökkvi Pétursson', 'Babetida Sadjo', 'Guðbjörg Thoroddsen']",['呼吸正常 Andið eðlilega'],['剧情'],[''],[],[' 冰岛语 / 英语']
[' 德国 / 比利时'],"['克里斯托弗·劳恩斯坦', '沃尔夫冈·劳恩斯坦']",['84'],['10'],"['亚历桑德娜·内尔德尔', '阿克西尔·普拉尔']",['萌宠特工队 Marnies Welt'],"['动画', '家庭', '冒险']",[''],[],[' 德语 / 英语']
[' 法国 / 比利时'],['Jorge Léon'],[],[],[],['Mitra'],[],[''],[],[' 法语']
[' 卢森堡 / 比利时 / 以色列 / 法国'],['萨梅赫·祖比'],['97'],['09'],"['卡伊斯·纳塞夫', '卢巴纳·阿兹巴尔', 'Yaniv Biton', '麦莎·阿德哈迪', 'Nadim Sawalha', '萨利姆道', '约塞夫·斯威德', 'Amer Hlehel', '拉蒂·蒂亚', 'Ashraf Farah']",['特拉维夫在燃烧 Tel Aviv on Fire'],['喜剧'],[''],[],[' 阿拉伯语 / 希伯来语']
