地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 黎巴嫩 / 法国 / 美国'],['娜丁·拉巴基'],['126'],"['05', '09']","['赞恩·阿尔·拉菲亚', '约丹诺斯·希费罗', '博鲁瓦蒂夫·特雷杰·班科尔', '卡萨尔·艾尔·哈达德', '法迪·尤瑟夫', '海塔·塞德拉·伊扎姆', '阿拉·乔什涅', '娜丁·拉巴基', '埃利亚斯·库利', '努尔·艾尔·侯赛尼']",['何以为家 كفرناحوم'],['剧情'],['9.0'],['254134'],[' 阿拉伯语 / 阿姆哈拉语']
[' 意大利 / 瑞士 / 法国 / 德国'],['阿莉切·罗尔瓦赫尔'],['127'],"['05', '05']","['阿德里亚诺·塔尔迪奥洛', '阿涅塞·格拉齐亚尼', '卢卡·奇科瓦尼', '阿尔巴·罗尔瓦赫尔', '塞尔希·洛佩斯', '纳塔利诺·巴拉索', '托马索·拉尼奥', '尼可莱塔·布拉斯基', '达里亚·帕斯卡·阿托利尼', '达维德·登奇', '帕斯夸丽纳·斯昆恰']",['幸福的拉扎罗 Lazzaro felice'],"['剧情', '奇幻']",['8.6'],['59145'],[' 意大利语']
[' 比利时 Belgium / 法国 / 荷兰 Netherlands / 卢森堡 Luxembourg'],"['Emma De Swaef', 'Marc James Roels']",['44'],['05'],[],['这绝妙的蛋糕！ Ce magnifique gâteau!'],"['喜剧', '动画', '历史']",['8.4'],['148'],[' 荷兰语 Dutch / 法语']
[' 法国'],"['Andréa Bescond', 'Eric Métayer']",['103'],"['05', '11']","['Andréa Bescond', '嘉莲·维雅', '克洛维斯·科尔尼亚克', '皮埃尔·德隆尚', '格雷戈里·蒙泰尔', 'Carole Franck', 'Gringe', '阿丽亚娜·阿斯卡里德', 'Cyrille Mairesse', 'Léonie Simaga', 'Eric Métayer', 'Bénédicte Cerruti', 'Marie-Christine Orry', 'Jade Phan-Gia', 'Benjamin Dur', '亚力克西斯·马沙利克', '亚尼斯·马歇尔', '皮埃尔·福雷', '克莱蒙·梅特耶', '雅克·弗朗茨']",['不能说的游戏 Les chatouilles'],['剧情'],['8.2'],['464'],[' 法语']
[' 美国 / 中国大陆 / 法国 / 挪威'],['克里斯托弗·麦奎里'],['147'],"['08', '07']","['汤姆·克鲁斯', '亨利·卡维尔', '文·瑞姆斯', '西蒙·佩吉', '丽贝卡·弗格森', '西恩·哈里斯', '安吉拉·贝塞特', '凡妮莎·柯比', '米歇尔·莫纳汉', '韦斯·本特利', '费雷德里克·施密特', '亚历克·鲍德温', '杨亮', '克里斯托弗·约纳尔', '沃尔夫·布利策', '拉斐尔·琼勒', '安德鲁·卡扎纳夫·平', '克里斯多夫·德·舒瓦西', '拉裴尔·德普雷', '让·巴普蒂斯特·菲永', '马克斯·盖勒', '奥利维尔·体班德', '亚历山大·普尔', '阿利克斯·贝纳泽什', '乔伊·安沙', '维利贝·托皮奇', '格雷厄姆·福克斯', '卡斯珀·菲利普森', '菲恩·乔利', '鲁斯·贝恩', '奈杰尔·艾伦']",['碟中谍6：全面瓦解 Mission: Impossible - Fallout'],"['动作', '惊悚', '冒险']",['8.1'],['383874'],[' 英语 / 法语']
[' 土耳其 / 马其顿 / 法国 / 德国 / 波黑 / 保加利亚 / 瑞典'],['努里·比格·锡兰'],['188'],"['05', '06']","['岛吾·德米尔考', '穆拉特·杰姆吉尔', '本努·耶勒德热姆拉尔', '哈扎尔·埃尔居奇卢', '塞尔坎·凯斯金', '塔梅尔·莱文特', '厄内尔·埃尔坎', '里法特·桑贾尔', '阿克·阿克苏', '卡迪尔·瑟米克', '欧扎·费什特']",['野梨树 Ahlat Ağacı'],['剧情'],['8.1'],['8484'],[' 土耳其语']
[' 法国'],['米歇尔·欧斯洛'],['94'],"['06', '10']","['Prunelle Charles-Ambron', 'Enzo Ratsito', '纳塔莉·德赛']",['迪哩哩在巴黎 Dilili à Paris'],['动画'],['8.0'],['171'],[' 法语']
[' 法国'],['史蒂芬·布塞'],['113'],"['05', '05']","['文森特·林顿', '梅兰妮·罗弗', '雅克·博尔德里', '戴维·雷伊', '奥利维尔·斯勒梅尔', '伊莎贝尔·鲁芬']",['开战 En Guerre'],['剧情'],['7.9'],['3124'],[' 法语']
[' 法国'],['克里斯托夫·奥诺雷'],['132'],['05'],"['文森特·拉科斯特', '皮埃尔·德隆尚', '德尼·波达利德斯', '阿黛尔·维斯梅思', '托马斯·冈萨雷斯', '克莱蒙·梅特耶', '昆廷·蒂博', '特里斯坦·法尔热', '索菲·勒图讷尔', '马莱娜·索尔达纳', '卢卡·马林诺夫斯基', '埃里克·维涅尔', '罗曼·施耐纳']","['喜欢，轻吻，快跑 Plaire, aimer et courir vite']","['剧情', '爱情', '同性']",['7.8'],['14397'],[' 法语']
[' 西班牙 / 法国'],['Salvador Simó'],['80'],['10'],[],['布努埃尔之神龟迷宫 Buñuel en el laberinto de las tortugas'],"['动画', '冒险']",['7.8'],['183'],[' 西班牙语 / 法语']
