地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 波兰 / 西班牙 / 德国 / 比利时 / 匈牙利'],"['Raúl de la Fuente', '达米安·纽诺']",['80'],"['05', '11']","['小田部阿基', 'Wilson Benedito', 'Ryszard Kapuscinski']",['人生的另一天 Un día más con vida'],"['动画', '传记']",['7.9'],['195'],[' 英语 / 葡萄牙语 / 波兰语 / 西班牙语']
[' 波兰 / 法国 / 英国'],['帕维乌·帕夫利科夫斯基'],['88'],"['05', '06']","['尤安娜·库里克', '托马斯·科特', '波利斯·席克', '阿伽塔·库莱沙', '塞德里克·康', '让娜·巴利巴尔', '亚当·费仁希', '亚当·沃诺维茨', '亚当·斯齐斯科斯基']",['冷战 Zimna wojna'],"['剧情', '爱情', '音乐']",['7.8'],['19647'],[' 波兰语 / 法语 / 德语 / 克罗地亚语 / 意大利语 / 俄语']
[' 捷克 / 斯洛文尼亚 / 波兰 / 斯洛伐克 / 法国'],['奥尔默·欧默祖'],['85'],['09'],"['Tomás Mrvík', 'Jan Frantisek Uher', 'Eliska Krenková']",['逝去的冬天 Všechno bude'],"['剧情', '喜剧']",['7.7'],['76'],[' 捷克语']
[' 俄罗斯 / 德国 / 波兰 / 哈萨克斯坦 / 中国大陆 / 法国'],['谢尔盖·德瓦茨沃伊'],['100'],['05'],"['萨梅尔·叶斯利亚莫娃', 'Zhipargul Abdilaeva', 'David Alaverdyan', 'Sergey Mazur', 'Slava Agashkin', 'Ashkat Kuchinchirekov']",['小家伙 Айка'],['剧情'],['7.6'],['1196'],[' 俄语 / 吉尔吉斯语']
[' 俄罗斯 / 波兰 / 塞尔维亚'],['小阿列克谢·日耳曼'],['126'],['02'],"['米兰·马里奇', '丹尼拉·科兹洛夫斯基', '海伦娜·苏耶茨卡', '阿尔图尔·别夏斯特内', '叶莲娜·利亚多娃', '安东·沙金', '斯维特拉纳·库德钦科娃', '彼得·戈萨沃斯基', '伊娃·格尔', '汉娜·斯莱辛斯卡']",['多甫拉托夫 Довлатов'],"['剧情', '传记']",['7.2'],['872'],[' 俄语 / 西班牙语 / 芬兰语']
[' 波兰'],['欧嘉·查达斯'],['130'],['01'],"['朱莉娅·基乔斯卡', '伊莱扎·莱辛姆波', '安德烈·卡诺普卡', '卡塔兹娜·格尼夫克斯加', '玛丽亚·佩斯泽克', '塔蒂阿娜·保霍福娃']",['妮娜 Nina'],"['剧情', '爱情', '同性']",['7.1'],['2342'],[' 波兰语 / 法语']
[' 希腊 / 波兰'],['巴比斯·马克里迪斯 Babis Makridis'],['97'],['01'],"['Evdoxia Androulidaki', '马基斯·帕帕季米特里乌 Makis Papadimitriou', 'Yannis Drakopoulos', 'Georgina Chryskioti', 'Evi Saoulidou']",['怜悯 Oίκτος'],['剧情'],['7.0'],['185'],[' 希腊语']
[' 南非 / 法国 / 希腊 / 波兰'],['艾蒂安·卡洛斯'],['106'],['05'],"['Danny Keogh', 'Benré Labuschagne', '亚历克斯·范·迪克', 'Juliana Venter', '布伦特·韦尔默朗', '莫尔纳·维瑟', '埃里卡·韦塞尔斯']",['收割者 Die Stropers'],"['剧情', '同性']",['7.0'],['63'],[' 南非语 / 英语']
[' 波兰'],['巴特洛米伊·纳丘克'],['101'],['01'],"['Przemyslaw Bogdanowicz', 'Sylwia Borowska', 'Marta Bryla', 'Michal Czernecki', 'Grzegorz Damiecki']",['爱情税 Podatek od milosci'],"['喜剧', '爱情']",['6.4'],['234'],[' 波兰语']
[' 波兰'],['玛高扎塔·施莫夫兹卡'],['91'],"['02', '04']","['阿格涅什卡·波德夏德利克', '马太乌兹·科西基维奇', 'Małgorzata Gorol', '罗曼·甘卡奇克']",['面目 Twarz'],"['剧情', '喜剧']",['6.3'],['226'],[' 波兰语']
