地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 泰国'],['Yanyong Kuruaungkoul'],['130'],['08'],"['Nat Kitcharit', 'Warisara Yu', 'Sirat Intarachote', 'Apiwich Reardon', 'Ticha Wongthipkanont', 'Thanapop Yoovijit', 'Patchanan Jiajirachote']",['交友网战 App War'],['喜剧'],['6.8'],['81'],[' 泰语']
[' 泰国'],['Prueksa Amaruji'],['106'],['09'],"['帕查拉·奇拉锡瓦特', '苼楠塔茬·塔纳潘披散', '詹妮弗·金']",['骑机男孩 ไบค์แมน'],['喜剧'],['6.8'],['81'],[' 泰语']
[' 泰国'],"['彭萨·康斯里', '甘·方苏旺', '纳·约斯瓦塔纳蒙']",['104'],"['06', '01']","['卡诺查·曼雅德昂', '萨维提·苏提查农', 'Sirichai Charoenkijtanakul', '拉齐布·亚姆森', '沃拉里·范伽罗马', 'Nimit Luksameepong', 'Dhamakara Jakraworawut', 'Konthorn Taecholarn', 'Sansern Pokesombat', 'Suwandee Jakravoravudh', 'Suporn Decharin', 'Sa-Ard Piempongsan', 'Sapunsin Sirichai', 'Watthanachai Treedecha', 'Picrate Dolrasee']",['暹罗决：九神战甲 The Legend of Muay Thai: 9 Satra'],"['动作', '动画', '奇幻']",['6.7'],['2502'],[' 泰语 / 英语 / 汉语普通话']
[' 泰国'],"['狄也·阿萨拉', '韦西·沙赞那庭', 'Chulayarnnon Siriphol', '阿彼察邦·韦拉斯哈古']",['95'],['05'],[],['十年泰国 Ten Years Thailand'],['剧情'],['6.3'],['230'],[' 泰语']
[' 泰国 / 法国 / 中国大陆'],['普蒂邦·阿朗潘'],['105'],['09'],"['Wanlop Rungkamjad', 'Aphisit Hama', 'Rasmee Wayrana', 'Kamjorn Sankwan']",['蝠鲼 กระเบนราหู'],['剧情'],['6.2'],['268'],[' 泰语']
[' 泰国'],['维塔亚·东俞扬'],['123'],['05'],"['桑尼·苏瓦美塔农', '尤拉萨雅·斯帕邦德', '尼查坤·抔勒威查固', '安楚义昂·布阿嘎育', '婵査勒姆·曼纳萨朋']",['把哥哥退货可以吗？ น้อง.พี่.ที่รัก'],"['喜剧', '爱情']",['5.3'],['4405'],[' 泰语 / 日语 / 英语']
[' 中国大陆 / 泰国'],['姜景中'],['86'],['08'],"['刘畊宏', '朱富润', '卢佳', '刘锐', '黄书豪', '张双利']",['狂战'],['动作'],['5.1'],['205'],[' 汉语普通话 / 泰语']
[' 泰国'],"['Nitivat Cholvanichsiri', 'Phawat Panangkasiri', 'Thammanoon Sukulboontanom']",['101'],['03'],"['窝拉甘·罗瓦查拉', 'Akarin Akaranitimaytharatt', 'Passornkorn Chirativat', '缇拉娜·友萨奴', 'Nutjaree Horvejkul', 'Numchok Thanatram', 'Natee Aekwijit', '沪瓦隆·威伍飒', 'Sara Holher', 'Worachart Thumwijin']",['鬼三惊3 3AM Part 3'],['恐怖'],['5.0'],['74'],[' 泰语']
[' 泰国'],['Ping Lumpraploeng'],['91'],['09'],"['提拉德·翁坡帕', 'Ratnamon Ratchiratham']",['鳄口逃生 The Pool นรก 6 เมตร'],"['动作', '惊悚']",['4.7'],['747'],[' 泰语']
[' 泰国'],['韦西·沙赞那庭'],['105'],['12'],"['阿南达·爱华灵咸', 'Peerapol Kijreunpiromsuk', 'Teerawat Mulvilai', 'Jarunun Phantachat', 'Ploy Sornarin', '娜特慧兰·塔美', 'Tarika Tidatid']",['尸降 Reside'],['恐怖'],[''],[],[' 泰语']
