地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 澳大利亚'],"['乔恩·欧布', '玛德琳·帕里']",['69'],['06'],['汉纳·盖茨比'],['汉纳·盖茨比告别秀：娜娜 Hannah Gadsby: Nanette'],"['喜剧', '脱口秀']",['9.3'],['2217'],[' 英语']
[' 澳大利亚 / 美国 / 印度'],['安东尼·马拉斯'],['123'],"['09', '10']","['艾米·汉莫', '纳赞宁·波妮阿蒂', '戴夫·帕特尔', '詹森·艾萨克', '阿努潘·凯尔', '刘承羽', '安格斯·麦克拉伦', '萨钦·乔伯', '蒂尔达·格哈姆-哈维', '维品·沙尔马', '阿布罗伊·辛格', '迪维亚·阿妮', '桑迪普·博雅卡', '齐尼亚·斯塔尔']",['孟买酒店 Hotel Mumbai'],"['剧情', '惊悚', '历史']",['8.4'],['25342'],[' 英语 / 印地语 / 旁遮普语 / 希腊语 / 俄语 / 阿拉伯语 / 乌尔都语 / 波斯语']
[' 澳大利亚'],['雷·沃纳尔'],['100'],"['03', '06']","['罗根·马歇尔-格林', '梅拉里·沃列何', '哈里森·吉尔伯特森', '本尼迪克·哈迪', '克里斯托弗·卡比', '理查德·考索恩', '琳达·克罗珀', '贝蒂·加布里埃尔', '罗斯科·坎贝尔', '理查德·阿纳斯塔西奥斯', '史蒂夫·丹尼尔森', '迈克尔·M·福斯特', '雷纳·加拉赫', '克莱顿·雅各布森']",['升级 Upgrade'],"['动作', '科幻', '惊悚']",['8.1'],['87299'],[' 英语']
[' 美国 / 澳大利亚'],['温子仁'],['143'],"['12', '12']","['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼', '杜夫·龙格尔', '叶海亚·阿卜杜勒-迈丁', '特穆拉·莫里森', '林路迪', '迈克尔·比奇', '兰道尔·朴', '格拉汉姆·麦克泰维什', '雷·沃纳尔', '泰努伊·柯克伍德', '塔穆尔·柯克伍德', '丹泽尔·夸克', '卡恩·古尔杜尔', '奥蒂斯·丹吉', '克考亚·克库毛诺', '朱莉·安德鲁斯', '约翰·瑞斯-戴维斯', '杰曼·翰苏', '索菲亚·福雷斯特', '娜塔莉亚·姗福瑞', '杰克·安德鲁', '汉克·阿莫斯', '帕特里克·考克斯', '罗伯特·朗斯特里特', '德维卡·帕利赫', '梅布尔·塔莫内', '文森特·B·拉戈斯', '加布里埃拉·佩特科娃', '爱丽丝·兰斯伯里', '帕特里克·艾奇逊', '约翰·盖蒂尔', '塔丽亚·杰德·霍尔特', '罗斯·克纳汉', '布拉登·刘易斯', '萨尔瓦多·梅伦达', '山姆·莫纳汉', '温妮·穆赞贝', '凯·潘塔诺', '安娜·帕奇', '乔恩·奎斯蒂德', '迪伦·斯图默', '米奇·武尔夫']",['海王 Aquaman'],"['动作', '奇幻', '冒险']",['7.6'],['606175'],[' 英语 / 毛利语 / 意大利语 / 俄语']
[' 澳大利亚'],['杰弗里·沃克'],['105'],['02'],"['达蒙·海瑞曼', '凯特·波克斯', '泽维尔·塞缪尔', '杰西卡·德·古维', '乔什·邝·塔特', '本尼迪克·哈迪', '汉娜·曼根·劳伦斯', '肖恩·马丁代尔']",['暴动彩虹 Riot'],"['剧情', '同性']",['7.2'],['278'],[' 英语']
[' 澳大利亚'],['布鲁斯·贝尔斯福德'],['109'],['10'],"['朱莉娅·奥蒙德', '安格瑞·赖斯', '瑞切尔·泰勒', '瑞安·柯尔', '文森特·佩雷斯', '苏茜·波特', '肖恩·雅克博森', '诺妮·哈泽赫斯', '尼古拉斯·哈蒙德', '卢克·佩格勒', '吉娜维夫·莱蒙', '德博拉·肯尼迪', '杰西 ·海德', '劳拉·穆拉凯']",['黑衣女人 Ladies in Black'],"['剧情', '喜剧']",['7.2'],['1096'],[' 英语']
[' 美国 / 英国 / 澳大利亚'],['威尔·古勒'],['95'],"['03', '02']","['詹姆斯·柯登', '多姆纳尔·格里森', '萝丝·拜恩', '伊丽莎白·德比茨基', '玛格特·罗比', '黛西·雷德利', '科林·穆迪', '山姆·尼尔', '希雅', '伊文·莱斯利', '费萨尔·巴齐', '克里斯蒂安·加扎尔', '玛丽安娜·琼-巴普蒂斯特', '加雷斯·戴维斯', '山姆·哈夫特', '萨莎·霍勒', '娜塔丽·朱', '特伦尼娅·爱德华兹', '费利克斯·威廉森', '许明珠', '布莱恩·布朗', '蕾切尔·沃德', '大卫·文翰', '威尔·赖歇尔特']",['比得兔 Peter Rabbit'],"['喜剧', '动画', '冒险']",['7.1'],['68757'],[' 英语']
[' 美国 / 南非 / 韩国 / 澳大利亚'],['瑞恩·库格勒'],['134'],"['03', '02']","['查德维克·博斯曼', '露皮塔·尼永奥', '迈克尔·B·乔丹', '丹娜·奎里拉', '马丁·弗瑞曼', '丹尼尔·卡卢亚', '利蒂希娅·赖特', '温斯顿·杜克', '斯特林·K·布朗', '安吉拉·贝塞特', '福里斯特·惠特克', '安迪·瑟金斯', '弗洛伦丝·卡松巴', '约翰·卡尼', '大卫·S·李', '娜比娅·毕']",['黑豹 Black Panther'],"['动作', '科幻', '冒险']",['6.5'],['332248'],[' 斯瓦希里语 / 英语 / 科萨语 / 韩语']
[' 英国 / 美国 / 澳大利亚'],['加斯·戴维斯'],['120'],['03'],"['鲁妮·玛拉', '杰昆·菲尼克斯', '切瓦特·埃加福特', '塔哈·拉希姆', '亚里安妮·拉贝德', '德尼·梅诺谢', '卢巴纳·阿兹巴尔', '切基·卡尤', '托菲克·巴霍姆', '瑞安·柯尔', '乌瑞·加夫利尔', '希拉·哈斯', '迈克尔·穆索诺夫', '大卫·斯科菲尔德']",['抹大拉的玛丽亚 Mary Magdalene'],['剧情'],['6.0'],['723'],[' 英语']
[' 美国 / 澳大利亚'],['纳许·埃哲顿'],['111'],['03'],"['乔尔·埃哲顿', '查理兹·塞隆', '大卫·奥伊罗', '阿曼达·塞弗里德', '坦迪·牛顿', '迭戈·卡塔诺', '卡洛斯·科罗纳', '巴希尔·萨拉赫丁', '格伦·久保田', '梅罗妮·迪亚兹', '哈里·崔德威', '西奥·泰普里兹', '帕丽斯·杰克逊', '尤尔·瓦斯克斯', '埃尔南·门多萨', '赫克托·科特思法基斯', '里卡多·埃斯克拉', '阿兰·卢克', '肯尼斯·崔', '沙尔托·科普雷']",['外国佬 Gringo'],"['喜剧', '动作', '犯罪']",['5.8'],['1426'],[' 英语 / 西班牙语 / 法语']
