地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 爱尔兰'],['彼得·福特'],['30'],['12'],"['克里斯·瓦利', '亚历克斯·墨菲', '希拉里·罗斯', '多米尼克·麦克海尔', '奥拉·菲茨杰拉德', 'P·J·加拉格尔', 'Demi Isaac Oviawe', '詹妮弗·巴里', '罗伯特·席安', '沙恩·凯西']",['少年犯圣诞特辑 The Young Offenders  Christmas Special'],['喜剧'],['7.9'],['726'],[' 爱尔兰']
[' 爱尔兰 / 英国 / 美国'],['欧格斯·兰斯莫斯'],['119'],"['08', '11']","['奥利维娅·科尔曼', '艾玛·斯通', '蕾切尔·薇兹', '尼古拉斯·霍尔特', '乔·阿尔文', '马克·加蒂斯', '蒂莫西·英纳斯', '珍妮·莱恩斯福德', '詹姆斯·史密斯', '詹姆斯·梅尔维尔', '杰克·维尔']",['宠儿 The Favourite'],"['剧情', '喜剧', '同性', '传记']",['7.4'],['51676'],[' 英语']
[' 美国 / 爱尔兰 / 法国 / 加拿大'],['Richard Lanni'],['84'],['04'],"['海伦娜·伯翰·卡特', '罗根·勒曼', '热拉尔·德帕迪约']",['斯塔比中士：一个美国英雄 Sgt. Stubby: An American Hero'],"['动画', '历史', '战争', '冒险']",['7.2'],['212'],[' 英语']
[' 爱尔兰'],['约翰·巴特勒 John Butler'],['98'],['09'],"['马特·波莫', 'Alejandro Patiño', 'Elena Campbell-Martinez', 'Shaughn Buchholz']",['糖心爹地 Papi Chulo'],"['喜剧', '同性']",['7.1'],['210'],[' 英语']
[' 爱尔兰 / 卢森堡'],['兰斯·戴利'],['100'],"['02', '09']","['雨果·维文', '詹姆斯·弗兰切威勒', '斯蒂芬·瑞', '弗莱迪·福克斯', '巴里·基奥根', '莫·邓福德', '莎拉·格林', '吉姆·布劳德本特', '西伦·格雷斯', '安东尼娅·坎贝尔-休斯', '德尔莫特·克劳利', '艾丹·麦克阿德尔', '基思·麦克利恩', '米特扎·斯迈尔贾尼克']",['黑色1847 Black 47'],['剧情'],['7.1'],['1418'],[' 英语']
[' 爱沙尼亚 / 比利时 / 爱尔兰 / 英国'],"['卡斯帕·简西斯', 'Riho Unt']",['75'],['06'],"['塞伦·希德', '迈克尔·麦克埃尔哈顿', '布莱丹·格里森']",['莫滕船长与蜘蛛女王 Captain Morten and the Spider Queen'],"['动画', '家庭']",['6.4'],['197'],[' 英语']
[' 瑞士 / 爱尔兰 / 英国 / 法国 / 美国'],['朱利安·施纳贝尔'],['110'],"['09', '11']","['威廉·达福', '鲁伯特·弗兰德', '奥斯卡·伊萨克', '麦斯·米科尔森', '马修·阿马立克', '艾玛纽尔·塞尼耶', '尼尔斯·阿贺斯图普', '艾伦·奥伯特', '阿蜜拉·卡萨', '洛丽塔·夏马', '帕特里克·薛内斯', '弗拉基米尔·康斯金尼', '亚力克西斯·马沙利克', '文森特·佩雷斯', '亚历山德拉·斯图尔特']",['永恒之门 At Eternity&#39;s Gate'],"['剧情', '传记']",['6.3'],['1798'],[' 法语 / 英语']
[' 爱尔兰'],['大卫·格里森'],['91'],['09'],"['斯蒂芬·多尔夫', '梅利莎·乔治', '西蒙·德兰尼', '加文·欧康诺 ', '莱勒·罗迪', '肖恩·马洪', 'Aoibhinn McGinnity', 'Grace Farrel', 'Des Cave', 'Luke Griffin', 'Charlotte Bradley', ""Laurence O'Fuarain"", 'Sahar Ali', 'Ella Connolly', 'Grainne Coyne']",['别走 Don&#39;t Go'],['悬疑'],['6.3'],['107'],[' 英语']
[' 爱尔兰 / 美国'],['尼尔·乔丹'],['98'],['09'],"['伊莎贝尔·于佩尔', '科洛·莫瑞兹', '麦卡·梦露', '简·佩里', '杰夫·西勒', '帕克·索耶', '布兰登·李·西尔斯', '阿瑟·李', '罗莎·埃斯科达', '撒迪厄斯·丹尼尔斯', '科鲁姆·费奥瑞', '扎威·阿什顿', '斯蒂芬·瑞']",['遗孀秘闻 Greta'],"['剧情', '悬疑']",['6.0'],['3570'],[' 英语']
[' 爱尔兰 / 英国 / 法国'],['伦尼·阿伯拉罕森'],['111'],['08'],"['多姆纳尔·格里森', '露丝·威尔森', '乔什·迪伦', '夏洛特·兰普林', '威尔·保尔特', '达伦·肯特', '凯特·菲利普斯', '迪克西 艾格瑞克斯', '蒂姆· 普莱斯特', '洛娜·麦克法迪', '克里斯·科克森', '哈利·海顿-佩顿']",['小小陌生人 The Little Stranger'],"['剧情', '悬疑', '惊悚', '恐怖']",['5.8'],['882'],[' 英语']
[' 爱尔兰'],['Ciaron Davies'],[],['10'],"['Ricardo Mexas', 'Fionnuala Collins', 'Ciaron Davies', 'Mark Davis', 'Robin Davis', 'Peter Cosgrove', 'Jurgita Dumblyte', 'John Free', 'Patrick Mc Loughlin', 'Edward McDonagh', 'Richie Cowdell', 'Aintj McInerney', 'Martin Savage', 'Sean Simon', 'Tony Smith']",['Wonderland'],"['恐怖', '奇幻', '冒险']",[''],[],[]
[' 英国 / 爱尔兰'],['Dianne Lucille Campbell'],['15'],"['06(英国)"">2018']",[],['El Hor'],[],[''],[],[' 英语']
[' 爱尔兰'],['Maurice Sweeney'],[],['08'],"['Lauren Beale', 'Gail Brady', 'Lauren Carr']","['I, DOLOURS']",[],[''],[],[' 英语']
[' 瑞士 / 马其顿 / 爱尔兰'],['Mitko Panov'],['113'],['11'],"['布鲁诺·甘茨', 'Natasha Petrovic', '帕德莱克·德兰尼', 'Mirsad Ibisevic', 'Refet Abazi', 'Mitko Apostolovski', 'Rok Cvetkov', 'Simeon Moni Damevski', '埃米尔·哈齐哈夫茨比哥维奇', '玛尔特·克勒尔', '尼克·李', '维利贝·托皮奇']",['证人 The Witness'],"['剧情', '动作']",[''],[],[' 英语 / 塞尔维亚克罗地亚语']
[' 爱尔兰'],[],[],[],[],['the lighthouse'],[],[''],[],[]
[' 爱尔兰'],['Alan Mulligan'],[],['04'],"['大卫·莫瑞', ""Laurence O'Fuarain"", 'Sarah Carroll']",['边界 The Limit Of'],[],[''],[],[' 英语']
[' 爱尔兰'],['Stephen Gaffney'],[],['10'],"['George Bracebridge', 'Erica Keegan', ""Justine O'Rourke""]",['Demoniac'],['恐怖'],[''],[],[' 英语']
[' 爱尔兰'],['Chandrasekaran'],['90'],['10'],[],['彼得潘:永不言弃的追求 Peter Pan: The Quest for the Never Book'],[],[''],[],[' 英语']
