地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 俄罗斯 / 爱沙尼亚 / 法国'],"['阿列克谢·丘波夫', '娜塔莉亚·梅尔库洛娃']",['105'],['09'],"['阿列克谢·菲利蒙诺夫', '纳塔莉娅·库德拉什瓦', 'Yuriy Kuznetsov', '帕维尔·迈科夫', '叶甫盖尼·齐加诺夫', '马克西姆·维托尔甘', 'Elena Voronchikhina']","['哗众之人 Человек, который удивил всех']",['剧情'],['7.2'],['113'],[' 俄语']
[' 爱沙尼亚 / 比利时 / 爱尔兰 / 英国'],"['卡斯帕·简西斯', 'Riho Unt']",['75'],['06'],"['塞伦·希德', '迈克尔·麦克埃尔哈顿', '布莱丹·格里森']",['莫滕船长与蜘蛛女王 Captain Morten and the Spider Queen'],"['动画', '家庭']",['6.4'],['197'],[' 英语']
[' 爱沙尼亚'],['Liina Triškina'],['102'],['09'],"['Reimo Sagor', 'Andres Mähar', 'Epp Eespäev']",['要或不要 Võta või jäta'],['剧情'],[''],[],[' 爱沙尼亚语']
[' 爱沙尼亚'],['Anu Aun'],['90'],['12'],"['Maria Annus', 'Robert Annus', 'Annabrith Heinmaa', 'Marvin Inno', 'Riho Kütsar', 'Liis Lemsalu']",['疯狂的圣诞节 Eia jõulud Tondikakul'],['家庭'],[''],[],[' 爱沙尼亚语']
[' 爱沙尼亚'],['Maria Avdjushko'],['90'],['05'],"['Eva Eensaar-Tootsen', 'Epp Eespäev', 'Ingrid Isotamm', 'Rasmus Kallas', 'Johann Urb']",['烈焰百合 Tuliliilia'],"['剧情', '悬疑']",[''],[],[' 爱沙尼亚语']
[' 爱沙尼亚'],['莫尼卡·西米茨'],[],['03'],"['Yuliya Aug', 'Eva Klemets', 'Maria Klenskaja', 'Lembit Peterson', 'Helena Maria Reisner', 'Tambet Tuisk']",['好同志，好孩子 Seltsimees laps'],['剧情'],[''],[],[' 爱沙尼亚语']
[' 爱沙尼亚'],['Anu Aun'],['90'],['12'],"['Maria Annus', 'Robert Annus', 'Annabrith Heinmaa', 'Marvin Inno', 'Riho Kütsar', 'Liis Lemsalu']",['疯狂的圣诞节 Eia jõulud Tondikakul'],['家庭'],[''],[],[' 爱沙尼亚语']
[' 冰岛 / 挪威 / 爱沙尼亚'],['Ari Alexander Ergis Magnússon'],[],[],"['Tómas Lemarquis', 'Atli Rafn Sigurðsson', 'Pääru Oja', 'Kaspar Velberg', 'Greete-Elena Priisalu']",['米克尔 Mihkel'],"['剧情', '传记', '犯罪']",[''],[],[' 英语 / 爱沙尼亚语 / 俄语 / 冰岛语']
[' 英国 / 爱沙尼亚'],['Hölma All'],['96'],['11'],"['Erki Laur', 'Jaanika Arum', '安德烈斯·莱皮克', '拉斯马斯·凯居加夫', '帕努·欧加']",['Hölma All'],['剧情'],[''],[],[' 爱沙尼亚语']
[' 爱沙尼亚'],['Kaur Kokk'],[],['10'],"['Pääru Oja', 'Meelis Rämmeld', 'Priit Pedajas']",['Põrgu Jaan'],['剧情'],[''],[],[' 爱沙尼亚语']
[' 爱沙尼亚'],"['Morten Tšinakov', 'Lucija Mrzljak']",['15'],[],[],['四幕精彩表演 Briljantsuse demonstratsioon neljas vaatuses'],['动画'],[''],[],[]
[' 爱沙尼亚 / 芬兰'],['韦科·欧恩普'],[],[],"['Pääru Oja', '汤米·柯贝拉', 'Liis Lass', '劳拉·布林', '埃尔默·拜克']",['Viimased'],['剧情'],[''],[],[' 芬兰语 / 爱沙尼亚语 / 萨米语']
[' 爱沙尼亚 / 俄罗斯'],['Andres Puustusmaa'],[],['01'],"['Jüri Aarma', 'Tonu Kark', 'Sergey Makovetskiy']",['绿猫 Rohelised kassid'],['剧情'],[''],[],[' 爱沙尼亚语 / 俄语']
[' 爱沙尼亚'],['马蒂亚斯·马克'],['14'],[],[],['草莓食客 Maasikaõgijad'],['动画'],[''],[],[]
