地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 土耳其 / 马其顿 / 法国 / 德国 / 波黑 / 保加利亚 / 瑞典'],['努里·比格·锡兰'],['188'],"['05', '06']","['岛吾·德米尔考', '穆拉特·杰姆吉尔', '本努·耶勒德热姆拉尔', '哈扎尔·埃尔居奇卢', '塞尔坎·凯斯金', '塔梅尔·莱文特', '厄内尔·埃尔坎', '里法特·桑贾尔', '阿克·阿克苏', '卡迪尔·瑟米克', '欧扎·费什特']",['野梨树 Ahlat Ağacı'],['剧情'],['8.1'],['8484'],[' 土耳其语']
[' 英国 / 瑞典'],['托比·麦克唐纳'],['96'],['06'],"['乔纳·豪尔-金', '埃里克斯·劳瑟', '德尼·梅诺谢', '尼古拉斯·罗尔', '约书亚·麦圭尔', '埃罗斯·维拉霍斯', '波林·艾蒂安', '马汀·麦格', '奈森·索利', '吉尔斯·马尔科姆', '尼古拉斯·阿格纽', '博伊德·罗杰斯', '杰森· 莱恩斯', '杰克·库珀·斯廷普森', '山姆·雷德兰']",['老男孩 Old Boys'],['喜剧'],['7.8'],['356'],[' 英语 / 法语']
[' 丹麦 / 法国 / 德国 / 瑞典'],['拉斯·冯·提尔'],['152'],"['05', '10', '11']","['马特·狄龙', '布鲁诺·甘茨', '乌玛·瑟曼', '希芳·法隆', '苏菲·格拉宝', '丽莉·克亚芙', '杰瑞米·戴维斯', '爱德华·斯皮伊尔斯', '大卫·拜利', '刘智泰']",['此房是我造 The House That Jack Built'],"['喜剧', '惊悚', '犯罪']",['7.3'],['37873'],[' 英语 / 德语 / 意大利语']
[' 瑞典 / 丹麦'],['帕尼勒·费舍尔·克里斯藤森'],['123'],['09'],"['阿尔巴·奥古斯特', '崔娜·蒂虹', 'Björn Gustafsson', '玛利亚·邦妮薇', '马格努斯·克雷佩', '亨瑞克·拉斐尔森', 'Maria Alm Norell']",['关于阿斯特丽德 Unga Astrid'],['剧情'],['7.0'],['71'],[' 瑞典语']
[' 瑞典 / 丹麦'],['阿里·阿巴西'],['110'],"['05', '08']","['埃娃·梅兰德', '埃罗·米洛诺夫', '约根·托尔松', '安·彼得伦', '斯坦·伦格伦', '马蒂·博斯泰特', '维克托·奥克布卢姆-尼尔松', '纳塔莉 明妮威克']",['边境 Gräns'],"['剧情', '惊悚', '奇幻']",['6.8'],['4846'],[' 瑞典语']
[' 英国 / 德国 / 瑞典 / 加拿大 / 美国'],['费德·阿尔瓦雷兹'],['117'],['11'],"['克莱尔·芙伊', '斯瓦利尔·古德纳松', '西尔维娅·侯克斯', '勒凯斯·斯坦菲尔德', '斯戴芬·莫昌特', '卡梅隆·布莱顿', '薇姬·克里普斯', '沃尔克·布鲁赫', '米卡埃尔·佩斯布兰特', '克拉斯·邦', '安德烈·佩伊奇', '克里斯托弗·康夫瑞', '西诺薇·玛考迪·伦德']",['蜘蛛网中的女孩 The Girl in the Spider&#39;s Web'],"['剧情', '惊悚', '犯罪']",['6.1'],['3272'],[' 英语']
[' 美国 / 瑞典'],['西蒙·凯瑟'],['100'],['04'],"['皮尔斯·布鲁斯南', '盖·皮尔斯', '明妮·德里弗', '亚历山德拉·希普', '奥德娅·拉什', '杰米·肯尼迪', '克拉克·格雷格', '肖恩·布莱克默', '娜塔莎·巴塞特', '斯特灵·比尤芒', '帕特里卡·达博', '艾琳·罗森', '卡尔洛·罗塔', '芙蕾雅·廷利', 'RJ·沃克', '里克·E.安德森', '迈克尔·海兰德']",['真相漩涡 Spinning Man'],"['剧情', '悬疑', '犯罪']",['5.9'],['1136'],[' 英语']
[' 英国 / 瑞典'],['乔纳斯·阿克伦德'],['112'],['01'],"['罗瑞·卡尔金', '艾莫里·科恩', '杰克·基默', '乔恩·奥伊登', 'Anthony De La Torre', '斯凯·费雷拉', '瓦尔特·斯卡斯加德', '威尔森·冈萨雷斯·奥森耐特', '萨姆·科尔曼', '古斯塔夫·汉马斯顿', '乔纳森·巴恩维尔', '安东尼奥·曼奇诺']",['混沌之王 Lords of Chaos'],['剧情'],['5.5'],['193'],[' 英语']
[' 丹麦 / 荷兰 / 瑞典'],['Isabella Eklöf'],['90'],['01'],"['Victoria Carmen Sonne', 'Lai Yde', '泰斯·罗默', 'Yuval Segal', 'Morten Hemmingsen', 'Adam Ild Rohweder', 'Adam Strand', 'Laura Kjær', 'Michiel de Jong', 'Stanislav Sevcik', 'Bo Brønnum']",['假期 Holiday'],['剧情'],['5.3'],['58'],[' 丹麦语 / 英语 / 荷兰语']
[' 挪威 / 瑞典 / 丹麦 / 荷兰'],['Katarina Launing'],['95'],['09'],"['Lisa Teige', 'Vebjørn Enger', 'Karen-Lise Mynster', 'Stig R. Amdam', 'Sigyn Åsa Sætereng', 'Charlott Utzig']",['热舞飞扬 Battle'],['剧情'],['5.3'],['112'],[' 挪威语 / 英语']
