地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 意大利 / 瑞士 / 法国 / 德国'],['阿莉切·罗尔瓦赫尔'],['127'],"['05', '05']","['阿德里亚诺·塔尔迪奥洛', '阿涅塞·格拉齐亚尼', '卢卡·奇科瓦尼', '阿尔巴·罗尔瓦赫尔', '塞尔希·洛佩斯', '纳塔利诺·巴拉索', '托马索·拉尼奥', '尼可莱塔·布拉斯基', '达里亚·帕斯卡·阿托利尼', '达维德·登奇', '帕斯夸丽纳·斯昆恰']",['幸福的拉扎罗 Lazzaro felice'],"['剧情', '奇幻']",['8.6'],['59145'],[' 意大利语']
[' 瑞士 / 法国'],['让-吕克·戈达尔'],['85'],['05'],['让-吕克·戈达尔'],['影像之书 Le livre d&#39;image'],['剧情'],['7.6'],['1825'],[' 法语 / 英语 / 阿拉伯语 / 意大利语 / 德语']
[' 瑞士'],['马塞尔·吉斯莱'],['124'],['02'],"['麦克斯·胡巴赫', '艾伦·阿尔塔拉斯', '杰西·莫拉维克', '朱格·普拉斯', '多诺·穆格勒', '安德烈亚斯·马蒂', '希尔温·阿米尼', '法比齐奥·波萨尼', '朱利安·科奇林', '加布里埃尔·诺阿·马瑞尔', '施塔隆·安德森', '乔利斯·格拉沃尔']",['我的冠军男友 Mario'],"['剧情', '爱情', '同性', '运动']",['7.3'],['6654'],[' 瑞士德语 / 德语']
[' 瑞士'],['安雅·科菲尔'],['90'],"['01', '05']",[],['瑞士人克里斯 Chris the Swiss'],['动画'],['6.9'],['237'],[]
[' 法国 / 墨西哥 / 瑞士'],['扬·冈扎乐兹'],['102'],"['05', '06']","['凡妮莎·帕拉迪丝', '凯特·莫兰', '尼古拉斯·莫瑞', '乔纳森·日奈', '哈立德·俄卢阿什', '费利克斯·马利陶德', '贝特朗·芒蒂格', '彼埃尔·皮罗尔', '罗曼娜·波琳热', '埃琳娜·勒文松', '亚纳·柯勒特', '雅各·诺勒', '弗洛伦斯·焦尔杰蒂', '娜塔莉·理查德']",['刺心 Un couteau dans le cœur'],"['剧情', '惊悚', '同性', '犯罪']",['6.7'],['3873'],[' 法语 / 西班牙语']
[' 哥伦比亚 / 丹麦 / 墨西哥 / 德国 / 瑞士'],"['克丽丝蒂娜·加耶果', '西罗·格拉']",['125'],"['05', '08']","['卡米娜·马蒂内', '何塞·阿科斯塔', '娜塔利娅·雷耶斯', '约恩·纳瓦埃斯', '格雷德·梅扎', '何塞·维森特', '胡安·包蒂斯塔·马丁内斯', '米格尔·维埃拉', '塞尔希奥·科恩', '阿斯列尼斯·马尔克斯', '何塞·奈德', '扬克·迪亚兹', '维克多·蒙特罗', '华金·拉蒙', '豪尔赫·拉斯卡罗']",['候鸟 Pájaros de verano'],"['剧情', '惊悚']",['6.7'],['1174'],[' 西班牙语 / 英语 / 瓦尤语']
[' 瑞士 / 蒙古'],['巴特巴雅尔·绰格索姆 '],['100'],['01'],"['Bayarsaikhan Bayartsengel', 'Oyun-Erdene Jamiyan']",['再别天堂 Out of Paradise'],['剧情'],['6.6'],['92'],[' 蒙语']
[' 意大利 / 德国 / 瑞士 / 法国'],['劳拉·比斯普里'],['97'],['02'],"['瓦莱丽亚·戈利诺', '阿尔巴·罗尔瓦赫尔', '撒拉·卡苏', '乌多·基尔', '米歇尔·卡尔博尼']",['我的女儿 Figlia mia'],['剧情'],['6.3'],['244'],[' 意大利语']
[' 瑞士 / 爱尔兰 / 英国 / 法国 / 美国'],['朱利安·施纳贝尔'],['110'],"['09', '11']","['威廉·达福', '鲁伯特·弗兰德', '奥斯卡·伊萨克', '麦斯·米科尔森', '马修·阿马立克', '艾玛纽尔·塞尼耶', '尼尔斯·阿贺斯图普', '艾伦·奥伯特', '阿蜜拉·卡萨', '洛丽塔·夏马', '帕特里克·薛内斯', '弗拉基米尔·康斯金尼', '亚力克西斯·马沙利克', '文森特·佩雷斯', '亚历山德拉·斯图尔特']",['永恒之门 At Eternity&#39;s Gate'],"['剧情', '传记']",['6.3'],['1798'],[' 法语 / 英语']
[' 德国 / 瑞士'],['Mike Schaerer'],['103'],['01'],"['卡洛琳·赫弗斯', '苏珊娜·冯·博尔索迪', 'Eveline Hall']",['淘气小女巫 Die kleine Hexe'],['家庭'],['6.0'],['141'],[' 德语']
[' 法国 / 比利时 / 格鲁吉亚 / 瑞士'],['伊娃·于颂'],['115'],['05'],"['格什菲·法拉哈尼', '艾玛纽尔·贝克特', 'Zübeyde Bulut', 'Sinama Alievi', 'Mari Semidovi', 'Roza Mirzoiani', 'Zinaida Gasoiani', 'Maia Shamoevi', 'Nia Mirianashvili', 'Evin Ahmad', 'Zirek', 'Erol Afsin', 'Nuka Asatiani', '贝希·贾纳蒂·阿泰', 'Adik Bakoni']",['太阳之女 Les filles du soleil'],"['剧情', '战争']",['5.0'],['92'],[' 法语 / 库尔德语 / 英语 / 阿拉伯语']
[' 瑞士'],['让-史蒂芬·布朗'],['50'],['01'],"['Ilies Kadri', 'Kamel Labroudi', 'Nadjim Belatreche', 'Amadou Awana Soumare']",['山谷 Ondes de choc - La vallée'],['剧情'],[''],[],[' 法语']
[' 俄罗斯 / 捷克 / 瑞士 / 荷兰'],['Vladimir Rakshá'],[],[],['茵格保加·达坤耐特'],['生命时间 Жизнь Раз'],[],[''],[],[]
