地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 立陶宛 / 美国'],['玛瑞斯·马克威修斯'],['98'],"['09', '10']","['蓓尔·波利', '彼得·弗兰森', '索菲·库克森', '乔纳·豪尔-金', '詹姆斯·卡沙莫', '马丁·沃斯特罗姆', '丽莎·洛文·孔斯利', '阿德里安·席勒', '蒂莫西·英纳斯', '山姆·哈兹尔丁', '汤姆·斯威特', '列娃·安德烈瓦伊达']",['雪中灰 Ashes in the Snow'],"['剧情', '历史']",['6.6'],['746'],[' 英语']
[' 西班牙 / 立陶宛'],['哈西奥·巴尼奥'],['83'],['08'],"['Diego Anido', 'Celso Bugallo', '塔玛拉·卡诺萨', '玛丽雅·瓦兹盖兹']",['跑马 Trote'],['剧情'],['6.5'],['146'],[' 加里西亚语']
[' 立陶宛'],['Ernestas Jankauskas'],['95'],['11'],"['Valentin Novopolskij', 'Gabija Siurbytė', 'Markas Eimontas']",['萨沙曾在这里 Čia buvo Saša'],['剧情'],[''],[],[' 立陶宛语']
[' 法国 / 乌克兰 / 立陶宛 / 匈牙利'],['克日什托夫·扎努西'],['118'],['09'],"['Jacek Poniedzialek', '若尔特·拉斯洛', '安杰列·查拉']",['魔鬼怪医 Eter'],"['剧情', '惊悚', '历史']",[''],[],[' 波兰语 / 乌克兰语 / 俄语']
[' 俄罗斯 / 立陶宛'],['纳塔莉娅·梅什查尼诺娃'],['120'],['09'],"['Stepan Devonin', '德米特里·珀德诺佐夫', 'Yana Sekste']",['世界之心 Сердце мира'],['剧情'],[''],[],[' 俄语']
[' 俄罗斯 / 立陶宛'],['伊万·特韦尔多夫斯基'],['90'],"['07(卡罗维发利电影节)"">2018']","['Denis Vlasenko', 'Anna Slyu', 'Danil Steklov', 'Pavel Chinarev', 'Vilma Kutavičiútë']",['碰瓷者 Подбросы'],"['剧情', '犯罪']",[''],[],[' 俄语']
[' 立陶宛'],['Marija Kavtaradzė'],['86'],"['09', '10']","['Šarūnas Zenkevičius', 'Indrė Patkauskaitė', 'Gelminė Glemžaitė']",['夏天生存 Išgyventi vasarą'],['剧情'],[''],[],[' 立陶宛语']
[' 立陶宛'],['Marius Pocevičius'],['90'],['10'],"['Marius Pocevičius', 'Vaidotas Grincevičius', 'Lukas Malinauskas', 'Lukas Lukoševičius', 'Andrius Gecevičius']",['Problemo'],"['悬疑', '惊悚']",[''],[],[' 立陶宛语']
[' 立陶宛'],['Justinas Krisiūnas'],['109'],['11'],"['Rolandas Kazlas', 'Roberta Sirgedaitė', 'Motiejus Ivanauskas', 'Liubomiras Laucevičius', 'Indrė Patkauskaitė', 'Algirdas Gradauskas', 'Deividas Breivė']",['心 Širdys'],"['剧情', '爱情']",[''],[],[' 立陶宛语']
[' 立陶宛'],['Marius Kunigenas'],['90'],['11'],"['Dainius Kazlauskas', 'Giedrius Savickas', 'Edita Užaitė', 'Brigita Arsovaite', 'Liubomiras Laucevičius']",['Melagiai'],['喜剧'],[''],[],[' 立陶宛语']
[' 立陶宛'],['Tadas Vidmantas'],[],['10'],"['Mindaugas Ancevičius', 'Jonas Braškys', 'Deividas Breivė', 'Ema Čielytė', 'Gelminė Glemžaitė', 'Martynas Tomas Gucevičius']",['立陶宛浪荡公子 Lietuviški svingeriai'],['喜剧'],[''],[],[' 立陶宛语']
[' 立陶宛'],"['Alexander Belinski', 'Agne Dovydaityte']",['83'],[],[],['The Sun Sets in the East'],[],[''],[],[' 立陶宛语']
[' 克罗地亚 / 拉脱维亚 / 立陶宛'],['吉德蕾·贝诺里奥'],['97'],['03'],"['Airida Gintautaite', 'Sigitas Sidlauskas', '古娜·扎丽娜', 'Joris Baltrunas', 'Kristupas Cicenas', 'Aldona Dausiene', 'Vilius Mincinauskas', 'Stepas Obolevicius', 'Jurate Onaitite', 'Inesa Paliutyte', 'Clotilde Rigaud', 'Aldona Vilutyte']",['大理石里呼吸 Kvėpavimas į marmurą'],['剧情'],[''],[],[' 立陶宛语']
[' 立陶宛'],['Jurgis Matulevičius'],[],[],[],['Isaac'],[],[''],[],[]
