地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 法国 / 西班牙 / 罗马尼亚 / 美国 / 比利时'],['雅克·欧迪亚'],['121'],"['09', '10']","['约翰·C·赖利', '杰昆·菲尼克斯', '杰克·吉伦哈尔', '里兹·阿迈德', '卡罗尔·凯恩', '鲁特格尔·哈尔', '克瑞德·布拉顿', '约翰内斯·豪克尔·约翰内森', '尼尔斯·阿贺斯图普', '莱克茜·本博-哈特', '丽贝卡·鲁特', '菲利普·罗施', '邓肯·拉克鲁瓦', '伊恩·雷迪丁顿', '阿尔多·马兰']",['希斯特斯兄弟 The Sisters Brothers'],"['犯罪', '西部', '冒险']",['7.7'],['8255'],[' 英语']
[' 罗马尼亚 / 德国 / 保加利亚 / 法国 / 捷克'],['拉杜·裘德'],['140'],"['07', '09']","['Ioana Iacob', 'Alex Bogdan', '亚历山德鲁·达比加']",['野名留史又如何 „Îmi este indiferent dacă în istorie vom intra ca barbari”'],['剧情'],['7.6'],['80'],[' 罗马尼亚语']
[' 罗马尼亚 / 德国 / 捷克 / 保加利亚 / 法国'],['阿迪娜·平蒂列'],['123'],['02'],"['劳拉·本森', '托马斯·勒马尔奎斯', '克里斯蒂安·巴耶林', '格雷特·乌尔勒曼', '阿迪娜·平蒂列', '汉娜·霍夫曼', '西尼·勒夫', '厄梅拉·琦琦库娃']",['不要碰我 Nu mă atinge-mă'],['剧情'],['6.6'],['1364'],[' 英语 / 德语']
[' 德国 / 乌克兰 / 法国 / 荷兰 / 罗马尼亚'],['谢尔盖·洛兹尼察'],['121'],"['05', '08', '09']","['瓦列留·安德留察', '鲍里斯·卡莫尔津', '谢尔盖·科列索夫', 'Georgiy Deliev', '谢尔盖·罗斯林', 'Alexander Zamuraev', 'Konstantin Itunin', 'Irina Plesnyayeva', 'Vadim Dubovsky', 'Svetlana Kolesova', 'Evgeny Chistyakov']",['顿巴斯 Донбас'],['剧情'],['6.3'],['93'],[' 乌克兰语 / 俄语']
[' 罗马尼亚'],['Cornel Gheorghita'],[],[],[],['Epava'],[],[''],[],[]
[' 罗马尼亚 / 美国'],['Michael Damian'],[],[],[],"['High Strung, Free Dance']",['爱情'],[''],[],[' 英语']
[' 罗马尼亚'],['Dominic Dembinski'],['110'],[],"['András Demeter', 'Mihai Bica', 'Andrada Fuscaș', 'Mihai Stănescu']",['Apostolul Bologa'],['剧情'],[''],[],[' 罗马尼亚语']
[' 罗马尼亚'],['Mihaela Popescu'],[],[],"['Ion Arcudeanu', 'Laurette Atindehou', '特奥多·科尔班', 'Dorotheea Petre']",['宣判 În pronunțare'],['剧情'],[''],[],[' 罗马尼亚语 / 英语']
[' 罗马尼亚'],['Vlad Zamfirescu'],[],[],"['Theo Marton', 'Irina Velcescu', 'Vlad Zamfirescu']",['快乐的秘密 Secretul fericirii'],"['剧情', '喜剧']",[''],[],[' 罗马尼亚语']
[' 意大利 / 罗马尼亚'],['阿尔伯托·法苏洛'],['103'],"['08(洛迦诺电影节)"">2018']","['Marcello Martini', 'Maurizio Fanin', 'Carlo Baldracchi']",['梅诺科希奥 Menocchio'],['剧情'],[''],[],[' 意大利语']
[' 罗马尼亚'],['Camelia Popa'],['93'],"['10(罗马尼亚)"">2018']",['Alin Panc'],"['Pup-o, ma!']","['喜剧', '恐怖', '奇幻']",[''],[],[' 罗马尼亚语']
[' 罗马尼亚'],['Radu Dragomir'],[],[],"['Dana Rogoz', 'Madalina Craiu', '勒兹万·瓦西莱斯库']",['小莫 MO&#39;'],['剧情'],[''],[],[' 罗马尼亚语']
