地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 芬兰 / 挪威'],"['裘索·拉提欧', '尤加·维迪葛伦']",['92'],['03'],"['托尔斯坦·比约克朗德', '安蒂·希海基宁', '维尔·希尔卡', '约翰内斯·霍洛佩宁', '萨穆利·贾斯基奥', '明卡·库斯顿', '凯·莱蒂宁', '皮霍·朗卡', '锡尼卡·莫克尔拉', '麦克斯·奥瓦斯卡', '佩尔蒂·斯维霍姆', '马尔蒂·斯利亚', '威利·蒂奥宁']",['重金属囧途 Hevi reissu'],"['喜剧', '音乐']",['7.6'],['6655'],[' 芬兰语 / 英语 / 挪威语']
[' 芬兰'],['Mari Rantasila'],['71'],['08'],"['Anna-Maija Tuokko', 'Santtu Karvonen', 'Seppo Halttunen', 'Aapo Puusti', 'Jaana Pesonen', 'Jenni Lausi']",['小马和鸟童 Puluboin ja Ponin leffa'],"['剧情', '喜剧']",[''],[],[' 芬兰语']
[' 芬兰'],['Miika Aranto'],['85'],['12'],"['Jorma Karlstedt', 'Mika Melender', 'Jere Saarela', 'Toni Enholm', 'Topi Törmä']",['Teidät tuomitaan elinkautiseen'],['剧情'],[''],[],[' 芬兰语']
[' 爱沙尼亚 / 芬兰'],['韦科·欧恩普'],[],[],"['Pääru Oja', '汤米·柯贝拉', 'Liis Lass', '劳拉·布林', '埃尔默·拜克']",['Viimased'],['剧情'],[''],[],[' 芬兰语 / 爱沙尼亚语 / 萨米语']
[' 芬兰'],['Pamela Tola'],[],['11'],"['Matleena Kuusniemi', 'Aku Hirviniemi', 'Mikko Nousiainen', 'Mimosa Willamo', 'Marja Salo']",['浪荡公子 Swingers'],['喜剧'],[''],[],[' 芬兰语']
[' 芬兰'],['Matti Kinnunen'],[],['11'],"['Mikko Nousiainen', 'Niila Nousiainen', 'Santtu Karvonen', 'Teemu Karvonen', 'Chike Ohanwe']",['Pieniä suuria valheita'],"['剧情', '喜剧']",[''],[],[' 芬兰语']
[' 芬兰'],['Tuukka Temonen'],[],['10'],"['Mikko Nousiainen', 'Alina Tomnikov', 'Ilkka Villi', 'Leah Lamarr', 'Inka Kallén', 'Jenni Banerjee', 'Jarkko Lahti']",['Valmentaja'],"['剧情', '传记']",[''],[],[' 芬兰语']
[' 芬兰'],['Christof Loy'],[],['10'],"['Aušrinė Stundytė', 'Andrea Carè', 'Tuomas Pursio']",['Puccini: Tosca (Finnish National Opera Helsinki)'],"['音乐', '戏曲']",[''],[],[' 意大利语']
[' 芬兰'],['Taru Mäkelä'],['100'],['02'],"['Aku Hirviniemi', 'Esko Salminen', 'Vesa Vierikko']",['储藏2 Varasto 2'],['喜剧'],[''],[],[' 芬兰语']
[' 芬兰'],['Matti Kinnunen'],['94'],[],"['Mikko Nousiainen', 'Niila Nousiainen']",['Time Out'],[],[''],[],[]
[' 芬兰'],['Jukka-Pekka Siili'],['98'],['01'],"['Alina Tomnikov', 'Jouko Ahola', 'Akseli Kouki', 'Eemeli Masanen', 'Vilhelmi Masanen']",['我兄弟的守卫 Veljeni vartija'],"['剧情', '音乐', '传记']",[''],[],[' 芬兰语']
[' 芬兰'],['Joona Tena'],[],['01'],"['Ella Jäppinen', 'Viljami Lahti', 'Essi Hellén', 'Eero Ritala', 'Arttu Wiskari', 'Tommi Korpela', 'Kari Hietalahti']",['Supermarsu'],"['家庭', '奇幻']",[''],[],[]
