地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 英国'],"['Robert Icke', 'Rhodri Huw', 'Ilinca Radulian']",['191'],['03'],"['安德鲁·斯科特', '茱丽叶特·斯蒂文森', '杰西卡·布朗·芬德利', '安格斯·赖特', '大卫·瑞托', '卢克·汤普森', '彼得·怀特', '巴里·艾尔德', '洛娜·布朗']",['哈姆雷特 Hamlet'],['剧情'],['9.3'],['269'],[]
[' 英国'],[],[],['09'],['Daniel Sloss'],['丹尼尔·斯洛斯：现场表演 Daniel Sloss: Live Shows'],['喜剧'],['9.2'],['834'],[' 英语']
[' 英国'],['迈克尔·格兰达吉'],['90'],['11'],"['阿尔弗雷德·伊诺奇', '阿尔弗雷德·莫里纳']",['红色 Red'],['剧情'],['9.2'],['249'],[' 英语']
[' 英国'],['迈克尔·格兰达吉'],['90'],['11'],"['阿尔弗雷德·伊诺奇', '阿尔弗雷德·莫里纳']",['红色 Red'],['剧情'],['9.2'],['249'],[' 英语']
[' 英国'],['Ross MacGibbon'],['205'],['12'],"['Marianela Nuñez', 'Vadim Muntagirov', 'Elizabeth McGorian', 'Bennet Gartside', 'Alexander Campbell', 'Dancers of the Royal Ballet', 'Orchestra of the Royal Opera House']",['天鹅湖 Swan Lake'],"['音乐', '歌舞']",['9.1'],['123'],[' 英语']
[' 英国'],['Jonathan Munby'],[],['09'],"['伊恩·麦克莱恩', '乔纳森·贝利', 'Kirsty Bushell', '西妮德·库萨克', 'Richard Clews', '菲尔·丹尼尔斯', 'John Hastings', '德乌拉·基尔万', '塔马拉·劳伦斯', '多米尼克·马夫海姆', 'Jake Mann']",['李尔王 National Theatre Live: King Lear'],[],['9.0'],['836'],[' 英语']
[' 英国 / 美国'],['布莱恩·辛格'],['135'],['11'],"['拉米·马雷克', '本·哈迪', '约瑟夫·梅泽罗', '格威利姆·李', '艾伦·里奇', '露西·宝通', '艾丹·吉伦', '汤姆·霍兰德', '麦克·梅尔斯', '阿隆·麦克卡斯克', '梅内卡·达斯', '迪基·博', '蒂姆· 普莱斯特', '杰克·罗思', '马克斯·班内特', '基兰·哈德卡斯托', '罗斯·格林', '布鲁斯·麦克金伦', '米歇尔·邓肯', '马特·格林伍德', '罗茜·本杰明', '约翰·奥特曼', '詹姆斯·华莱士', '文森特·阿德里安', '拉斯科·阿特金斯', '乔纳森·奇塔姆', '迈克尔·科布', '耶稣·加洛', '亚当·兰伯特', '豪尔赫·莱昂·马丁内斯', '杰森· 莱恩斯', '伊斯雷尔·鲁兹']",['波西米亚狂想曲 Bohemian Rhapsody'],"['剧情', '音乐', '传记']",['8.7'],['287996'],[' 英语']
[' 英国'],['巴巴拉·威尔希尔'],['30'],['10'],"['史蒂夫·佩姆伯顿', '里斯·谢尔史密斯', '斯蒂芬妮·科尔', '罗宾·贝里', '里奇·基伯', '丹尼斯·劳森']",['9号秘事 万圣节特别篇 Inside No. 9  Dead Line'],['喜剧'],['8.6'],['15915'],[' 英语']
[' 英国'],['Richard Boden'],['39'],['12'],"['大卫·米切尔', '肯尼思·布拉纳', '海伦·蒙克斯', '保拉·威尔科克斯', '哈里·恩菲尔德', 'Rosanna Beacock', '丽莎·塔巴克', '马克·希普', '卡尔·特奥巴德', '杰玛·韦兰', '蒂姆·唐尼', 'Rob Rouse', '多米尼克·科尔曼', 'Spencer Jones', '史蒂夫·斯皮尔斯', '乔斯林·杰·艾森', '莉莉·科尔', 'Hannah Jane Fox', 'Luka Petrovic']",['新贵2018圣诞特辑 Upstart Crow: A Crow Christmas Carol'],"['喜剧', '历史']",['8.6'],['85'],[' 英语']
[' 英国'],['尼古拉斯·希特纳'],['135'],['03'],"['本·卫肖', '米歇尔·费尔利', '大卫·莫瑞瑟', '大卫·卡尔德', '阿卓艾·安多']",['裘力斯·恺撒 National Theatre Live: Julius Caesar'],"['传记', '历史']",['8.5'],['1119'],[' 英语']
[' 英国'],"['Christopher Wheeldon', 'Ross MacGibbon']",['160'],['05'],"['Ashley Andrews', 'Sophie Apollonia', 'Zoe Arshamian', '罗伯特·弗莱查尔德', 'Leanne Cope']",['一个美国人在巴黎 An American in Paris: The Musical'],['歌舞'],['8.4'],['557'],[' 英语']
[' 英国'],['西蒙·阿姆斯特尔'],[],['10'],"['科林·摩根', '安娜·钱斯勒', '菲尼克斯·布罗萨德', '乔尔·弗莱', '杰克·罗文', '内森·斯图尔特-贾瑞特', '艾丽·肯德里克', '杰西·卡芙', 'Michèle Belgrand', 'James Lailey', 'Joanne Howarth', 'Alex Lowe']",['本杰明 Benjamin'],['同性'],['8.3'],['99'],[' 英语']
[' 英国'],['Tom Jarvis'],[],['06'],['Olivia Colman'],['超级松鼠 Natural World: The Super Squirrels'],[],['8.3'],['66'],[' 英语']
[' 美国 / 英国 / 塞浦路斯 / 俄罗斯'],['提莫·贝克曼贝托夫'],['105'],['02'],"['瓦伦·凯恩', '沙扎德·拉蒂夫', '克里斯蒂尼·亚当斯', '摩根·华金斯', 'Emma Cater', 'Louis Martin', 'Amir Rahimzadeh']",['网诱惊魂 Profile'],"['剧情', '惊悚']",['8.1'],['176'],[' 英语']
[' 美国 / 英国'],['Steve Loveridge'],['90'],['01'],['M.I.A.'],['玛琪，玛雅，米娅 Matangi/Maya/M.I.A.'],"['剧情', '音乐', '传记']",['8.0'],['220'],[' 英语']
