地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 比利时 / 荷兰'],['卢卡斯·德霍特'],['105'],"['05', '11']","['维克托·波尔斯特', '阿里耶·沃索尔特', '奥利弗·博达特', '蒂伊门·戈瓦尔茨', '卡特简·达门', '瓦伦提金·达恩斯', '克里斯·泰斯', '安吉洛·提森', '艾莉西亚·德佩克']",['女孩 Girl'],"['剧情', '同性']",['8.2'],['14636'],[' 法语 / 弗拉芒语 / 英语']
[' 伊朗 / 英国 / 荷兰'],['阿里·贾比尔安萨里'],['102'],['10'],"['弗鲁格·凯哲贝格里', 'Mehdi Saki', 'Amir Hessam Bakhtiari', '贝纳兹·贾法里']",['德黑兰：爱之城 Tehran: City of Love'],['剧情'],['7.5'],['123'],[' 波斯语']
[' 荷兰'],['艾伦·斯密特'],['80'],['03'],"['马吉德·马多', '乔舒亚·斯特拉多斯基', '珍妮·阿里安', '塔尼娅·杰丝', '娜西米耶·欧拉尔', '梅乐蒂·克蕾沃', '索妮娅·艾肯', '穆罕默德·阿拉哈德', '安尼·普拉克', '埃琳娜·祖德梅尔', '罗斯科·莱金', '弗瑞特斯·拉姆布雷希茨', '米兰达·炅灵', '舒尔德·德拉格斯玛', '贝琳达·范·德·斯杜普', '贾斯汀·莫伊耶', '马尔科姆·雨果·格伦']",['好朋友 Gewoon Vrienden'],"['剧情', '爱情', '同性']",['7.5'],['4350'],[' 荷兰语']
[' 荷兰'],['Pim van Hoeve'],['100'],['02'],"['Steef Cuijpers', 'Nasrdin Dchar', 'Auli Mousumi De', '艾比·侯斯', '汉娜·霍克斯特拉', '马汀·雷克梅尔', 'Susan Radder']",['疯橙记 Gek van oranje'],"['喜剧', '爱情']",['7.4'],['130'],[' 荷兰语']
[' 荷兰'],['玛利亚·彼特斯'],['137'],['10'],"['克里斯蒂亚娜 ‧德‧布奥恩', '本杰明·温赖特', '斯科特·特纳·菲尔德', '塞马斯·F·萨金特', '安妮特·马尔赫毕', '雷蒙德·提哈瑞', '吉斯·舒尔腾·范·艾查特', '理查德·塞梅尔', '西恩·托马斯', '蒂姆·埃亨', '席琳·珀赛尔', '奇普·布雷', '玛丽-克莱尔·维特洛克斯', '杰里迈亚·弗莱明', '詹姆斯·卡罗尔·乔丹']",['指挥家 De dirigent'],['传记'],['7.3'],['676'],[' 英语']
[' 荷兰'],['约兰·吕尔森'],['123'],['03'],"['雅各布·德威格', '巴里·阿茨玛', '福克琳·欧沃凯尔克', '皮埃尔·波克玛', '雷蒙德·提哈瑞', '马德奥·范·德·格里恩', '雅普·斯派克斯']",['银行家的抵抗 Bankier van het Verzet'],"['剧情', '战争']",['7.3'],['708'],[' 荷兰语']
[' 荷兰'],['雷纳·埃勒'],[],['01'],"['Tijmen Govaerts', 'Aime Claeys', 'Salome van Grunsven', 'Laura Drosopoulo']",['我们 Wij'],['剧情'],['7.1'],['84'],[' 荷兰语']
[' 德国 / 奥地利 / 荷兰'],['Miguel Alexandre'],[],['03'],"['弗洛伦丝·卡松巴', '约瑟夫·哈德', '汉娜·霍克斯特拉', '赖纳·博克', 'Errol Trotman-Harewood']",['亚瑟与克莱尔 Arthur &amp; Claire'],"['剧情', '喜剧']",['7.0'],['65'],[' 德语 / 英语 / 荷兰语']
[' 阿根廷 / 巴西 / 德国 / 法国 / 荷兰'],['本哈明·奈斯塔特'],['109'],['09'],"['阿尔佛莱德·卡斯特罗', '达里奥·格兰迪内蒂', '安德丽娅·弗里杰里奥']",['罗霍 Rojo'],['剧情'],['6.4'],['92'],[' 西班牙语']
[' 智利 / 巴西 / 阿根廷 / 荷兰 / 卡塔尔'],['多明加·索托迈约·卡斯蒂略 Dominga Sotomayor Castillo'],['110'],['08'],"['Demian Hernández', 'Antar Machado', 'Magdalena Tótoro', 'Matías Oviedo']",['死在青春 Tarde para morir joven'],['剧情'],['6.4'],['153'],[' 西班牙语']
[' 荷兰'],['Rolf van Eijk'],['83'],['11'],"['Steve Wall', '吉斯·纳贝', '雷蒙德·提哈瑞', 'Horace Cohen', '萨姆·卢维克', '提伯·范登博尔', 'Paloma Aguilera Valdebenito', 'Lynsey Beauchamp', 'Antony Acheampong', 'Genelva Krind', 'Medina Schuurman', 'Arjan Ederveen', 'Rob Scholte']",['我心愚钝 My Foolish Heart'],['剧情'],['6.3'],['143'],[' 英语 / 荷兰语']
[' 德国 / 乌克兰 / 法国 / 荷兰 / 罗马尼亚'],['谢尔盖·洛兹尼察'],['121'],"['05', '08', '09']","['瓦列留·安德留察', '鲍里斯·卡莫尔津', '谢尔盖·科列索夫', 'Georgiy Deliev', '谢尔盖·罗斯林', 'Alexander Zamuraev', 'Konstantin Itunin', 'Irina Plesnyayeva', 'Vadim Dubovsky', 'Svetlana Kolesova', 'Evgeny Chistyakov']",['顿巴斯 Донбас'],['剧情'],['6.3'],['93'],[' 乌克兰语 / 俄语']
[' 台湾 / 荷兰 / 克罗地亚'],['王洪飞'],['100'],"['01', '04']","['王洪飞', '卢燕', '谢语恩', '严艺文']",['小玩意'],['剧情'],['6.2'],['66'],[' 汉语普通话 / 荷兰语 / 英语']
[' 肯尼亚 / 南非 / 德国 / 荷兰 / 法国 / 挪威 / 黎巴嫩'],['Wanuri Kahiu'],['83'],"['05', '09']","['Samantha Mugatsia', 'Sheila Munyiva', 'Jimmy Gathu', 'Nini Wacera', 'Dennis Musyoka', 'Patricia Amira', 'Neville Misati', 'Muthoni Gathecha', 'Nice Githinji', 'Charlie Karumi', 'Patricia Kihoro']",['肯尼亚式友谊 Rafiki'],"['剧情', '爱情', '同性']",['5.8'],['138'],[' 英语 / 斯瓦希里语']
[' 法国 / 荷兰 / 新加坡'],['杨修华'],['95'],['08'],"['宏荣', '郭月', '刘晓义', '陈泽耀']",['幻土'],"['剧情', '悬疑']",['5.7'],['714'],[' 孟加拉语 / 英语 / 汉语普通话']
[' 丹麦 / 荷兰 / 瑞典'],['Isabella Eklöf'],['90'],['01'],"['Victoria Carmen Sonne', 'Lai Yde', '泰斯·罗默', 'Yuval Segal', 'Morten Hemmingsen', 'Adam Ild Rohweder', 'Adam Strand', 'Laura Kjær', 'Michiel de Jong', 'Stanislav Sevcik', 'Bo Brønnum']",['假期 Holiday'],['剧情'],['5.3'],['58'],[' 丹麦语 / 英语 / 荷兰语']
[' 墨西哥 / 荷兰'],['塞瓦斯蒂安·奥夫曼'],['96'],"['01', '08', '08']","['路易斯·赫拉尔多·门德斯', '米格尔·罗达特', 'RJ·米特', '卡珊德拉·钱盖罗蒂', '蒙特塞拉特·马拉尼翁', '安德烈·阿尔梅达', '雨果·阿伯瑞斯', 'Pablo Guisa Koestinger', 'Alejandro Sánchez de la Peña', 'Bernardo Vega']",['分时度假 Tiempo Compartido'],['剧情'],['5.3'],['91'],[' 西班牙语 / 英语']
[' 挪威 / 瑞典 / 丹麦 / 荷兰'],['Katarina Launing'],['95'],['09'],"['Lisa Teige', 'Vebjørn Enger', 'Karen-Lise Mynster', 'Stig R. Amdam', 'Sigyn Åsa Sætereng', 'Charlott Utzig']",['热舞飞扬 Battle'],['剧情'],['5.3'],['112'],[' 挪威语 / 英语']
[' 荷兰'],['Marleen Jonkman'],['92'],['04'],"['Rifka Lodeizen', 'Guido Pollemans', 'Paola Lattus', 'Daniel Candia', 'Koke Santa Ana']",['La Holandesa'],['剧情'],[''],[],[' 西班牙语 / 荷兰语']
[' 俄罗斯 / 捷克 / 瑞士 / 荷兰'],['Vladimir Rakshá'],[],[],['茵格保加·达坤耐特'],['生命时间 Жизнь Раз'],[],[''],[],[]
[' 荷兰'],['Johan Timmers'],['84'],['10'],"['Imanuelle Grives', 'Hilde De Baerdemaeker', 'Aiko Beemsterboer']",['拳击少女 Vechtmeisje'],['剧情'],[''],[],[' 荷兰']
[' 波兰 / 荷兰'],['Pawel Borowski'],[],[],"['玛雅·奥丝塔泽斯卡', '尤安娜·库里克', 'Rafal Mackowiak']",['Ja teraz klamie'],['惊悚'],[''],[],[' 波兰语']
[' 荷兰'],['Ronan Postulart'],[],['10'],"['Karin Koenders', 'Stefan van der Roest', 'Julian Cuny', 'Anouk Reintjes', 'William Postulart', 'Kayne Geurtzen', 'Maud van der Veen', 'Eline Tempels', 'Mick van der Molen', 'Senne Harbers']",['Black Summer'],['恐怖'],[''],[],[' 荷兰语 / 英语']
[' 荷兰'],[],[],[],[],['no-way-out'],[],[''],[],[]
