地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 菲律宾'],['拉夫·迪亚兹'],['234'],['02'],"['皮奥洛·帕斯奎尔', 'Angel Aquino', 'Shaina Magdayao', 'Pinky Amador', 'Joel Saracho']",['恶魔时节 Ang Panahon ng Halimaw'],['歌舞'],['6.7'],['73'],[' 菲律宾语']
[' 菲律宾'],['埃里克·马蒂'],['127'],"['08', '08']","['安妮·柯蒂斯', '茱蒂蒙·琼查容苏因', 'Victor Neri', 'Joross Gamboa', '诺尼·布埃诺卡米诺', 'Natthacha De Souza', 'Sonny Sison', 'Brandon Vera', 'Nafa Hilario-Cruz', 'Bawriboon Chanreuang']",['卧底 Buybust'],"['动作', '惊悚']",['5.3'],['319'],[' 菲律宾语 / 他加禄语 / 英语']
[' 菲律宾'],['杰罗尔德·塔罗'],['155'],['09'],"['帕奥罗·艾夫力诺', '蒙·康菲多', 'Jeffrey Quizon']",['青年将军高约 Goyo: Ang Batang Heneral'],"['剧情', '战争']",['4.4'],['116'],[' 菲律宾语']
[' 菲律宾'],['杰罗尔德·塔罗'],['155'],['09'],"['帕奥罗·艾夫力诺', '蒙·康菲多', 'Jeffrey Quizon']",['青年将军高约 Goyo: Ang Batang Heneral'],"['剧情', '战争']",['4.4'],['116'],[' 菲律宾语']
[' 菲律宾'],['布里兰特·曼多萨'],['94'],['09'],"['Allen Dizon', '拜伦·盖斯勒', 'Elijah Filamor']","['阿尔法，杀之权 Alpha, The Right to Kill']","['剧情', '动作']",[''],[],[' 菲律宾语']
[' 菲律宾'],['Viktor Perseo'],['107'],"['07', '08']","['Zanjoe Marudo', 'Empoy Marquez', 'Ryan Bang']",['后厨之王 Kusina Kings'],['喜剧'],[''],[],[' 菲律宾语']
[' 菲律宾'],['Therese Anne Cayaba'],['85'],[],[],['Delia &amp; Sammy'],[],[''],[],[]
[' 菲律宾'],['Rod Marmol'],['100'],[],[],['Mata Tapang'],[],[''],[],[]
[' 菲律宾 / 韩国'],['Alec Figuracion'],['83'],[],"['Yeng Constantino', 'TJ Trinidad']",['瞬间的永恒 The Eternity Between Seconds'],[],[''],[],[]
[' 菲律宾'],['RC Delos Reyes'],['105'],['12'],"['Toni Gonzaga', 'Alex Gonzaga', 'Sam Milby']","['玛丽，嫁给我 Mary, Marry Me']","['剧情', '喜剧', '家庭']",[''],[],[' 菲律宾语']
[' 菲律宾'],['Barry Gonzalez'],['115'],['12'],"['Vice Ganda', 'Dingdong Dantes', 'Richard Gutierrez']",['奇妙 Fantastica'],"['喜剧', '奇幻']",[''],[],[' 菲律宾语']
[' 菲律宾'],['Dwein Baltazar'],['92'],['10'],"['Marietta Subong', '约尼·甘博亚', 'Anthony Falcon']",['无物之颂 Oda Sa Wala'],['剧情'],[''],[],[' 菲律宾语']
[' 菲律宾'],['Vincent Soberano'],['122'],['09'],"['Ian Ignacio', 'Sarah Chang']",['铁三角：正义之战 The Trigonal: Fight for Justice'],"['剧情', '动作', '惊悚']",[''],[],[' 英语 / 菲律宾语']
[' 菲律宾'],['Joyce Bernal'],['120'],['08'],"['Sarah Geronimo', 'Xian Lim', 'James Reid']",['格兰妮小姐 Miss Granny'],"['喜剧', '音乐', '奇幻']",[''],[],[' 菲律宾语']
[' 菲律宾'],['Kip Oebanda'],['100'],['08'],"['Glaiza de Castro', 'Dominic Roco', 'Kenken Nuyad', '苏·普拉多', '索利曼·克鲁兹', 'Joel Saracho']",['Liway'],[],[''],[],[' 菲律宾语']
[' 菲律宾'],['Carlo Catu'],['90'],['08'],"['Dante Rivero', 'Menggie Cobarrubias', 'Perla Bautista', 'Che Ramos']",['如何描述责任 KUNG PAANO HINIHINTAY ANG DAPITHAPON'],['剧情'],[''],[],[' 菲律宾语']
[' 菲律宾'],['Cathy Garcia-Molina'],['121'],['03'],"['杰拉德·安德森', 'Pia Wurtzbach', 'Tonton Gutierrez', 'Dimples Romana', 'Janus del Prado']",['完美的你 My Perfect You'],"['剧情', '爱情']",[''],[],[' 菲律宾语']
[' 菲律宾'],['Eric Quizon'],['102'],['06'],"['Paolo Ballesteros', 'Solenn Heussaff', 'Maricel Soriano']",['我的2个妈妈 My 2 Mommies'],['喜剧'],[''],[],[' 英语 / 菲律宾语 / 法语']
[' 菲律宾'],['Tony Y. Reyes'],['103'],['04'],"['张金珠', 'Ryan Bang', 'Pepe Herrera \tPepe Herrera']",['多加：一个幽灵消失了 DOTGA: Da One That Ghost Away'],"['喜剧', '恐怖']",[''],[],[' 菲律宾语 / 塔加洛语']
[' 菲律宾'],['Jun Lana'],['104'],['01'],"['Judy Ann Santos', 'Angelica Panganiban', 'JC de Vera']",['芮叶思太太 Ang dalawang Mrs. Reyes'],[],[''],[],[' 菲律宾语']
[' 菲律宾'],['Keith Deligero'],[],[],"['Victor Neri', 'Jay Gonzaga', 'Publio Briones III', 'Maricel Sombrio', 'Kent Divinagracia', 'Hesus Deligero', 'Rey Samaco', 'Arnel Mardoquio', 'Julius Augustus Ambrad', 'Felicisimo Alingasa', 'Ryles Cameron', 'Mel Baquiran', 'Remton Siega Zuasola', 'Crezzo Paz', 'Vitto Neri']",['A Short History of a Few Bad Things'],['剧情'],[''],[],[' 菲律宾语']
[' 菲律宾'],['Gutierrez Mangansakan II'],['85'],[],"['Quennie Lyne Demoral', 'Glorypearl Dy', 'Krigi Hager', 'Ameir Arsad Hassan', 'Adnan Zaid Juanday', 'Mayka B. Lintongan', 'Alaska Ordoña', 'Haidie Sangkad', 'Cloyd Winstanley']",['Masla a Papanok'],"['剧情', '历史', '奇幻']",[''],[],[]
[' 菲律宾'],['Afi Africa'],['126'],[],"['Elle Ramirez', 'Andres Vazquez']",['The Lookout'],[],[''],[],[]
[' 菲律宾'],['Hubert Tibi'],[],[],[],['1957'],[],[''],[],[]
[' 菲律宾'],['Jason Paul Laxamana'],['111'],[],"['Janella Salvador', 'Jameson Blake', 'Ruby Rodriguez']",['情有千千结 So Connected'],['爱情'],[''],[],[' 菲律宾语']
[' 菲律宾'],['Iar Arondaing'],['105'],[],"['Junyka Santarin', 'Juan Miguel Emmanuel Salvado']",['战争的爆发 Musmos na sumibol sa gubat ng digma'],['剧情'],[''],[],[' 菲律宾语']
[' 菲律宾'],['Connie Macatuno'],[],[],[],['辉煌 Glorious'],"['剧情', '爱情']",[''],[],[]
[' 菲律宾'],['Gutierrez Mangansakan II'],['85'],[],"['Quennie Lyne Demoral', 'Krigi Hager', 'Ameir Arsad Hassan']",['Masla A Papanok'],"['剧情', '历史']",[''],[],[' 菲律宾语']
[' 菲律宾'],['Benedict Mique'],[],[],[],['ML'],[],[''],[],[]
[' 菲律宾'],['Che Espiritu'],['100'],['08'],"['Bodjie Pascua', '米尔·埃斯皮诺萨', 'Madeleine Nicolas']",['潘德萨拉瓦尔 Pan de Salawal'],['剧情'],[''],[],[' 菲律宾语']
[' 菲律宾'],['Giselle Andres'],['120'],"['06', '07']","['Joshua Garcia', 'Julia Barretto', '姬丝·阿奎诺']","['我爱你,冤家 I Love You, Hater']","['喜剧', '爱情']",[''],[],[' 菲律宾语']
[' 菲律宾'],['珀西瓦尔·M·伊塔兰'],['90'],['08'],"['Iza Calzado', 'Therese Malvar', '诺尼·布埃诺卡米诺', 'Alessandra Malonzo', 'Max Eigenmann', 'Adrianna So', 'Timothy Castillo', 'Elia Ilano']",['距离 Distance'],['剧情'],[''],[],[' 菲律宾语']
[' 菲律宾'],['James Robin Mayo'],['90'],[],"['Ogie Alcasid', 'Ina Raymundo', 'Moi Marcampo']",['韦斯先生 Kuya Wes'],['剧情'],[''],[],[' 菲律宾语']
[' 菲律宾'],['丹·维勒加斯'],['104'],"['09', '10']","['Angelica Panganiban', 'Carlo Aquino', 'Dionne Monsanto']",['行李寄存 Exes Baggage'],"['剧情', '爱情']",[''],[],[' 菲律宾语']
[' 菲律宾'],['Ivan Andrew Payawal'],['97'],['03'],"['Sam Milby', 'Yassi Pressman', 'Al Tantay']",['脱单好难 Ang pambansang third wheel'],"['喜剧', '爱情']",[''],[],[' 菲律宾语']
[' 菲律宾'],['Joel Lamangan'],['110'],['12'],[],['Rainbow&#39;s Sunset'],"['剧情', '家庭']",[''],[],[' 菲律宾语']
[' 菲律宾'],['Jason Paul Laxamana'],['105'],['08'],"['Vance Larena', 'Nikko Natividad', 'Devon Seron']",['荞麦男孩 Bakwit Boys'],['歌舞'],[''],[],[' 菲律宾语 / 他加禄语']
[' 菲律宾'],['Maricel Cariaga'],['103'],['08'],"['阿诺德雷·耶斯', '苏·普拉多', '米科·劳伦特', '米尔·埃斯皮诺萨', '阿方索·伊尼戈·德伦']",['七袋米 Pitong kabang palay'],"['剧情', '家庭', '儿童']",[''],[],[' 菲律宾语']
[' 菲律宾'],['Dwein Baltazar'],['105'],['05'],"['Iana Bernardez', 'Nicco Manalo', 'Anthony Falcon', 'Dylan Ray Talon', '索利曼·克鲁兹', 'Ash Nicanor', 'Nestor Abrogena Jr.', 'Angely Castroverde']",['他他她他他 Gusto Kita with All My Hypothalamus'],['剧情'],[''],[],[' 菲律宾语 / 他加禄语']
[' 菲律宾'],['Cathy Garcia-Molina'],['117'],"['08', '09']","['Kathryn Bernardo', 'Daniel Padilla', 'Darren Espanto']",['我们的命运 The Hows of Us'],"['剧情', '爱情']",[''],[],[' 菲律宾语']
[' 菲律宾'],['Timmy Harn'],['124'],[],"['Ybes Bagadiong', 'Bie Ruaro']",['DOG DAYS'],['剧情'],[''],[],[' 菲律宾语']
[' 菲律宾'],['Chito S. Roño'],['130'],['08'],"['蒙·康菲多', '苏·普拉多', '鲁比·鲁伊斯', '阿诺德雷·耶斯', 'Christian Bables', 'Daria Ramirez', 'Nanding Josef', 'Elora Españo', 'Keanna Reeves', 'Francis Magundayao', 'Archi Adamos', 'Jomari Angeles', 'Menggie Cobarrubias']",['信号岩石 Signal Rock'],['剧情'],[''],[],[' 菲律宾语 / 他加禄语']
[' 菲律宾'],"['布里兰特·曼多萨', '拉夫·迪亚兹', '奇拉·塔西米克']",['118'],['10'],"['Joem Bascon', 'Nanding Josef', 'Bart Guingona']",['菲律宾之旅 Lakbayan'],[],[''],[],[' 菲律宾语']
[' 菲律宾'],['丹·维勒加斯'],['90'],[],"['埃迪·加西亚', 'Gina Pareño', 'Karl Medina']",['天堂等候处 Hintayan ng Langit'],"['剧情', '喜剧']",[''],[],[' 菲律宾语']
[' 菲律宾'],['Ruel S. Bayani'],['113'],['05'],"['比雅·阿隆佐', 'Derek Ramsay', '帕奥罗·艾夫力诺']",['已婚挚爱 Kasal'],[],[''],[],[' 菲律宾语']
[' 菲律宾'],['Cathy Garcia-Molina'],['106'],['11'],"['Sharon Cuneta', 'Richard Gomez', 'Kathryn Bernardo']",['永远的三个字 Three Words to Forever'],"['剧情', '喜剧', '家庭']",[''],[],[' 菲律宾语']
[' 菲律宾'],['Paul Soriano'],['122'],['10'],"['Aga Muhlach', 'Bea Alonzo', 'Sandy Andolong', 'Albie Casiño']",['First Love'],"['剧情', '爱情']",[''],[],[' 菲律宾语']
[' 菲律宾'],"[""Denise O'Hara""]",['90'],['08'],"['Celeste Legaspi', 'Ketchup Eusebio', 'Peewee O’Hara', 'Alex Medina', 'Gio Gahol', 'Elora Espano', 'Paolo O’Hara']",['马芒 MAMANG'],['剧情'],[''],[],[' 菲律宾语 / 他加禄语']
[' 菲律宾'],['Gino M. Santos'],['106'],['02'],"['Coleen Garcia', '冼立呒', 'Nathalie Hart']",['罪恶孤岛 Sin Island'],[],[''],[],[' 菲律宾语']
[' 菲律宾'],['Samantha Lee'],['104'],[],"['Gabby Padilla', 'Zar Donato', 'Beauty Gonzales']",['Billie and Emma'],['剧情'],[''],[],[' 菲律宾语']
[' 菲律宾'],['Jason Paul Laxamana'],['102'],['11'],"['Maja Salvador', 'Zanjoe Marudo']",['爱中生友 To Love Some Buddy'],"['喜剧', '爱情']",[''],[],[' 菲律宾语']
