地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 西班牙 / 比利时 / 法国 / 葡萄牙 / 英国'],['特瑞·吉列姆'],['132'],"['05', '06']","['亚当·德赖弗', '欧嘉·柯瑞兰寇', '乔纳森·普雷斯', '斯特兰·斯卡斯加德', '奥斯卡·贾恩那达', '杰森·沃特金斯', '塞尔希·洛佩斯', '詹迪·莫拉', '特瑞·吉列姆', '霍威克·库区科利安', '阿尔维托·乔·李', '威廉·米勒', '萝西·德·帕尔马', '布鲁诺·塞维利亚']",['这个男人来自疯狂世界 El hombre que mató a Don Quijote'],"['剧情', '喜剧', '奇幻', '冒险']",['6.9'],['1789'],[' 英语 / 西班牙语']
[' 巴西 / 葡萄牙'],"['Renée Nader Messora', '若昂·萨拉维扎']",['114'],['05'],"['Henrique Ihjãc Krahô', 'Raene Kôtô Krahô']",['死人和其他人 Chuva E Cantoria Na Aldeia Dos Mortos'],['剧情'],['6.5'],['72'],[' 葡萄牙语']
[' 葡萄牙 / 法国 / 巴西'],"['加布里埃尔·阿布兰特斯', '丹尼尔·施密特']",['92'],['05'],['卡里托·科塔'],['迪亚曼蒂诺 Diamantino'],"['剧情', '喜剧', '科幻', '奇幻']",['5.8'],['249'],[' 葡萄牙语']
[' 葡萄牙'],['António Ferreira'],[],[],"['卡塔丽娜·瓦朗丝坦', 'Rui Unas', '玛贝尔·里维拉']",['Pedro e Inês'],['剧情'],[''],[],[' 葡萄牙语']
[' 葡萄牙'],['Jorge Cramez'],['107'],['02'],"['Ana Moreira', 'Jaime Freitas', 'Margarida Vila-Nova']",['爱，爱 amor，amor'],['剧情'],[''],[],[' 葡萄牙语']
[' 葡萄牙'],['Ana Moreira'],['15'],[],[],['Aquaparque'],[],[''],[],[' 葡萄牙语']
[' 葡萄牙 / 佛得角'],['Francisco Manso'],['94'],[],"['Flávio Hamilton', 'Manuel Estevão', 'João Paulo Brito', 'Alexandre Soares', 'Che Gonçalves', 'Janeth Tavares', 'Agnelo Duarte', 'Raquel Monteiro', 'Gil Moreira', 'Dulce Sequeira']",['Os Dois Irmãos'],['剧情'],[''],[],[' 葡萄牙语']
[' 葡萄牙'],['Susana Nobre'],['64'],['01'],"['Marta Lança', 'Clara Castanheira', 'Pedro Castanheira']",['Tempo Comum'],['剧情'],[''],[],[' 葡萄牙语']
[' 葡萄牙 / 巴西 / 法国'],['Sergio Trefaut'],['84'],['10'],"['塞尔希·洛佩斯', '卡塔丽娜·瓦朗丝坦', '罗基里奥·萨莫拉']",['愤怒 Raiva'],['剧情'],[''],[],[' 葡萄牙语']
[' 日本 / 葡萄牙'],['舩桥淳'],['138'],['11'],"['中野裕太', '安娜·莫雷拉', 'António Durães', '柄本佑', '米格尔·蒙蒂罗', 'Valdemar Santos', 'Flávio Hamilton', 'Alex Miranda']",['波尔图恋人 ~时间的记忆 ポルトの恋人たち\u3000～時の記憶'],"['剧情', '爱情']",[''],[],[' 日语 / 英语 / 葡萄牙语']
[' 葡萄牙'],['Vicente Alves do Ó'],['82'],[],"['雷卡杜·佩雷拉', 'Oceana Basílio', 'Nuno Pardal']",['Golpe de Sol'],['剧情'],[''],[],[' 葡萄牙语']
[' 葡萄牙'],['贡卡洛·加尔沃特·特雷斯'],['85'],['04'],"['Miguel Borges', 'Carminho Coelho', '约翰·尤海斯']",['百万将士 Soldado Milhões'],"['剧情', '战争']",[''],[],[' 葡萄牙语']
[' 葡萄牙 / 波黑'],['André Gil Mata'],[],['02'],"['Petar Fradelić', 'Filip Živanović']",['树 Drvo'],['剧情'],[''],[],[' 波斯尼亚语']
[' 莫三比克 / 法国 / 葡萄牙 / 幾內亞比索 / 卡達'],['若昂·维亚纳'],[],['02'],"['Ernania Rainha', 'Hanic Corio']",['幻遊莫三比克 Our Madness'],['剧情'],[''],[],[' 斯瓦希里語 Swahili']
[' 法国 / 葡萄牙'],['瓦莱丽亚·萨米恩托'],['113'],"['09', '10']","['璐·德·拉格', '斯坦尼斯拉斯·莫哈', '尼尔斯·施内德', '珍娜·蒂亚姆', '丹妮拉·曼希沃', '维多利亚·盖拉', 'Joana Ribeiro', '格雷戈瓦·勒普兰斯-林盖', '卡塔丽娜·瓦朗丝坦', 'Joaquim Leitão', '米格尔·蒙蒂罗']",['黑色笔记本 Le cahier noir'],"['剧情', '爱情', '历史']",[''],[],[' 法语 / 葡萄牙语 / 意大利语']
[' 葡萄牙'],['Tiago Hespanha'],[],"['08(洛加诺电影节)"">2018']",[],['恶在基地蔓延时 campo'],[],[''],[],[' 英语 / 葡萄牙语 Portuguese']
[' 葡萄牙 / 巴西 / 佛得角'],"['João Miller Guerra', 'Filipa Reis']",[],['01'],['Miguel Moreira'],['吉戎·阿非利加 Djon África'],"['剧情', '犯罪']",[''],[],[' 葡萄牙语']
[' 巴西 / 葡萄牙 / 法国'],['卡洛斯·迭戈'],['105'],"['05', '11']","['文森特·卡索', 'Antonio de la Cruz', 'Albano Jerónimo', '努诺·洛佩斯', '玛里亚娜·希梅内斯', '安东尼·弗格朗斯', '大卫·奥格尼克', '凯瑟琳·蒙切特', '布鲁纳·林斯迈耶', '热苏伊塔·巴尔博萨', '朱利安诺·卡扎雷', 'Marcos Frota', '米格尔·蒙蒂罗', ""António Vitorino D'Almeida"", 'David Mesquita', '卡希安诺·卡尔内罗', 'Luíza Mariani', 'Daniela Faria', 'Miguel Dias', '路易莎·克鲁兹', 'Pedro Efe', 'Tomás Wallenstein', 'Tiago Delfino', 'Cândido Ferreira', 'António Évora']",['伟大的神秘马戏团 O Grande Circo Místico'],['剧情'],[''],[],[' 葡萄牙语']
[' 葡萄牙 / 中国大陆'],['范思澳'],['82'],"['10', '12']","['Margarida Vila-Nova', '凤小岳', '蒂亚戈·阿尔迪亚', 'Cândido Ferreira', '甘国亮']",['帝国酒店 Hotel Império'],['剧情'],[''],[],[' 葡萄牙语 / 粤语 / 英语']
[' 葡萄牙'],['António-Pedro Vasconcelos'],[],[],"['迪奥戈·莫加多', '丹妮拉·曼希沃', 'Francisco Froes']",['Parque Mayer'],[],[''],[],[]
[' 日本 / 葡萄牙'],['舩桥淳'],['138'],['11'],"['中野裕太', '安娜·莫雷拉', 'António Durães', '柄本佑', '米格尔·蒙蒂罗', 'Valdemar Santos', 'Flávio Hamilton', 'Alex Miranda']",['波尔图恋人 ~时间的记忆 ポルトの恋人たち\u3000～時の記憶'],"['剧情', '爱情']",[''],[],[' 日语 / 英语 / 葡萄牙语']
[' 莫桑比克 / 葡萄牙'],['Sol de Carvalho'],[],[],[],['Mabata Bata'],['剧情'],[''],[],[]
