地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 波兰 / 西班牙 / 德国 / 比利时 / 匈牙利'],"['Raúl de la Fuente', '达米安·纽诺']",['80'],"['05', '11']","['小田部阿基', 'Wilson Benedito', 'Ryszard Kapuscinski']",['人生的另一天 Un día más con vida'],"['动画', '传记']",['7.9'],['195'],[' 英语 / 葡萄牙语 / 波兰语 / 西班牙语']
[' 西班牙'],['奥里奥尔·保罗'],['128'],['11'],"['阿德里亚娜·乌加特', '奇诺·达林', '阿尔瓦罗·莫奇', '诺拉·纳瓦斯', '哈维尔·古铁雷斯', '米格尔·费南德斯', '克拉拉·塞古拉', '米玛·里埃拉', '艾娜·克洛特', '阿尔伯特·佩雷斯', '弗兰塞斯克·奥雷利亚', '阿娜·瓦格纳', '西尔维亚·阿隆索', '贝伦·鲁埃达']",['海市蜃楼 Durante la tormenta'],"['科幻', '悬疑', '惊悚']",['7.8'],['184009'],[' 西班牙语']
[' 西班牙 / 法国'],['Salvador Simó'],['80'],['10'],[],['布努埃尔之神龟迷宫 Buñuel en el laberinto de las tortugas'],"['动画', '冒险']",['7.8'],['183'],[' 西班牙语 / 法语']
[' 法国 / 西班牙 / 罗马尼亚 / 美国 / 比利时'],['雅克·欧迪亚'],['121'],"['09', '10']","['约翰·C·赖利', '杰昆·菲尼克斯', '杰克·吉伦哈尔', '里兹·阿迈德', '卡罗尔·凯恩', '鲁特格尔·哈尔', '克瑞德·布拉顿', '约翰内斯·豪克尔·约翰内森', '尼尔斯·阿贺斯图普', '莱克茜·本博-哈特', '丽贝卡·鲁特', '菲利普·罗施', '邓肯·拉克鲁瓦', '伊恩·雷迪丁顿', '阿尔多·马兰']",['希斯特斯兄弟 The Sisters Brothers'],"['犯罪', '西部', '冒险']",['7.7'],['8255'],[' 英语']
[' 乌拉圭 / 西班牙 / 阿根廷 / 法国 / 德国'],['阿尔瓦罗·布雷克纳'],['122'],"['09', '11']","['安东尼奥·德·拉·托雷', '奇诺·达林', '阿方索·托特', '凯撒·特龙科索', '索蕾达·维拉米尔', '西尔维娅·佩雷斯·克鲁兹', '米涅娜·帕斯夸尔', '尼迪亚·泰勒斯', '凯撒·博尔东']",['地牢回忆 La noche de 12 años'],"['剧情', '历史', '犯罪']",['7.7'],['1659'],[' 西班牙语']
[' 阿根廷 / 西班牙'],['路易斯·奥特加'],['118'],"['05', '08']","['洛伦佐·法罗', '奇诺·达林', '丹尼尔·凡尼戈', '梅赛黛斯·莫朗', '玛莱娜·维拉', '塞西莉亚·罗特', '索菲亚·伊内斯·托尔内', '皮特·蓝萨尼', '马塞洛·坎切米', '路易斯·尼科', '威廉·普罗赛克']",['死亡天使 El ángel'],"['剧情', '同性', '传记', '犯罪']",['7.4'],['4718'],[' 西班牙语']
[' 西班牙'],['哈维尔·费舍尔'],['124'],['04'],"['哈维尔·古铁雷斯', '雅典娜·玛塔', '胡安·马加略', '路易莎·加瓦萨', '路易斯·贝尔梅霍', '丹尼尔弗莱雷', '胡利奥·费尔南德斯', '维森特·希尔', '伊西娅尔·卡斯特罗', '查尼·马丁', '哈维尔·费舍尔']",['篮球冠军 Campeones'],"['剧情', '喜剧', '运动']",['7.3'],['2315'],[' 西班牙语']
[' 阿根廷 / 西班牙'],['加斯顿·杜帕拉特'],['100'],"['08', '11']","['安德列·阿卡托', '卢卡斯·阿兰达', '劳尔·阿雷瓦洛', '艾哈迈迪·阿齐姆', '路易斯·布兰多尼', '古勒莫·法兰塞拉', '安德丽娅·弗里杰里奥']",['亡命大画家 Mi obra maestra'],['喜剧'],['7.3'],['560'],[' 西班牙语']
[' 西班牙'],['玛·塔尔加纳'],['110'],['10'],"['马里奥·卡萨斯', '理查德·范·韦登', '阿兰·埃尔南德斯', '阿德里亚·萨拉查', '爱德华·布赫', '斯特凡·韦纳特', '弗兰克·费斯', '卢卡·佩洛斯', '玛卡蕾娜·戈麦斯', '丹尼斯·乌伊洛基', '玛丽安·科奇什']",['集中营里的摄影师 El fotógrafo de Mauthausen'],"['传记', '历史', '战争']",['7.2'],['659'],[' 西班牙语']
[' 西班牙 / 比利时 / 法国 / 葡萄牙 / 英国'],['特瑞·吉列姆'],['132'],"['05', '06']","['亚当·德赖弗', '欧嘉·柯瑞兰寇', '乔纳森·普雷斯', '斯特兰·斯卡斯加德', '奥斯卡·贾恩那达', '杰森·沃特金斯', '塞尔希·洛佩斯', '詹迪·莫拉', '特瑞·吉列姆', '霍威克·库区科利安', '阿尔维托·乔·李', '威廉·米勒', '萝西·德·帕尔马', '布鲁诺·塞维利亚']",['这个男人来自疯狂世界 El hombre que mató a Don Quijote'],"['剧情', '喜剧', '奇幻', '冒险']",['6.9'],['1789'],[' 英语 / 西班牙语']
[' 西班牙'],['Manolo Munguia'],['105'],['10'],"['Rubèn Serrano', 'Roc Esquius', 'Míriam Tortosa']",['密码秘战 H0us3'],"['科幻', '惊悚']",['6.8'],['89'],[' 西班牙语']
[' 西班牙'],"['凯撒·埃斯特万·阿伦达', '何塞·埃斯特万·阿伦达']",['96'],['04'],"['哈维尔·苏亚雷伊', '玛利亚·莱昂', 'Juan Carlos Sánchez', '玛丽·帕斯·德萨亚戈', 'Paco Ochoa', 'Roberto Campillo', 'Asencio Salas']",['并非尽头 Sin fin'],"['剧情', '爱情', '科幻']",['6.7'],['70'],[' 西班牙语']
[' 西班牙'],['Zoe Berriatúa'],['85'],['08'],"['玛卡蕾娜·戈麦斯', '英格丽·加西亚·荣松', '基蒂·曼维尔']",['天上的星星 En las estrellas'],"['喜剧', '奇幻']",['6.7'],['115'],[' 西班牙语']
[' 西班牙'],['丹尼·德拉托雷'],['126'],['10'],"['Jaime Lorente', '威廉·米勒', '帕科·图斯', '米歇尔·珍娜', '路易斯·托萨尔', '欧内斯特·艾戴里欧', '阿德里亚娜·托雷维哈诺', '曼诺罗·索洛', '费尔南多·卡约', '文森特·罗米洛', 'José Manuel Poga', '佩普·托萨', 'Paula del Río', '里卡多·德巴雷罗', 'Xosé Barato']",['法律的阴影 La sombra de la ley'],['惊悚'],['6.7'],['300'],[' 西班牙语']
[' 西班牙'],['伊萨基·拉库埃斯塔'],['136'],['09'],"['伊瑟尔·戈麦斯·罗梅罗', 'Francisco José Gómez Romero', 'Óscar Rodríguez']",['两片水域之间 Entre Dos Aguas'],['剧情'],['6.7'],['88'],[' 西班牙语']
[' 美国 / 西班牙'],['胡安·安东尼奥·巴亚纳'],['128'],"['06', '06']","['克里斯·帕拉特', '布莱丝·达拉斯·霍华德', '贾斯蒂斯·史密斯', '伊莎贝拉·瑟蒙', '拉菲·斯波', '托比·琼斯', '泰德·拉文', '詹姆斯·克伦威尔', '黄荣亮', '丹妮艾拉·皮内达', '杰拉丁·卓别林', '杰夫·高布伦', '卡米尔·雷米泽斯基', '丹尼尔·斯蒂森', '皮特·杰森', '迈克尔·帕帕约翰', '罗伯特·埃姆斯', '罗南·萨莫尔斯', '麦克斯·贝克', '丹尼尔·厄根', '戴维·奥拉瓦莱·阿印德']",['侏罗纪世界2 Jurassic World: Fallen Kingdom'],"['动作', '科幻', '冒险']",['6.7'],['281409'],[' 英语']
[' 西班牙'],['Telmo Esnal'],['98'],['09'],[],['纵舞欢歌 Dantza'],"['剧情', '歌舞']",['6.7'],['85'],[' 西班牙语']
[' 西班牙'],['阿兰查·艾奇瓦莉亚'],['103'],"['04', '05']","['赛依拉·罗梅罗', '罗西·罗德里格斯', '莫雷诺·博尔哈', '拉菲拉·勒恩', 'Carolina Yuste', '安东尼奥·埃雷迪亚', 'Susana Campos', 'Juan José Jiménez', '卢卡斯·埃雷迪亚', 'Jacqueline Jiménez', 'Javier I. Bustamante']",['卡门和罗拉 Carmen y Lola'],"['剧情', '爱情']",['6.6'],['301'],[' 西班牙语']
[' 西班牙'],['拉蒙·萨拉萨尔'],['113'],"['02', '02']","['巴巴拉·莱涅', '苏西·桑切斯']",['周日的忧郁 La enfermedad del domingo'],['剧情'],['6.6'],['146'],[' 西班牙语']
[' 西班牙 / 立陶宛'],['哈西奥·巴尼奥'],['83'],['08'],"['Diego Anido', 'Celso Bugallo', '塔玛拉·卡诺萨', '玛丽雅·瓦兹盖兹']",['跑马 Trote'],['剧情'],['6.5'],['146'],[' 加里西亚语']
[' 西班牙 / 葡萄牙 Portugal'],['阿尔伯特·塞拉'],['61'],['07'],['Lluís Serrat'],['太阳王 Roi Soleil'],['剧情'],['6.5'],['68'],[' 无对白']
[' 西班牙'],['卡洛斯·贝尔穆德'],['125'],"['09', '10']","['纳瓦·尼姆利', '卡梅·埃利亚斯', '纳塔利娅·德·莫利纳', '胡里安·毕亚格兰', 'Eva Llorach', 'Inma Cuevas', 'Ignacio Mateos', '维多利亚·恩唐戈', 'Catalina Sopelana']",['歌从何处来 Quién te cantará'],['剧情'],['6.5'],['163'],[' 西班牙语']
[' 西班牙'],['胡里奥·密谭'],['135'],['10'],"['阿尔瓦罗·塞万提斯', '乌苏拉·科尔维罗', '帕特里夏·洛佩斯', '华金·弗里尔', '露西娅·德尔加多', '卢卡·佩洛斯', '纳瓦·尼姆利', '丹尼尔·格劳', '路易莎·加瓦萨', '埃米利奥·古铁雷斯·卡巴', '安赫拉·莫利纳', '乔瑟普·马利亚·波乌', '玛利亚·莫林斯', '克拉拉·巴迪奥拉', '费利克斯·阿卡拉佐']",['血脉之树 El Árbol de la Sangre'],['剧情'],['6.4'],['383'],[' 西班牙语']
[' 西班牙'],['埃琳娜·特拉普'],['99'],"['04', '09']","['Alexandra Jiménez', 'Miki Esparbé', 'Isak Férriz']",['最熟悉的陌生人 Las Distancias'],['剧情'],['6.3'],['65'],[' 西班牙语']
[' 西班牙'],['丹尼尔·蒙宗'],['129'],['08'],"['路易斯·托萨尔', '罗德里戈·德拉·塞尔纳', '斯蒂芬妮·卡约', '琼·佩拉', '格洛里亚·穆诺兹', '艾丽西亚·费尔南德斯']",['骗徒奇遇记 Yucatán'],['喜剧'],['6.3'],['146'],[' 西班牙语']
[' 西班牙'],['格拉西亚·克雷赫塔'],['98'],['10'],"['玛丽维尔·贝尔杜', '胡安娜·阿科斯塔', '宝拉·艾切瓦莉亚', '路易斯·托萨尔', '哈维尔·卡马拉', '劳尔·阿雷瓦洛', '安东尼奥·雷西内斯', '诺拉·纳瓦斯', 'Raúl Peña', 'Miguel Bernardeau', 'Mikel Tello']",['犯罪浪潮 Ola de crímenes'],"['喜剧', '犯罪']",['6.3'],['80'],[' 西班牙语']
