地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 越南'],['黎光'],['102'],['08'],"['范刘俊才', '阮清秀']",['双郎 Song Lang'],"['剧情', '同性', '戏曲']",['6.9'],['71'],[' 越南语']
[' 越南'],['Ash Mayfair'],['96'],['09'],"['阮如琼', '陈女燕溪', '阮芳茶眉', '黎武隆', '玛雅', '清美']",['落红 Vợ Ba'],['剧情'],['6.8'],['349'],[' 越南语']
[' 越南'],['阮光勇'],['117'],['03'],"['孔秀琼', '红映', '武芳英', '黄莹', '青恒', '美缘', '阮清秀', '阮兰芳', '英书', '阮煌福']",['灿烂岁月 Tháng năm rực rỡ'],"['剧情', '喜剧']",['6.4'],['84'],[' 越南语']
[' 韩国 / 越南'],['韩相熙 Sang-hee Han'],['97'],"['02', '02']","['芝芙', '郑山 ', '郑采妍', 'Jin Ju Hyung']",['Lala：让我爱你 라라'],"['剧情', '爱情']",['4.2'],['86'],[' 韩语']
[' 越南'],['阮英俊'],[],[],"['阮春练', '陈英书', '陈映雪']",['溪水的源头 Suối đầu nguồn'],['剧情'],[''],[],[]
[' 越南'],['Luong Trung Tin'],[],[],"['Jang Mi', 'S.T 365']",['租赁新娘 Bride For Rent'],"['剧情', '爱情']",[''],[],[' 越南语']
[' 越南'],['刘皇'],[],[],"['武成心', '阮明秀', '高垂玲', '何越勇']",['情人 Người tình'],['剧情'],[''],[],[]
[' 越南'],['阮成荣'],[],[],"['丰氏玉富', '青南']",['啥时脱单 Bao giờ hết ế'],['剧情'],[''],[],[]
[' 越南'],['梁忠信'],[],[],['Jang Mi'],['孝子找老婆 Tìm vợ cho bà'],['剧情'],[''],[],[]
[' 越南'],[],[],[],"['雅芳', '越香', '黄镇成', '吴建辉', '许明达']",['灵魂错位 Hoán đổi'],['剧情'],[''],[],[]
[' 越南'],[],[],[],['宁杨兰玉'],['剩女大作战2 Gái già lắm chiêu 2'],[],[''],[],[' 越南语']
[' 越南'],"['胜宇', '李明胜']",[],[],"['范刘俊才', '潘银', 'Suni Ha Linh', 'Puka', '志才', '黄菲']",['情歌季节 Mùa Viết Tình Ca'],['音乐'],[''],[],[]
[' 越南'],['Duy Joseph'],[],['08'],"['颜福荣', 'Rapper Wean Lê']",['霸王校园 Trường học bá vương'],['剧情'],[''],[],[]
[' 越南'],['Tsai Lex Nguyen Cong Hau'],[],[],"['可银', '孙玮伦', '李明宪']",['何时爱你 Yêu Em Từ Khi Nào'],['剧情'],[''],[],[]
[' 越南'],['卡瓦伊·阮俊英'],[],[],"['方英桃', '黎垂玲', '越香']",['雨女孩 Em Gái Mưa'],['剧情'],[''],[],[]
[' 越南'],[],[],[],"['玉草', 'Pho Dac Biet']",['我是谁 Tôi là ai'],"['剧情', '喜剧']",[''],[],[]
[' 越南'],['潘明'],[],['01'],"['张美人', 'Jay Quân', 'Tuấn Trần', 'Brian Trần']",['第13工厂 Xưởng 13'],['剧情'],[''],[],[]
[' 越南'],['阮友俊'],[],['10'],"['黄东', '越香']","['太阳，你在哪儿 Mặt Trời, Con Ở Đâu']","['剧情', '儿童']",[''],[],[]
[' 越南'],['丁俊武'],[],['09'],"['矫明俊', '阮英俊']",['叔叔！不要娶我妈妈 Chú Ơi Đừng Lấy Mẹ Con'],['剧情'],[''],[],[]
[' 越南'],['陈仁坚'],['87'],['09'],"['黄燕·奇薇', '张青龙', '光登']",['换夫计划 Kế hoạch đổi chồng'],['剧情'],[''],[],[' 越南语']
[' 越南'],['武国越'],[],[],[],['山精水精 Sơn Tinh Thủy Tinh'],"['剧情', '奇幻', '古装']",[''],[],[' 越南语']
[' 越南'],['Roland Nguyen Nhan'],[],[],"['谭芳玲', 'Thanh Duy Idol', '阮清秀']",['梦男—死亡交友 Dream Man – Lời kết bạn chết chóc'],['剧情'],[''],[],[]
[' 越南'],['杜德盛'],[],[],"['黄镇成', '雅芳', '陈国英', '陈可如']",['状元阮琼 Trạng Quỳnh'],"['剧情', '喜剧', '古装']",[''],[],[]
[' 越南'],['黄唯'],[],['10'],"['银庆', '双伦', '连秉发', '士清']",['继承小姐 Quý cô thừa kế'],"['喜剧', '爱情']",[''],[],[]
[' 越南'],['梅世侠'],[],['11'],"['Gia Linh', 'Tung Maru', 'Dieu Minh', 'Khac Minh', 'Mai Ngo', 'Bich Ngoc', 'Lam Van Quoc', 'Phuong Quynh', '张明国泰', 'Ngoc Trinh']",['石草 Thạch thảo'],[],[''],[],[' 越南语']
[' 日本 / 越南'],['高垂妮'],['94'],"['04', '05']","['方英桃', '阿久津贵文', '公宁']",['闭目夏天 目を閉じれば 夏が見える'],['剧情'],[''],[],[]
[' 越南'],['Ngoc Phuong Vu'],[],['04'],"['可银', 'Jun Pham']",['100天宝贝 100 Ngày Bên Em'],"['喜剧', '爱情']",[''],[],[' 越南语']
[' 越南'],['落合贤'],[],['12'],"['凯蒂阮', '泰和']","['爸爸的灵魂女儿的皮肤 Hồn papa, Da con gái']","['喜剧', '家庭']",[''],[],[]
[' 越南'],['Nguyen Huu Hoang'],['101'],['06'],"['许伟文', '武范艳咪', '光事', '金国', '申翠荷', '阮正信', '商信', '公宁', '康玉']",['杀人镜头 Ống kính sát nhân'],"['剧情', '悬疑']",[''],[],[]
[' 越南'],['胡士后'],['34'],['01'],"['张明明', '刘明君', '张达', '家俊', '何甄', '垂玲', '范书']",['迷路的戒指'],"['爱情', '同性']",[''],[],[' 越南语']
[' 越南'],['阮正直'],[],['08'],"['泰和', '方英桃', '云庄', '许伟文']",['我的男妻 Chàng vợ của em'],"['剧情', '喜剧']",[''],[],[]
[' 越南'],['丁俊武'],[],[],['吴邓红云'],['忠蝇和明锡漂流记 Cuộc phiêu lưu của Trung Ruồi và Minh Tít'],"['剧情', '喜剧', '冒险']",[''],[],[]
