地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 意大利 / 阿尔巴尼亚 / 阿根廷'],['保罗·祖卡'],['103'],[],"['Jacopo CULLIN', 'Stefano FRESI', '弗朗西斯科·潘诺菲诺', 'Benito URGU']",['买月亮的人 The Man Who Bought the Moon'],['剧情'],['8.3'],['171'],[' 意大利语 / 英语']
[' 乌拉圭 / 西班牙 / 阿根廷 / 法国 / 德国'],['阿尔瓦罗·布雷克纳'],['122'],"['09', '11']","['安东尼奥·德·拉·托雷', '奇诺·达林', '阿方索·托特', '凯撒·特龙科索', '索蕾达·维拉米尔', '西尔维娅·佩雷斯·克鲁兹', '米涅娜·帕斯夸尔', '尼迪亚·泰勒斯', '凯撒·博尔东']",['地牢回忆 La noche de 12 años'],"['剧情', '历史', '犯罪']",['7.7'],['1659'],[' 西班牙语']
[' 阿根廷 / 西班牙'],['路易斯·奥特加'],['118'],"['05', '08']","['洛伦佐·法罗', '奇诺·达林', '丹尼尔·凡尼戈', '梅赛黛斯·莫朗', '玛莱娜·维拉', '塞西莉亚·罗特', '索菲亚·伊内斯·托尔内', '皮特·蓝萨尼', '马塞洛·坎切米', '路易斯·尼科', '威廉·普罗赛克']",['死亡天使 El ángel'],"['剧情', '同性', '传记', '犯罪']",['7.4'],['4718'],[' 西班牙语']
[' 阿根廷 / 西班牙'],['加斯顿·杜帕拉特'],['100'],"['08', '11']","['安德列·阿卡托', '卢卡斯·阿兰达', '劳尔·阿雷瓦洛', '艾哈迈迪·阿齐姆', '路易斯·布兰多尼', '古勒莫·法兰塞拉', '安德丽娅·弗里杰里奥']",['亡命大画家 Mi obra maestra'],['喜剧'],['7.3'],['560'],[' 西班牙语']
[' 阿根廷'],['马丁·迪乌斯'],['90'],['11'],"['安杰洛·穆蒂·斯皮內塔', '劳塔罗‧罗德里格斯', '吉列尔莫·普宁', '玛丽安娜·安希列里', '本尼西奥·穆蒂·斯皮内塔', '罗曼娜·亚历山德拉·古利奇', '雷娜塔·利兹']",['最好的朋友 Mi mejor amigo'],"['剧情', '同性']",['7.1'],['2000'],[' 西班牙语']
[' 智利 / 巴西 / 阿根廷 / 荷兰 / 卡塔尔'],['多明加·索托迈约·卡斯蒂略 Dominga Sotomayor Castillo'],['110'],['08'],"['Demian Hernández', 'Antar Machado', 'Magdalena Tótoro', 'Matías Oviedo']",['死在青春 Tarde para morir joven'],['剧情'],['6.4'],['153'],[' 西班牙语']
[' 阿根廷 / 巴西 / 德国 / 法国 / 荷兰'],['本哈明·奈斯塔特'],['109'],['09'],"['阿尔佛莱德·卡斯特罗', '达里奥·格兰迪内蒂', '安德丽娅·弗里杰里奥']",['罗霍 Rojo'],['剧情'],['6.4'],['92'],[' 西班牙语']
[' 智利 / 阿根廷'],['Che Sandoval'],['95'],['04'],"['安托里娜·科斯塔', 'Patricio Contreras', 'Dindi Jane', '佩德罗·坎波斯', 'Héctor Morales', '埃瓦罗·埃斯皮诺泽', 'Yonar Sanchez', 'Lucas Espinoza', 'Joaquin Fernández', 'Martín Garabal', 'Rafael Gumucio', 'Fernando Guzzoni', 'Humberto Miranda', 'Joaquin Mussio', 'Sergio Nicloux']",['不甜马丁娜 Dry Martina'],"['剧情', '喜剧']",['5.9'],['121'],[' 西班牙语']
[' 西班牙 / 阿根廷 / 乌拉圭'],['古斯塔沃·埃尔南德斯'],['106'],['06'],"['贝伦·鲁埃达', '艾娃·德·多米尼奇', '纳塔利娅·德·莫利纳', '日尔曼·帕拉西奥斯', '尤金尼亚·托巴尔', '胡安·曼努尔·圭雷拉', '玛丽亚·扎比', '玛利亚·阿尔方萨·罗索']",['无眠夜 No dormirás'],['恐怖'],['5.5'],['424'],[' 西班牙语']
[' 巴拉圭 / 阿根廷'],"['Rodrigo Salomón', 'Pietro Scappini']",['107'],['08'],"['Luis Aguirre', 'Fini Bocchino', 'Bruno Sosa Bofinger', 'Fabio Chamorro', 'Dani Da Rosa', 'José Roberto Fretes Romero', 'Andrea Frigerio']","['绝对忠诚 Leal, solo hay una forma de vivir']","['剧情', '动作', '犯罪']",['4.8'],['98'],[' 西班牙语']
[' 阿根廷'],['Barbara Sarasola-Day'],[],['09'],"['艾娃·德·多米尼奇', '亚历杭德罗·亚旺达']",['桑格兰布兰卡 Sangre blanca'],"['剧情', '惊悚', '犯罪']",[''],[],[' 西班牙语']
[' 西班牙 / 阿根廷'],['Eugenio Canevari'],[],[],"['Adrià Sánchez-Campo', 'Judith Dalmau', 'Laura Esteve Reig']",['真实家庭图 FIGURAS'],[],[''],[],[]
[' 阿根廷'],['Iván Noel'],['96'],['01'],"['Tatiana Gonzales Bozzetto', 'Joaquin Brizuela', 'Oscar Mira', 'Zoe Osan', 'Emanuel Renzini', 'Rosana Rossotti', 'Ismael Stampone', 'Thiago Stampone']",['混沌九餐 Nueve Comidas Lejos Del Caos'],['剧情'],[''],[],[' 西班牙语 / 英语']
[' 阿根廷'],['Iván Fund'],['81'],['11'],[],['Vendrán lluvias suaves'],[],[''],[],[' 西班牙语']
[' 阿根廷 / 意大利'],['Agustina Macri'],['100'],['09'],"['马克·莱昂纳蒂', '弗朗西斯科·德·维托', '毛里齐奥·隆巴迪', '埃莉奥诺拉·吉奥瓦纳迪', '乔治·科兰杰利']",['Soledad'],"['剧情', '爱情', '惊悚', '传记', '犯罪']",[''],[],[' 西班牙语 / 意大利语']
[' 阿根廷'],['Walter Becker'],[],[],[],['Eterno Paraíso'],[],[''],[],[]
[' 阿根廷'],"['Daniel de la Vega', 'Pablo Parés']",[],[],[],['我有毒 Soy tóxico'],"['动作', '科幻', '恐怖']",[''],[],[]
[' 阿根廷'],['Iván Noel'],['88'],[],"['Thiago Stampone', 'Ismael Stampone', 'Oscar Mira', 'Cristian Cavo', 'Oscar Molinari']",['弃儿 Rejected'],"['剧情', '奇幻']",[''],[],[' 西班牙语']
[' 阿根廷'],[],[],[],[],['Las Vegas'],[],[''],[],[]
[' 阿根廷'],['María José Juan'],['61'],['04'],"['Carlo Argento', 'Gastón Cocchiarale']",['罗米安 Román'],['剧情'],[''],[],[' 西班牙语']
