地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 韩国'],['尹钟彬'],['137'],"['05', '08']","['黄政民', '李星民', '赵震雄', '朱智勋']",['特工 공작'],['剧情'],['8.5'],['81151'],[' 韩语 / 汉语普通话 / 日语']
[' 韩国'],['姜炯哲'],['133'],['12'],"['都暻秀', '朴慧秀', '吴政世', '金民浩', '朴真珠', '白仁权', '杰瑞德·格里姆斯', '罗斯·凯特尔']",['摇摆狂潮 스윙키즈'],"['剧情', '歌舞', '战争']",['8.2'],['25465'],[' 韩语']
[' 韩国'],['李章焄'],['132'],['03'],"['苏志燮', '孙艺珍', '金智焕', '金贤秀', '李有镇', '高昌锡', '李俊赫', '孙云恩', '裴侑蓝']",['现在去见你 지금 만나러 갑니다'],"['剧情', '爱情', '奇幻']",['8.2'],['55503'],[' 韩语']
[' 韩国'],['崔恩重'],['200'],['09'],"['吴世勋', '姜美娜', '李济延', '金熙镇', '姜多贤', '安宝贤']",['独孤：倒回 독고 리와인드'],['动作'],['8.1'],['1636'],[' 韩语']
[' 韩国'],['李沧东'],['148'],"['05', '05']","['刘亚仁', '史蒂文·元', '全钟瑞', '金秀京', '崔承浩', '玉子妍']",['燃烧 버닝'],"['剧情', '悬疑']",['7.9'],['154882'],[' 韩语']
[' 韩国'],['全高云'],['106'],['03'],"['李絮', '安在洪', '姜臻雅', '金国熙', '李成旭', '崔德门', '金在华', '曹秀香', '金艺恩']",['小公女 소공녀'],"['剧情', '爱情']",['7.9'],['7978'],[' 韩语']
[' 韩国'],['金宝拉'],['139'],['10'],"['朴智厚', '金玺碧', '郑仁基', '李胜妍', '朴秀妍']",['蜂鸟 벌새'],"['剧情', '爱情']",['7.7'],['206'],[' 韩语']
[' 韩国'],['崔成贤'],['120'],['01'],"['李秉宪', '朴正民', '尹汝贞', '韩智敏', '金成铃', '崔莉', '黄锡晶', '文淑', '白书怡', '李周英', '张海恩', '朴智勋', '柳正浩', '孙德基', '金炳春', '洪锡然', '朴晌勋', '车明旭', '金瑞元 ']",['那就是我的世界 그것만이 내 세상'],['剧情'],['7.7'],['3802'],[' 韩语']
[' 韩国'],['房秀吟'],['91'],['04'],"['李顺载', '郑志薰', '张光', '成秉淑', '车顺裴', '金广植', '柳圣贤', '郑基燮', '尹颂雅', '金炳哲', '韩宝贝']",['德九 덕구'],"['剧情', '家庭']",['7.7'],['2473'],[' 韩语']
[' 韩国'],['李润珍'],['75'],['01'],"['郑帝元', '申银秀', '许真', '徐贤宇', '孔敏晶', '卢·苏珊娜']",['文集 문집'],"['剧情', '爱情']",['7.6'],['6386'],[' 韩语']
[' 韩国'],['黄昇基'],['60'],['09'],"['全昭旻', '朴成勋', '吴东旻', '宋智仁']",['我的黑历史误答笔记 나의 흑역사 오답노트'],"['喜剧', '爱情']",['7.6'],['1295'],[' 韩语']
[' 韩国'],['闵奎东'],['121'],['06'],"['金喜爱', '金海淑', '艺秀晶', '文淑', '李龙女', '金善映', '金俊翰', '李容怡', '崔秉默', '郑仁基', '金仁宇', '朴明申', '李志夏', '孙康国', '朴龙修', '金惠濬', '朴正子', '宋永彰', '丁夏潭', '安世河', '李裕英', '韩智敏', '陈善圭']",['她的故事 허스토리'],['剧情'],['7.6'],['1608'],[' 韩语']
[' 韩国'],['金容华'],['142'],['08'],"['河正宇', '朱智勋', '马东锡', '金香起', '李政宰', '赵汉哲', '金明坤 ', '金东旭', '郑惟安', '都暻秀']",['与神同行2：因与缘 신과함께-인과 연'],"['动作', '奇幻']",['7.5'],['59297'],[' 韩语']
[' 韩国'],['崔国熙'],['114'],['11'],"['金惠秀', '刘亚仁', '许峻豪', '赵宇镇', '文森特·卡索']",['国家破产之日 국가부도의 날'],['剧情'],['7.5'],['23049'],[' 韩语']
[' 韩国'],['李宰圭'],['115'],['10'],"['柳海真', '赵震雄', '李瑞镇', '廉晶雅', '金智秀', '宋昰昀', '尹敬浩', '智友']",['完美的他人 완벽한타인'],"['剧情', '喜剧']",['7.4'],['11949'],[' 韩语']
