地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 香港'],['黄子华'],['160'],['07'],['黄子华'],['黄子华栋笃笑之金盘�口 黄子华栋笃笑之金盆啷口'],['喜剧'],['9.4'],['785'],[' 粤语']
[' 中国大陆 / 香港'],['林超贤'],['138'],['02'],"['张译', '黄景瑜', '海清', '杜江', '蒋璐霞', '尹昉', '王强', '郭家豪', '王雨甜', '麦亨利', '张涵予', '王彦霖']",['红海行动'],"['动作', '战争']",['8.3'],['672134'],[' 汉语普通话 / 阿拉伯语 / 英语 / 索马里语 / 粤语']
[' 香港'],['陈小娟'],['112'],['11'],"['黄秋生', '姬素·孔尚治', '叶童', '李灿森', '黄定谦']",['沦落人 淪落人'],['剧情'],['8.3'],['1408'],[' 粤语']
[' 中国大陆 / 香港'],['庄文强'],['130'],"['09', '10']","['周润发', '郭富城', '张静初', '冯文娟', '廖启智', '周家怡', '王耀庆', '方中信', '高捷', '邢佳栋', '张松枝', '张建声', '吴嘉龙', '孙佳君']",['无双 無雙'],"['剧情', '动作', '悬疑', '犯罪']",['8.1'],['608284'],[' 汉语普通话 / 粤语 / 英语 / 泰语 / 波兰语']
[' 中国大陆 / 香港'],['张艺谋'],['116'],"['09', '09']","['邓超', '孙俪', '郑恺', '王千源', '王景春', '胡军', '关晓彤', '吴磊', '封柏']",['影'],"['剧情', '动作', '武侠', '古装']",['7.2'],['412006'],[' 汉语普通话']
[' 香港'],['陈咏燊'],['92'],['08'],"['吴镇宇', '潘灿良', '黄德斌', '胡子彤', '胡定欣', '骆振伟', '余香凝', '庄思敏', '岑珈其', '黄天颐', '柳俊江', '梁天尺', '龙文康', '李赏', '吴凤鸣']",['逆流大叔'],['剧情'],['6.8'],['3245'],[' 粤语']
[' 香港'],['李骏硕'],['119'],"['10', '11']","['姜皓文', '惠英红', '黄河', '袁富华', '余香凝', '吴肇轩', '周祉君', '陈蕾', '葛民辉', '岑珈其', '梁舜燕', '顾定轩', '黄溢濠', '李昭南', '陈志全']",['翠丝 翠絲'],"['剧情', '同性']",['6.8'],['8283'],[' 粤语']
[' 香港'],['欧文杰'],['99'],['10'],"['余香凝', '岑珈其', '叶童', '谷祖琳', '张国强', '廖子妤', '欧锦棠', '钟景辉', '张蔓姿', '陈丽云', '郭伟亮', '蒋祖曼', '傅月美', '梁健平', '林嘉华', '刘玉翠', '陈桂芬', '岑乐怡', '陈曾宁', '游学修', '易健儿', '谢珈朗', '徐浩昌', '何故']",['非同凡响 非同凡響'],['剧情'],['6.6'],['1046'],[' 粤语']
[' 香港'],['关锦鹏'],['100'],['10'],"['郑秀文', '梁咏琪', '白百何', '赵雅芝', '齐溪', '商天娥', '周家怡', '甘国亮', '林保怡', '宋宁峰', '庄文强', '廖碧儿', '韩马利', '新剑郎']",['八个女人一台戏 八個女人一台戲'],['剧情'],['6.5'],['531'],[' 粤语']
[' 香港'],['陈果'],['101'],['10'],"['曾美慧孜', '陈湛文', '陈万雷', '麦强', '邓月平']",['三夫'],['剧情'],['6.5'],['1120'],[' 粤语']
[' 香港'],[],[],['04'],"['古天乐', '蔡卓妍', '张继聪']",['第37届香港电影金像奖颁奖典礼 第37屆香港電影金像獎頒獎典禮'],['真人秀'],['6.4'],['218'],[' 粤语 / 汉语普通话']
[' 中国大陆 / 香港'],['徐克'],['132'],['07'],"['赵又廷', '冯绍峰', '林更新', '阮经天', '马思纯', '刘嘉玲', '盛鉴', '杨一威', '唐古特·宝日夫', '张傲月', '孙蛟龙', '汪汐潮', '铁男', '李炳雷', '许明虎']",['狄仁杰之四大天王'],"['动作', '悬疑', '奇幻', '武侠', '古装']",['6.1'],['208985'],[' 汉语普通话']
[' 香港 / 中国大陆'],['陈友'],['100'],"['07', '07']","['陈家乐', '于湉', '王梓轩', '吴鹤谦', '林耀声', '邓加乐', '任达华', '金燕玲', '惠英红', '廖启智', '谭咏麟', '钟镇涛', '钱小豪', '陈友', '彭健新', '叶智强']",['兄弟班'],"['剧情', '喜剧']",['5.9'],['968'],[' 粤语 / 汉语普通话']
