地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 马来西亚'],['马逸腾'],['110'],"['09', '03']","['李国煌', '杨雁雁', '拿督·罗斯彦·诺', '黄炜杰', '曾冠源', '李宗伟', '阿什利·华']",['李宗伟：败者为王 Lee Chong Wei'],"['剧情', '传记', '运动']",['6.9'],['6074'],[' 闽南语 / 汉语普通话 / 马来语']
[' 马来西亚'],['周青元'],['102'],['02'],"['容璇雯', '刘锦绣', '林宣妤', '吕杨', '温慧茵', '狄妃', '甘可琪']",['大大哒 Think Big Big'],"['剧情', '喜剧']",['6.2'],['274'],[' 汉语普通话 / 粤语']
[' 马来西亚'],['Nam Ron'],['81'],['01'],"['Zahiril Adzim', 'Ario Bayu', 'Rosdeen Suboh', 'Asmara Abigail', 'Amerul Affendi', 'Kin Wah Chew', 'Timothy Castillo', 'Iedil Putra']",['十字路口 One Two Jaga'],"['剧情', '犯罪']",['6.2'],['289'],[' 马来西亚语 / 印尼语 / 菲律宾语']
[' 中国大陆 / 马来西亚'],['丁仕昀'],['86'],"['06', '02']","['吴耀汉', '朱咪咪', '陈峰', '李欣怡', '潘小潘', '阿晨', '大宝', 'Cassey', '彪民', '皓敏', '李子昭', '馨蕊', '叶良财', '林静苗']",['疯狂这一年'],"['剧情', '喜剧']",['5.9'],['245'],[' 汉语普通话']
[' 中国大陆 / 马来西亚'],['竹原青'],['100'],['09'],"['许芳铱', '帕斯卡尔·格雷戈里', '黄若熙']",['星溪的三次奇遇'],"['剧情', '奇幻', '冒险']",['5.8'],['1034'],[' 汉语普通话 / 英语']
[' 马来西亚'],['丁仕昀'],['25'],[],"['蔡佩璇', '黄明慧']",['衣柜'],[],[''],[],[' 汉语普通话']
[' 马来西亚'],['Osman Ali'],['98'],"['06', '09']","['Syafiq Kyle', 'Hannah Delisha', 'Julia Farhana Marin', 'Firdaus Nadxaman', 'Shahkimin', 'Halim Radzi', 'Daaim Jailani', 'Nazri John', 'Naza Manas']",['Langsuir'],"['爱情', '恐怖']",[''],[],[' 马来语']
[' 马来西亚'],['Ooi Wei Seng'],['14'],[],[],['兴楼河'],[],[''],[],[]
[' 马来西亚'],['Ooi Wei Seng'],['14'],[],[],['兴楼河'],[],[''],[],[]
[' 马来西亚'],[],['102'],['09'],"['Remy Ishak', 'Mira Filzah', 'Sangeeta Krishnasamy', 'Jenn Chia']",['Rise: Ini Kalilah'],['剧情'],[''],[],[' 马来语']
[' 马来西亚'],['陳立謙'],['30'],[],[],['差一點先生'],[],[''],[],[]
[' 马来西亚 / 日本 / 马其顿'],['林家威'],['90'],['11'],[],"['No Where, Now Here']",[],[''],[],[]
[' 马来西亚'],['戴恩·伊斯甘达·沙德'],['108'],['04'],"['Umie Aida', 'Elyana', 'Ramli Hassan', 'Faizal Hussein']",['巫术 Dukun'],"['惊悚', '恐怖']",[''],[],[' 闽南语 / 马来语']
[' 马来西亚'],['Kabir Bhatia'],['120'],['07'],"['Remy Ishak', 'Puteri Aishah', '王骏']",['归乡的承诺 Pulang'],"['剧情', '爱情']",[''],[],[' 马来语 / 英语 / 粤语']
[' 马来西亚'],['郭修篆'],['88'],['06'],"['陈子颖', '庄仲维']",['光'],['剧情'],[''],[],[' 马来语']
[' 马来西亚'],['Zahir OMAR'],['100'],['10'],['冯推守'],['夜间飞行 Fly By Night'],"['剧情', '犯罪']",[''],[],[]
[' 马来西亚'],['Syamsul Yusof'],['121'],['08'],"['Syamsul Yusof', 'Maya Karin', 'Nasir Bilal Khan', 'Fizz Fairuz', 'Mawi', 'Fauzi Nawawi', '拉欣·拉萨利', 'Nur Zara Sofia', 'Weni Panca']",['伪信者 2 Munafik 2'],['恐怖'],[''],[],[' 马来语']
[' 马来西亚'],['Mamat Khalid'],[],['08'],"['Awie', 'Zul Ariffin']",['利亚的鬼魂 Hantu Kak Limah'],"['喜剧', '恐怖']",[''],[],[]
[' 马来西亚'],['黄天祥'],[],['02'],"['Cedric Goh', 'Michael Hagerty-Roach', 'Edilson Lim', '林捷豹', 'Terrence Lim', 'Mehrdad Razavi Mozart', '黄明志', 'Penny Tan', 'Robert Yap', 'Edwin Hou Zai']",['来自星星的傻孩子 Amazing Titanman'],['喜剧'],[''],[],[' 英语']
[' 马来西亚'],['黄罕铭'],[],[],"['林德荣', '苏伟曜', 'Jieying Tha', 'Kenji Sawahii', ""Dato' Norman Pang"", '叶朝明', '林家冰', 'Zuraini Kassim', 'Prem Shanker']","['波士糖仔 Papa, Come Home']",[],[''],[],[' 汉语普通话']
