,地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
12,[' 美国'],['贾斯汀·凯利'],['2018'],['105'],"['克里斯汀·斯图尔特', '黛安·克鲁格', '劳拉·邓恩', '吉姆·斯特吉斯', '科特妮·洛芙', '小凯文·哈里森', '詹姆斯·贾格尔', '艾丽西亚·约翰斯顿', '大卫·劳伦斯·布朗', '威尔·沃伊托维希', '克雷格·哈斯', '吉姆·科比', '洛丽·帕帕佐普洛斯', '德里克·詹姆斯·特拉普']",['JT·莱罗伊 JT Leroy'],"['剧情', '传记']",['6.2'],['468'],[' 英语']
5,[' 美国'],['亚当·麦凯'],['2018'],['132'],"['克里斯蒂安·贝尔', '艾米·亚当斯', '史蒂夫·卡瑞尔', '山姆·洛克威尔', '娜奥米·沃茨', '艾丽森·皮尔', '埃迪·马森', '贾斯汀·柯克', '丽莎·盖伊·汉密尔顿', '杰西·普莱蒙', '比尔·坎普', '唐·麦克马纳斯', '莉莉·拉贝', '谢伊·惠格姆', '斯蒂芬·阿德利·葛尔盖', '泰勒·派瑞', '杰夫·博斯利', '吉利安·阿美娜特', '马修·雅各布斯']",['副总统 Vice'],"['剧情', '喜剧', '传记', '历史']",['6.8'],['11084'],[' 英语']
10,[' 马来西亚'],['马逸腾'],['2018'],['110'],"['李国煌', '杨雁雁', '拿督·罗斯彦·诺', '黄炜杰', '曾冠源', '李宗伟', '阿什利·华']",['李宗伟：败者为王 Lee Chong Wei'],"['剧情', '传记', '运动']",['6.9'],['6050'],[' 闽南语 / 汉语普通话 / 马来语']
6,[' 美国'],['斯派克·李'],['2018'],['135'],"['约翰·大卫·华盛顿', '亚历克·鲍德温', '小伊塞亚·维特洛克', '罗伯特·约翰·伯克', '布赖恩·塔伦蒂诺', '阿瑟·J·纳斯加勒拉', '根·加里托', '弗雷德里克·韦勒', '亚当·德赖弗', '迈克尔·布谢米', '劳拉·哈里尔', '达马里斯·刘易斯', '奥托·布兰克森-伍德', '科里·霍金斯', '法龙·索尔兹伯里', '瑞安·艾戈尔德', '加斯帕·帕科农', '保罗·沃尔特·豪泽', '阿什莉·阿特金森', '托弗·戈瑞斯', '维克托·科利采奇奥', '埃莉斯·哈德森', '丹尼·霍奇', '尼古拉斯·特图罗', '哈里·贝拉方特', '克里斯·班克斯', '克雷格·穆姆斯·格兰特', '汤姆·斯特拉特福', '唐纳德·特朗普', '保罗·迪奥梅德', '赖恩·普雷姆斯伯格', '吉娜·贝拉方特', '迈克尔·J·伯格', '柯特·克伦德尼', '大卫·杜克']",['黑色党徒 BlacKkKlansman'],"['剧情', '传记', '犯罪']",['7.1'],['20194'],[' 英语']
8,[' 美国'],['玛丽埃尔·海勒'],['2018'],['107'],"['梅丽莎·麦卡西', '理查德·E·格兰特', '多莉·韦尔斯', '本·法尔科内', '格里高利·克洛斯蒂舍夫斯基', '简·库丁', '斯蒂芬·斯皮内拉', '克里斯蒂安·纳瓦罗', '普·班德赫', '埃里克·拉雷·哈维', '布兰登·斯科特·琼斯', '雪伊·德林恩', '罗莎尔·卡农', '安娜·迪佛·史密斯', '马克·埃文·杰克逊']",['你能原谅我吗？ Can You Ever Forgive Me?'],"['剧情', '喜剧', '传记', '犯罪']",['7.1'],['5421'],[' 英语']
3,[' 爱尔兰 / 英国 / 美国'],['欧格斯·兰斯莫斯'],['2018'],['119'],"['奥利维娅·科尔曼', '艾玛·斯通', '蕾切尔·薇兹', '尼古拉斯·霍尔特', '乔·阿尔文', '马克·加蒂斯', '蒂莫西·英纳斯', '珍妮·莱恩斯福德', '詹姆斯·史密斯', '詹姆斯·梅尔维尔', '杰克·维尔']",['宠儿 The Favourite'],"['剧情', '喜剧', '同性', '传记']",['7.4'],['51384'],[' 英语']
7,[' 美国'],['乔尔·埃哲顿'],['2018'],['115'],"['卢卡斯·赫奇斯', '妮可·基德曼', '罗素·克劳', '玛德琳·克莱因', '维克托·麦凯', '大卫·约瑟夫·克雷格', '特洛耶·希文', '艾米丽·辛克尔', '德文·迈克尔', '马特·伯克', '林赛·莫泽', '杰西·拉图雷特', '布里顿·瑟尔', '大卫·迪特莫尔', '威廉·吴', '乔尔·埃哲顿', '泽维尔·多兰', '蒂姆·韦尔', '弗利', '兰德尔·P·海文斯', '乔·阿尔文']",['被抹去的男孩 Boy Erased'],"['剧情', '同性', '传记']",['7.4'],['12904'],[' 英语']
9,[' 英国 / 美国'],['沃什·韦斯特摩兰'],['2018'],['111'],"['凯拉·奈特莉', '多米尼克·威斯特', '埃莉诺·汤姆林森', '费奥纳·肖', '丹妮斯·高夫', '艾莎·哈特', '丽贝卡·鲁特', '阿尔·韦弗', '卡罗琳·博尔顿', '雷·潘莎基', '珊农·塔伯特', '阿提拉·阿帕', '阿拉贝拉·韦尔', '羽田正义', '罗德里克·希尔', '贾尼娜·哈尼', '凯汀卡·埃格雷斯']",['柯莱特 Colette'],"['剧情', '传记', '历史']",['7.5'],['8394'],[' 英语']
11,[' 美国'],['米密·莱德'],['2018'],['120'],"['菲丽希缇·琼斯', '艾米·汉莫', '贾斯汀·塞洛克斯', '萨姆·沃特森', '凯西·贝茨', '卡莉·史派妮', '杰克·莱诺', '斯蒂芬·鲁特', '克里斯·马尔基', '加里·韦恩兹', '弗朗西斯·X·麦卡蒂', '罗纳德·格特曼', '温迪·古逊', '约翰·拉尔斯顿', '卡尔·格拉戈萨斯', '亚瑟·霍尔顿', '安吉拉·嘉鲁皮', '乔迪·约翰逊', '杰夫·利利科', '乔·柯布登 ', '莎珑·华盛顿', '瓦罗娜·塞茨瓦埃洛', '阿伦·奥阿约-斯图尔特', '霍莉·G·弗兰克尔', '汤姆·埃尔文', '斯蒂芬妮·科斯塔', '拉斐尔·格罗斯-哈维', '罗伯特·J·塔维纳', '加布里埃尔·格雷厄姆', '丹尼尔·布罗克', '道恩·福特', '迈克尔·迪克森', '亚历山大·贝朗格', '鲁斯·巴德·金斯伯格']",['性别为本 On the Basis of Sex'],"['剧情', '传记']",['7.6'],['4669'],[' 英语']
2,[' 印度'],['R·巴尔基'],['2018'],['140'],"['阿克谢·库玛尔', '拉迪卡·艾普特', '索娜姆·卡普尔', '乔蒂·苏巴', '森尔·辛', '阿米达普·巴强', '雷·拉维']",['印度合伙人 Padman'],"['剧情', '喜剧', '传记']",['7.7'],['57153'],[' 印地语']
